HEROP_ID,MhMinDis
140US01101001600,1.728284852
140US01001020200,1.448012092
140US01097000200,0.849294343
140US01097001100,1.2448645
140US01013952800,0.545990397
140US01131034700,31.51224287
140US01073014408,6.215696826
140US01101002100,1.010840878
140US01125012505,5.274379615
140US01073000700,3.843968337
140US01073013200,2.770699655
140US01033020100,4.685920755
140US01103000900,1.843632667
140US01125010601,12.98467421
140US01125012404,3.688903326
140US01083021000,2.961764094
140US01089000602,2.588612011
140US01089002701,0.933522117
140US01077010200,3.393405622
140US01097000903,1.214174563
140US01097003607,4.476353406
140US01101005613,3.81888678
140US01097006408,3.854797734
140US01073002702,1.830841555
140US01117980100,1.888085801
140US01001020503,1.733566227
140US01125012002,1.432628502
140US01089003000,3.830472586
140US01083021201,7.060551389
140US01089000702,3.523684296
140US01089010628,5.896320192
140US01063060102,5.276740389
140US01081040904,3.104885806
140US01081040402,3.846299171
140US01097003410,8.022177806
140US01089002501,0.724717066
140US01073010302,4.019002502
140US01129044100,10.70289027
140US01033020600,7.89484334
140US01039962300,5.144126487
140US01089002803,4.957432403
140US01073002701,1.30287685
140US01097000402,1.038253707
140US01101005411,4.693100848
140US01025958003,24.32310755
140US01081042008,2.437971676
140US01069040302,1.910543987
140US01073014105,1.396686364
140US01073004800,0.626687399
140US01125011800,1.314367878
140US01119011500,11.724779
140US01101000500,2.238193226
140US01047956900,14.15285782
140US01089001700,2.380013986
140US01053969801,24.98810473
140US01089010626,1.116104311
140US01089000301,4.729316309
140US01069040204,1.780221771
140US01081041102,2.4771754
140US01073010301,2.772745812
140US01125010102,17.12534666
140US01101000700,3.18493835
140US01089000503,2.181750569
140US01073003300,1.850250962
140US01073011804,3.897811668
140US01097002100,4.15192287
140US01023956700,10.83353816
140US01077010700,2.924678576
140US01097003710,0.965670729
140US01015001102,3.105939701
140US01089002200,2.899604634
140US01097003207,3.865629018
140US01087232300,11.10946741
140US01097001501,2.699551236
140US01097002302,3.058824522
140US01097003404,6.459270844
140US01089010406,10.70110212
140US01073012920,4.786113931
140US01101001900,1.304851368
140US01003010704,1.13597938
140US01095031100,11.6052013
140US01095030801,7.967503627
140US01073012103,9.539887487
140US01073012402,5.125819085
140US01073001100,3.57955775
140US01073010001,5.636534304
140US01073012304,4.545278692
140US01073010002,3.718177387
140US01073003200,1.26515073
140US01073003100,1.155478571
140US01073003002,1.009512347
140US01073014301,2.343436829
140US01073005600,1.972762339
140US01073010100,3.833634115
140US01073003900,0.995484371
140US01073010603,2.817702046
140US01073010500,4.70604919
140US01073011904,3.154460559
140US01073005908,2.039648289
140US01073012602,1.393061452
140US01073002303,0.734211026
140US01073013901,3.851953651
140US01103000100,0.906288733
140US01103005103,4.747400974
140US01103000800,1.317558375
140US01125010500,3.394404593
140US01125012700,1.694096838
140US01125010703,13.75237823
140US01125010203,6.255847345
140US01133965700,2.612055688
140US01065040500,9.95106593
140US01127021500,9.339349395
140US01127020100,2.890728772
140US01071950500,11.77627795
140US01071950700,4.820710798
140US01089001901,2.089178177
140US01089000501,2.272026636
140US01127020200,2.203855613
140US01127021400,8.497619424
140US01089001200,2.877011258
140US01089001500,2.734330414
140US01089001801,3.485920028
140US01089002721,1.769064074
140US01079979100,11.67389271
140US01083020600,1.779190019
140US01129043900,13.29356874
140US01089002400,1.908516321
140US01039962700,2.223505301
140US01015000900,1.801683839
140US01015001600,4.050612182
140US01015002600,14.41060066
140US01053970300,9.491859085
140US01077011502,7.332187609
140US01077011603,9.979704197
140US01077011700,17.55505324
140US01019956000,0.574631029
140US01003010400,17.48727134
140US01003010600,16.59886567
140US01023957000,21.35414773
140US01043965700,15.0440274
140US01043964700,3.454228555
140US01043965100,7.488671625
140US01043965300,13.9850332
140US01009050601,21.17480526
140US01055001200,0.386464453
140US01055001700,3.312442976
140US01055001600,2.417540435
140US01025957901,19.55867181
140US01047956300,2.299922472
140US01055010300,4.304252011
140US01055000900,2.277400156
140US01055000700,2.429252936
140US01055011001,9.386730061
140US01059973400,21.13370776
140US01059973200,20.48168517
140US01055000400,3.368767249
140US01033020901,15.21773718
140US01033020801,11.19348726
140US01049961100,1.561592604
140US01035960400,20.54498414
140US01035960500,12.40423676
140US01121011800,0.537364523
140US01121011000,17.44489963
140US01121010900,15.67134948
140US01057020400,22.76065503
140US01067030400,9.047247929
140US01051030300,15.23843471
140US01087232100,2.951388642
140US01017954700,3.090753899
140US01017953900,7.881983665
140US01041963400,12.45957771
140US01021060200,4.527886255
140US01027959000,23.83155168
140US01061050400,9.31556761
140US01031010800,8.725417093
140US01109188700,19.48287747
140US01081040602,6.195041688
140US01101003200,1.483071386
140US01101001000,4.587327324
140US01101005902,3.854445042
140US01101005402,2.83070822
140US01101006100,5.740925206
140US01101005503,7.441162519
140US01101001700,0.728702794
140US01045021101,6.671593498
140US01045020300,3.990632056
140US01093964100,12.20177804
140US01097003800,9.58344613
140US01097006802,1.730804469
140US01097005300,6.200532186
140US01097000702,2.764189916
140US01097001302,1.735858513
140US01097002301,3.433592118
140US01097002900,3.695167526
140US01097003302,4.4289832
140US01097003606,4.066827153
140US01097003902,3.229866795
140US01097004900,5.174986783
140US01097006103,7.678462615
140US01097003202,2.625818159
140US01097003203,3.295000894
140US01097003707,2.177763604
140US01097007101,5.141781143
140US01069041700,8.71905152
140US01069040500,0.982004613
140US01069041400,0.975344272
140US01029959800,9.302065566
140US01001021000,18.69667528
140US01001020400,0.746877186
140US01001020700,2.601664827
140US01005950500,11.85478312
140US01005950200,18.34214646
