GEOID,HEROP_ID,HivCntDr,HivTmDr,HivTmDr2
1059973702,140US01059973702,0,67.78,135.56
1077010902,140US01077010902,0,53.04,106.08
1101003303,140US01101003303,2,9.32,18.64
1047957301,140US01047957301,0,51.05,102.1
1091973002,140US01091973002,1,22.34,44.68
1081040202,140US01081040202,2,7.32,14.64
1081042009,140US01081042009,6,13.01,26.02
1081042007,140US01081042007,5,15.87,31.74
1053969802,140US01053969802,0,53.14,106.28
1065040402,140US01065040402,0,33.3,66.6
1113030601,140US01113030601,5,7.85,15.7
1083020103,140US01083020103,1,28.61,57.22
1115040208,140US01115040208,5,26.82,53.64
1063060000,140US01063060000,1,14.65,29.3
1089011013,140US01089011013,1,5.79,11.58
1089000701,140US01089000701,1,18.01,36.02
1039961700,140US01039961700,1,21.85,43.7
1055000500,140US01055000500,3,6.57,13.14
1011952500,140US01011952500,0,43.06,86.12
1073000400,140US01073000400,12,7.95,15.9
1073013902,140US01073013902,11,9.89,19.78
1073000300,140US01073000300,12,3.39,6.78
1073005000,140US01073005000,12,2.99,5.98
1103005500,140US01103005500,0,30.88,61.76
1125011200,140US01125011200,5,4.92,9.84
1083020900,140US01083020900,1,15.93,31.86
1111000100,140US01111000100,0,33.68,67.36
1023956900,140US01023956900,0,65.87,131.74
1063060101,140US01063060101,1,11.97,23.94
1099075901,140US01099075901,0,84.79,169.58
1125012408,140US01125012408,5,5.55,11.1
1101005614,140US01101005614,2,6.92,13.84
1031011206,140US01031011206,1,23.81,47.62
1099075600,140US01099075600,0,73.29,146.58
1089001302,140US01089001302,1,15.06,30.12
1097006803,140US01097006803,4,12.79,25.58
1003010706,140US01003010706,3,20.68,41.36
1073004902,140US01073004902,13,0,0
1097003703,140US01097003703,3,6.74,13.48
1097005400,140US01097005400,3,13.67,27.34
1097003405,140US01097003405,3,8.77,17.54
1097004000,140US01097004000,3,7.98,15.96
1069040900,140US01069040900,3,5.2,10.4
1067030300,140US01067030300,0,44.48,88.96
1101005604,140US01101005604,1,18.11,36.22
1101001600,140US01101001600,2,10.94,21.88
1001020200,140US01001020200,2,4.13,8.26
1097000200,140US01097000200,3,8.03,16.06
1097001100,140US01097001100,3,7.07,14.14
1013952800,140US01013952800,0,38.38,76.76
1131034700,140US01131034700,0,,
1073014408,140US01073014408,14,10.23,20.46
1101002100,140US01101002100,2,7.09,14.18
1125012505,140US01125012505,5,8.69,17.38
1073000700,140US01073000700,13,6.52,13.04
1073013200,140US01073013200,12,7.85,15.7
1033020100,140US01033020100,0,57.87,115.74
1103000900,140US01103000900,1,24.77,49.54
1125010601,140US01125010601,0,42.35,84.7
1125012404,140US01125012404,5,6.36,12.72
1083021000,140US01083021000,1,18.99,37.98
1089000602,140US01089000602,1,16.81,33.62
1089002701,140US01089002701,1,21.06,42.12
1077010200,140US01077010200,0,55.93,111.86
1097000903,140US01097000903,3,7.1,14.2
1097003607,140US01097003607,3,6.49,12.98
1101005613,140US01101005613,2,9.55,19.1
1097006408,140US01097006408,3,12.46,24.92
1073002702,140US01073002702,14,1.66,3.32
1117980100,140US01117980100,13,15.76,31.52
1001020503,140US01001020503,2,5.5,11
1125012002,140US01125012002,5,3.82,7.64
1089003000,140US01089003000,1,15.7,31.4
1083021201,140US01083021201,1,6.71,13.42
1089000702,140US01089000702,1,16.49,32.98
1089010628,140US01089010628,1,11.47,22.94
1063060102,140US01063060102,5,0,0
1081040904,140US01081040904,1,8.58,17.16
1081040402,140US01081040402,2,10.21,20.42
1097003410,140US01097003410,3,13.93,27.86
1089002501,140US01089002501,1,16.94,33.88
1073010302,140US01073010302,11,0,0
1129044100,140US01129044100,0,44.6,89.2
1033020600,140US01033020600,0,62.59,125.18
1039962300,140US01039962300,1,16.92,33.84
1089002803,140US01089002803,1,26.77,53.54
1073002701,140US01073002701,14,1.33,2.66
1097000402,140US01097000402,3,9.98,19.96
1101005411,140US01101005411,3,16.23,32.46
1025958003,140US01025958003,0,47.36,94.72
1081042008,140US01081042008,6,14.26,28.52
1069040302,140US01069040302,3,5.61,11.22
1073014105,140US01073014105,9,10.24,20.48
1073004800,140US01073004800,13,2.33,4.66
1125011800,140US01125011800,5,3,6
1119011500,140US01119011500,2,25.38,50.76
1101000500,140US01101000500,2,12.14,24.28
1047956900,140US01047956900,0,70.69,141.38
1089001700,140US01089001700,1,17.2,34.4
1053969801,140US01053969801,0,57.16,114.32
1089010626,140US01089010626,1,14.22,28.44
1089000301,140US01089000301,1,19,38
1069040204,140US01069040204,3,6.11,12.22
1081041102,140US01081041102,1,7.5,15
1073010301,140US01073010301,11,2.96,5.92
1125010102,140US01125010102,0,59.34,118.68
1101000700,140US01101000700,2,10.48,20.96
1089000503,140US01089000503,1,16.85,33.7
1073003300,140US01073003300,12,5.65,11.3
1073011804,140US01073011804,11,8.28,16.56
1097002100,140US01097002100,3,4.65,9.3
1023956700,140US01023956700,0,48.53,97.06
1077010700,140US01077010700,0,52.2,104.4
1097003710,140US01097003710,3,4.94,9.88
1015001102,140US01015001102,3,5.18,10.36
1089002200,140US01089002200,1,12.73,25.46
1097003207,140US01097003207,3,2.92,5.84
1087232300,140US01087232300,0,30.14,60.28
1097001501,140US01097001501,3,4.62,9.24
1097002302,140US01097002302,3,6.27,12.54
1097003404,140US01097003404,3,10.79,21.58
1089010406,140US01089010406,1,22.9,45.8
1073012920,140US01073012920,14,6.61,13.22
1101001900,140US01101001900,2,14.7,29.4
1003010704,140US01003010704,3,19.76,39.52
1095031100,140US01095031100,0,33.16,66.32
1095030801,140US01095030801,0,34.37,68.74
1073012103,140US01073012103,9,15.05,30.1
1073012402,140US01073012402,11,8.84,17.68
1073001100,140US01073001100,13,3.5,7
1073010001,140US01073010001,11,11.46,22.92
1073012304,140US01073012304,11,13.76,27.52
1073010002,140US01073010002,11,8.21,16.42
1073003200,140US01073003200,12,5.06,10.12
1073003100,140US01073003100,12,5.42,10.84
1073003002,140US01073003002,13,3.74,7.48
1073014301,140US01073014301,9,8.4,16.8
1073005600,140US01073005600,12,0,0
1073010100,140US01073010100,11,3.08,6.16
1073003900,140US01073003900,12,5.86,11.72
1073010603,140US01073010603,12,8.79,17.58
1073010500,140US01073010500,11,3.17,6.34
1073011904,140US01073011904,13,10.26,20.52
1073005908,140US01073005908,11,5.64,11.28
1073012602,140US01073012602,12,7.08,14.16
1073002303,140US01073002303,12,1.96,3.92
