"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"01860",2.31,2.92,0.61,"860US01860"
"01862",3.34,3.46,1.39,"860US01862"
"01863",6.55,2.41,1.78,"860US01863"
"01864",0.91,3.61,1.49,"860US01864"
"01867",6.37,9.92,1.27,"860US01867"
"01876",4.35,3.46,0.9,"860US01876"
"01879",4.89,1.37,0.68,"860US01879"
"01880",3.66,8.17,2.24,"860US01880"
"01886",1.62,2.71,0.56,"860US01886"
"01887",3.86,4.98,0.76,"860US01887"
"01890",3.6,11.06,0.95,"860US01890"
"01901",57.4,34.09,21.22,"860US01901"
"01902",28.1,14.72,3.96,"860US01902"
"01904",5.79,8.27,2.18,"860US01904"
"01905",18.72,11.4,3.2,"860US01905"
"01906",6.66,7.27,1.31,"860US01906"
"01907",5.62,13.32,2.01,"860US01907"
"01908",5.03,9.55,1.52,"860US01908"
"01913",6.7,1.89,1.37,"860US01913"
"01915",10.13,9.09,5.36,"860US01915"
"01921",0.98,1.71,0,"860US01921"
"01922",0,3.9,3.96,"860US01922"
"01923",7.99,2.71,1.34,"860US01923"
"01929",2.52,9.28,4.18,"860US01929"
"01930",10.42,3.27,5.84,"860US01930"
"01937",NA,47.37,0,"860US01937"
"01938",4.84,4.64,4.54,"860US01938"
"01940",3.82,2.23,0.47,"860US01940"
"01944",6.47,14.53,3.1,"860US01944"
"01945",4.36,8.77,4.71,"860US01945"
"01949",3.06,2.1,1.4,"860US01949"
"01950",5.47,4.08,6.07,"860US01950"
"01951",0,6.94,1.05,"860US01951"
"01952",5.21,3.2,4.47,"860US01952"
"01960",11.72,3.26,1.35,"860US01960"
"01966",5.61,5.94,7.18,"860US01966"
"01969",3.18,3.41,0.56,"860US01969"
"01970",16.38,10.6,7.41,"860US01970"
"01982",3.57,8.35,4.65,"860US01982"
"01983",3.03,0.68,0.58,"860US01983"
"01984",4.94,3.28,10.85,"860US01984"
"01985",1.76,2.57,0,"860US01985"
"02019",3.13,2.35,2.05,"860US02019"
"02021",7.59,13.15,1.01,"860US02021"
"02025",3.85,21.36,0.56,"860US02025"
"02026",7.9,11.22,3.06,"860US02026"
"02030",1.34,9.2,3.83,"860US02030"
"02032",2.26,14.27,3.38,"860US02032"
"02035",3,6.56,0.61,"860US02035"
"02038",4.62,5.64,1.83,"860US02038"
"02043",5.57,19.44,0.75,"860US02043"
"02045",5.47,11.96,2.14,"860US02045"
"02047",0,0,0,"860US02047"
"02048",5.49,9.15,0.8,"860US02048"
"02050",3.57,4.17,1.01,"860US02050"
"02052",2.34,9.31,1.41,"860US02052"
"02053",1.56,4.17,1.04,"860US02053"
"02054",2.83,4.05,1.26,"860US02054"
"02056",2.6,10.48,1.16,"860US02056"
"02061",1.74,9.12,1.16,"860US02061"
"02062",8.48,10.52,2.73,"860US02062"
"02066",3.77,10.19,2.1,"860US02066"
"02067",2.88,18.58,0.74,"860US02067"
"02071",0,10.17,0,"860US02071"
"02072",5.3,7.82,2.14,"860US02072"
"02081",5.71,9.84,1.07,"860US02081"
"02090",5.39,17.26,1.33,"860US02090"
"02093",2.76,7.41,0.26,"860US02093"
"02108",36.35,26.88,46.23,"860US02108"
"02109",50.13,18.09,51.51,"860US02109"
"02110",37.47,12.83,36.83,"860US02110"
"02111",57.39,24.57,47.17,"860US02111"
"02113",53.87,24.7,50.4,"860US02113"
"02114",56.71,21.2,49.13,"860US02114"
"02115",63.91,29.21,44,"860US02115"
"02116",42.95,22.98,40.84,"860US02116"
"02118",42.93,27.9,29.47,"860US02118"
"02119",42.05,41.71,9.9,"860US02119"
"02120",59.15,37.37,31.09,"860US02120"
"02121",41.64,43.18,4.66,"860US02121"
"02122",24.07,35.18,5.36,"860US02122"
"02124",30.32,36.55,2.79,"860US02124"
"02125",29.97,36.74,5.66,"860US02125"
"02126",26.19,33.51,2.02,"860US02126"
"02127",26.93,36.99,9.9,"860US02127"
"02128",35.95,55.72,4.55,"860US02128"
"02129",23.73,26.6,15.33,"860US02129"
"02130",25.79,41.82,4.73,"860US02130"
"02131",15.48,26.96,1.41,"860US02131"
"02132",7.88,17.05,1.58,"860US02132"
"02134",43.64,38.75,12.5,"860US02134"
"02135",29.18,33.73,5.84,"860US02135"
"02136",16.09,25.33,2.05,"860US02136"
"02138",31.42,21.36,30.15,"860US02138"
"02139",33.88,30.37,25.94,"860US02139"
"02140",25.84,41.11,7.43,"860US02140"
"02141",34.54,29.2,26.05,"860US02141"
"02142",37.98,23.62,52.25,"860US02142"
"02143",28.01,29.26,18.32,"860US02143"
"02144",20.99,43.13,7.44,"860US02144"
"02145",23.77,32.3,6.19,"860US02145"
"02148",20.56,31.08,3.26,"860US02148"
"02149",17.63,23.92,3.42,"860US02149"
"02150",31.34,29.21,7.01,"860US02150"
"02151",18.49,26.45,3.58,"860US02151"
"02152",12.67,23.54,2.35,"860US02152"
"02155",11.04,20.39,5.94,"860US02155"
"02163",79.69,29.68,44.95,"860US02163"
"02169",17.55,25.65,2.7,"860US02169"
"02170",18.96,28.8,4.8,"860US02170"
"02171",12.34,31.85,3.51,"860US02171"
"02176",7.46,22.86,3.83,"860US02176"
"02180",6.68,7.26,1.42,"860US02180"
"02184",8.04,13.97,1.14,"860US02184"
"02186",6.29,12.8,5.04,"860US02186"
"02188",7.36,8.62,1.64,"860US02188"
"02189",8.01,9.1,2.88,"860US02189"
"02190",4.1,6.66,1.42,"860US02190"
"02191",4.36,12.41,1.4,"860US02191"
"02199",52.94,22,52.55,"860US02199"
"02203",100,NA,NA,"860US02203"
"02210",29.31,12.32,37.5,"860US02210"
"02215",61.62,26.2,51.04,"860US02215"
"02301",17.56,6.9,2.71,"860US02301"
"02302",12.37,7.06,1.79,"860US02302"
"02322",6.7,6.94,1.22,"860US02322"
"02324",2.65,3.73,5.43,"860US02324"
"02330",5.03,0.57,1.04,"860US02330"
"02332",2.75,5.43,1.38,"860US02332"
"02333",2.49,4.32,0.35,"860US02333"
"02338",5.54,4.53,0.74,"860US02338"
"02339",4.18,5.81,0.53,"860US02339"
"02341",1.92,5.78,0.34,"860US02341"
"02343",5.58,15.31,0.6,"860US02343"
"02346",2,2.16,0.65,"860US02346"
