GEOID,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
1230,4.829693932,9.659387864,1.204046931,3.404285618
1235,17.43384824,34.86769648,1.040650407,8.45465111
1236,9.907914574,19.81582915,1.952261307,5.652423798
1237,12.93190512,25.86381024,1.950691072,5.060877916
1238,17.28276355,34.5655271,1.958430329,10.275199
1240,13.20790608,26.41581215,2,6.258751599
1242,,,,
1243,,,,
1244,,,,
1245,20.01725714,40.03451428,1,9.851450741
1247,3.6842906,7.3685812,1.700299593,1.707599553
1253,26.59,53.18,1,13.83476153
1254,23.19233886,46.38467772,1.023941068,4.656798984
1255,26.57344523,53.14689047,1,13.82468459
1256,23.18,46.36,1,7.036564497
1257,14.81866699,29.63733398,1,6.292258806
1258,13.07,26.14,2,4.643101771
1259,17.79,35.58,1,9.245508574
1260,,,,
1262,,,,
1263,,,,
1264,,,,
1266,16.65967517,33.31935035,2,7.907990525
1267,12.69762623,25.39525245,2.262999246,5.93176303
1270,19.25629464,38.51258929,1.004464286,9.378365872
1301,3.14061626,6.28123252,5.130301309,1.283708374
1302,1.41,2.82,6,0.757151445
1330,24.08288889,48.16577778,2.935947713,10.03183617
1331,5.357050517,10.71410103,2.120802378,2.083114502
1337,9.195864467,18.39172893,4.001737619,5.884405987
1338,15.52,31.04,1,7.088859795
1339,27.364,54.728,1,12.84440603
1340,28.43936,56.87872001,1,13.36697309
1341,24.36431666,48.72863332,3.003333334,10.13187558
1342,8.98,17.96,5,5.173883811
1343,24.59935484,49.19870968,1,8.700395896
1344,20.59,41.18,2,8.978856637
1346,28.68,57.36,1,13.48391117
1347,,,,
1349,14.03546318,28.07092637,4.900237529,5.099908438
1350,28.68,57.36,1,13.48391117
1351,13.81677449,27.63354898,4.996303144,4.973519637
1354,9.2,18.4,4,5.891519137
1355,21.12986175,42.2597235,1.01843318,12.51667047
1360,16.95252078,33.90504155,3.998614958,9.255136891
1364,12.93590494,25.87180987,1.963748658,4.807962639
1366,15.37813445,30.75626889,2,8.784920941
1367,28.30861736,56.61723472,1,13.04855979
1368,14.50058252,29.00116505,2,6.630590555
1370,17.59454894,35.18909789,1.138195776,8.015424414
1373,10.14190087,20.28380173,4.816734879,5.726161191
1375,15.31455155,30.62910309,4.003608247,8.175805154
1376,8.103239531,16.20647906,4.181239531,2.189357895
1378,20.59,41.18,2,8.978856637
1379,20.59,41.18,2,8.978856637
1380,20.59,41.18,2,8.978856637
1420,9.041766036,18.08353207,6.650296318,3.603715284
1430,11.56233692,23.12467384,2.001344989,5.892052378
1431,19.00925324,38.01850649,4,9.894831719
1432,2.327422278,4.654844556,7.226468048,1.417345281
1434,0,0,7.164086687,1.129226905
1436,14.18,28.36,3,4.980101183
1438,11.7,23.4,3,4.956289182
1440,4.374529806,8.749059612,2.998369842,1.616313036
1450,9.275649452,18.5512989,7.015001896,2.915870365
1451,5.178102243,10.35620449,10.45105246,2.287588984
1452,16.47354044,32.94708088,4.039100162,7.259282013
1453,3.762948748,7.525897496,10.8739113,1.888346933
1460,11.82062796,23.64125592,14.62095944,5.363556912
1462,11.64268084,23.28536169,5.003089784,4.416182375
1463,14.24048541,28.48097082,5.806493932,6.516534654
1464,6.43342369,12.86684738,5.999628667,3.413045981
1467,,,,
1468,12.34691729,24.69383459,3.000469925,4.96083208
1469,18.01657257,36.03314513,5.488961274,8.919270588
1472,,,,
1473,9.496921088,18.99384218,5.993658996,4.908383842
1474,17.60915129,35.21830258,5.398523985,8.718934416
1475,12.91643781,25.83287563,3.630182058,6.698252958
1501,7.717119551,15.4342391,9.672064778,4.939030708
1503,9.119796368,18.23959274,13.99468792,4.612317071
1504,7.318156396,14.63631279,11.5616261,3.03530409
1505,9.457570747,18.91514149,10.99968204,3.857862019
1506,16.82054087,33.64108173,2.014423076,8.619312429
1507,11.40519756,22.81039512,6.423612222,5.505887206
1508,9.29,18.58,7,4.985872478
1509,9.29,18.58,7,4.985872478
1510,16.07558145,32.1511629,11.16159621,7.554992873
1515,15.25,30.5,4,8.698311814
1516,21.83853903,43.67707807,9.175098124,11.09118297
1518,8.628003757,17.25600751,6,4.956269677
1519,14.54544292,29.09088584,9.332813475,6.298747322
1520,8.573605523,17.14721105,8.419151123,4.824846422
1521,21.38,42.76,2,8.299510286
1522,10.98694836,21.97389671,10.38631791,6.049322307
1523,10.54835161,21.09670322,11.99398656,4.715156398
1524,11.38566773,22.77133545,8,6.704679878
1525,16.02,32.04,9,6.3082557
1526,,,,
1527,8.822430215,17.64486043,10.99900808,5.101103535
1529,11.31657289,22.63314578,12.98806479,4.785436879
1531,24.24805897,48.49611794,2.004914005,14.47519165
1532,8.962384297,17.92476859,12.48946841,4.352454761
1534,15.38252218,30.76504435,9.401241868,6.276777718
1535,22.26066582,44.52133163,3.984635082,13.40141504
1536,12.61033149,25.22066299,9.679267229,5.187493344
1537,13.06,26.12,8,9.694191798
1538,14.61,29.22,16,6.458436951
1540,13.47950763,26.95901526,7.394084142,9.407893576
1541,18.58,37.16,7,8.383180392
1542,9.272512,18.545024,8,5.78057579
1543,18.89293403,37.78586806,5.418638745,10.85461137
1545,7.800356849,15.6007137,9.690853315,2.515974085
1546,,,,
1550,1.958819827,3.917639654,3.482971789,0.950873368
1560,15.24685328,30.49370657,9.992277992,8.140842891
1561,,,,
1562,18.06773149,36.13546298,6.526564344,10.11224407
1564,13.5681017,27.1362034,10.95028248,6.948738653
1566,6.291984916,12.58396983,6.59989594,3.110372494
1568,8.643737182,17.28747436,9.988552348,4.920713359
1569,14.09100852,28.18201704,15.98511776,7.261468655
1570,17.31268593,34.62537186,6.004737092,9.387025524
1571,13.37996446,26.75992891,5.152205729,6.631767627
1581,3.767901851,7.535803701,12.33031904,1.977191647
1583,5.428713153,10.85742631,10,3.489124497
1585,15.48573334,30.97146667,2.003076924,10.33028407
1586,8.07,16.14,11,5.404005117
1588,16.120058,32.24011599,10.71938434,6.848662063
1590,14.29359126,28.58718251,8.001311475,9.411349607
1602,4.670611679,9.341223357,8.571635311,2.393791565
1603,4.440926995,8.88185399,8.96196944,2.49588331
1604,3.682657397,7.365314795,11.04331361,1.476680688
1605,1.852838465,3.705676931,9.896560177,0.836009038
1606,2.277503385,4.555006771,9.119104633,1.363379666
1607,4.961165632,9.922331265,11.98585815,2.410420488
1608,0.431765135,0.863530269,11.00328228,0.369011543
1609,2.688077236,5.376154472,9.701407468,1.280562529
1610,2.56340716,5.126814319,10.78266219,1.44644364
1611,8.286514163,16.57302833,8.004357298,5.130662549
1612,13.15474783,26.30949565,7.99768116,7.397954768
1613,0,0,11,0.270725757
1653,,,,
1655,,,,
1701,6.349513267,12.69902653,32.45827515,2.714853151
1702,2.948663933,5.897327866,34.66027275,1.239155905
1703,3.94,7.88,36,1.352039984
1704,3.15,6.3,36,0.800683568
1718,11.03,22.06,12,5.194714292
1719,13.42,26.84,15,5.699205857
1720,9.969677544,19.93935509,15.13505311,4.187810845
1721,7.642902681,15.28580536,20.01593673,3.266278742
1730,3.009413425,6.01882685,32.48133626,1.068878293
1731,7.749296346,15.49859269,35.00270636,3.839328767
1740,10.0776998,20.1553996,13.99415205,6.29731727
1741,12.09891957,24.19783914,19,4.187879149
1742,3.829921447,7.659842894,29.8372611,1.542807548
1745,8.62,17.24,34,3.910612595
1746,10.09542996,20.19085992,10.383622,5.364797038
1747,3.216195917,6.432391834,5.015510203,0.661524631
1748,11.47925538,22.95851075,11.8015609,4.652007739
1749,5.790102293,11.58020459,13.48508668,2.920293354
1752,4.277717602,8.555435204,14.49839374,1.534644162
1754,10.2110541,20.4221082,15.99580755,4.468873329
1756,9.030621908,18.06124382,6.044876332,3.017402928
1757,3.844420351,7.688840702,9.16554029,1.724855034
1760,7.486567591,14.97313518,33.49232898,3.217132184
1770,9.47,18.94,25,4.206476345
1772,7.513186712,15.02637342,27.83337318,3.033660477
1773,7.745158143,15.49031629,34.9922611,3.832929198
1775,12.68255236,25.36510472,14.36330634,5.592668471
1776,10.30675399,20.61350798,20.71753986,4.84305896
1778,8.74538887,17.49077774,33.35862426,4.681288937
1784,,,,
1801,4.612003329,9.224006657,35.11039452,2.126556795
1803,3.775349163,7.550698326,34.09401187,1.724545859
1805,,,,
1810,8.718702172,17.43740434,23.05227821,4.239935397
1812,,,,
1821,7.8022991,15.6045982,25.31996739,3.437050236
1822,8.38,16.76,23,4.003075733
1824,9.19421525,18.3884305,15.66376682,3.898803622
1826,5.941351742,11.88270348,11.72068763,2.993921453
1827,11.36342975,22.7268595,6.003305784,5.171117233
1830,2.900145397,5.800290793,9.188419352,1.194614079
1831,0.96,1.92,10,0.443179543
1832,3.916604079,7.833208159,9.513964899,2.031437551
1833,12.26178681,24.52357362,9.452824938,5.988128016
1834,6.84,13.68,8,3.452336663
1835,4.245968362,8.491936723,8.755644293,1.757578619
1840,1.233108005,2.466216011,13,0.564376203
1841,2.015141598,4.030283197,13.1029634,0.953228736
1842,1.28,2.56,13,0.55150254
1843,3.729364341,7.458728682,20.79903471,1.481252962
1844,4.080196485,8.16039297,14.84364869,1.838270935
1845,7.145163863,14.29032773,14.12014079,2.971364081
1850,4.013402401,8.026804801,14.5870745,1.988312139
1851,3.652528963,7.305057925,14.90852141,1.257821756
1852,5.050401908,10.10080382,15.83252869,2.403992345
1853,2.75,5.5,15,1.521115021
1854,1.751343047,3.502686094,13.48157895,0.847903017
1860,9.768106895,19.53621379,7.008965518,5.207607007
1862,9.89035414,19.78070828,17.97277556,4.643896246
1863,6.627307847,13.25461569,12.42074871,2.74521417
1864,14.06543775,28.13087551,27.86409371,8.048860233
1865,5.96,11.92,25,2.134414955
1866,,,,
1867,8.678942318,17.35788464,33.77077256,4.587291844
1876,12.31566795,24.63133591,26.33102037,6.135051151
1879,10.49000617,20.98001233,10.0012333,4.526935177
1880,7.101369144,14.20273829,32.68060955,3.107820933
1885,,,,
1886,12.77636273,25.55272547,13.8531538,6.06534972
1887,9.703983179,19.40796636,32.99486675,5.427684092
1888,6.53,13.06,35,3.077984804
1889,,,,
1890,3.181704508,6.363409016,34.68462792,1.346803531
1899,,,,
1901,5.984156343,11.96831269,28.16018795,3.845590222
1902,5.182399709,10.36479942,27.53797363,3.43752416
1903,5.82,11.64,28,3.649407919
1904,5.752953861,11.50590772,26.58828911,3.460589343
1905,7.082380024,14.16476005,28.58816964,4.38922669
1906,5.68446579,11.36893158,29.72931908,2.751062353
1907,4.798629581,9.597259162,23.63276836,2.545549659
1908,11.45,22.9,23,5.85847741
1910,,,,
1913,9.071467806,18.14293561,7.324330484,3.719565101
1915,4.529887928,9.059775855,10.09977793,1.243694193
1921,15.71268871,31.42537742,8.132563941,6.782141744
1922,5.524020408,11.04804082,7.005612244,3.181116841
1923,7.764756195,15.52951239,21.03725458,3.582694328
1929,14.56112811,29.12225622,3.012746972,7.016616248
1930,16.61482867,33.22965734,1.998716633,11.15699924
1931,16.43,32.86,2,11.41338797
1936,10.06,20.12,5,4.311903243
1937,11.84,23.68,23,5.306079787
