GEOID,HEROP_ID,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
6075,050US06075,207.27,1766.45,,1177,10031,
12086,050US12086,66.17,2511.71,,1177,44677,
20173,050US20173,350.72,5610.04,,1174,18779,
31055,050US31055,302.21,4081.21,,1151,15544,
12081,050US12081,466.17,3667.35,,1143,8992,
22015,050US22015,1382.03,10187.34,,1142,8418,
39061,050US39061,213.99,3540.31,,1138,18827,
48147,050US48147,4688.86,21186.69,,1134,5124,
32031,050US32031,342.55,4557.51,,1113,14808,
48245,050US48245,685.65,7574.49,,1103,12185,
48085,050US48085,138.31,2120.22,,1097,16816,
47065,050US47065,453.27,6731.27,,1089,16172,
48121,050US48121,160.26,1750.08,,1089,11892,
8059,050US08059,281.22,3794.61,,1088,14681,
22051,050US22051,404.62,2066.12,,1081,5520,
45019,050US45019,390.46,4047.7,,1078,11175,
48027,050US48027,422.95,3845.27,,1071,9737,
12115,050US12115,448.23,3322.67,,1061,7865,
12005,050US12005,883.3,9128.54,,1052,10872,
26125,050US26125,126.48,1421.2,,1047,11765,
13215,050US13215,786.09,6872.01,,1027,8978,
47149,050US47149,412.14,4814.66,,1022,11939,
48339,050US48339,230.48,5134.94,,1018,22680,
24033,050US24033,160.8,896.84,,1015,5661,
25009,050US25009,194.31,735.61,,1013,3835,
25013,050US25013,338.34,2040.07,,1012,6102,
42043,050US42043,551.91,2204.36,,1012,4042,
51810,050US51810,336.39,5039.97,,1011.17,15150,
48037,050US48037,1729.18,24081.21,,1005,13996,
51093,050US51093,1047.58,5125.6,,987.98,4834,
51620,050US51620,1047.58,5125.6,,987.98,4834,
51800,050US51800,1047.58,5125.6,,987.98,4834,
22019,050US22019,756.63,5606.75,,968,7173,
16001,050US16001,280.61,3249.89,,963,11153,
36103,050US36103,95.98,272.1,,957,2713,
6081,050US06081,198.45,2936.62,,954,14117,
48169,050US48169,19564.77,16670.09,,953,812,
19153,050US19153,287.75,4770.9,,952,15784,
8005,050US08005,214.9,2780.77,,948,12267,
26081,050US26081,216.57,3573.06,,939,15492,
42091,050US42091,169.85,1396.77,,939,7722,
12117,050US12117,293.16,3161.19,,936,10093,
41051,050US41051,165.82,2967.85,,932,16681,
12073,050US12073,446.41,3756.59,,930,7826,
47163,050US47163,923.95,8403.27,,927,8431,
24031,050US24031,136.26,523.79,,923,3548,
55079,050US55079,152.66,4983.25,,919,29999,
24005,050US24005,169.66,1157.3,,917,6255,
48039,050US48039,356.35,3659.5,,917,9417,
26099,050US26099,160.59,2385.3,,912,13546,
18089,050US18089,282.34,3618.65,,894,11458,
45083,050US45083,399.77,4334.82,,893,9683,
6053,050US06053,318.76,3551.18,,882,9826,
12001,050US12001,442.43,3053.68,,878,6060,
6013,050US06013,116.33,2092.55,,876,15758,
18039,050US18039,680.68,4808.27,,876,6188,
34007,050US34007,253.81,2068.69,,864,7042,
53063,050US53063,240.53,4050.89,,859,14467,
39017,050US39017,340.32,4022.32,,858,10141,
48367,050US48367,806.24,6389.56,,855,6776,
12097,050US12097,300.94,3051.35,,854,8659,
37081,050US37081,236.34,3723.29,,853,13438,
6083,050US06083,290.97,3562.86,,842,10310,
28049,050US28049,598.48,3525.48,,842,4960,
13021,050US13021,850.05,4936.57,,841,4884,
22041,050US22041,7177.32,17594.35,,833,2042,
22079,050US22079,1048.5,8304.91,,833,6598,
48355,050US48355,364.43,8078.65,,829,18377,
13151,050US13151,487.24,5896.77,,821,9936,
37067,050US37067,326.45,3104.29,,821,7807,
48251,050US48251,645.52,4729.33,,821,6015,
21067,050US21067,376.46,5375.61,,820,11709,
22025,050US22025,15172.29,121359.76,,819,6551,
48423,050US48423,535.38,5161.11,,814,7847,
8001,050US08001,224.38,3415.74,,812,12361,
42069,050US42069,595.52,2745.14,,807,3720,
48157,050US48157,137.31,2096.61,,804,12276,
48167,050US48167,345.56,6541.57,,804,15220,
49057,050US49057,451.68,4883.96,,802,8672,
51065,050US51065,903.87,5276.3,,792.81,4628,
51079,050US51079,903.87,5276.3,,792.81,4628,
51109,050US51109,903.87,5276.3,,792.81,4628,
51113,050US51113,903.87,5276.3,,792.81,4628,
51137,050US51137,903.87,5276.3,,792.81,4628,
6061,050US06061,302.4,3988.93,,781,10302,
42077,050US42077,321.64,1756.99,,776,4239,
48041,050US48041,437.82,5167.36,,775,9147,
37097,050US37097,601.02,4575.86,,771,5870,
22059,050US22059,7864.48,74589.32,,766,7265,
22103,050US22103,448.69,4563.03,,766,7790,
28047,050US28047,565.16,4201.39,,765,5687,
51133,050US51133,3309.64,28983.68,,760.39,6659,
51159,050US51159,3309.64,28983.68,,760.39,6659,
51193,050US51193,3309.64,28983.68,,760.39,6659,
13097,050US13097,759.94,8718.16,,756,8673,
12017,050US12017,898.18,4622.94,,755,3886,
22055,050US22055,464.35,3847.32,,750,6214,
20091,050US20091,185.96,3035.82,,747,12195,
22057,050US22057,1204.02,3366.74,,746,2086,
42071,050US42071,217.82,1223.46,,744,4179,
27053,050US27053,88.65,3044.75,,743,25520,
48135,050US48135,713.26,7730.54,,742,8042,
12069,050US12069,310.38,3784.88,,736,8975,
29095,050US29095,157.9,1344.18,,735,6257,
51043,050US51043,544.58,4576.99,,732.34,6155,
51061,050US51061,544.58,4576.99,,732.34,6155,
51069,050US51069,544.58,4576.99,,732.34,6155,
51840,050US51840,544.58,4576.99,,732.34,6155,
17201,050US17201,417.27,4795.5,,731,8401,
42011,050US42011,262.88,1407.58,,725,3882,
18003,050US18003,288.69,4676.15,,718,11630,
12021,050US12021,338.15,4020.05,,717,8524,
