HEROP_ID,HivMinDis
140US01089001301,8.313024109
140US01089002000,11.36644376
140US01089002911,14.38937991
140US01089011400,25.7842767
140US01089010200,21.87444292
140US01089002801,12.30223431
140US01057020100,34.20045488
140US01057020000,22.99095109
140US01057020200,30.66971345
140US01111000200,22.05752587
140US01111000500,16.72056044
140US01039961800,4.83952271
140US01039961900,3.332167882
140US01039962900,15.35316331
140US01043964500,27.97360338
140US01043964400,31.10920984
140US01039963000,18.72100681
140US01033020802,42.65484046
140US01033020500,42.57244589
140US01035960600,21.51784811
140US01025957902,2.338727875
140US01049961200,33.29846126
140US01003011102,18.33191432
140US01003011300,18.77412003
140US01003010903,18.65629876
140US01003010904,29.05654678
140US01003011000,26.19042017
140US01053970100,37.05646391
140US01047956500,32.12391257
140US01055000300,1.76908563
140US01077010300,36.81876649
140US01077010800,33.77458538
140US01003010200,32.46709168
140US01003010500,26.41267261
140US01059973500,38.26764036
140US01059973100,47.85356164
140US01059973300,47.95066369
140US01049961000,25.98236541
140US01049961400,31.7571956
140US01077010100,35.88265313
140US01077010400,35.96450339
140US01077011000,34.69512894
140US01077011102,33.33149785
140US01077011200,36.98538549
140US01015000400,1.779263066
140US01013953300,28.34496714
140US01013952900,26.37674111
140US01015001202,2.695858575
140US01015000500,1.209850496
140US01015001300,2.974305938
140US01015002400,14.32015811
140US01015002300,19.56119935
140US01013953200,16.26684269
140US01009050400,25.98273552
140US01009050200,22.26970578
140US01117030701,8.044111945
140US01117030704,15.88152834
140US01017954600,14.26103064
140US01017953800,19.21478722
140US01101005700,20.6610249
140US01101005800,19.29620869
140US01101006000,7.6940878
140US01101000200,3.726179205
140US01101000600,3.388058088
140US01101001300,2.45165967
140US01101002300,2.577375632
140US01081041200,4.287133724
140US01081041400,1.092795061
140US01101002400,3.36524845
140US01101005606,3.427092044
140US01101000400,5.112603013
140US01101002600,5.423420871
140US01101001500,2.616525735
140US01101002800,1.851479976
140US01101005301,6.114023598
140US01041963600,6.478799658
140US01045020200,16.90276483
140US01045020500,15.37466322
140US01045020802,13.71722077
140US01031010500,19.83735257
140US01031010900,19.90176115
140US01031010100,15.34534317
140US01061050300,25.41914059
140US01061050500,9.309260664
140US01061050600,10.19754346
140US01087231800,1.991410498
140US01087231900,2.354248356
140US01087231500,5.336452236
140US01037961000,7.944136204
140US01067030500,10.11493286
140US01027958900,8.626161964
140US01123962000,6.658862295
140US01021060101,3.70801593
140US01021060500,18.76468859
140US01021060300,12.37241794
140US01109188900,4.102519218
140US01085781200,26.69009208
140US01109189300,11.34706629
140US01051031300,4.337513425
140US01051030500,22.17414914
140US01051030901,7.149830137
140US01051030200,21.54248962
140US01121010400,13.66867567
140US01121011700,23.2801507
140US01121010101,5.050890727
140US01121010302,22.82302111
140US01061050200,21.14264467
140US01113031100,24.3503645
140US01113030300,2.174381581
140US01113030700,2.228906801
140US01097001502,2.25397331
140US01097002200,1.50429874
140US01097002502,3.556433083
140US01097002800,1.943823516
140US01097003100,1.185667678
140US01097003501,2.194506242
140US01097003502,1.171654434
140US01097007000,4.390469298
140US01097007103,9.799429129
140US01097007102,6.920830932
140US01097007300,16.0518965
140US01097002000,1.876303158
140US01097005100,7.03679273
140US01097000401,5.125686619
140US01097000600,4.935556687
140US01097000901,4.389915946
140US01097001001,4.314393651
140US01069041800,18.9212317
140US01093964600,33.73373583
140US01069042100,10.56389447
140US01069041600,7.363231287
140US01005950100,33.22295342
140US01005950600,41.1486239
140US01029959700,12.04385373
140US01109189003,1.940895866
140US01109189002,2.010878112
140US01075030101,20.620195
140US01069041902,10.23212646
140US01069040206,2.417601415
140US01047956702,35.24193444
140US01047956201,38.67611565
140US01125010104,20.51380419
140US01125010707,8.646148516
140US01003011601,24.33248223
140US01125011901,1.723727885
140US01087231603,4.141245926
140US01125010205,7.083406023
140US01125012001,2.091086481
140US01015001201,0.956644533
140US01131035100,36.35420005
140US01125010704,10.04525125
140US01051030103,11.04328329
140US01117030212,6.588508371
140US01115040401,12.53891265
140US01051030102,12.79557541
140US01051031002,4.715117827
140US01127020801,7.044787851
140US01127020802,7.657706612
140US01103005106,17.89521942
140US01103005107,20.57164452
140US01051030702,15.16270089
140US01051030701,13.27850976
140US01001020902,11.56367599
140US01001020804,3.064051891
140US01117980000,5.661038207
140US01117030337,6.747537177
140US01117030320,4.357836688
140US01117030306,2.245241018
140US01117030316,6.668400476
140US01117030703,11.40154368
140US01117030331,5.188896416
140US01073011109,5.695887221
140US01073011110,10.34121647
140US01097006407,12.74413381
140US01097006501,8.100506845
140US01097007400,1.012924643
140US01097003706,2.533414283
140US01133965501,27.52341654
140US01013953500,21.08901448
140US01033020703,38.50783499
140US01073005909,3.366488925
140US01073011208,5.28062042
140US01073004901,0.507167808
140US01073010802,2.213794841
140US01073005800,0.466333176
140US01073014412,5.409317268
140US01073011301,9.828762601
140US01055000200,2.610506791
140US01055010100,4.306027282
140US01121010102,9.102909551
140US01121010700,20.53684433
140US01081042005,8.84434724
140US01081042003,9.961422953
140US01113030402,4.592067168
140US01113030500,3.969564702
140US01089002502,11.06211537
140US01089002722,15.2091749
140US01089011100,9.589488505
140US01045020400,18.28046175
140US01045020801,13.04761336
140US01025957601,24.34518393
140US01101005502,13.47958122
140US01123962200,3.292161231
140US01123962501,8.642177876
140US01089011203,8.030037587
140US01073011114,4.55471388
140US01073014414,6.118376705
140US01073012003,5.394302217
140US01073010806,1.869288581
140US01073012916,4.187672438
140US01073014107,16.52117863
140US01073011708,7.818774063
140US01073010807,2.502002347
140US01073011004,5.680768275
140US01073010605,5.408608901
140US01073012004,4.04666369
140US01073011304,6.66310142
140US01089011301,21.3425546
140US01089010303,19.95962749
140US01089010629,4.790128526
140US01089010627,5.466088451
140US01089011024,0.778710893
140US01089011302,20.33549727
140US01089010631,7.713904077
140US01089010904,18.92347749
140US01089002924,15.56751781
140US01089010905,17.95696154
140US01089011027,3.427403292
140US01089010705,14.39016633
140US01073014209,4.284635684
140US01073014207,9.408177668
140US01073014303,2.605134731
140US01073002402,1.059779544
140US01073012917,4.935018806
140US01117030346,6.574847385
140US01097006413,9.245039305
140US01117030219,3.195727602
140US01117030610,3.33068812
140US01117030503,6.305635672
140US01117030349,2.608932906
140US01117030221,6.470637005
140US01117030504,8.532017523
140US01103005305,18.1545184
140US01103005201,28.68346436
140US01103005703,17.17757998
140US01103005202,22.79473536
140US01097006305,13.02748113
140US01097005601,14.60786106
140US01097005602,12.89773188
140US01097006107,10.59149087
140US01097006201,19.74433186
140US01097003409,7.204769594
140US01097000801,3.817159245
140US01097006904,5.931867683
140US01097006307,8.990921172
140US01049960701,15.43358366
140US01049960402,30.51582079
140US01009050105,19.05058925
140US01009050701,14.46268285
140US01009050106,23.15970973
140US01049960602,19.78897497
140US01049960703,12.04358017
140US01049960401,35.39245607
140US01071950901,43.391108
140US01079979502,27.89628432
140US01015001501,5.460806749
140US01015001101,4.278888804
140US01019955801,12.46051441
140US01019956102,17.29098407
140US01055010201,1.0968864
140US01055010202,2.564766565
