GEOID,HEROP_ID,SmokeP
17031,050US17031,0.12
17033,050US17033,0.182
17035,050US17035,0.165
17037,050US17037,0.142
17039,050US17039,0.169
17041,050US17041,0.19
17043,050US17043,0.097
17045,050US17045,0.18
17047,050US17047,0.169
17049,050US17049,0.142
17051,050US17051,0.165
17053,050US17053,0.178
17055,050US17055,0.203
17057,050US17057,0.19
17059,050US17059,0.199
17061,050US17061,0.188
17063,050US17063,0.132
17065,050US17065,0.182
17067,050US17067,0.154
17069,050US17069,0.207
17071,050US17071,0.173
17073,050US17073,0.152
17075,050US17075,0.173
17077,050US17077,0.191
17079,050US17079,0.145
17081,050US17081,0.184
17083,050US17083,0.176
17085,050US17085,0.142
17087,050US17087,0.175
17089,050US17089,0.121
17091,050US17091,0.171
17093,050US17093,0.111
17095,050US17095,0.188
17097,050US17097,0.131
17099,050US17099,0.166
17101,050US17101,0.206
17103,050US17103,0.185
17105,050US17105,0.186
17107,050US17107,0.18
17109,050US17109,0.185
17111,050US17111,0.134
17113,050US17113,0.143
17115,050US17115,0.183
17117,050US17117,0.183
17119,050US17119,0.147
17121,050US17121,0.201
17123,050US17123,0.189
17125,050US17125,0.161
17127,050US17127,0.176
17129,050US17129,0.168
17131,050US17131,0.164
17133,050US17133,0.124
17135,050US17135,0.191
17137,050US17137,0.176
17139,050US17139,0.173
17141,050US17141,0.185
17143,050US17143,0.165
17145,050US17145,0.213
17147,050US17147,0.14
17149,050US17149,0.188
17151,050US17151,0.181
17153,050US17153,0.213
17155,050US17155,0.156
17157,050US17157,0.184
17159,050US17159,0.157
17161,050US17161,0.141
17163,050US17163,0.163
17165,050US17165,0.203
17167,050US17167,0.162
17169,050US17169,0.18
17171,050US17171,0.137
17173,050US17173,0.197
17175,050US17175,0.184
17177,050US17177,0.183
17179,050US17179,0.147
17181,050US17181,0.178
17183,050US17183,0.198
17185,050US17185,0.188
17187,050US17187,0.181
17189,050US17189,0.165
17191,050US17191,0.173
17193,050US17193,0.211
17195,050US17195,0.157
17197,050US17197,0.125
17199,050US17199,0.186
17201,050US17201,0.186
17203,050US17203,0.16
18001,050US18001,0.241
18003,050US18003,0.188
18005,050US18005,0.158
18007,050US18007,0.226
18009,050US18009,0.223
18011,050US18011,0.164
18013,050US18013,0.174
18015,050US18015,0.196
18017,050US18017,0.198
18019,050US18019,0.191
18021,050US18021,0.212
18023,050US18023,0.187
18025,050US18025,0.229
18027,050US18027,0.227
18029,050US18029,0.15
18031,050US18031,0.172
18033,050US18033,0.175
18035,050US18035,0.225
18037,050US18037,0.193
18039,050US18039,0.196
18041,050US18041,0.26
18043,050US18043,0.177
18045,050US18045,0.187
18047,050US18047,0.16
18049,050US18049,0.202
18051,050US18051,0.229
18053,050US18053,0.215
18055,050US18055,0.229
18057,050US18057,0.1
18059,050US18059,0.168
18061,050US18061,0.185
18063,050US18063,0.151
18065,050US18065,0.226
18067,050US18067,0.203
18069,050US18069,0.186
18071,050US18071,0.225
18073,050US18073,0.172
18075,050US18075,0.233
18077,050US18077,0.201
18079,050US18079,0.217
18081,050US18081,0.177
18083,050US18083,0.184
18085,050US18085,0.167
18087,050US18087,0.229
18089,050US18089,0.169
18091,050US18091,0.199
18093,050US18093,0.208
18095,050US18095,0.227
18097,050US18097,0.176
18099,050US18099,0.192
18101,050US18101,0.24
18103,050US18103,0.22
18105,050US18105,0.156
18107,050US18107,0.208
18109,050US18109,0.2
18111,050US18111,0.213
18113,050US18113,0.193
