HEROP_ID,ZIP,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
860US95038,95038,8.54,17.08,17.0,0.603177863
860US95039,95039,9.442143976010001,18.884287952020003,12.296557120000001,4.854147695965102
860US95041,95041,8.52,17.04,4.0,3.828999951
860US95043,95043,55.46,110.92,0.0,24.31388211
860US95044,95044,33.36,66.72,0.0,5.840957563
860US95045,95045,12.109995712670004,24.21999142534001,7.981075264018924,7.397336520928717
860US95046,95046,1.2115440385,2.423088077,16.935121423000002,1.6777587548962198
860US95050,95050,4.29524879374,8.59049758748,28.79414125,1.7153966489530725
860US95051,95051,6.8731663871599995,13.746332774319999,27.993538748,2.9700768485699376
860US95052,95052,3.32,6.64,29.0,1.172645443
860US95053,95053,,,,
860US95054,95054,7.2785871149200005,14.557174229840001,31.302211893,3.162624557739682
860US95055,95055,7.29,14.58,27.0,3.215873421
860US95056,95056,8.2,16.4,31.0,3.298994115
860US95060,95060,4.423223301283223,8.846446602566447,4.751454736751454,1.7975987478205215
860US95061,95061,0.0,0.0,6.0,0.138772209
860US95062,95062,3.744888087334888,7.489776174669776,4.294823968294824,0.8281380239543523
860US95063,95063,2.54,5.08,5.0,0.903947001
860US95064,95064,5.609255535279999,11.218511070559998,4.523138832,1.7930696013139644
860US95065,95065,6.12969487249,12.25938974498,4.53504532,2.330085443482722
860US95066,95066,8.527973216752025,17.05594643350405,9.028492220971506,5.268641384113412
860US95067,95067,10.54,21.08,10.0,6.972218646
860US95070,95070,9.282196186850001,18.564392373700002,24.046259542,3.163841876255841
860US95071,95071,9.25,18.5,24.0,2.51728234
860US95073,95073,5.3507891581600004,10.701578316320001,4.855549838,4.019254813672013
860US95075,95075,55.46,110.92,0.0,24.31388211
860US95076,95076,5.67118542786,11.34237085572,9.776365587999999,2.7119853904984934
860US95077,95077,4.49,8.98,12.0,0.099982125
860US95101,95101,,,,
860US95103,95103,3.28,6.56,31.0,1.029438689
860US95106,95106,3.28,6.56,31.0,1.029438689
860US95108,95108,3.28,6.56,31.0,1.029438689
860US95109,95109,3.28,6.56,31.0,1.029438689
860US95110,95110,3.31279719515,6.6255943903,30.119104173,0.7626263554461294
860US95111,95111,4.15717947291,8.31435894582,24.878211342,1.6222607228125987
860US95112,95112,2.509408380670591,5.018816761341182,30.011387980988612,0.5525347225704695
860US95113,95113,2.77086977472087,5.54173954944174,30.737145602737144,0.6460185362351555
860US95116,95116,2.306326996396327,4.612653992792654,29.383678700383676,0.5657083174839935
860US95117,95117,3.4598450494901547,6.919690098980309,25.798301673201696,1.1103124766878916
860US95118,95118,6.78294959930705,13.5658991986141,26.0,2.7223848421086867
860US95119,95119,1.19944916365,2.3988983273,22.59021879,0.7620348776746088
860US95120,95120,11.36690820399,22.73381640798,22.163353552,4.3302222327299456
860US95121,95121,3.279443943429444,6.558887886858888,25.438310708438312,1.478594929869518
860US95122,95122,2.109354720650645,4.21870944130129,27.752530514247464,0.7768028551477459
860US95123,95123,5.038084990058085,10.07616998011617,24.778557508778558,2.2464525370321384
860US95124,95124,4.137855025077855,8.27571005015571,26.411626739411627,1.8063415646094907
860US95125,95125,4.0630366229,8.1260732458,26.142311886999998,0.9257028272198227
860US95126,95126,1.8553167210593668,3.7106334421187337,28.08156145783688,0.5257379809515207
860US95127,95127,3.273752868987506,6.547505737975012,26.281299242562596,0.9243468849551807
860US95128,95128,1.76666995131,3.53333990262,26.460177539,0.7122198621574786
860US95129,95129,5.95431959017568,11.90863918035136,26.45354096654646,2.512368023962174
860US95130,95130,3.814966757385033,7.629933514770066,25.14294094585706,1.2687706777764332
860US95131,95131,1.8616125806716124,3.723225161343225,29.35556891135557,0.8353881658721843
860US95132,95132,3.91729918245,7.8345983649,27.397786879999998,1.7871323254596063
860US95133,95133,2.35730991252,4.71461982504,28.364989369000003,0.6882309882447253
860US95134,95134,5.43427498217,10.86854996434,32.0,2.3013382756754526
860US95135,95135,8.34202391529,16.68404783058,21.41661191,3.4436966078600406
860US95136,95136,6.095521044698958,12.191042089397916,25.481769075036464,2.5456841867967923
860US95138,95138,3.3092601840599998,6.6185203681199996,23.325918594,1.2701988513738076
860US95139,95139,2.0083527330200006,4.016705466040001,21.339301700000004,1.0492626630668342
860US95140,95140,13.19304054038,26.38608108076,15.891891892,3.7502047181975944
860US95141,95141,11.77526315543,23.55052631086,10.052631583,4.586453111050281
860US95148,95148,5.900678840138643,11.801357680277286,24.095612477808775,2.2743468618748843
860US95150,95150,2.73,5.46,25.0,1.085527197
860US95151,95151,2.7,5.4,27.0,0.68093128
860US95152,95152,3.84,7.68,27.0,1.953289971
860US95153,95153,5.9,11.8,25.0,3.114256577
860US95154,95154,3.09,6.18,26.0,1.721999108
860US95155,95155,2.29,4.58,25.0,0.764395463
860US95156,95156,3.89,7.78,27.0,1.167972084
860US95157,95157,3.35,6.7,26.0,1.120240263
860US95158,95158,6.25,12.5,26.0,2.047591462
860US95159,95159,2.46,4.92,27.0,0.547214512
860US95160,95160,10.6,21.2,25.0,4.645724073
860US95161,95161,0.0,0.0,31.0,0.111997917
860US95164,95164,3.46,6.92,32.0,1.186429428
860US95170,95170,3.35,6.7,26.0,1.120240263
860US95172,95172,2.21,4.42,30.0,0.498297881
860US95173,95173,3.06,6.12,26.0,1.035955382
860US95191,95191,,,,
860US95192,95192,,,,
860US95196,95196,,,,
860US95201,95201,1.57,3.14,4.0,0.557572382
860US95202,95202,0.83730759771,1.67461519542,4.0,0.41043503036495255
860US95203,95203,3.06996172356,6.13992344712,3.186387087,1.5144553919930492
860US95204,95204,3.35905417201,6.71810834402,2.208585581,1.4951206060785032
860US95205,95205,4.13432988011866,8.26865976023732,4.43370517986741,1.2993908269270122
860US95206,95206,6.157997089032002,12.315994178064004,4.231213292768786,2.3307207294727723
860US95207,95207,5.8294073787605925,11.658814757521185,2.0,2.56609712433095
860US95208,95208,2.71,5.42,3.0,0.800319069
860US95209,95209,9.806836937956838,19.613673875913676,2.0544460790544465,5.226667123638771
860US95210,95210,7.04417194115,14.0883438823,2.001522314,3.2537153229891183
860US95211,95211,,,,
860US95212,95212,9.6743069108,19.3486138216,2.634420329,4.574584211859601
860US95213,95213,7.59,15.18,5.0,0.955583604
860US95215,95215,10.227132293092867,20.454264586185733,3.6902880443097112,4.526152469638265
860US95219,95219,10.261057158989999,20.522114317979998,2.006218607,5.175411744438856
860US95220,95220,21.74182041216,43.48364082432,9.901599022,16.00414432378448
860US95221,95221,,,,
860US95222,95222,23.55559844497,47.11119688994,2.5150097459999996,9.538884590506278
860US95223,95223,27.152134903282136,54.30426980656427,0.7331378297331378,17.025158648365203
860US95224,95224,23.961367520270002,47.922735040540005,0.905982906,15.552860995887471
860US95225,95225,39.05166666647,78.10333333294,0.0,12.890939697508234
860US95226,95226,38.56,77.12,0.0,9.578185693
860US95227,95227,27.558646616479997,55.117293232959994,1.015037594,16.485712696862116
860US95228,95228,3.0212391686399998,6.0424783372799995,1.0,2.3341324513763766
860US95229,95229,27.79,55.58,1.0,11.26466227
860US95230,95230,24.158681669291322,48.317363338582645,1.6977491963022509,11.773895820119721
860US95231,95231,7.7095173758,15.4190347516,5.03957529,1.0717839562103486
860US95232,95232,33.21,66.42,0.0,16.87499511
860US95233,95233,,,,
860US95234,95234,,,,
860US95236,95236,23.538274807191726,47.07654961438345,1.9667282800332717,13.271901293715691
860US95237,95237,21.422788544910002,42.845577089820004,2.818028643,15.077840564601381
860US95240,95240,15.26776888675777,30.53553777351554,7.388556407388556,10.573691408793492
860US95241,95241,16.29,32.58,8.0,11.03144082
860US95242,95242,17.82863494706,35.65726989412,4.944696791,10.540631520682975
860US95245,95245,27.55048163811,55.10096327622,0.714828897,8.468942850035
860US95246,95246,4.581210925481211,9.162421850962422,0.890624999890625,8.87309102970749
860US95247,95247,25.784736840100003,51.569473680200005,1.0,12.385258116383755
860US95248,95248,33.21,66.42,0.0,16.87499511
860US95249,95249,22.862467769737528,45.724935539475055,1.0061387359938614,5.4384794651381165
860US95251,95251,27.21447916775,54.4289583355,1.354166666,11.060459952676048
860US95252,95252,35.53712883174,71.07425766348,0.370577281,10.2371307161439
860US95253,95253,23.14953191376,46.29906382752,2.7914893640000003,15.332817796506705
860US95254,95254,38.63577981653,77.27155963306,0.0,10.088775301347944
860US95255,95255,33.21,66.42,0.0,16.87499511
860US95257,95257,33.21,66.42,0.0,16.87499511
860US95258,95258,21.31909512064,42.63819024128,4.36693979,13.148336494446514
860US95267,95267,5.25,10.5,2.0,2.216878021
860US95269,95269,5.93,11.86,2.0,2.871945338
860US95301,95301,27.61532123859,55.23064247718,0.979402537,3.09038932790852
860US95303,95303,28.077755910570005,56.15551182114001,3.826771652,7.566504012422982
860US95304,95304,23.02179907491,46.04359814982,3.767836482,13.012718194821284
860US95305,95305,24.1375,48.275,0.0,18.94563364875
860US95306,95306,32.941946306430005,65.88389261286001,0.004474273,10.605630090347637
860US95307,95307,9.426717367043281,18.853434734086562,4.0,3.9172535172146907
860US95309,95309,25.5,51.0,2.0,9.821142577
860US95310,95310,12.425906031999999,24.851812063999997,1.89261745,5.373355090952467
860US95311,95311,22.357975710399998,44.715951420799996,1.012955466,14.887987623791737
860US95312,95312,33.1085714264,66.2171428528,0.12244898,3.0235625642840023
860US95313,95313,38.02950617767,76.05901235534,2.0,16.611846435178585
860US95315,95315,23.35901616428,46.71803232856,4.0,9.479795550284532
860US95316,95316,21.63499276928499,43.26998553856998,3.596470928596471,11.847040875116965
860US95317,95317,30.95,61.9,0.0,8.428749115
860US95318,95318,69.88465517895,139.7693103579,0.0,24.74903157403594
860US95319,95319,4.39553216543,8.79106433086,4.0,1.9307400769022245
860US95320,95320,18.2010531421,36.4021062842,5.173447539,9.745379285281718
860US95321,95321,23.3097749617,46.6195499234,0.010763209000000001,19.32622732091649
860US95322,95322,49.074542190520006,98.14908438104001,0.0,26.57797763398211
