"HEROP_ID","GEOID","TotTracts","RxCtTmDr","RxCtTmDr2","RxTmDrP","RxTmDrP2","RxAvTmDr","RxAvTmDr2"
"050US01129","01129",5,5,2,100,40,10.65,21.3
"050US01131","01131",5,3,1,60,20,22.48,44.96
"050US01133","01133",8,7,5,87.5,62.5,11.57,23.13
"050US02013","02013",1,0,0,0,0,NA,NA
"050US02016","02016",2,0,0,0,0,NA,NA
"050US02020","02020",61,60,58,98.36,95.08,3.74,7.48
"050US02050","02050",3,0,0,0,0,NA,NA
"050US02060","02060",1,0,0,0,0,NA,NA
"050US02063","02063",2,1,1,50,50,0,0
"050US02066","02066",1,1,1,100,100,0,0
"050US02068","02068",1,0,0,0,0,NA,NA
"050US02070","02070",2,0,0,0,0,NA,NA
"050US02090","02090",22,18,17,81.82,77.27,9.92,19.85
"050US02100","02100",1,0,0,0,0,NA,NA
"050US02105","02105",1,0,0,0,0,NA,NA
"050US02110","02110",6,4,4,66.67,66.67,15.98,31.96
"050US02122","02122",14,7,4,50,28.57,29.66,59.32
"050US02130","02130",5,4,4,80,80,19.19,38.38
"050US02150","02150",5,0,0,0,0,NA,NA
"050US02158","02158",1,0,0,0,0,NA,NA
"050US02164","02164",1,0,0,0,0,NA,NA
"050US02170","02170",24,18,14,75,58.33,18.5,37.01
"050US02180","02180",2,0,0,0,0,NA,NA
"050US02185","02185",3,0,0,0,0,NA,NA
"050US02188","02188",2,0,0,0,0,NA,NA
"050US02195","02195",1,0,0,0,0,NA,NA
"050US02198","02198",4,1,1,25,25,32.16,64.31
"050US02220","02220",2,2,2,100,100,5.43,10.86
"050US02230","02230",1,0,0,0,0,NA,NA
"050US02240","02240",2,0,0,0,0,89.12,178.24
"050US02275","02275",1,1,1,100,100,0,0
"050US02282","02282",1,0,0,0,0,NA,NA
"050US02290","02290",4,0,0,0,0,NA,NA
"050US04001","04001",18,4,3,22.22,16.67,46.49,92.98
"050US04003","04003",38,27,21,71.05,55.26,21.06,42.12
"050US04005","04005",39,26,23,66.67,58.97,19.53,39.07
"050US04007","04007",16,12,6,75,37.5,25.42,50.84
"050US04009","04009",9,6,6,66.67,66.67,14.48,28.96
"050US04011","04011",3,1,1,33.33,33.33,20.28,40.56
"050US04012","04012",12,7,3,58.33,25,29.77,59.54
"050US04013","04013",1009,1000,984,99.11,97.52,2.51,5.03
"050US04015","04015",66,60,53,90.91,80.3,10.6,21.2
"050US04017","04017",37,14,10,37.84,27.03,36.45,72.9
"050US04019","04019",270,266,256,98.52,94.81,4.37,8.75
"050US04021","04021",95,88,77,92.63,81.05,8.82,17.64
"050US04023","04023",14,12,10,85.71,71.43,12.77,25.55
"050US04025","04025",72,63,53,87.5,73.61,12.14,24.28
"050US04027","04027",67,63,59,94.03,88.06,8.86,17.71
"050US05001","05001",8,8,5,100,62.5,10.11,20.22
"050US05003","05003",7,7,5,100,71.43,7.84,15.68
"050US05005","05005",10,10,9,100,90,7.92,15.83
"050US05007","05007",57,57,52,100,91.23,5.5,11.01
"050US05009","05009",7,7,4,100,57.14,9.68,19.37
"050US05011","05011",5,4,2,80,40,17.95,35.9
"050US05013","05013",2,2,1,100,50,10.98,21.97
"050US05015","05015",8,8,6,100,75,8.56,17.12
"050US05017","05017",4,4,4,100,100,1.74,3.48
"050US05019","05019",6,6,4,100,66.67,11.04,22.07
"050US05021","05021",6,6,4,100,66.67,9.12,18.23
"050US05023","05023",9,8,5,88.89,55.56,11.71,23.42
"050US05025","05025",2,2,1,100,50,14.06,28.12
"050US05027","05027",7,7,4,100,57.14,11.22,22.44
"050US05029","05029",6,6,2,100,33.33,14.4,28.79
"050US05031","05031",22,22,21,100,95.45,4.23,8.45
"050US05033","05033",15,13,9,86.67,60,13.98,27.95
"050US05035","05035",20,20,16,100,80,6.87,13.74
"050US05037","05037",6,6,5,100,83.33,7.08,14.15
"050US05039","05039",3,1,1,33.33,33.33,22.33,44.67
"050US05041","05041",5,4,4,80,80,9.27,18.53
"050US05043","05043",5,5,4,100,80,9.74,19.48
"050US05045","05045",28,28,25,100,89.29,4.29,8.58
"050US05047","05047",5,5,3,100,60,9.43,18.87
"050US05049","05049",4,4,2,100,50,10.19,20.38
"050US05051","05051",30,30,29,100,96.67,4.65,9.3
"050US05053","05053",5,5,5,100,100,5.93,11.86
"050US05055","05055",12,12,9,100,75,7.55,15.1
"050US05057","05057",7,7,6,100,85.71,6.48,12.97
"050US05059","05059",9,9,7,100,77.78,8.25,16.49
"050US05061","05061",3,3,3,100,100,3.34,6.68
"050US05063","05063",10,6,4,60,40,20.07,40.15
"050US05065","05065",4,4,3,100,75,5.86,11.71
"050US05067","05067",6,6,3,100,50,13.29,26.58
"050US05069","05069",24,24,21,100,87.5,6.53,13.05
"050US05071","05071",6,6,5,100,83.33,7.84,15.68
"050US05073","05073",3,3,2,100,66.67,12.7,25.41
"050US05075","05075",6,6,4,100,66.67,8.46,16.92
"050US05077","05077",4,4,1,100,25,13.86,27.73
"050US05079","05079",4,4,3,100,75,12.63,25.26
"050US05081","05081",6,6,2,100,33.33,17.23,34.47
"050US05083","05083",6,6,5,100,83.33,6.83,13.66
"050US05085","05085",18,18,14,100,77.78,7.57,15.13
"050US05087","05087",4,4,1,100,25,16.35,32.7
"050US05089","05089",5,4,2,80,40,14.96,29.91
"050US05091","05091",14,14,11,100,78.57,8.74,17.48
"050US05093","05093",14,14,12,100,85.71,4.42,8.83
"050US05095","05095",3,2,1,66.67,33.33,19.14,38.28
"050US05097","05097",3,2,1,66.67,33.33,17.36,34.73
"050US05099","05099",3,3,1,100,33.33,18.32,36.64
"050US05101","05101",2,1,1,50,50,23.42,46.85
"050US05103","05103",8,8,6,100,75,8.53,17.06
"050US05105","05105",3,2,1,66.67,33.33,19.97,39.95
"050US05107","05107",7,6,6,85.71,85.71,7.93,15.86
"050US05109","05109",3,3,2,100,66.67,7.19,14.37
"050US05111","05111",8,8,8,100,100,2.08,4.15
"050US05113","05113",7,6,3,85.71,42.86,13.61,27.21
"050US05115","05115",17,17,16,100,94.12,4.76,9.51
"050US05117","05117",3,3,2,100,66.67,6.92,13.84
"050US05119","05119",107,107,104,100,97.2,2.71,5.43
"050US05121","05121",5,4,2,80,40,12.64,25.28
"050US05123","05123",7,7,6,100,85.71,7.08,14.16
"050US05125","05125",30,30,28,100,93.33,5.5,11
"050US05127","05127",3,3,2,100,66.67,6.59,13.19
"050US05129","05129",3,2,1,66.67,33.33,17.51,35.03
"050US05131","05131",31,31,29,100,93.55,3.11,6.22
"050US05133","05133",4,4,4,100,100,5.67,11.34
"050US05135","05135",6,5,4,83.33,66.67,13.46,26.92
"050US05137","05137",4,4,1,100,25,15.91,31.81
"050US05139","05139",12,12,10,100,83.33,5.21,10.41
"050US05141","05141",6,5,4,83.33,66.67,15.29,30.57
"050US05143","05143",54,54,51,100,94.44,3.25,6.51
"050US05145","05145",19,19,14,100,73.68,8.65,17.31
"050US05147","05147",2,2,2,100,100,0,0
"050US05149","05149",6,5,3,83.33,50,10.86,21.72
"050US06001","06001",378,378,376,100,99.47,2.14,4.28
"050US06003","06003",1,0,0,0,0,48.34,96.68
"050US06005","06005",10,8,5,80,50,18.33,36.65
"050US06007","06007",54,52,46,96.3,85.19,7.34,14.68
"050US06009","06009",14,12,8,85.71,57.14,13.25,26.51
"050US06011","06011",6,5,3,83.33,50,16.7,33.39
"050US06013","06013",241,240,239,99.59,99.17,2.97,5.94
"050US06015","06015",8,7,6,87.5,75,9.43,18.85
"050US06017","06017",55,50,44,90.91,80,9.81,19.62
"050US06019","06019",225,221,215,98.22,95.56,3.78,7.55
"050US06021","06021",8,8,6,100,75,6.36,12.73
"050US06023","06023",35,27,23,77.14,65.71,19.02,38.04
"050US06025","06025",40,37,34,92.5,85,7.16,14.32
"050US06027","06027",6,4,3,66.67,50,8.77,17.54
"050US06029","06029",236,229,219,97.03,92.8,4.14,8.28
"050US06031","06031",31,30,28,96.77,90.32,5.1,10.2
"050US06033","06033",21,19,14,90.48,66.67,12.85,25.71
"050US06035","06035",9,6,3,66.67,33.33,26.44,52.89
"050US06037","06037",2495,2493,2485,99.92,99.6,1.57,3.14
"050US06039","06039",34,33,29,97.06,85.29,7.48,14.95
"050US06041","06041",62,61,59,98.39,95.16,4.72,9.44
"050US06043","06043",6,3,1,50,16.67,32.56,65.12
"050US06045","06045",23,20,15,86.96,65.22,16.97,33.94
"050US06047","06047",63,63,58,100,92.06,4.23,8.46
"050US06049","06049",4,2,1,50,25,30.7,61.41
"050US06051","06051",4,2,2,50,50,22,44
"050US06053","06053",103,98,93,95.15,90.29,5.91,11.82
"050US06055","06055",40,38,37,95,92.5,5.58,11.15
"050US06057","06057",26,25,22,96.15,84.62,10.19,20.37
"050US06059","06059",613,613,612,100,99.84,1.49,2.98
"050US06061","06061",92,91,84,98.91,91.3,5.95,11.9
"050US06063","06063",7,6,3,85.71,42.86,16.58,33.15
"050US06065","06065",518,515,495,99.42,95.56,3.38,6.77
"050US06067","06067",363,363,359,100,98.9,2.55,5.11
"050US06069","06069",12,11,11,91.67,91.67,7.57,15.13
"050US06071","06071",466,459,443,98.5,95.06,3.87,7.74
"050US06073","06073",736,730,725,99.18,98.51,2.93,5.86
"050US06075","06075",242,241,241,99.59,99.59,1.3,2.61
"050US06077","06077",174,174,173,100,99.43,3.05,6.11
"050US06079","06079",69,64,63,92.75,91.3,6.05,12.1
"050US06081","06081",173,172,171,99.42,98.84,2.27,4.54
"050US06083","06083",108,107,103,99.07,95.37,4.13,8.27
"050US06085","06085",408,408,405,100,99.26,2.15,4.3
"050US06087","06087",69,69,67,100,97.1,3.83,7.67
"050US06089","06089",50,44,42,88,84,8.7,17.41
"050US06091","06091",1,0,0,0,0,45.28,90.56
"050US06093","06093",16,8,5,50,31.25,29.01,58.01
"050US06095","06095",100,100,98,100,98,3.11,6.22
"050US06097","06097",121,118,110,97.52,90.91,5.47,10.94
"050US06099","06099",112,111,108,99.11,96.43,3.33,6.65
"050US06101","06101",21,21,20,100,95.24,4.15,8.3
"050US06103","06103",14,11,9,78.57,64.29,16.43,32.87
"050US06105","06105",4,1,1,25,25,30.79,61.58
"050US06107","06107",103,101,95,98.06,92.23,5.46,10.91
"050US06109","06109",18,14,11,77.78,61.11,18.42,36.84
"050US06111","06111",189,187,185,98.94,97.88,2.59,5.17
"050US06113","06113",53,52,52,98.11,98.11,3.55,7.11
"050US06115","06115",19,17,14,89.47,73.68,10.96,21.91
"050US08001","08001",107,107,104,100,97.2,3.14,6.28
"050US08003","08003",5,5,4,100,80,9.93,19.86
"050US08005","08005",161,161,159,100,98.76,2.07,4.14
"050US08007","08007",5,1,1,20,20,38.53,77.07
"050US08009","08009",2,2,2,100,100,6.08,12.15
"050US08011","08011",2,2,1,100,50,10.75,21.5
"050US08013","08013",78,76,72,97.44,92.31,4.94,9.87
"050US08014","08014",24,24,24,100,100,2.71,5.43
"050US08015","08015",6,6,5,100,83.33,7.25,14.5
"050US08017","08017",1,1,1,100,100,0,0
"050US08019","08019",4,4,0,100,0,20.35,40.7
"050US08021","08021",2,0,0,0,0,46.97,93.94
"050US08023","08023",2,0,0,0,0,54.13,108.26
"050US08025","08025",2,1,1,50,50,20.95,41.91
"050US08027","08027",2,2,1,100,50,12.87,25.74
"050US08029","08029",9,6,1,66.67,11.11,27.75,55.5
"050US08031","08031",178,178,178,100,100,1.77,3.55
"050US08033","08033",1,0,0,0,0,76.59,153.18
"050US08035","08035",72,71,66,98.61,91.67,4.95,9.89
"050US08037","08037",16,14,11,87.5,68.75,13.84,27.68
"050US08039","08039",7,5,1,71.43,14.29,26.52,53.04
"050US08041","08041",167,166,159,99.4,95.21,4.18,8.37
"050US08043","08043",15,13,12,86.67,80,10.74,21.48
"050US08045","08045",12,8,4,66.67,33.33,25.41,50.82
"050US08047","08047",2,0,0,0,0,34.65,69.29
"050US08049","08049",6,3,2,50,33.33,29.55,59.1
"050US08051","08051",6,0,0,0,0,69.88,139.75
"050US08053","08053",1,0,0,0,0,NA,NA
"050US08055","08055",3,1,1,33.33,33.33,18.16,36.31
"050US08057","08057",1,0,0,0,0,55.89,111.78
"050US08059","08059",146,145,139,99.32,95.21,3.75,7.5
"050US08061","08061",1,1,1,100,100,0,0
"050US08063","08063",2,2,1,100,50,13.66,27.32
"050US08065","08065",3,3,3,100,100,5.51,11.03
"050US08067","08067",12,9,6,75,50,18.84,37.67
"050US08069","08069",86,82,77,95.35,89.53,6.73,13.46
"050US08071","08071",6,3,3,50,50,24.36,48.72
"050US08073","08073",2,1,1,50,50,24.82,49.64
"050US08075","08075",7,7,4,100,57.14,11.14,22.27
"050US08077","08077",33,31,31,93.94,93.94,4.91,9.82
"050US08079","08079",1,0,0,0,0,87.23,174.46
"050US08081","08081",4,0,0,0,0,49.41,98.81
"050US08083","08083",8,7,4,87.5,50,13.95,27.91
"050US08085","08085",12,9,8,75,66.67,16.48,32.97
"050US08087","08087",8,8,7,100,87.5,8.74,17.49
"050US08089","08089",7,7,5,100,71.43,9.12,18.25
"050US08091","08091",2,0,0,0,0,30.81,61.62
"050US08093","08093",6,0,0,0,0,42.01,84.02
"050US08095","08095",2,0,0,0,0,33.93,67.86
"050US08097","08097",6,4,3,66.67,50,20.83,41.66
"050US08099","08099",5,4,4,80,80,9.39,18.79
"050US08101","08101",58,55,53,94.83,91.38,5.25,10.5
"050US08103","08103",2,0,0,0,0,73.33,146.66
"050US08105","08105",4,3,2,75,50,13.87,27.74
"050US08107","08107",10,6,6,60,60,19.86,39.72
"050US08109","08109",2,0,0,0,0,44.94,89.87
"050US08111","08111",1,0,0,0,0,54.27,108.54
"050US08113","08113",4,0,0,0,0,78.89,157.78
"050US08115","08115",1,1,1,100,100,0,0
"050US08117","08117",12,11,6,91.67,50,15.86,31.71
"050US08119","08119",8,7,3,87.5,37.5,17.25,34.51
"050US08121","08121",2,1,1,50,50,16.9,33.79
"050US08123","08123",83,82,80,98.8,96.39,4.99,9.98
"050US08125","08125",2,1,1,50,50,19.98,39.95
"050US09001","09001",226,0,0,0,0,NA,NA
"050US09003","09003",235,0,0,0,0,NA,NA
"050US09005","09005",52,0,0,0,0,NA,NA
"050US09007","09007",40,0,0,0,0,NA,NA
"050US09009","09009",198,0,0,0,0,NA,NA
"050US09011","09011",66,0,0,0,0,NA,NA
"050US09013","09013",32,0,0,0,0,NA,NA
"050US09015","09015",30,0,0,0,0,NA,NA
"050US10001","10001",41,41,41,100,100,4.83,9.66
"050US10003","10003",144,144,144,100,100,1.97,3.95
"050US10005","10005",74,73,73,98.65,98.65,4.05,8.11
"050US11001","11001",206,206,206,100,100,0.98,1.97
"050US12001","12001",58,58,53,100,91.38,4.88,9.75
"050US12003","12003",4,4,2,100,50,13.01,26.02
"050US12005","12005",49,48,43,97.96,87.76,5.76,11.51
"050US12007","12007",6,6,4,100,66.67,9.08,18.16
"050US12009","12009",147,146,143,99.32,97.28,3.43,6.85
"050US12011","12011",416,415,414,99.76,99.52,1.55,3.1
"050US12013","12013",4,4,2,100,50,14.61,29.22
"050US12015","12015",46,46,43,100,93.48,4.78,9.56
"050US12017","12017",41,41,39,100,95.12,5.74,11.48
"050US12019","12019",45,45,41,100,91.11,5.76,11.53
"050US12021","12021",108,105,101,97.22,93.52,3.84,7.69
"050US12023","12023",13,12,10,92.31,76.92,8.58,17.16
"050US12027","12027",9,9,6,100,66.67,10.81,21.62
"050US12029","12029",5,5,3,100,60,11.19,22.39
"050US12031","12031",218,218,216,100,99.08,2.55,5.1
"050US12033","12033",78,78,76,100,97.44,3.41,6.83
"050US12035","12035",23,23,22,100,95.65,5.44,10.87
"050US12037","12037",5,3,2,60,40,20.48,40.96
"050US12039","12039",10,10,9,100,90,7.47,14.94
"050US12041","12041",5,5,3,100,60,12.55,25.09
"050US12043","12043",5,2,0,40,0,36.21,72.41
"050US12045","12045",5,4,3,80,60,12.01,24.02
"050US12047","12047",6,6,5,100,83.33,8.88,17.76
"050US12049","12049",8,8,6,100,75,10.62,21.23
"050US12051","12051",10,9,4,90,40,16.95,33.9
"050US12053","12053",46,46,44,100,95.65,4.09,8.18
"050US12055","12055",35,35,29,100,82.86,8.14,16.28
"050US12057","12057",333,333,330,100,99.1,2.3,4.59
"050US12059","12059",7,7,4,100,57.14,13.78,27.56
"050US12061","12061",44,44,42,100,95.45,3.47,6.94
"050US12063","12063",13,13,11,100,84.62,8.13,16.26
"050US12065","12065",5,5,2,100,40,13.82,27.64
"050US12067","12067",3,3,2,100,66.67,11.69,23.39
"050US12069","12069",75,75,69,100,92,5.23,10.47
"050US12071","12071",222,221,218,99.55,98.2,3.66,7.33
"050US12073","12073",79,79,75,100,94.94,4.7,9.4
"050US12075","12075",12,11,8,91.67,66.67,12.76,25.51
"050US12077","12077",4,4,1,100,25,17.44,34.88
"050US12079","12079",5,5,5,100,100,7.12,14.24
"050US12081","12081",93,92,90,98.92,96.77,3.17,6.35
"050US12083","12083",93,93,76,100,81.72,6.95,13.9
"050US12085","12085",42,42,37,100,88.1,4.95,9.9
"050US12086","12086",706,705,702,99.86,99.43,1.48,2.96
"050US12087","12087",28,27,27,96.43,96.43,1.91,3.82
"050US12089","12089",23,23,19,100,82.61,7.1,14.21
"050US12091","12091",48,48,44,100,91.67,5.2,10.39
"050US12093","12093",12,11,9,91.67,75,9.48,18.96
"050US12095","12095",267,267,266,100,99.63,2.34,4.68
"050US12097","12097",59,57,57,96.61,96.61,3.66,7.31
"050US12099","12099",372,369,367,99.19,98.66,2.22,4.44
"050US12101","12101",130,130,129,100,99.23,2.71,5.43
"050US12103","12103",273,273,273,100,100,1.7,3.39
"050US12105","12105",174,174,166,100,95.4,5.51,11.02
"050US12107","12107",17,17,11,100,64.71,10.69,21.38
"050US12109","12109",50,50,49,100,98,4.09,8.19
"050US12111","12111",67,67,65,100,97.01,3.67,7.35
"050US12113","12113",36,36,34,100,94.44,6.29,12.57
"050US12115","12115",122,122,122,100,100,2.84,5.69
"050US12117","12117",89,88,87,98.88,97.75,2.31,4.62
"050US12119","12119",28,27,25,96.43,89.29,7.2,14.39
"050US12121","12121",11,11,4,100,36.36,14.1,28.2
"050US12123","12123",7,7,6,100,85.71,6.54,13.07
"050US12125","12125",4,4,3,100,75,7.39,14.78
"050US12127","12127",129,129,127,100,98.45,3.51,7.02
"050US12129","12129",8,7,5,87.5,62.5,13.57,27.14
"050US12131","12131",20,19,14,95,70,9.88,19.75
"050US12133","12133",7,6,4,85.71,57.14,15.11,30.21
"050US13001","13001",7,7,5,100,71.43,10.65,21.31
"050US13003","13003",3,3,3,100,100,3.94,7.88
"050US13005","13005",3,3,1,100,33.33,13.73,27.47
"050US13007","13007",2,2,0,100,0,22.87,45.74
"050US13009","13009",14,14,13,100,92.86,6.69,13.39
"050US13011","13011",4,4,4,100,100,4.81,9.62
"050US13013","13013",18,18,18,100,100,6.59,13.19
"050US13015","13015",28,28,26,100,92.86,7.07,14.13
"050US13017","13017",6,6,5,100,83.33,7.85,15.71
"050US13019","13019",6,6,4,100,66.67,10.47,20.93
"050US13021","13021",48,48,48,100,100,2.9,5.79
"050US13023","13023",4,4,4,100,100,5.44,10.87
"050US13025","13025",5,5,2,100,40,11.29,22.58
"050US13027","13027",6,6,5,100,83.33,8.18,16.36
"050US13029","13029",9,9,6,100,66.67,8.74,17.48
"050US13031","13031",20,20,18,100,90,6.45,12.89
"050US13033","13033",7,7,3,100,42.86,13.13,26.25
"050US13035","13035",5,5,5,100,100,6.79,13.58
"050US13037","13037",2,2,1,100,50,8.09,16.17
"050US13039","13039",16,15,11,93.75,68.75,10.67,21.34
"050US13043","13043",3,3,1,100,33.33,11.77,23.55
"050US13045","13045",28,28,27,100,96.43,5.72,11.43
"050US13047","13047",15,15,15,100,100,4.55,9.11
"050US13049","13049",3,3,2,100,66.67,5.04,10.08
"050US13051","13051",87,86,86,98.85,98.85,3.43,6.86
"050US13053","13053",5,5,4,100,80,7.33,14.66
"050US13055","13055",9,9,7,100,77.78,8.83,17.66
"050US13057","13057",56,56,56,100,100,4.78,9.55
"050US13059","13059",34,34,34,100,100,1.97,3.95
"050US13061","13061",1,1,1,100,100,0,0
"050US13063","13063",70,70,70,100,100,3.34,6.67
"050US13065","13065",2,2,1,100,50,14.04,28.07
"050US13067","13067",186,186,186,100,100,2.78,5.56
"050US13069","13069",12,12,8,100,66.67,10.26,20.52
"050US13071","13071",15,15,13,100,86.67,7.3,14.6
"050US13073","13073",25,25,24,100,96,4.79,9.58
"050US13075","13075",5,5,5,100,100,9.64,19.27
"050US13077","13077",27,27,26,100,96.3,4.77,9.54
"050US13079","13079",3,3,2,100,66.67,9.64,19.29
"050US13081","13081",6,6,6,100,100,6.33,12.67
"050US13083","13083",5,5,5,100,100,5.29,10.58
"050US13085","13085",7,7,6,100,85.71,10.06,20.11
"050US13087","13087",8,8,7,100,87.5,7.96,15.92
"050US13089","13089",203,203,203,100,100,2.47,4.93
"050US13091","13091",7,7,7,100,100,7.53,15.05
"050US13093","13093",3,3,2,100,66.67,9.39,18.77
"050US13095","13095",29,29,27,100,93.1,4.02,8.04
"050US13097","13097",31,31,31,100,100,3.91,7.82
"050US13099","13099",5,5,4,100,80,6.72,13.43
"050US13101","13101",2,1,1,50,50,22.63,45.27
"050US13103","13103",16,16,15,100,93.75,6.7,13.39
"050US13105","13105",6,6,3,100,50,11.35,22.7
"050US13107","13107",9,9,6,100,66.67,8.68,17.36
"050US13109","13109",3,3,2,100,66.67,6.62,13.23
"050US13111","13111",5,5,3,100,60,13.07,26.14
"050US13113","13113",24,24,24,100,100,3.15,6.31
"050US13115","13115",26,26,25,100,96.15,4.86,9.72
"050US13117","13117",48,48,48,100,100,4.06,8.12
"050US13119","13119",8,8,8,100,100,6.54,13.07
"050US13121","13121",327,326,326,99.69,99.69,2.49,4.97
"050US13123","13123",8,8,5,100,62.5,12.67,25.33
"050US13125","13125",1,1,0,100,0,26.41,52.82
"050US13127","13127",25,25,24,100,96,4.91,9.81
"050US13129","13129",15,15,15,100,100,6.54,13.07
"050US13131","13131",8,8,4,100,50,11.94,23.87
"050US13133","13133",8,8,8,100,100,7.32,14.64
"050US13135","13135",220,220,220,100,100,2.88,5.76
"050US13137","13137",11,11,10,100,90.91,6.88,13.77
"050US13139","13139",50,50,50,100,100,3.74,7.49
"050US13141","13141",2,2,1,100,50,10.53,21.05
"050US13143","13143",8,8,8,100,100,4.52,9.05
"050US13145","13145",7,7,3,100,42.86,12.77,25.55
"050US13147","13147",10,10,10,100,100,8.55,17.1
"050US13149","13149",3,3,1,100,33.33,13.99,27.97
"050US13151","13151",59,59,59,100,100,4.84,9.69
"050US13153","13153",38,38,36,100,94.74,3.42,6.83
"050US13155","13155",3,3,3,100,100,8.71,17.41
"050US13157","13157",17,17,17,100,100,5.49,10.98
"050US13159","13159",5,5,4,100,80,6.85,13.7
"050US13161","13161",5,5,3,100,60,9.28,18.56
"050US13163","13163",4,4,4,100,100,3.52,7.04
"050US13165","13165",2,2,0,100,0,18.22,36.43
"050US13167","13167",4,4,4,100,100,8.29,16.58
"050US13169","13169",9,9,9,100,100,7.29,14.58
"050US13171","13171",4,4,4,100,100,6.42,12.85
"050US13173","13173",3,3,2,100,66.67,9.59,19.19
"050US13175","13175",14,14,12,100,85.71,7.33,14.65
"050US13177","13177",8,8,6,100,75,9.02,18.03
"050US13179","13179",17,17,15,100,88.24,7.87,15.73
"050US13181","13181",2,2,1,100,50,10.38,20.76
"050US13183","13183",5,5,2,100,40,13.51,27.03
"050US13185","13185",29,29,29,100,100,4.88,9.76
"050US13187","13187",8,8,6,100,75,9.75,19.49
"050US13189","13189",6,6,6,100,100,6.69,13.38
"050US13191","13191",7,6,1,85.71,14.29,19.86,39.71
"050US13193","13193",4,4,1,100,25,12.96,25.91
"050US13195","13195",7,7,7,100,100,6.97,13.95
"050US13197","13197",2,2,1,100,50,11.06,22.13
"050US13199","13199",7,7,4,100,57.14,9.97,19.93
