"HEROP_ID","GEOID","OtpCtTmDr","OtpCtTmDr2","OtpTmDrP","OtpTmDrP2","OtpAvTmDr","OtpAvTmDr2"
"050US06023","06023",25,16,71.43,45.71,25.58,51.15
"050US06025","06025",34,26,85,65,13.12,26.23
"050US06027","06027",0,0,0,0,NA,NA
"050US06029","06029",196,171,83.05,72.46,16.36,32.73
"050US06031","06031",22,0,70.97,0,31.42,62.85
"050US06033","06033",0,0,0,0,55.82,111.64
"050US06035","06035",0,0,0,0,74.74,149.49
"050US06037","06037",2489,2447,99.76,98.08,5.08,10.16
"050US06039","06039",23,0,67.65,0,29.43,58.85
"050US06041","06041",58,49,93.55,79.03,13.12,26.25
"050US06043","06043",0,0,0,0,55.69,111.39
"050US06045","06045",12,6,52.17,26.09,37.14,74.28
"050US06047","06047",48,35,76.19,55.56,17.44,34.88
"050US06049","06049",0,0,0,0,NA,NA
"050US06051","06051",0,0,0,0,NA,NA
"050US06053","06053",87,42,84.47,40.78,20.25,40.5
"050US06055","06055",34,8,85,20,21.24,42.49
"050US06057","06057",2,0,7.69,0,40.91,81.83
"050US06059","06059",613,602,100,98.21,7.39,14.77
"050US06061","06061",77,54,83.7,58.7,17.29,34.59
"050US06063","06063",0,0,0,0,72.41,144.82
"050US06065","06065",502,423,96.91,81.66,11.07,22.15
"050US06067","06067",362,341,99.72,93.94,7.39,14.78
"050US06069","06069",11,0,91.67,0,30.06,60.11
"050US06071","06071",406,361,87.12,77.47,13.79,27.58
"050US06073","06073",728,652,98.91,88.59,9,18
"050US06075","06075",241,241,99.59,99.59,3.07,6.14
"050US06077","06077",174,139,100,79.89,7.64,15.27
"050US06079","06079",62,16,89.86,23.19,20.67,41.34
"050US06081","06081",172,153,99.42,88.44,10.89,21.79
"050US06083","06083",92,80,85.19,74.07,12.97,25.93
"050US06085","06085",406,396,99.51,97.06,8.26,16.51
"050US06087","06087",67,58,97.1,84.06,10.63,21.26
"050US06089","06089",42,35,84,70,16.44,32.88
"050US06091","06091",0,0,0,0,65.68,131.36
