"HEROP_ID","GEOID","TotTracts","SutCtTmDr","SutCtTmDr2","SutTmDrP","SutTmDrP2","SutAvTmDr","SutAvTmDr2"
"050US02105","02105",1,0,0,0,0,NA,NA
"050US02110","02110",6,0,0,0,0,NA,NA
"050US02122","02122",14,4,1,28.57,7.14,34.43,68.85
"050US02130","02130",5,0,0,0,0,NA,NA
"050US02150","02150",5,0,0,0,0,NA,NA
"050US02158","02158",1,0,0,0,0,NA,NA
"050US02164","02164",1,0,0,0,0,NA,NA
"050US02170","02170",24,0,0,0,0,NA,NA
"050US02180","02180",2,0,0,0,0,NA,NA
"050US02185","02185",3,0,0,0,0,NA,NA
"050US02188","02188",2,0,0,0,0,NA,NA
"050US02195","02195",1,0,0,0,0,NA,NA
"050US02198","02198",4,0,0,0,0,NA,NA
"050US02220","02220",2,0,0,0,0,NA,NA
"050US02230","02230",1,0,0,0,0,NA,NA
"050US02240","02240",2,0,0,0,0,NA,NA
"050US02275","02275",1,0,0,0,0,NA,NA
"050US02282","02282",1,0,0,0,0,NA,NA
"050US02290","02290",4,0,0,0,0,NA,NA
"050US04001","04001",18,0,0,0,0,NA,NA
"050US04003","04003",38,0,0,0,0,75.02,150.03
"050US04005","04005",39,0,0,0,0,NA,NA
"050US04007","04007",16,0,0,0,0,85.02,170.05
"050US04009","04009",9,0,0,0,0,NA,NA
"050US04011","04011",3,0,0,0,0,NA,NA
"050US04012","04012",12,0,0,0,0,NA,NA
"050US04013","04013",1009,794,459,78.69,45.49,15.32,30.63
"050US04015","04015",66,0,0,0,0,74.18,148.35
"050US04017","04017",37,0,0,0,0,NA,NA
"050US04019","04019",270,232,96,85.93,35.56,20.25,40.49
"050US04021","04021",95,28,0,29.47,0,38.54,77.07
"050US04023","04023",14,0,0,0,0,68.02,136.03
"050US04025","04025",72,41,19,56.94,26.39,25.98,51.96
"050US04027","04027",67,0,0,0,0,NA,NA
"050US05001","05001",8,0,0,0,0,NA,NA
"050US05003","05003",7,0,0,0,0,NA,NA
"050US05005","05005",10,0,0,0,0,NA,NA
"050US05007","05007",57,0,0,0,0,58.43,116.86
"050US05009","05009",7,0,0,0,0,59.92,119.83
"050US05011","05011",5,0,0,0,0,NA,NA
"050US05013","05013",2,0,0,0,0,NA,NA
"050US05015","05015",8,5,2,62.5,25,23.72,47.44
"050US05017","05017",4,0,0,0,0,NA,NA
"050US05019","05019",6,0,0,0,0,NA,NA
"050US05021","05021",6,0,0,0,0,NA,NA
"050US05023","05023",9,0,0,0,0,NA,NA
"050US05025","05025",2,0,0,0,0,NA,NA
"050US05027","05027",7,0,0,0,0,NA,NA
"050US05029","05029",6,0,0,0,0,NA,NA
"050US05031","05031",22,0,0,0,0,76.94,153.89
"050US05033","05033",15,0,0,0,0,NA,NA
"050US05035","05035",20,14,1,70,5,24.06,48.12
"050US05037","05037",6,0,0,0,0,69.81,139.62
"050US05039","05039",3,0,0,0,0,NA,NA
"050US05041","05041",5,0,0,0,0,NA,NA
"050US05043","05043",5,0,0,0,0,NA,NA
"050US05045","05045",28,0,0,0,0,NA,NA
"050US05047","05047",5,0,0,0,0,NA,NA
"050US05049","05049",4,0,0,0,0,NA,NA
"050US05051","05051",30,0,0,0,0,NA,NA
"050US05053","05053",5,0,0,0,0,NA,NA
"050US05055","05055",12,0,0,0,0,NA,NA
"050US05057","05057",7,0,0,0,0,NA,NA
"050US05059","05059",9,0,0,0,0,NA,NA
"050US05061","05061",3,0,0,0,0,NA,NA
"050US05063","05063",10,0,0,0,0,NA,NA
"050US05065","05065",4,0,0,0,0,NA,NA
"050US05067","05067",6,0,0,0,0,NA,NA
"050US05069","05069",24,0,0,0,0,NA,NA
"050US05071","05071",6,0,0,0,0,NA,NA
"050US05073","05073",3,0,0,0,0,NA,NA
"050US05075","05075",6,0,0,0,0,NA,NA
"050US05077","05077",4,0,0,0,0,73.96,147.91
"050US05079","05079",4,0,0,0,0,NA,NA
"050US05081","05081",6,0,0,0,0,NA,NA
"050US05083","05083",6,0,0,0,0,NA,NA
"050US05085","05085",18,0,0,0,0,NA,NA
"050US05087","05087",4,0,0,0,0,57.68,115.36
"050US05089","05089",5,0,0,0,0,83.34,166.68
"050US05091","05091",14,0,0,0,0,NA,NA
"050US05093","05093",14,0,0,0,0,67,134.01
"050US05095","05095",3,0,0,0,0,77.17,154.34
"050US05097","05097",3,0,0,0,0,NA,NA
"050US05099","05099",3,0,0,0,0,NA,NA
"050US05101","05101",2,0,0,0,0,75.54,151.08
"050US05103","05103",8,0,0,0,0,NA,NA
"050US05105","05105",3,0,0,0,0,NA,NA
"050US05107","05107",7,0,0,0,0,NA,NA
"050US05109","05109",3,0,0,0,0,NA,NA
"050US05111","05111",8,0,0,0,0,60.95,121.9
"050US05113","05113",7,0,0,0,0,NA,NA
"050US05115","05115",17,0,0,0,0,NA,NA
"050US05117","05117",3,0,0,0,0,NA,NA
"050US05119","05119",107,0,0,0,0,NA,NA
"050US05121","05121",5,0,0,0,0,NA,NA
"050US05123","05123",7,0,0,0,0,52.27,104.54
"050US05125","05125",30,0,0,0,0,NA,NA
"050US05127","05127",3,0,0,0,0,NA,NA
"050US05129","05129",3,0,0,0,0,NA,NA
"050US05131","05131",31,0,0,0,0,NA,NA
"050US05133","05133",4,0,0,0,0,NA,NA
"050US05135","05135",6,0,0,0,0,NA,NA
"050US05137","05137",4,0,0,0,0,NA,NA
"050US05139","05139",12,0,0,0,0,NA,NA
"050US05141","05141",6,0,0,0,0,NA,NA
"050US05143","05143",54,0,0,0,0,68.44,136.88
"050US05145","05145",19,0,0,0,0,NA,NA
"050US05147","05147",2,0,0,0,0,NA,NA
"050US05149","05149",6,0,0,0,0,NA,NA
"050US06001","06001",378,270,7,71.43,1.85,25.88,51.76
"050US06003","06003",1,0,0,0,0,89.95,179.9
"050US06005","06005",10,0,0,0,0,65.85,131.7
"050US06007","06007",54,0,0,0,0,77.23,154.46
"050US06009","06009",14,0,0,0,0,81.71,163.42
"050US06011","06011",6,0,0,0,0,76.12,152.24
"050US06013","06013",241,69,0,28.63,0,37.31,74.63
"050US06015","06015",8,0,0,0,0,NA,NA
"050US06017","06017",55,13,0,23.64,0,49.12,98.23
"050US06019","06019",225,0,0,0,0,76.77,153.55
"050US06021","06021",8,0,0,0,0,NA,NA
"050US06023","06023",35,0,0,0,0,NA,NA
"050US06025","06025",40,0,0,0,0,NA,NA
"050US06027","06027",6,0,0,0,0,NA,NA
"050US06029","06029",236,0,0,0,0,83.44,166.87
"050US06031","06031",31,0,0,0,0,NA,NA
"050US06033","06033",21,0,0,0,0,59.04,118.07
"050US06035","06035",9,0,0,0,0,75.77,151.54
"050US06037","06037",2495,2319,1373,92.95,55.03,15.87,31.75
"050US06039","06039",34,0,0,0,0,NA,NA
"050US06041","06041",62,46,6,74.19,9.68,25.21,50.42
"050US06043","06043",6,0,0,0,0,NA,NA
"050US06045","06045",23,12,6,52.17,26.09,36.33,72.66
"050US06047","06047",63,0,0,0,0,76.28,152.56
"050US06049","06049",4,0,0,0,0,NA,NA
"050US06051","06051",4,0,0,0,0,NA,NA
"050US06053","06053",103,10,5,9.71,4.85,49.04,98.07
"050US06055","06055",40,0,0,0,0,56.71,113.43
"050US06057","06057",26,1,0,3.85,0,42.19,84.38
"050US06059","06059",613,135,0,22.02,0,35.16,70.32
"050US06061","06061",92,80,54,86.96,58.7,17.92,35.85
"050US06063","06063",7,0,0,0,0,72.04,144.09
"050US06065","06065",518,218,5,42.08,0.97,37.01,74.02
"050US06067","06067",363,253,23,69.7,6.34,26.34,52.67
"050US06069","06069",12,0,0,0,0,38.96,77.91
"050US06071","06071",466,329,274,70.6,58.8,19.87,39.74
"050US06073","06073",736,428,183,58.15,24.86,25.49,50.99
"050US06075","06075",242,241,241,99.59,99.59,5.44,10.88
"050US06077","06077",174,0,0,0,0,66.38,132.76
"050US06079","06079",69,0,0,0,0,72.65,145.3
"050US06081","06081",173,144,39,83.24,22.54,22.5,45
"050US06083","06083",108,0,0,0,0,83.98,167.97
"050US06085","06085",408,402,201,98.53,49.26,15.45,30.9
"050US06087","06087",69,0,0,0,0,41.64,83.28
"050US06089","06089",50,0,0,0,0,NA,NA
"050US06091","06091",1,0,0,0,0,67.39,134.78
"050US06093","06093",16,0,0,0,0,NA,NA
"050US06095","06095",100,0,0,0,0,47.81,95.62
"050US06097","06097",121,0,0,0,0,55.3,110.61
"050US06099","06099",112,0,0,0,0,85.8,171.6
"050US06101","06101",21,0,0,0,0,48.48,96.96
"050US06103","06103",14,0,0,0,0,NA,NA
"050US06105","06105",4,0,0,0,0,NA,NA
"050US06107","06107",103,0,0,0,0,NA,NA
"050US06109","06109",18,0,0,0,0,NA,NA
"050US06111","06111",189,70,1,37.04,0.53,35.14,70.29
"050US06113","06113",53,5,0,9.43,0,40.68,81.36
"050US06115","06115",19,0,0,0,0,45.47,90.94
"050US08001","08001",107,105,66,98.13,61.68,15.08,30.17
"050US08003","08003",5,0,0,0,0,NA,NA
"050US08005","08005",161,161,93,100,57.76,13.06,26.12
"050US08007","08007",5,0,0,0,0,NA,NA
"050US08009","08009",2,0,0,0,0,NA,NA
"050US08011","08011",2,0,0,0,0,NA,NA
"050US08013","08013",78,75,40,96.15,51.28,17.62,35.25
"050US08014","08014",24,24,24,100,100,7.42,14.85
"050US08015","08015",6,0,0,0,0,NA,NA
"050US08017","08017",1,0,0,0,0,NA,NA
"050US08019","08019",4,0,0,0,0,41.84,83.69
"050US08021","08021",2,0,0,0,0,NA,NA
"050US08023","08023",2,0,0,0,0,NA,NA
"050US08025","08025",2,0,0,0,0,NA,NA
"050US08027","08027",2,0,0,0,0,NA,NA
"050US08029","08029",9,0,0,0,0,NA,NA
"050US08031","08031",178,178,166,100,93.26,7.77,15.53
"050US08033","08033",1,0,0,0,0,NA,NA
"050US08035","08035",72,64,27,88.89,37.5,20.24,40.49
"050US08037","08037",16,0,0,0,0,NA,NA
"050US08039","08039",7,0,0,0,0,44.23,88.46
"050US08041","08041",167,159,114,95.21,68.26,13.33,26.65
"050US08043","08043",15,0,0,0,0,61.25,122.5
"050US08045","08045",12,0,0,0,0,NA,NA
"050US08047","08047",2,0,0,0,0,50.53,101.06
"050US08049","08049",6,0,0,0,0,82.72,165.45
"050US08051","08051",6,0,0,0,0,NA,NA
"050US08053","08053",1,0,0,0,0,NA,NA
"050US08055","08055",3,0,0,0,0,87.61,175.22
"050US08057","08057",1,0,0,0,0,NA,NA
"050US08059","08059",146,136,105,93.15,71.92,14.5,29.01
"050US08061","08061",1,0,0,0,0,NA,NA
"050US08063","08063",2,0,0,0,0,NA,NA
"050US08065","08065",3,0,0,0,0,NA,NA
"050US08067","08067",12,0,0,0,0,NA,NA
"050US08069","08069",86,1,0,1.16,0,44.71,89.42
"050US08071","08071",6,0,0,0,0,NA,NA
"050US08073","08073",2,0,0,0,0,76.5,153.01
"050US08075","08075",7,0,0,0,0,NA,NA
"050US08077","08077",33,0,0,0,0,NA,NA
"050US08079","08079",1,0,0,0,0,NA,NA
"050US08081","08081",4,0,0,0,0,NA,NA
"050US08083","08083",8,0,0,0,0,NA,NA
"050US08085","08085",12,0,0,0,0,NA,NA
"050US08087","08087",8,0,0,0,0,75.8,151.6
"050US08089","08089",7,0,0,0,0,81.54,163.08
"050US08091","08091",2,0,0,0,0,NA,NA
"050US08093","08093",6,0,0,0,0,55.28,110.55
"050US08095","08095",2,0,0,0,0,NA,NA
"050US08097","08097",6,0,0,0,0,NA,NA
"050US08099","08099",5,0,0,0,0,NA,NA
"050US08101","08101",58,0,0,0,0,50.53,101.05
"050US08103","08103",2,0,0,0,0,NA,NA
"050US08105","08105",4,0,0,0,0,NA,NA
"050US08107","08107",10,0,0,0,0,NA,NA
"050US08109","08109",2,0,0,0,0,NA,NA
"050US08111","08111",1,0,0,0,0,NA,NA
"050US08113","08113",4,0,0,0,0,NA,NA
"050US08115","08115",1,0,0,0,0,NA,NA
"050US08117","08117",12,0,0,0,0,77.54,155.07
"050US08119","08119",8,0,0,0,0,46.5,93
"050US08121","08121",2,0,0,0,0,85.32,170.64
"050US08123","08123",83,25,1,30.12,1.2,39.72,79.44
"050US08125","08125",2,0,0,0,0,NA,NA
"050US09001","09001",226,0,0,0,0,NA,NA
"050US09003","09003",235,0,0,0,0,NA,NA
"050US09005","09005",52,0,0,0,0,NA,NA
"050US09007","09007",40,0,0,0,0,NA,NA
"050US09009","09009",198,0,0,0,0,NA,NA
"050US09011","09011",66,0,0,0,0,NA,NA
"050US09013","09013",32,0,0,0,0,NA,NA
"050US09015","09015",30,0,0,0,0,NA,NA
"050US10001","10001",41,0,0,0,0,81.07,162.15
"050US10003","10003",144,0,0,0,0,46.26,92.52
"050US10005","10005",74,0,0,0,0,83.59,167.17
"050US11001","11001",206,206,75,100,36.41,15.92,31.84
"050US12001","12001",58,0,0,0,0,76.14,152.28
"050US12003","12003",4,0,0,0,0,38.67,77.34
"050US12005","12005",49,0,0,0,0,NA,NA
"050US12007","12007",6,0,0,0,0,50.4,100.81
"050US12009","12009",147,0,0,0,0,88.3,176.59
"050US12011","12011",416,411,276,98.8,66.35,12.83,25.66
"050US12013","12013",4,0,0,0,0,NA,NA
"050US12015","12015",46,3,0,6.52,0,45.32,90.65
"050US12017","12017",41,0,0,0,0,79.49,158.97
"050US12019","12019",45,25,0,55.56,0,32.05,64.1
"050US12021","12021",108,6,0,5.56,0,41.25,82.51
"050US12023","12023",13,0,0,0,0,69.08,138.16
"050US12027","12027",9,0,0,0,0,59.43,118.85
"050US12029","12029",5,0,0,0,0,NA,NA
"050US12031","12031",218,218,154,100,70.64,11.79,23.58
"050US12033","12033",78,0,0,0,0,NA,NA
"050US12035","12035",23,0,0,0,0,62.85,125.7
"050US12037","12037",5,0,0,0,0,NA,NA
"050US12039","12039",10,0,0,0,0,NA,NA
"050US12041","12041",5,0,0,0,0,NA,NA
"050US12043","12043",5,0,0,0,0,70.68,141.37
"050US12045","12045",5,0,0,0,0,NA,NA
"050US12047","12047",6,0,0,0,0,84.06,168.12
"050US12049","12049",8,0,0,0,0,69.9,139.8
"050US12051","12051",10,0,0,0,0,60.16,120.31
"050US12053","12053",46,0,0,0,0,56.8,113.59
"050US12055","12055",35,0,0,0,0,82.83,165.67
"050US12057","12057",333,323,169,97,50.75,15.65,31.3
"050US12059","12059",7,0,0,0,0,NA,NA
"050US12061","12061",44,0,0,0,0,72.36,144.71
"050US12063","12063",13,0,0,0,0,NA,NA
"050US12065","12065",5,0,0,0,0,NA,NA
"050US12067","12067",3,0,0,0,0,NA,NA
"050US12069","12069",75,0,0,0,0,77.41,154.82
"050US12071","12071",222,204,104,91.89,46.85,16.94,33.89
"050US12073","12073",79,0,0,0,0,NA,NA
"050US12075","12075",12,0,0,0,0,NA,NA
"050US12077","12077",4,0,0,0,0,NA,NA
"050US12079","12079",5,0,0,0,0,NA,NA
"050US12081","12081",93,0,0,0,0,44.47,88.94
"050US12083","12083",93,0,0,0,0,86.46,172.92
"050US12085","12085",42,3,0,7.14,0,37.48,74.96
"050US12086","12086",706,601,384,85.13,54.39,17.82,35.64
"050US12087","12087",28,0,0,0,0,76.86,153.72
"050US12089","12089",23,7,0,30.43,0,36.47,72.94
"050US12091","12091",48,0,0,0,0,NA,NA
"050US12093","12093",12,0,0,0,0,70.67,141.34
"050US12095","12095",267,0,0,0,0,78.4,156.8
"050US12097","12097",59,0,0,0,0,71.03,142.06
"050US12099","12099",372,354,296,95.16,79.57,10.98,21.96
"050US12101","12101",130,24,0,18.46,0,40.56,81.13
"050US12103","12103",273,236,98,86.45,35.9,19.23,38.46
"050US12105","12105",174,14,0,8.05,0,46.1,92.19
"050US12107","12107",17,0,0,0,0,70.38,140.75
"050US12109","12109",50,17,0,34,0,36.64,73.27
"050US12111","12111",67,0,0,0,0,50.72,101.44
"050US12113","12113",36,0,0,0,0,NA,NA
"050US12115","12115",122,0,0,0,0,56.57,113.14
"050US12117","12117",89,0,0,0,0,87.7,175.4
"050US12119","12119",28,0,0,0,0,73.7,147.4
"050US12121","12121",11,0,0,0,0,80.45,160.89
"050US12123","12123",7,0,0,0,0,NA,NA
"050US12125","12125",4,0,0,0,0,54.12,108.24
"050US12127","12127",129,0,0,0,0,83.07,166.15
"050US12129","12129",8,0,0,0,0,NA,NA
"050US12131","12131",20,0,0,0,0,NA,NA
"050US12133","12133",7,0,0,0,0,NA,NA
"050US13001","13001",7,0,0,0,0,NA,NA
"050US13003","13003",3,0,0,0,0,NA,NA
"050US13005","13005",3,0,0,0,0,NA,NA
"050US13007","13007",2,0,0,0,0,NA,NA
"050US13009","13009",14,0,0,0,0,73.25,146.5
"050US13011","13011",4,4,0,100,0,25.14,50.27
"050US13013","13013",18,18,17,100,94.44,10.04,20.09
"050US13015","13015",28,1,0,3.57,0,43.7,87.39
"050US13017","13017",6,0,0,0,0,NA,NA
"050US13019","13019",6,0,0,0,0,NA,NA
"050US13021","13021",48,0,0,0,0,85.5,171.01
"050US13023","13023",4,0,0,0,0,NA,NA
"050US13025","13025",5,0,0,0,0,78.49,156.98
"050US13027","13027",6,0,0,0,0,NA,NA
"050US13029","13029",9,0,0,0,0,NA,NA
"050US13031","13031",20,0,0,0,0,NA,NA
"050US13033","13033",7,0,0,0,0,NA,NA
"050US13035","13035",5,0,0,0,0,48.73,97.47
"050US13037","13037",2,0,0,0,0,NA,NA
"050US13039","13039",16,0,0,0,0,44.73,89.45
"050US13043","13043",3,0,0,0,0,NA,NA
"050US13045","13045",28,0,0,0,0,52.25,104.5
"050US13047","13047",15,14,2,93.33,13.33,20.41,40.82
"050US13049","13049",3,0,0,0,0,54.13,108.26
"050US13051","13051",87,0,0,0,0,NA,NA
"050US13053","13053",5,0,0,0,0,NA,NA
"050US13055","13055",9,0,0,0,0,57.3,114.6
"050US13057","13057",56,21,0,37.5,0,33.53,67.05
"050US13059","13059",34,34,33,100,97.06,6.3,12.6
"050US13061","13061",1,0,0,0,0,NA,NA
"050US13063","13063",70,14,0,20,0,34.6,69.19
"050US13065","13065",2,0,0,0,0,NA,NA
"050US13067","13067",186,186,75,100,40.32,16.34,32.67
"050US13069","13069",12,0,0,0,0,NA,NA
"050US13071","13071",15,0,0,0,0,NA,NA
"050US13073","13073",25,0,0,0,0,82.02,164.04
"050US13075","13075",5,0,0,0,0,NA,NA
"050US13077","13077",27,0,0,0,0,45.99,91.99
"050US13079","13079",3,0,0,0,0,NA,NA
"050US13081","13081",6,0,0,0,0,NA,NA
"050US13083","13083",5,2,0,40,0,28.81,57.62
"050US13085","13085",7,0,0,0,0,52.26,104.53
"050US13087","13087",8,0,0,0,0,NA,NA
"050US13089","13089",203,136,0,67,0,27.31,54.62
"050US13091","13091",7,0,0,0,0,NA,NA
"050US13093","13093",3,0,0,0,0,NA,NA
"050US13095","13095",29,0,0,0,0,NA,NA
"050US13097","13097",31,18,0,58.06,0,28.68,57.37
"050US13099","13099",5,0,0,0,0,NA,NA
"050US13101","13101",2,0,0,0,0,NA,NA
"050US13103","13103",16,0,0,0,0,NA,NA
"050US13105","13105",6,6,3,100,50,11.35,22.7
"050US13107","13107",9,0,0,0,0,NA,NA
"050US13109","13109",3,0,0,0,0,NA,NA
"050US13111","13111",5,0,0,0,0,74.63,149.26
"050US13113","13113",24,0,0,0,0,41.69,83.38
"050US13115","13115",26,0,0,0,0,67.82,135.64
"050US13117","13117",48,0,0,0,0,41.59,83.17
"050US13119","13119",8,2,0,25,0,34.4,68.8
"050US13121","13121",327,283,36,86.54,11.01,21.82,43.64
"050US13123","13123",8,0,0,0,0,71.59,143.18
"050US13125","13125",1,0,0,0,0,NA,NA
"050US13127","13127",25,0,0,0,0,70.75,141.51
"050US13129","13129",15,0,0,0,0,55.08,110.16
"050US13131","13131",8,0,0,0,0,NA,NA
"050US13133","13133",8,0,0,0,0,46.47,92.93
"050US13135","13135",220,148,0,67.27,0,27.91,55.82
"050US13137","13137",11,11,2,100,18.18,21.49,42.98
"050US13139","13139",50,17,0,34,0,31.98,63.96
"050US13141","13141",2,0,0,0,0,80.76,161.52
"050US13143","13143",8,0,0,0,0,55.84,111.69
"050US13145","13145",7,0,0,0,0,NA,NA
"050US13147","13147",10,7,0,70,0,25.84,51.68
"050US13149","13149",3,0,0,0,0,71.43,142.85
"050US13151","13151",59,0,0,0,0,45.83,91.67
"050US13153","13153",38,0,0,0,0,NA,NA
"050US13155","13155",3,0,0,0,0,NA,NA
"050US13157","13157",17,17,11,100,64.71,13.34,26.68
"050US13159","13159",5,0,0,0,0,39.24,78.47
"050US13161","13161",5,0,0,0,0,NA,NA
"050US13163","13163",4,0,0,0,0,NA,NA
"050US13165","13165",2,0,0,0,0,NA,NA
"050US13167","13167",4,0,0,0,0,NA,NA
"050US13169","13169",9,0,0,0,0,76.22,152.44
"050US13171","13171",4,0,0,0,0,75.68,151.36
"050US13173","13173",3,0,0,0,0,NA,NA
"050US13175","13175",14,0,0,0,0,NA,NA
"050US13177","13177",8,0,0,0,0,NA,NA
"050US13179","13179",17,0,0,0,0,NA,NA
"050US13181","13181",2,0,0,0,0,54.16,108.33
"050US13183","13183",5,0,0,0,0,NA,NA
"050US13185","13185",29,0,0,0,0,NA,NA
"050US13187","13187",8,2,0,25,0,36.01,72.03
"050US13189","13189",6,0,0,0,0,67.53,135.07
"050US13191","13191",7,0,0,0,0,85.02,170.04
"050US13193","13193",4,0,0,0,0,NA,NA
"050US13195","13195",7,6,3,85.71,42.86,19.38,38.76
"050US13197","13197",2,0,0,0,0,NA,NA
"050US13199","13199",7,0,0,0,0,NA,NA
"050US13201","13201",3,0,0,0,0,NA,NA
"050US13205","13205",7,0,0,0,0,NA,NA
"050US13207","13207",5,0,0,0,0,71.85,143.7
"050US13209","13209",3,0,0,0,0,NA,NA
"050US13211","13211",6,4,0,66.67,0,26.24,52.49
"050US13213","13213",10,0,0,0,0,53.77,107.54
"050US13215","13215",59,0,0,0,0,NA,NA
"050US13217","13217",22,15,0,68.18,0,27.45,54.9
"050US13219","13219",11,11,5,100,45.45,16.03,32.05
"050US13221","13221",6,5,1,83.33,16.67,22.77,45.54
"050US13223","13223",33,12,0,36.36,0,32.25,64.5
"050US13225","13225",8,0,0,0,0,NA,NA
"050US13227","13227",9,0,0,0,0,55.02,110.03
"050US13229","13229",6,0,0,0,0,88.84,177.68
"050US13231","13231",5,0,0,0,0,72.02,144.04
"050US13233","13233",8,0,0,0,0,56.08,112.16
"050US13235","13235",4,0,0,0,0,NA,NA
"050US13237","13237",8,0,0,0,0,54.39,108.78
"050US13239","13239",1,0,0,0,0,NA,NA
"050US13241","13241",8,0,0,0,0,50.48,100.96
"050US13243","13243",2,0,0,0,0,NA,NA
"050US13245","13245",56,0,0,0,0,85.89,171.78
"050US13247","13247",24,7,0,29.17,0,32.68,65.36
"050US13249","13249",2,0,0,0,0,NA,NA
"050US13251","13251",6,0,0,0,0,NA,NA
"050US13253","13253",3,0,0,0,0,NA,NA
"050US13255","13255",17,0,0,0,0,60.46,120.92
"050US13257","13257",8,0,0,0,0,42.14,84.28
"050US13259","13259",2,0,0,0,0,NA,NA
"050US13261","13261",8,0,0,0,0,NA,NA
"050US13263","13263",3,0,0,0,0,NA,NA
"050US13265","13265",1,0,0,0,0,61.21,122.42
"050US13267","13267",7,0,0,0,0,NA,NA
"050US13269","13269",4,0,0,0,0,NA,NA
"050US13271","13271",5,0,0,0,0,NA,NA
"050US13273","13273",4,0,0,0,0,NA,NA
"050US13275","13275",14,0,0,0,0,NA,NA
"050US13277","13277",12,0,0,0,0,NA,NA
"050US13279","13279",9,0,0,0,0,NA,NA
"050US13281","13281",4,0,0,0,0,43.86,87.72
