GEOID,HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
12101,050US12101,587.08,244.29,1973,821
12103,050US12103,884.46,256.34,5248,1521
12105,050US12105,1059.52,367.2,4660,1615
12107,050US12107,1667.98,511.98,720,221
12113,050US12113,544.58,178.79,664,218
12115,050US12115,689.71,202.24,1521,446
12117,050US12117,468.39,143.15,1479,452
12109,050US12109,602.42,229.44,982,374
12111,050US12111,1024.29,322.56,1972,621
12119,050US12119,958.76,390.45,442,180
12121,050US12121,1718.42,836.6,456,222
12123,050US12123,1223.17,512.71,167,70
12125,050US12125,1164.28,385.04,127,42
12127,050US12127,844.45,330.43,2824,1105
12129,050US12129,629.66,190.67,142,43
12131,050US12131,863.91,295.89,400,137
12133,050US12133,1280.66,537.63,212,89
13001,050US13001,1085.24,306.32,124,35
13003,050US13003,1125.7,318.95,60,17
13005,050US13005,1401,557.54,98,39
13007,050US13007,,,,
13009,050US13009,1122.84,469.25,335,140
13011,050US13011,627.36,214.85,73,25
13013,050US13013,694.24,297.53,378,162
13015,050US13015,987.77,408.54,706,292
13017,050US13017,2446.57,618.67,261,66
13019,050US13019,915.21,371.27,106,43
13021,050US13021,1231.25,333.71,1236,335
13023,050US13023,898.63,287.56,75,24
13025,050US13025,898.88,527.23,104,61
13027,050US13027,497.42,78.03,51,8
13029,050US13029,204.68,59.99,58,17
13031,050US13031,1011.58,386.63,573,219
13033,050US13033,1511.99,586.55,232,90
13035,050US13035,818.02,326.02,138,55
13037,050US13037,811.56,177.53,32,7
13039,050US13039,584.3,212.47,209,76
13043,050US13043,1826.97,498.26,121,33
13045,050US13045,866.43,349.61,684,276
13047,050US13047,875.04,303.25,378,131
13049,050US13049,,,,
13051,050US13051,1037.45,362.27,2039,712
13053,050US13053,,,,
13055,050US13055,1685.15,645.24,269,103
13057,050US13057,369.96,166.22,641,288
13059,050US13059,646.61,222.86,618,213
13061,050US13061,1669.76,371.06,27,6
13063,050US13063,722.21,206.42,1438,411
13065,050US13065,,,,
13067,050US13067,546.87,229.81,2858,1201
13069,050US13069,803.97,301.04,227,85
13071,050US13071,809.1,231.67,234,67
13073,050US13073,461.32,164.05,464,165
13075,050US13075,1116.55,369.11,121,40
13077,050US13077,702.1,223.3,676,215
13079,050US13079,331.67,,26,
13081,050US13081,2823.38,935.84,356,118
13083,050US13083,990.38,380.92,104,40
13085,050US13085,621.38,265.44,103,44
13089,050US13089,592.66,118.88,3066,615
13087,050US13087,1355.38,455.41,250,84
13091,050US13091,1150.21,408.63,152,54
13093,050US13093,1771.65,629.92,135,48
13095,050US13095,1571.85,443.16,869,245
13097,050US13097,1140.21,437.91,1104,424
13099,050US13099,1300.47,332.68,86,22
13101,050US13101,548.06,,13,
13103,050US13103,686.36,248.51,290,105
13105,050US13105,1311.56,465.39,155,55
13107,050US13107,1268.03,348.36,182,50
13109,050US13109,1406.76,389.11,94,26
13111,050US13111,785.08,217.3,112,31
13113,050US13113,487.37,169.11,366,127
13115,050US13115,1505.32,566.86,956,360
13117,050US13117,240.42,96.29,392,157
13119,050US13119,1219.35,413.22,180,61
13121,050US13121,698.15,159.99,5206,1193
13123,050US13123,616.95,202.01,113,37
13125,050US13125,,,,
13127,050US13127,1114.44,359.87,576,186
13129,050US13129,1193.73,562.07,446,210
13131,050US13131,950.9,316.97,153,51
13133,050US13133,1208.22,535.91,124,55
13135,050US13135,434.69,147.93,2815,958
13137,050US13137,496.12,186.05,144,54
13139,050US13139,593.67,186.87,772,243
13141,050US13141,789.66,197.42,44,11
13143,050US13143,641.36,268.11,122,51
13145,050US13145,640.23,233.23,140,51
13147,050US13147,1233.39,457.75,194,72
13149,050US13149,796.05,343.12,58,25
13151,050US13151,500.28,293.22,807,473
13153,050US13153,708,219.37,752,233
13155,050US13155,1126.49,273.58,70,17
13157,050US13157,646.66,285.54,308,136
13159,050US13159,777.32,328.44,71,30
13161,050US13161,1005.3,291.86,93,27
13163,050US13163,1770.09,478.13,174,47
13165,050US13165,1493.31,364.65,86,21
13167,050US13167,703.99,245.58,43,15
13169,050US13169,1212.62,459.58,219,83
13171,050US13171,596.47,198.82,72,24
13173,050US13173,,,,
13175,050US13175,1076.78,438.57,329,134
13177,050US13177,376.2,102.18,81,22
13179,050US13179,544.63,166.16,236,72
13181,050US13181,831.33,306.28,38,14
13183,050US13183,,,,
13185,050US13185,590.8,160.67,467,127
13187,050US13187,462.58,218.2,106,50
13193,050US13193,581.68,121.18,48,10
13195,050US13195,896.72,295.39,170,56
13197,050US13197,764.98,276.24,36,13
13189,050US13189,1502.86,293.06,200,39
13191,050US13191,1019.03,509.52,68,34
13199,050US13199,1678.96,564.88,214,72
13201,050US13201,1016.37,367.02,36,13
13205,050US13205,1118.79,228.03,157,32
13207,050US13207,884.76,367.26,159,66
13209,050US13209,,,,
13211,050US13211,1244.88,434.07,152,53
13213,050US13213,936.59,713.96,244,186
13215,050US13215,975.89,353.65,1308,474
13217,050US13217,1048.71,437.98,771,322
13219,050US13219,207.36,61.44,54,16
13221,050US13221,730.47,275.25,69,26
13223,050US13223,226.04,76.23,255,86
13225,050US13225,498.4,173.36,92,32
13227,050US13227,588.93,181.59,120,37
13229,050US13229,1057.65,427.9,131,53
13231,050US13231,363.67,105.06,45,13
13233,050US13233,797.41,271.93,217,74
13235,050US13235,757.93,221.06,48,14
13237,050US13237,1380.59,457.61,178,59
13239,050US13239,1387.76,653.06,17,8
13241,050US13241,812.11,320.83,81,32
13243,050US13243,1636.32,448.67,62,17
13245,050US13245,1479.48,487.81,2029,669
13247,050US13247,860.12,366.29,526,224
13249,050US13249,547.76,308.11,16,9
13251,050US13251,1413.39,440.98,125,39
13253,050US13253,1394.24,476.98,76,26
13255,050US13255,1336.25,564.78,556,235
13257,050US13257,987.85,325.19,161,53
13259,050US13259,,,,
13261,050US13261,1162.18,494.32,221,94
13263,050US13263,,,,
13265,050US13265,1651.98,,15,
13267,050US13267,1394.15,522.81,232,87
13269,050US13269,1329.57,483.48,66,24
13271,050US13271,1268.67,381.72,113,34
13273,050US13273,1692.5,409.76,95,23
13275,050US13275,772.6,208.14,219,59
13277,050US13277,1315.84,334.66,346,88
13279,050US13279,2201.05,663.33,365,110
13281,050US13281,1071.05,392.22,71,26
13283,050US13283,1846.38,689.32,75,28
13285,050US13285,1563.86,489.27,700,219
13287,050US13287,1363.38,321.91,72,17
13289,050US13289,1112.23,343.78,55,17
13291,050US13291,1166.69,587.16,153,77
13293,050US13293,1176.13,498.26,203,86
13295,050US13295,1120.99,460.9,484,199
13297,050US13297,1175.99,615.69,722,378
13299,050US13299,1450.18,603.13,327,136
13301,050US13301,1129.94,282.49,36,9
13303,050US13303,1650.22,416.41,214,54
13305,050US13305,1035.36,393.44,200,76
13307,050US13307,601.2,,9,
13309,050US13309,313.19,73.69,17,4
13311,050US13311,637.05,268.85,109,46
13313,050US13313,1321.45,960.1,885,643
13315,050US13315,933.93,259.43,54,15
13317,050US13317,1161.78,364.14,67,21
13319,050US13319,991.71,360.62,55,20
13321,050US13321,946.71,221.41,124,29
15001,050US15001,328.65,,3037,
15003,050US15003,328.65,,3037,
15005,050US15005,328.65,,3037,
15007,050US15007,328.65,,3037,
15009,050US15009,328.65,,3037,
19001,050US19001,246.58,179.33,11,8
19003,050US19003,591.99,,13,
19005,050US19005,295.79,135.57,24,11
19007,050US19007,622.49,456.49,45,33
19009,050US19009,484.55,272.56,16,9
19011,050US19011,162.05,130.89,26,21
19013,050US19013,1020.16,741.08,870,632
19015,050US19015,437.65,268.43,75,46
19017,050US19017,206.89,213.36,32,33
19019,050US19019,501.91,406.31,63,51
19021,050US19021,375.23,226.7,48,29
19023,050US19023,175.71,163.99,15,14
19025,050US19025,219.82,118.36,13,7
19027,050US19027,387.1,169.35,48,21
19029,050US19029,622.25,622.25,48,48
19031,050US19031,267.63,164.03,31,19
19033,050US19033,587.76,469.45,154,123
19035,050US19035,132.67,103.18,9,7
19037,050US19037,292.52,167.15,21,12
19039,050US19039,667.92,428.16,39,25
19041,050US19041,284.03,273.89,28,27
19043,050US19043,306.51,138.42,31,14
19045,050US19045,457.39,265.35,131,76
19047,050US19047,156.85,68.62,16,7
19049,050US19049,164.02,95.55,103,60
19051,050US19051,479.02,268.25,25,14
19053,050US19053,430.57,129.17,20,6
19055,050US19055,392.23,280.16,42,30
19057,050US19057,1008.1,539.9,239,128
19059,050US19059,227.95,128.84,23,13
19061,050US19061,381.01,289.76,238,181
19063,050US19063,388.71,270.41,23,16
19065,050US19065,531.52,290.67,64,35
19067,050US19067,395.72,171.12,37,16
19069,050US19069,,,,
19071,050US19071,676.01,625.94,27,25
19073,050US19073,383.88,364.68,20,19
19075,050US19075,120.08,53.37,9,4
19077,050US19077,565.33,361.18,36,23
19079,050US19079,163.88,131.1,15,12
19081,050US19081,,,,
19083,050US19083,378.32,283.74,40,30
19085,050US19085,288.15,177.32,26,16
19087,050US19087,390.06,237.09,51,31
19089,050US19089,286.89,233.1,16,13
19091,050US19091,317.18,176.21,18,10
19093,050US19093,370.46,493.95,15,20
19095,050US19095,145.99,97.32,15,10
19097,050US19097,284.28,175.59,34,21
19099,050US19099,462.09,294.06,110,70
19101,050US19101,352.51,269.57,34,26
19103,050US19103,224.1,122.66,243,133
19105,050US19105,131.16,46.29,17,6
19107,050US19107,311.27,163.83,19,10
19109,050US19109,289.39,231.51,25,20
19111,050US19111,744.82,565.87,154,117
19113,050US19113,243.67,126.87,363,189
19115,050US19115,304.66,246.63,21,17
19117,050US19117,,,,
19119,050US19119,328.99,171.65,23,12
19121,050US19121,357.45,231.86,37,24
19123,050US19123,523.45,305.34,72,42
19125,050US19125,537.61,302.4,112,63
19127,050US19127,731.39,563.86,179,138
19129,050US19129,447.79,262.12,41,24
19131,050US19131,176.4,112.25,11,7
19133,050US19133,766.06,471.42,39,24
19135,050US19135,301.92,129.39,14,6
19137,050US19137,128.74,128.74,8,8
19139,050US19139,575.52,284.07,156,77
19141,050US19141,190.07,166.31,16,14
19143,050US19143,137.7,,5,
19145,050US19145,242.33,200.19,23,19
19147,050US19147,263.26,131.63,14,7
19149,050US19149,197.93,134.08,31,21
19151,050US19151,387.78,315.08,16,13
19153,050US19153,719.05,430.87,2328,1395
19155,050US19155,606.29,371.54,359,220
19157,050US19157,313.59,161.03,37,19
19159,050US19159,475.67,365.9,13,10
19161,050US19161,315.18,122.57,18,7
19163,050US19163,655.1,297.12,732,332
19165,050US19165,186.11,214.75,13,15
19167,050US19167,145.08,90.67,32,20
19169,050US19169,170.33,104.4,124,76
19171,050US19171,515.32,438.97,54,46
19173,050US19173,374.75,201.79,13,7
19175,050US19175,763.67,294.75,57,22
19177,050US19177,237.7,142.62,10,6
19179,050US19179,1016.52,626.93,227,140
19181,050US19181,,,,
19183,050US19183,375.3,213.41,51,29
19185,050US19185,428.61,267.88,16,10
19187,050US19187,714.26,399.64,168,94
19189,050US19189,198.47,137.4,13,9
19191,050US19191,303.5,225.68,39,29
19193,050US19193,768.17,491.27,516,330
19195,050US19195,193.88,107.71,9,5
19197,050US19197,507.14,293.61,38,22
16001,050US16001,,,,
16003,050US16003,,,,
16005,050US16005,,,,
16007,050US16007,,,,
16009,050US16009,,,,
16011,050US16011,,,,
16013,050US16013,,,,
16015,050US16015,,,,
16017,050US16017,,,,
16019,050US16019,,,,
16021,050US16021,,,,
16023,050US16023,,,,
16025,050US16025,,,,
16027,050US16027,,,,
16029,050US16029,,,,
16031,050US16031,,,,
16033,050US16033,,,,
16035,050US16035,,,,
16037,050US16037,,,,
16039,050US16039,,,,
16041,050US16041,,,,
16043,050US16043,,,,
16045,050US16045,,,,
16047,050US16047,,,,
16049,050US16049,,,,
16051,050US16051,,,,
16053,050US16053,,,,
16055,050US16055,,,,
16057,050US16057,,,,
16059,050US16059,,,,
16061,050US16061,,,,
