"HEROP_ID","GEOID","TotTracts","HospCtTmDr","HospCtTmDr2","HospTmDrP","HospTmDrP2","HospAvTmDr","HospAvTmDr2"
"050US51640","51640",2,2,2,100,100,1.64,3.28
"050US51650","51650",36,36,36,100,100,4.94,9.88
"050US51660","51660",11,11,10,100,90.91,11.7,23.41
"050US51670","51670",7,7,7,100,100,2.51,5.01
"050US51678","51678",2,2,2,100,100,1.03,2.06
"050US51680","51680",23,23,23,100,100,7.56,15.13
"050US51683","51683",7,7,7,100,100,4.07,8.14
"050US51685","51685",3,3,3,100,100,8.22,16.44
"050US51690","51690",5,5,0,100,0,24.54,49.08
"050US51700","51700",47,47,47,100,100,5.84,11.68
"050US51710","51710",80,80,80,100,100,6.3,12.6
"050US51720","51720",1,1,1,100,100,13.78,27.56
"050US51730","51730",11,11,11,100,100,8.5,17
"050US51735","51735",3,3,3,100,100,9.75,19.51
"050US51740","51740",31,31,31,100,100,4,8.01
"050US51750","51750",4,4,4,100,100,11.29,22.58
"050US51760","51760",75,75,75,100,100,3.88,7.75
"050US51770","51770",25,25,25,100,100,6.93,13.86
"050US51775","51775",5,5,5,100,100,3.44,6.88
"050US51790","51790",7,7,7,100,100,5.28,10.56
"050US51800","51800",36,36,30,100,83.33,10.94,21.88
"050US51810","51810",111,111,109,100,98.2,7.94,15.88
"050US51820","51820",5,5,5,100,100,10.04,20.07
"050US51830","51830",3,3,3,100,100,3.38,6.75
"050US51840","51840",6,6,6,100,100,3.91,7.82
"050US53001","53001",7,6,6,85.71,85.71,9.93,19.86
"050US53003","53003",6,5,4,83.33,66.67,10.06,20.13
"050US53005","53005",45,44,39,97.78,86.67,10.1,20.19
"050US53007","53007",23,17,12,73.91,52.17,19.24,38.49
"050US53009","53009",24,20,10,83.33,41.67,20.62,41.25
"050US53011","53011",115,113,97,98.26,84.35,9.89,19.78
"050US53013","53013",1,1,1,100,100,0,0
"050US53015","53015",30,27,19,90,63.33,13.08,26.17
"050US53017","53017",9,7,6,77.78,66.67,15.28,30.56
"050US53019","53019",3,1,1,33.33,33.33,40.73,81.47
"050US53021","53021",22,20,18,90.91,81.82,9.07,18.13
"050US53023","53023",1,1,1,100,100,0,0
"050US53025","53025",23,18,14,78.26,60.87,15.69,31.38
"050US53027","53027",20,13,12,65,60,22.84,45.67
"050US53029","53029",23,18,11,78.26,47.83,19,38
"050US53031","53031",10,9,4,90,40,13.19,26.39
"050US53033","53033",494,490,475,99.19,96.15,7.1,14.21
"050US53035","53035",59,49,33,83.05,55.93,16.63,33.26
"050US53037","53037",14,10,6,71.43,42.86,21.5,43
"050US53039","53039",6,4,3,66.67,50,18.27,36.54
"050US53041","53041",21,18,11,85.71,52.38,17.98,35.96
"050US53043","53043",4,3,3,75,75,10.49,20.98
"050US53045","53045",19,13,6,68.42,31.58,19.51,39.02
"050US53047","53047",13,9,4,69.23,30.77,24.39,48.79
"050US53049","53049",11,10,5,90.91,45.45,15.63,31.27
"050US53051","53051",5,3,1,60,20,31.19,62.37
"050US53053","53053",193,187,164,96.89,84.97,9.35,18.7
"050US53055","53055",8,3,3,37.5,37.5,5.88,11.76
"050US53057","53057",41,38,33,92.68,80.49,10.37,20.74
"050US53059","53059",5,2,0,40,0,39.14,78.28
"050US53061","53061",173,170,146,98.27,84.39,11.06,22.12
"050US53063","53063",130,126,113,96.92,86.92,7.84,15.67
"050US53065","53065",15,8,5,53.33,33.33,23.78,47.57
"050US53067","53067",61,58,46,95.08,75.41,11.1,22.21
"050US53069","53069",1,0,0,0,0,49.65,99.3
"050US53071","53071",14,13,13,92.86,92.86,7.29,14.59
"050US53073","53073",54,51,30,94.44,55.56,14.88,29.77
"050US53075","53075",12,10,6,83.33,50,18.12,36.24
"050US53077","53077",57,53,46,92.98,80.7,10.67,21.33
"050US54001","54001",4,4,3,100,75,9.93,19.86
"050US54003","54003",26,26,19,100,73.08,11.39,22.78
"050US54005","54005",8,4,1,50,12.5,32.7,65.4
"050US54007","54007",3,2,1,66.67,33.33,21.88,43.76
"050US54009","54009",8,8,6,100,75,11.76,23.51
"050US54011","54011",34,32,27,94.12,79.41,11.51,23.01
"050US54013","54013",2,2,1,100,50,14.34,28.67
"050US54015","54015",3,0,0,0,0,49,97.99
"050US54017","54017",2,2,0,100,0,23.66,47.33
"050US54019","54019",13,11,7,84.62,53.85,15.02,30.03
"050US54021","54021",3,0,0,0,0,36.2,72.4
"050US54023","54023",3,2,1,66.67,33.33,20.63,41.27
"050US54025","54025",10,7,2,70,20,21.06,42.12
"050US54027","54027",9,3,1,33.33,11.11,30.03,60.06
"050US54029","54029",8,8,6,100,75,11.54,23.09
"050US54031","54031",5,1,0,20,0,39.1,78.2
"050US54033","54033",25,25,19,100,76,10.85,21.71
"050US54035","54035",7,4,1,57.14,14.29,24.66,49.33
"050US54037","54037",15,15,12,100,80,9.12,18.25
"050US54039","54039",57,46,38,80.7,66.67,16.29,32.58
"050US54041","54041",5,5,2,100,40,13,25.99
"050US54043","54043",6,0,0,0,0,48.19,96.37
"050US54045","54045",10,8,2,80,20,22.49,44.98
"050US54047","54047",8,2,1,25,12.5,32.74,65.48
"050US54049","54049",21,18,12,85.71,57.14,15.69,31.37
"050US54051","54051",10,10,8,100,80,11.41,22.83
"050US54053","54053",7,6,3,85.71,42.86,17.06,34.13
"050US54055","54055",16,16,10,100,62.5,12.16,24.32
"050US54057","54057",7,7,3,100,42.86,14.45,28.89
"050US54059","54059",7,5,1,71.43,14.29,26.27,52.54
"050US54061","54061",28,27,23,96.43,82.14,8.66,17.32
"050US54063","54063",3,1,0,33.33,0,33.34,66.67
"050US54065","54065",6,6,3,100,50,14.93,29.87
"050US54067","54067",8,4,1,50,12.5,35.1,70.2
"050US54069","54069",18,18,17,100,94.44,6.02,12.04
"050US54071","54071",3,0,0,0,0,47.18,94.35
"050US54073","54073",2,1,0,50,0,33.48,66.96
"050US54075","54075",5,1,1,20,20,39.78,79.56
"050US54077","54077",11,9,2,81.82,18.18,21.55,43.1
"050US54079","54079",12,8,1,66.67,8.33,30.04,60.08
"050US54081","54081",17,16,13,94.12,76.47,12.49,24.98
"050US54083","54083",7,5,4,71.43,57.14,16.39,32.79
"050US54085","54085",3,0,0,0,0,41.44,82.89
"050US54087","54087",5,4,2,80,40,19.38,38.76
"050US54089","54089",4,4,2,100,50,16.19,32.37
"050US54091","54091",4,4,2,100,50,11.24,22.48
"050US54093","54093",3,1,0,33.33,0,35.36,70.73
"050US54095","54095",3,3,2,100,66.67,14.27,28.55
"050US54097","54097",6,6,4,100,66.67,10.19,20.37
"050US54099","54099",11,6,5,54.55,45.45,21.6,43.2
"050US54101","54101",4,1,1,25,25,34.04,68.08
"050US54103","54103",5,3,3,60,60,22.47,44.93
"050US54105","54105",2,0,0,0,0,37.88,75.76
"050US54107","54107",28,28,23,100,82.14,9.44,18.88
"050US54109","54109",6,3,0,50,0,31.34,62.67
"050US55001","55001",8,5,1,62.5,12.5,24.16,48.33
"050US55003","55003",7,3,2,42.86,28.57,24.81,49.62
"050US55005","55005",12,12,6,100,50,14.49,28.98
"050US55007","55007",6,3,0,50,0,36.49,72.98
"050US55009","55009",58,58,53,100,91.38,6.15,12.29
"050US55011","55011",5,3,0,60,0,25.91,51.81
"050US55013","55013",6,4,1,66.67,16.67,23.87,47.74
"050US55015","55015",11,11,9,100,81.82,9,18.01
"050US55017","55017",12,10,4,83.33,33.33,19.86,39.71
"050US55019","55019",8,8,3,100,37.5,14.87,29.73
"050US55021","55021",13,13,6,100,46.15,13.29,26.58
"050US55023","55023",6,5,3,83.33,50,16.75,33.49
