"HEROP_ID","GEOID","TotTracts","NaltCtTmDr","NaltCtTmDr2","NaltTmDrP","NaltTmDrP2","NaltAvTmDr","NaltAvTmDr2"
"050US06051","06051",4,0,0,0,0,52.75,105.5
"050US06053","06053",103,90,78,87.38,75.73,12.28,24.56
"050US06055","06055",40,37,32,92.5,80,11.06,22.11
"050US06057","06057",26,13,0,50,0,32.69,65.38
"050US06059","06059",613,613,612,100,99.84,4.9,9.79
"050US06061","06061",92,80,45,86.96,48.91,18.89,37.79
"050US06063","06063",7,0,0,0,0,63.21,126.42
"050US06065","06065",518,507,422,97.88,81.47,10.26,20.53
"050US06067","06067",363,363,345,100,95.04,6.88,13.75
"050US06069","06069",12,1,0,8.33,0,38.1,76.21
"050US06071","06071",466,425,390,91.2,83.69,10.74,21.47
"050US06073","06073",736,728,683,98.91,92.8,6.81,13.62
"050US06075","06075",242,241,241,99.59,99.59,3.48,6.95
"050US06077","06077",174,171,116,98.28,66.67,11.64,23.28
"050US06079","06079",69,40,21,57.97,30.43,28.68,57.36
"050US06081","06081",173,172,123,99.42,71.1,11.58,23.17
"050US06083","06083",108,85,50,78.7,46.3,19.94,39.87
"050US06085","06085",408,406,387,99.51,94.85,7.89,15.79
"050US06087","06087",69,67,59,97.1,85.51,10.6,21.19
"050US06089","06089",50,44,39,88,78,12.93,25.86
"050US06091","06091",1,0,0,0,0,65.07,130.14
"050US06093","06093",16,5,4,31.25,25,34.33,68.65
"050US06095","06095",100,99,90,99,90,8.31,16.62
"050US06097","06097",121,116,86,95.87,71.07,12.57,25.14
"050US06099","06099",112,104,93,92.86,83.04,10.65,21.3
"050US06101","06101",21,1,0,4.76,0,39.86,79.72
"050US06103","06103",14,9,0,64.29,0,34,68.01
"050US06105","06105",4,0,0,0,0,65.57,131.14
"050US06107","06107",103,44,22,42.72,21.36,26.67,53.34
"050US06109","06109",18,1,1,5.56,5.56,49.37,98.74
"050US06111","06111",189,186,171,98.41,90.48,7.54,15.08
"050US06113","06113",53,52,46,98.11,86.79,9.38,18.76
"050US06115","06115",19,0,0,0,0,42.9,85.8
"050US08001","08001",107,106,103,99.07,96.26,5.92,11.85
"050US08003","08003",5,5,4,100,80,9.51,19.02
"050US08005","08005",161,161,158,100,98.14,4.65,9.3
"050US08007","08007",5,3,1,60,20,20.12,40.24
"050US08009","08009",2,0,0,0,0,59.99,119.98
"050US08011","08011",2,2,1,100,50,11.15,22.3
"050US08013","08013",78,76,72,97.44,92.31,6.53,13.06
"050US08014","08014",24,24,24,100,100,6.1,12.2
"050US08015","08015",6,0,0,0,0,68.85,137.71
"050US08017","08017",1,0,0,0,0,52.93,105.86
"050US08019","08019",4,4,2,100,50,12.35,24.7
"050US08021","08021",2,2,2,100,100,0,0
"050US08023","08023",2,1,1,50,50,17.12,34.25
"050US08025","08025",2,0,0,0,0,63.79,127.58
"050US08027","08027",2,0,0,0,0,55.48,110.97
"050US08029","08029",9,0,0,0,0,NA,NA
"050US08031","08031",178,178,177,100,99.44,3.7,7.4
"050US08033","08033",1,0,0,0,0,72.41,144.82
"050US08035","08035",72,71,60,98.61,83.33,9.89,19.79
"050US08037","08037",16,1,1,6.25,6.25,44.96,89.92
"050US08039","08039",7,5,3,71.43,42.86,18.99,37.98
"050US08041","08041",167,164,150,98.2,89.82,7.72,15.45
"050US08043","08043",15,13,9,86.67,60,14.74,29.48
"050US08045","08045",12,8,4,66.67,33.33,26.04,52.07
"050US08047","08047",2,2,1,100,50,9.93,19.86
"050US08049","08049",6,3,2,50,33.33,26.64,53.28
"050US08051","08051",6,0,0,0,0,NA,NA
"050US08053","08053",1,0,0,0,0,NA,NA
"050US08055","08055",3,0,0,0,0,57.55,115.1
"050US08057","08057",1,0,0,0,0,57.73,115.46
"050US08059","08059",146,146,139,100,95.21,5.84,11.68
"050US08061","08061",1,0,0,0,0,51.22,102.44
"050US08063","08063",2,2,1,100,50,13.66,27.32
"050US08065","08065",3,0,0,0,0,49,98
"050US08067","08067",12,4,1,33.33,8.33,39.61,79.22
"050US08069","08069",86,82,63,95.35,73.26,12.52,25.03
"050US08071","08071",6,0,0,0,0,71.12,142.24
"050US08073","08073",2,1,1,50,50,24.82,49.64
"050US08075","08075",7,7,4,100,57.14,12.37,24.74
"050US08077","08077",33,31,28,93.94,84.85,9.31,18.62
"050US08079","08079",1,0,0,0,0,87.23,174.46
"050US08081","08081",4,3,3,75,75,12.64,25.29
"050US08083","08083",8,6,4,75,50,16.27,32.55
"050US08085","08085",12,0,0,0,0,86.73,173.45
"050US08087","08087",8,8,5,100,62.5,11.95,23.9
"050US08089","08089",7,3,0,42.86,0,32,64
"050US08091","08091",2,0,0,0,0,61.14,122.28
"050US08093","08093",6,3,0,50,0,42.13,84.25
"050US08095","08095",2,2,1,100,50,10.64,21.28
"050US08097","08097",6,3,2,50,33.33,32.61,65.22
"050US08099","08099",5,2,1,40,20,32.6,65.2
