GEOID,HEROP_ID,TtlJlPpr_Q1,TtlJlPpr_Q2,TtlJlPpr_Q3,TtlJlPpr_Q4,TtlJlAdmr_Q1,TtlJlAdmr_Q2,TtlJlAdmr_Q3,TtlJlAdmr_Q4,TtlJlPrtr_Q1,TtlJlPrtr_Q2,TtlJlPrtr_Q3,TtlJlPrtr_Q4,TtlJlPp_Q1,TtlJlPp_Q2,TtlJlPp_Q3,TtlJlPp_Q4,TtlJlAdm_Q1,TtlJlAdm_Q2,TtlJlAdm_Q3,TtlJlAdm_Q4,TtlJlPrt_Q1,TtlJlPrt_Q2,TtlJlPrt_Q3,TtlJlPrt_Q4
1073,050US01073,336.18,270.82,339.81,334.66,8424.25,8409.63,8409.63,8409.63,259.02,199.02,,,1437.5,1158,1453,1431,36021.5,35959,35959,35959,1107.55,851,,
1075,050US01075,,,,,,,,,,,,,,,,,,,,,,,,
1077,050US01077,,,,,,,,,,,,,,,,,,,,,,,,
1079,050US01079,,619.08,,,,780.99,,,,476.21,,,,130,,,,164,,,,100,,
1081,050US01081,,,,,,,,,,,,,,,,,,,,,,,,
1083,050US01083,,387.42,,,,4311.89,,,,341.2,,,,285,,,,3172,,,,251,,
1085,050US01085,,,,,,,,,,,,,,,,,,,,,,,,
1087,050US01087,,,,,,,,,,,,,,,,,,,,,,,,
1089,050US01089,,,,,,,,,,,,,,,,,,,,,,,,
1091,050US01091,,,,,,,,,,,,,,,,,,,,,,,,
1093,050US01093,727.19,738.38,805.5,827.88,727.19,727.19,727.19,727.19,,,,,130,132,144,148,130,130,130,130,,,,
1095,050US01095,,633.49,,,,10323.6,,,,532.26,,,,388,,,,6323,,,,326,,
1097,050US01097,609.84,639.72,630.53,591.07,6850.99,6855.77,6855.77,6855.77,525.38,551.62,,,1592,1670,1646,1543,17884.5,17897,17897,17897,1371.51,1440,,
1099,050US01099,,,,,,,,,,,,,,,,,,,,,,,,
1101,050US01101,,606.58,,,,8591.09,,,,459.26,,,,877,,,,12421,,,,664,,
1103,050US01103,,,,,,,,,,,,,,,,,,,,,,,,
1105,050US01105,,,,,,,,,,,,,,,,,,,,,,,,
1107,050US01107,436.83,469.79,543.97,593.42,8843.65,8843.65,8843.65,8843.65,,,,,53,57,66,72,1073,1073,1073,1073,,,,
1109,050US01109,341.21,363.36,372.22,394.38,4125.49,4245.14,4245.14,4245.14,165.42,177.25,,,77,82,84,89,931,958,958,958,37.33,40,,
1111,050US01111,,,,,,,,,,,,,,,,,,,,,,,,
1113,050US01113,,,,,,,,,,,,,,,,,,,,,,,,
1117,050US01117,,339.26,,,,4192.21,,,,314.5,,,,507,,,,6265,,,,470,,
1115,050US01115,,258.08,,,,8137.13,,,,201.47,,,,155,,,,4887,,,,121,,
1119,050US01119,,,,,,,,,,,,,,,,,,,,,,,,
1121,050US01121,,,,,,,,,,,,,,,,,,,,,,,,
1123,050US01123,,,,,,,,,,,,,,,,,,,,,,,,
1125,050US01125,,430.27,,,,4890.63,,,,,,,,704,,,,8002,,,,,,
1127,050US01127,,507.82,,,,12094.19,,,,,,,,201,,,,4787,,,,,,
1129,050US01129,,,,,,,,,,,,,,,,,,,,,,,,
1131,050US01131,,,,,,,,,,,,,,,,,,,,,,,,
1133,050US01133,,,,,,,,,,,,,,,,,,,,,,,,
5001,050US05001,,,,,,,,,,,,,,,,,,,,,,,,
5003,050US05003,,,,,,,,,,,,,,,,,,,,,,,,
5005,050US05005,386.38,382.09,399.26,334.86,6360.28,5581.08,5581.08,5581.08,125.92,124.5,,,90,89,93,78,1481.5,1300,1300,1300,29.33,29,,
5007,050US05007,,,,,,,,,,,,,,,,,,,,,,,,
5009,050US05009,,,,,,,,,,,,,,,,,,,,,,,,
5011,050US05011,,,,,,,,,,,,,,,,,,,,,,,,
5013,050US05013,,,,,,,,,,,,,,,,,,,,,,,,
5015,050US05015,,,,,,,,,,,,,,,,,,,,,,,,
5017,050US05017,,,,,,,,,,,,,,,,,,,,,,,,
5019,050US05019,,,,,,,,,,,,,,,,,,,,,,,,
5021,050US05021,,,,,,,,,,,,,,,,,,,,,,,,
5023,050US05023,,324.12,,,,7502.93,,,,241.36,,,,47,,,,1088,,,,35,,
5025,050US05025,,109.58,,,,2125.79,,,,43.83,,,,5,,,,97,,,,2,,
5027,050US05027,612.51,605.55,612.51,619.48,535.95,535.95,535.95,535.95,,,,,88,87,88,89,77,77,77,77,,,,
5029,050US05029,,,,,,,,,,,,,,,,,,,,,,,,
5031,050US05031,,,,,,,,,,,,,,,,,,,,,,,,
5033,050US05033,,,,,,,,,,,,,,,,,,,,,,,,
5035,050US05035,,,,,,,,,,,,,,,,,,,,,,,,
5037,050US05037,613.14,836.98,681.27,583.94,15605.84,15542.58,15542.58,15542.58,541.8,739.66,,,63,86,70,60,1603.5,1597,1597,1597,55.67,76,,
5039,050US05039,,,,,,,,,,,,,,,,,,,,,,,,
5041,050US05041,,,,,,,,,,,,,,,,,,,,,,,,
5043,050US05043,,,,,,,,,,,,,,,,,,,,,,,,
5045,050US05045,510.61,576.6,526.82,,4481.41,4399.78,4399.78,,226.59,255.88,,,441,498,455,,3870.5,3800,3800,,195.7,221,,
5047,050US05047,,,,,,,,,,,,,,,,,,,,,,,,
5049,050US05049,,369.37,,,,5824.69,,,,85.24,,,,26,,,,410,,,,6,,
5051,050US05051,,592.92,,,,9864.48,,,,589.53,,,,350,,,,5823,,,,348,,
5053,050US05053,,545.45,,,,9012.99,,,,467.53,,,,63,,,,1041,,,,54,,
5055,050US05055,,,,,,,,,,,,,,,,,,,,,,,,
5057,050US05057,669.3,686.46,652.14,154.45,14218.29,14218.29,14218.29,14218.29,,,,,78,80,76,18,1657,1657,1657,1657,,,,
5059,050US05059,,,,,,,,,,,,,,,,,,,,,,,,
5061,050US05061,,,,,,,,,,,,,,,,,,,,,,,,
5063,050US05063,,,,,,,,,,,,,,,,,,,,,,,,
5065,050US05065,,,,,,,,,,,,,,,,,,,,,,,,
5067,050US05067,,,,,,,,,,,,,,,,,,,,,,,,
5069,050US05069,708.63,681.66,644.88,588.48,9035.63,9035.63,9035.63,9035.63,,,,,289,278,263,240,3685,3685,3685,3685,,,,
5071,050US05071,,,,,,,,,,,,,,,,,,,,,,,,
5073,050US05073,,,,,,,,,,,,,,,,,,,,,,,,
5075,050US05075,,452.93,,,,7906.66,,,,344.62,,,,46,,,,803,,,,35,,
5077,050US05077,,,,,,,,,,,,,,,,,,,,,,,,
5079,050US05079,,,,,,,,,,,,,,,,,,,,,,,,
5081,050US05081,,808.81,,,,9817.32,,,,460.19,,,,58,,,,704,,,,33,,
5083,050US05083,,,,,,,,,,,,,,,,,,,,,,,,
5085,050US05085,,,,,,,,,,,,,,,,,,,,,,,,
5087,050US05087,,,,,,,,,,,,,,,,,,,,,,,,
5089,050US05089,716.14,695.38,,,11541.26,11541.26,,,,,,,69,67,,,1112,1112,,,,,,
5091,050US05091,,,,,,,,,,,,,,,,,,,,,,,,
5093,050US05093,,,,,,,,,,,,,,,,,,,,,,,,
5095,050US05095,401.93,509.11,509.11,509.11,7636.66,7636.66,7636.66,7636.66,,,,,15,19,19,19,285,285,285,285,,,,
5097,050US05097,,,,,,,,,,,,,,,,,,,,,,,,
5099,050US05099,,,,,,,,,,,,,,,,,,,,,,,,
5101,050US05101,,,,,,,,,,,,,,,,,,,,,,,,
5103,050US05103,,,,,,,,,,,,,,,,,,,,,,,,
5105,050US05105,,,,,,,,,,,,,,,,,,,,,,,,
5107,050US05107,,,,,,,,,,,,,,,,,,,,,,,,
5109,050US05109,,,,,,,,,,,,,,,,,,,,,,,,
5111,050US05111,718.24,639.23,689.51,790.06,13876.32,13876.32,13876.32,13876.32,,,,,100,89,96,110,1932,1932,1932,1932,,,,
5113,050US05113,,,,,,,,,,,,,,,,,,,,,,,,
5115,050US05115,,453.9,,,,5466.09,,,,270.41,,,,188,,,,2264,,,,112,,
5117,050US05117,,,,,,,,,,,,,,,,,,,,,,,,
5119,050US05119,,527.11,,441.68,,5727.32,,5727.32,,413.46,,,,1345,,1127,,14614,,14614,,1055,,
5121,050US05121,,,,,,,,,,,,,,,,,,,,,,,,
5125,050US05125,238.99,228.98,236.49,261.51,7404.9,7404.9,7404.9,7404.9,,,,,191,183,189,209,5918,5918,5918,5918,,,,
5127,050US05127,,,,,,,,,,,,,,,,,,,,,,,,
5129,050US05129,,,,,,,,,,,,,,,,,,,,,,,,
5131,050US05131,,,,,,,,,,,,,,,,,,,,,,,,
5133,050US05133,,,,,,,,,,,,,,,,,,,,,,,,
5135,050US05135,,,,,,,,,,,,,,,,,,,,,,,,
5123,050US05123,488.01,542.99,529.25,515.5,9052.17,9052.17,9052.17,9052.17,,,,,71,79,77,75,1317,1317,1317,1317,,,,
5137,050US05137,424.39,,,,10312.63,,,,,,,,30,,,,729,,,,,,,
5139,050US05139,,,,,,,,,,,,,,,,,,,,,,,,
5141,050US05141,,,,,,,,,,,,,,,,,,,,,,,,
5143,050US05143,,456.13,,,,8162.4,,,,340.24,,,,799,,,,14298,,,,596,,
5145,050US05145,,687.94,,,,2907.77,,,,,,,,344,,,,1454,,,,,,
5147,050US05147,,,,,,,,,,,,,,,,,,,,,,,,
5149,050US05149,,,,,,,,,,,,,,,,,,,,,,,,
4001,050US04001,,,,,,,,,,,,,,,,,,,,,,,,
4003,050US04003,,,,,,,,,,,,,,,,,,,,,,,,
4005,050US04005,,305.85,,,,6358.16,,,,170.36,,,,307,,,,6382,,,,171,,
4007,050US04007,,,,,,,,,,,,,,,,,,,,,,,,
4009,050US04009,,553.54,,,,4631.85,,,,,,,,136,,,,1138,,,,,,
4011,050US04011,,,,,,,,,,,,,,,,,,,,,,,,
4012,050US04012,,,,,,,,,,,,,,,,,,,,,,,,
4013,050US04013,229.48,240.21,232.23,213.76,2804.36,2826.11,2826.11,2826.11,50.45,54.2,,,6846,7166,6928,6377,83660.25,84309,84309,84309,1505.15,1617,,
4015,050US04015,,355.74,,,,5218.84,,,,257.66,,,,428,,,,6279,,,,310,,
4017,050US04017,,,,,,,,,,,,,,,,,,,,,,,,
4019,050US04019,273.11,280.49,296.91,257.14,2624,2624,2624,2624,,,,,1813,1862,1971,1707,17419,17419,17419,17419,,,,
4021,050US04021,,183.4,,,,2811.71,,,,,,,,520,,,,7972,,,,,,
4023,050US04023,,,,,,,,,,,,,,,,,,,,,,,,
4025,050US04025,,400.22,,,,5847.55,,,,299.97,,,,527,,,,7700,,,,395,,
4027,050US04027,333.67,329.58,384.38,332.04,5126.11,5126.11,5126.11,5126.11,,,,,408,403,470,406,6268,6268,6268,6268,,,,
6001,050US06001,164.27,156.07,152.11,153.28,2348.55,2361.93,2361.93,2361.93,150.07,138.96,,,1824,1733,1689,1702,26077.5,26226,26226,26226,1666.33,1543,,
6003,050US06003,,,,,,,,,,,,,,,,,,,,,,,,
6005,050US06005,333.01,389.86,369.56,361.44,5368.75,5368.75,5368.75,5368.75,,,,,82,96,91,89,1322,1322,1322,1322,,,,
6007,050US06007,397.24,395.75,395.01,390.56,6298.63,6203.59,6203.59,6203.59,285.65,285.12,,,535,533,532,526,8483,8355,8355,8355,384.72,384,,
6009,050US06009,350.67,350.67,335.58,335.58,6014.1,6014.1,6014.1,6014.1,,,,,93,93,89,89,1595,1595,1595,1595,,,,
6011,050US06011,525.01,539.59,371.88,379.17,11141.9,11141.9,11141.9,11141.9,,,,,72,74,51,52,1528,1528,1528,1528,,,,
6013,050US06013,123.5,120.97,115.8,120.71,1993.78,2092.55,2092.55,2092.55,98.27,104.51,,,930,911,872,909,15014.25,15758,15758,15758,740.05,787,,
6015,050US06015,532.77,491.33,473.57,,16332.21,16332.21,16332.21,,,,,,90,83,80,,2759,2759,2759,,,,,
6017,050US06017,291.44,275.25,266.73,265.03,3770.23,3824.55,3824.55,3824.55,148.63,152.54,,,342,323,313,311,4424.25,4488,4488,4488,174.41,179,,
6019,050US06019,419.92,429.12,424.67,416.86,3698.16,3761.39,3761.39,3761.39,348.69,350.22,,,2741,2801,2772,2721,24139.25,24552,24552,24552,2276.04,2286,,
6021,050US06021,387.46,318.07,375.9,404.81,6946.85,6910.71,6910.71,6910.71,250,231.32,,,67,55,65,70,1201.25,1195,1195,1195,43.23,40,,
6023,050US06023,278.5,313.88,374.37,321.87,10610.3,10610.3,10610.3,10610.3,,,,,244,275,328,282,9296,9296,9296,9296,,,,
6025,050US06025,312.14,349.49,330.81,309.47,6092.49,6092.49,6092.49,6092.49,,,,,351,393,372,348,6851,6851,6851,6851,,,,
6027,050US06027,446.51,473.85,564.97,510.3,7253.51,7253.51,7253.51,7253.51,,,,,49,52,62,56,796,796,796,796,,,,
6029,050US06029,266.75,277.19,277.35,266.92,3932.73,4101.75,4101.75,4101.75,245.11,249.75,,,1585,1647,1648,1586,23367.75,24372,24372,24372,1456.43,1484,,
6031,050US06031,449.38,444.5,457.2,405.42,4455.71,4547.54,4547.54,4547.54,131.57,138.72,,,460,455,468,415,4561,4655,4655,4655,134.68,142,,
6033,050US06033,516.19,607.29,589.57,546.56,8640.56,8891.7,8891.7,8891.7,311.01,364.37,,,204,240,233,216,3414.75,3514,3514,3514,122.91,144,,
6035,050US06035,522.67,448.01,438.05,428.09,5480.61,5480.61,5480.61,5480.61,,,,,105,90,88,86,1101,1101,1101,1101,,,,
6037,050US06037,209.46,197.52,193.81,185.17,1243.43,1270.8,1270.8,1270.8,103.5,98.88,,,13867,13076,12831,12259,82318.25,84130,84130,84130,6852.12,6546,,
6039,050US06039,410.33,375.81,432.03,415.26,4604.86,4655.66,4655.66,4655.66,328.66,325.5,,,416,381,438,421,4668.5,4720,4720,4720,333.2,330,,
6041,050US06041,170.14,164.98,157.89,157.89,3464.01,3464.01,3464.01,3464.01,151.32,129.54,,,264,256,245,245,5375,5375,5375,5375,234.8,201,,
6043,050US06043,328.84,350.06,466.74,466.74,9801.63,9801.63,9801.63,9801.63,,,,,31,33,44,44,924,924,924,924,,,,
6045,050US06045,464.89,516.55,,837.96,7826.67,7914.67,,7914.67,306.91,323.32,,,243,270,,438,4091,4137,,4137,160.42,169,,
6047,050US06047,253.95,259.27,244.39,226.33,2462.37,2512.98,2512.98,2512.98,222.97,214.11,,,478,488,460,426,4634.75,4730,4730,4730,419.68,403,,
6049,050US06049,602.93,667.53,602.93,495.26,17205,17205,17205,17205,,,,,28,31,28,23,799,799,799,799,,,,
6051,050US06051,216.28,318.73,295.96,250.43,5509.39,5509.39,5509.39,5509.39,,,,,19,28,26,22,484,484,484,484,,,,
6053,050US06053,314.06,330.33,329.96,328.52,3576.38,3551.18,3551.18,3551.18,196.29,215.04,,,869,914,913,909,9895.75,9826,9826,9826,543.12,595,,
6055,050US06055,286.85,269.21,230.42,159.88,6158.96,6158.96,6158.96,6158.96,,,,,244,229,196,136,5239,5239,5239,5239,,,,
6057,050US06057,249.18,254.34,290.43,269.81,3760.96,3854.61,3854.61,3854.61,225.97,250.9,,,145,148,169,157,2188.5,2243,2243,2243,131.49,146,,
6059,050US06059,178.21,184.96,188.05,178.73,3258.78,3284.12,3284.12,3284.12,106.88,113.43,,,3747,3889,3954,3758,68519.25,69052,69052,69052,2247.31,2385,,
6061,050US06061,293.88,298.14,307.82,302.02,3988.93,3988.93,3988.93,3988.93,,,,,759,770,795,780,10302,10302,10302,10302,,,,
6063,050US06063,257.04,352.25,352.25,409.37,11690.78,11690.78,11690.78,11690.78,,,,,27,37,37,43,1228,1228,1228,1228,,,,
6065,050US06065,235.81,236.3,236.61,233.45,3244.3,3277.98,3277.98,3277.98,195.07,191.59,,,3802,3810,3815,3764,52309,52852,52852,52852,3145.25,3089,,
6067,050US06067,281.72,293.96,306.6,303.25,3170.03,3217.34,3217.34,3217.34,185.97,196.45,,,2944,3072,3204,3169,33127.62,33622,33622,33622,1943.42,2053,,
6069,050US06069,217.11,217.11,223.83,212.64,4143.07,4143.07,4143.07,4143.07,,,,,97,97,100,95,1851,1851,1851,1851,,,,
6071,050US06071,323.76,309,311.46,287.33,3748.03,3725.51,3725.51,3725.51,220.2,224.06,,,4738,4522,4558,4205,54850.5,54521,54521,54521,3222.55,3279,,
6073,050US06073,203.77,191.74,212.1,210.6,2329.02,2321.89,2321.89,2321.89,126.02,118.76,,,4495.25,4230,4679,4646,51380.25,51223,51223,51223,2780.17,2620,,
6075,050US06075,141.23,148.98,176.1,185.43,1766.27,1766.45,1766.45,1766.45,22.57,21.13,,,802,846,1000,1053,10030,10031,10031,10031,128.15,120,,
6077,050US06077,230.84,242.64,249.03,243.8,2390.52,2377.65,2377.65,2377.65,168.47,176.66,,,1193,1254,1287,1260,12354.5,12288,12288,12288,870.67,913,,
6079,050US06079,241.86,226.85,247.97,241.86,4180.68,4440.19,4440.19,4440.19,124.49,126.21,,,435,408,446,435,7519.25,7986,7986,7986,223.91,227,,
6081,050US06081,210.93,224.66,224.04,208.64,2729.22,2936.62,2936.62,2936.62,146.07,157.89,,,1014,1080,1077,1003,13120,14117,14117,14117,702.21,759,,
6083,050US06083,290.63,266.78,268.86,260.91,3535.99,3562.86,3562.86,3562.86,212.05,194.9,,,841,772,778,755,10232.25,10310,10310,10310,613.61,564,,
6085,050US06085,228.17,229.82,233.02,235.52,1601.58,1674.24,1674.24,1674.24,208.9,211.05,,,2918,2939,2980,3012,20481.75,21411,21411,21411,2671.53,2699,,
6087,050US06087,201.41,189.43,167.75,155.77,5680.04,5680.04,5680.04,5680.04,,,,,353,332,294,273,9955,9955,9955,9955,,,,
6089,050US06089,266.07,250.58,256.96,302.52,7164.34,7189.39,7189.39,7189.39,217.03,217.78,,,292,275,282,332,7862.5,7890,7890,7890,238.18,239,,
6091,050US06091,,,,,,,,,,,,,,,,,,,,,,,,
6093,050US06093,371.82,388.17,400.42,424.94,11142.44,11142.44,11142.44,11142.44,,,,,91,95,98,104,2727,2727,2727,2727,,,,
6095,050US06095,179.75,171.11,164.19,173.18,3327.07,3360.25,3360.25,3360.25,153.6,146.22,,,520,495,475,501,9625,9721,9721,9721,444.36,423,,
6097,050US06097,235.56,237.2,253.63,230.3,3663.51,3858.33,3858.33,3858.33,153.96,158.68,,,717,722,772,701,11151,11744,11744,11744,468.62,483,,
6099,050US06099,371.32,389.32,406.48,403.67,4395.6,4487.02,4487.02,4487.02,267.27,294.8,,,1320,1384,1445,1435,15626,15951,15951,15951,950.11,1048,,
6101,050US06101,250.76,308.62,345.59,323.09,6885.73,6910.24,6910.24,6910.24,232.01,258.79,,,156,192,215,201,4283.75,4299,4299,4299,144.34,161,,
6103,050US06103,369.65,318.67,272.78,254.93,6560.7,6429.41,6429.41,6429.41,97.13,91.78,,,145,125,107,100,2573.5,2522,2522,2522,38.1,36,,
6105,050US06105,561.35,561.35,515.52,549.89,7137.13,7137.13,7137.13,7137.13,,,,,49,49,45,48,623,623,623,623,,,,
6107,050US06107,377.38,374.11,374.76,363.63,2129.35,2130.41,2130.41,2130.41,274.22,269.7,,,1153,1143,1145,1111,6505.75,6509,6509,6509,837.81,824,,
6109,050US06109,364.96,345.92,450.65,469.69,9365.28,9365.28,9365.28,9365.28,,,,,115,109,142,148,2951,2951,2951,2951,,,,
6111,050US06111,231.53,235.6,244.28,232.83,4072.53,4137.85,4137.85,4137.85,156.83,167.6,,,1253,1275,1322,1260,22039.5,22393,22393,22393,848.75,907,,
6113,050US06113,154.72,150.26,173.19,157.27,4608.52,4608.52,4608.52,4608.52,,,,,243,236,272,247,7238,7238,7238,7238,,,,
6115,050US06115,553.36,529.3,534.85,551.5,9532.89,9532.89,9532.89,9532.89,,,,,299,286,289,298,5151,5151,5151,5151,,,,
8001,050US08001,234.88,,259.75,215.26,3415.74,,3415.74,3415.74,,,,,850,,940,779,12361,,12361,12361,,,,
8003,050US08003,793.65,775.19,719.82,710.59,12809.15,12809.15,12809.15,12809.15,,,,,86,84,78,77,1388,1388,1388,1388,,,,
8005,050US08005,201.98,215.58,223.06,201.98,2651.9,2780.77,2780.77,2780.77,157.64,190.19,,,891,951,984,891,11698.5,12267,12267,12267,695.39,839,,
8007,050US08007,1853.68,1853.68,2076.12,1866.04,7105.78,7105.78,7105.78,7105.78,,,,,150,150,168,151,575,575,575,575,,,,
8009,050US08009,257.86,361.01,361.01,412.58,9089.74,9128.42,9128.42,9128.42,221.25,309.44,,,5,7,7,8,176.25,177,177,177,4.29,6,,
8011,050US08011,,,,,,,,,,,,,,,,,,,,,,,,
8013,050US08013,187.66,192.05,195.12,203.89,2101.14,2204.18,2204.18,2204.18,151.71,151.71,,,428,438,445,465,4792,5027,5027,5027,346,346,,
8014,050US08014,194.32,207.78,192.39,151.99,5248.48,5248.48,5248.48,5248.48,,,,,101,108,100,79,2728,2728,2728,2728,,,,
8015,050US08015,367.68,447.61,287.75,343.7,11437.93,11437.93,11437.93,11437.93,,,,,46,56,36,43,1431,1431,1431,1431,,,,
8017,050US08017,,,,,,,,,,,,,,,,,,,,,,,,
8019,050US08019,840.47,614.19,581.87,598.03,15063.84,15063.84,15063.84,15063.84,,,,,52,38,36,37,932,932,932,932,,,,
8021,050US08021,290.76,290.76,335.5,335.5,1453.81,1453.81,1453.81,1453.81,,,,,13,13,15,15,65,65,65,65,,,,
8023,050US08023,1897.81,2287.1,,,9245.74,9245.74,,,,,,,39,47,,,190,190,,,,,,
8025,050US08025,162.19,185.36,139.02,185.36,4170.53,4170.53,4170.53,4170.53,,,,,7,8,6,8,180,180,180,180,,,,
8027,050US08027,486.96,,,,7617.39,7617.39,7617.39,7617.39,,,,,14,,,,219,219,219,219,,,,
8029,050US08029,324.11,240.29,234.7,268.23,6353.73,6353.73,6353.73,6353.73,,,,,58,43,42,48,1137,1137,1137,1137,,,,
8031,050US08031,335.36,321.23,334.78,298.57,4309.92,4338.04,4338.04,4338.04,270.23,253.85,,,1732,1659,1729,1542,22258.75,22404,22404,22404,1395.61,1311,,
8033,050US08033,,,,,,,,,,,,,,,,,,,,,,,,
8035,050US08035,152.74,156.28,157.46,151.95,2394.74,2402.13,2402.13,2402.13,117.58,122.43,,,388,397,400,386,6083.25,6102,6102,6102,298.68,311,,
8037,050US08037,125.25,125.25,146.13,146.13,3979.44,3979.44,3979.44,3979.44,,,,,48,48,56,56,1525,1525,1525,1525,,,,
