HEROP_ID,HospMinDis
140US01101005410,2.945173354
140US01101005302,2.280624851
140US01101002500,3.07265381
140US01101003301,1.651525426
140US01037961100,12.23663255
140US01085781100,19.71343902
140US01121010600,1.386899142
140US01113031200,16.65356699
140US01097005900,20.02270987
140US01097001901,5.756774476
140US01097005000,3.622566854
140US01097005200,4.138923826
140US01097000902,0.926164204
140US01097001400,1.948895304
140US01097002600,0.396755111
140US01097003301,0.45397992
140US01097003602,1.240025276
140US01069040600,2.380771681
140US01069040400,2.220879447
140US01093964500,10.32510091
140US01093964300,5.416262121
140US01125011402,1.194625675
140US01125012101,1.202607726
140US01125010105,18.00156617
140US01125012102,0.816890361
140US01097990000,8.72993046
140US01047956400,2.360635902
140US01069040205,1.412092386
140US01001020502,1.870038406
140US01051031001,4.207972036
140US01115040104,8.089369735
140US01073011002,6.251857095
140US01073012913,5.343262014
140US01117030330,2.542060467
140US01097007600,2.968926603
140US01031011100,0.61283317
140US01001020600,2.202327052
140US01121011200,11.30513597
140US01089000403,4.441995085
140US01089011201,9.587193391
140US01089011026,6.866246595
140US01089010503,8.550816955
140US01089011023,5.098273631
140US01073004502,0.099088027
140US01073012918,4.504996792
140US01073012805,0.688988288
140US01073011003,7.899382915
140US01073012919,4.770531431
140US01117030352,5.436992944
140US01097007203,23.92980619
140US01097006410,2.464072395
140US01097000802,0.810472722
140US01009050302,10.0474121
140US01049960302,10.49405042
140US01031011205,2.943036781
140US01059973702,10.31236981
140US01077010902,2.247585355
140US01101003303,2.519694361
140US01047957301,6.755580591
140US01091973002,14.14449031
140US01081040202,3.362174709
140US01081042009,4.138696013
140US01081042007,5.997997057
140US01053969802,9.658593031
140US01065040402,1.838944815
140US01113030601,4.676080887
140US01083020103,14.58718469
140US01115040208,0.783813465
140US01063060000,12.19613023
140US01089011013,4.347249471
140US01089000701,3.404148787
140US01039961700,8.972447856
140US01055000500,3.056483087
140US01011952500,8.33676359
140US01073000400,2.15024841
140US01073013902,5.110558824
140US01073000300,1.335310926
140US01073005000,1.361433688
140US01103005500,13.21729205
140US01125011200,0.313881372
140US01083020900,2.062810889
140US01111000100,9.398093149
140US01023956900,13.39690151
140US01063060101,3.788203117
140US01099075901,9.80654267
140US01125012408,2.483143193
140US01101005614,2.588842746
140US01031011206,2.818711008
140US01099075600,20.6065522
140US01089001302,2.582999785
140US01097006803,3.126994461
140US01003010706,3.079930566
140US01073004902,0.668502099
140US01097003703,0.671305531
140US01097005400,6.625150435
140US01097003405,2.445310244
140US01097004000,2.250318737
140US01069040900,2.597396594
140US01067030300,18.92724558
140US01101005604,11.14429556
140US01101001600,0.850622258
140US01001020200,1.477476723
140US01097000200,1.84720783
140US01097001100,2.158571317
140US01013952800,1.212896163
140US01131034700,12.09380802
140US01073014408,5.407440012
140US01101002100,0.972244999
140US01125012505,5.534766278
140US01073000700,3.181299906
140US01073013200,4.64077508
140US01033020100,1.773967688
140US01103000900,2.092132298
140US01125010601,12.95716055
140US01125012404,3.435296541
140US01083021000,1.286599281
140US01089000602,2.579412488
140US01089002701,2.217794342
140US01077010200,2.174542978
140US01097000903,1.342987945
140US01097003607,0.346455248
140US01101005613,3.736268745
140US01097006408,3.119040992
140US01073002702,1.229691508
140US01117980100,3.965340621
140US01001020503,1.67260574
140US01125012002,0.728119434
140US01089003000,2.084586436
140US01083021201,8.176339359
140US01089000702,2.601651742
140US01089010628,6.866583235
140US01063060102,5.083565136
140US01081040904,3.72474971
140US01081040402,4.80212024
140US01097003410,3.907765657
140US01089002501,1.483468196
140US01073010302,3.999639401
140US01129044100,11.08154179
140US01033020600,1.550675946
140US01039962300,7.092970273
140US01089002803,6.542899218
140US01073002701,0.705481423
140US01097000402,1.645895007
140US01101005411,2.474035542
140US01025958003,9.976351246
140US01081042008,4.502165916
140US01069040302,3.046288385
140US01073014105,1.469479073
140US01073004800,0.714900591
140US01125011800,2.270568037
140US01119011500,6.701080186
140US01101000500,1.06114331
140US01047956900,11.54482654
140US01089001700,0.904683162
140US01053969801,12.95217722
140US01089010626,1.095940373
140US01089000301,4.321277404
140US01069040204,1.081519788
140US01081041102,2.842065872
140US01073010301,2.772219396
140US01125010102,17.96968557
140US01101000700,1.363068977
140US01089000503,2.16701754
140US01073003300,2.880175398
140US01073011804,3.90866242
140US01097002100,3.107366595
140US01023956700,10.404681
140US01077010700,0.363998778
140US01097003710,0.996050746
140US01015001102,3.257240758
140US01089002200,2.752330709
140US01097003207,1.313505306
140US01087232300,12.08319242
140US01097001501,2.84124783
140US01097002302,3.04935649
140US01097003404,2.375154362
140US01089010406,13.03461014
140US01073012920,1.530479765
140US01101001900,1.216688003
140US01003010704,1.143215265
140US01095031100,3.792834517
140US01095030801,5.559793485
140US01073012103,10.07088998
140US01073012402,5.768814531
140US01073001100,3.594372109
140US01073010001,5.549193659
140US01073012304,6.625515296
140US01073010002,3.63556089
140US01073003200,2.389518665
140US01073003100,1.703202926
140US01073003002,0.91649706
140US01073014301,2.417023293
140US01073005600,2.021596504
140US01073010100,3.793356647
140US01073003900,1.072633255
140US01073010603,4.941612018
140US01073010500,5.762916642
140US01073011904,3.105576806
140US01073005908,2.049208336
140US01073012602,2.070576941
140US01073002303,0.782887431
140US01073013901,6.086457725
140US01103000100,0.648919772
140US01103005103,5.1079511
140US01103000800,1.426123131
140US01125010500,3.053366025
140US01125012700,1.492843223
140US01125010703,13.87430567
140US01125010203,8.191961039
140US01133965700,2.573603267
140US01065040500,10.89767015
140US01127021500,8.632286553
140US01127020100,5.236414774
140US01071950500,11.88739965
140US01071950700,4.907364215
140US01089001901,1.70934662
140US01089000501,2.250922822
140US01127020200,4.583737006
140US01127021400,9.082116897
140US01089001200,1.607745279
140US01089001500,2.703170786
140US01089001801,2.401272399
140US01089002721,2.707940365
140US01079979100,13.15686878
140US01083020600,1.300477843
140US01129043900,13.05441693
140US01089002400,2.606822925
140US01039962700,2.25801287
140US01015000900,1.83713239
140US01015001600,3.922460055
140US01015002600,14.33684336
140US01053970300,12.34586765
140US01077011502,9.203315511
140US01077011603,9.688251654
140US01077011700,16.65926366
140US01019956000,0.102738583
140US01003010400,16.33193188
140US01003010600,3.879564685
140US01023957000,20.34497492
140US01043965700,14.3618956
140US01043964700,2.820976367
140US01043965100,3.465497941
140US01043965300,10.02567329
140US01009050601,19.57324038
140US01055001200,0.362618281
140US01055001700,2.061974756
140US01055001600,2.289057692
140US01025957901,8.299708196
140US01047956300,1.257091511
140US01055010300,9.015121096
140US01055000900,2.248328025
140US01055000700,2.404331337
140US01055011001,6.290882798
140US01059973400,6.097391863
