HEROP_ID,ZIP,OtpTmDr,OtpTmDr2,OtpCntDr,OtpMinDis
860US01151,01151,2.8314826022,5.6629652044,13,1.1966931044356293
860US01152,01152,,,,
860US01199,01199,,,,
860US01201,01201,3.78784867324,7.57569734648,5,1.4597923230880476
860US01202,01202,1.72,3.44,6,0.540297731592696
860US01220,01220,4.945000000595,9.89000000119,4,2.908442623252524
860US01222,01222,14.81,29.62,2,6.5995622263441
860US01223,01223,23.28727629393,46.57455258786,4,10.661376558516936
860US01224,01224,12.39,24.78,4,5.07880801532099
860US01225,01225,13.2763276086,26.5526552172,5,7.475128219692214
860US01226,01226,9.05082824213917,18.10165648427834,5,3.2817493982070904
860US01227,01227,9.05,18.1,5,3.28080282960265
860US01229,01229,,,,
860US01230,01230,4.61137878233,9.22275756466,2,3.7177467285320174
860US01235,01235,13.201968086459999,26.403936172919998,3,6.0548057615574145
860US01236,01236,5.4686284328,10.9372568656,3,2.533279586408609
860US01237,01237,12.93029050089,25.86058100178,4,5.054619428397623
860US01238,01238,16.96056829443,33.92113658886,4,7.396945848221391
860US01240,01240,13.15572940007573,26.31145880015146,4,6.193152834878686
860US01242,01242,,,,
860US01243,01243,,,,
860US01244,01244,,,,
860US01245,01245,20.0172571416,40.0345142832,2,6.255844941550406
860US01247,01247,5.63935883138,11.27871766276,2,2.5376435748386084
860US01253,01253,26.59,53.18,1,9.99151879690685
860US01254,01254,23.13020257988,46.26040515976,3,4.611761145726245
860US01255,01255,26.573474430839997,53.146948861679995,1,9.982035682880214
860US01256,01256,18.65,37.3,2,5.23275965218754
860US01257,01257,14.818654405740002,29.637308811480004,2,6.599329320113299
860US01258,01258,13.07,26.14,2,7.57043442667239
860US01259,01259,17.79,35.58,2,6.51936485766996
860US01260,01260,,,,
860US01262,01262,,,,
860US01263,01263,,,,
860US01264,01264,,,,
860US01266,01266,12.466682097863318,24.933364195726636,4,5.2989557712113875
860US01267,01267,6.189519217889519,12.379038435779037,3,2.6826378724842783
860US01270,01270,11.118035710801962,22.236071421603924,3,6.936056688229596
860US01301,01301,2.17860198546,4.35720397092,8,0.8556389970190108
860US01302,01302,0.0,0.0,8,0.100564473253231
860US01330,01330,24.62552941644,49.25105883288,5,6.756725019812096
860US01331,01331,11.48293082453293,22.96586164906586,3,2.7567631282608245
860US01337,01337,8.38586805582,16.77173611164,8,5.549991471554286
860US01338,01338,15.03,30.06,4,5.96324188268531
860US01339,01339,26.861786546159998,53.723573092319995,4,11.77039455324236
860US01340,01340,27.950182227400003,55.900364454800005,4,12.304589441079221
860US01341,01341,24.99106135625,49.9821227125,5,6.770801800195726
860US01342,01342,7.57,15.14,9,4.49179103517341
860US01343,01343,21.11193548264,42.22387096528,3,7.088123423759049
860US01344,01344,15.31,30.62,5,6.34537307656465
860US01346,01346,28.19,56.38,4,12.4222942706219
860US01347,01347,,,,
860US01349,01349,13.7524186054,27.5048372108,8,5.137503912043595
860US01350,01350,28.19,56.38,4,12.4222942706219
860US01351,01351,13.706339284699999,27.412678569399997,8,5.101863396107738
860US01354,01354,8.39,16.78,8,5.55687987287146
860US01355,01355,20.698801841799998,41.397603683599996,1,10.626458421162774
860US01360,01360,16.13942560514,32.27885121028,7,9.143532957130038
860US01364,01364,2.801166516061166,5.602333032122332,2,2.4226600882656735
860US01366,01366,25.14614865356,50.29229730712,1,8.929097066579258
860US01367,01367,27.54788461832,55.09576923664,4,11.938383288900985
860US01368,01368,16.125232743410002,32.250465486820005,2,7.709704000879421
860US01370,01370,17.184363017309998,34.368726034619996,4,6.751372704107745
860US01373,01373,8.91639053502,17.83278107004,9,5.394575038324169
860US01375,01375,14.90563402113,29.81126804226,9,9.39784471208976
860US01376,01376,7.712203274909999,15.424406549819999,9,2.334919069369624
860US01378,01378,15.31,30.62,5,6.34537307656465
860US01379,01379,15.31,30.62,5,6.34537307656465
860US01380,01380,15.31,30.62,5,6.34537307656465
860US01420,01420,5.05362428394,10.10724856788,7,2.0863378007545585
860US01430,01430,14.382668913750003,28.765337827500005,4,7.565752020217988
860US01431,01431,15.56773163008,31.13546326016,6,8.126071347954335
860US01432,01432,8.600136009280135,17.20027201856027,8,4.4711860823399
860US01434,01434,12.064055729620002,24.128111459240003,10,2.8734368821810303
860US01436,01436,9.9,19.8,5,1.80121934063579
860US01438,01438,14.61,29.22,5,4.97241267568758
860US01440,01440,10.248141929188142,20.496283858376284,6,4.273094034667818
860US01450,01450,13.12749288559,26.25498577118,6,7.259769573568458
860US01451,01451,13.11019346339,26.22038692678,15,3.5542101887649444
860US01452,01452,17.086587729439998,34.173175458879996,4,7.6200265819869815
860US01453,01453,3.754048059735952,7.508096119471904,13,1.6763106198729139
860US01460,01460,15.518629994451368,31.037259988902736,16,8.21136472505751
860US01462,01462,6.974107408130001,13.948214816260002,5,3.43059552260081
860US01463,01463,15.836995903319998,31.673991806639997,5,10.326920654360038
860US01464,01464,0.0042894126399999994,0.008578825279999999,6,3.201313545801688
860US01467,01467,,,,
860US01468,01468,13.389901314549999,26.779802629099997,5,4.149853509158163
860US01469,01469,13.962358900250003,27.924717800500005,5,7.689617156395567
860US01472,01472,,,,
860US01473,01473,0.027805525610000003,0.055611051220000006,6,1.337097356895266
860US01474,01474,13.55546125433,27.11092250866,5,7.466250714111481
860US01475,01475,2.49395573093,4.98791146186,4,4.289035325346997
860US01501,01501,5.622433470354867,11.244866940709734,15,2.8406134928949216
860US01503,01503,13.990520284330001,27.981040568660003,18,6.812937077841386
860US01504,01504,8.707211439282787,17.414422878565574,22,3.208631367821641
860US01505,01505,10.194214195774213,20.388428391548427,17,4.827690294673379
860US01506,01506,18.30012797181,36.60025594362,3,9.081242076045296
860US01507,01507,11.09221378091,22.18442756182,10,5.391949714646354
860US01508,01508,8.99,17.98,10,5.0653111635816
860US01509,01509,8.99,17.98,10,5.0653111635816
860US01510,01510,9.31189146259,18.62378292518,17,7.573356681899805
860US01515,01515,16.73,33.46,9,8.99584871068327
860US01516,01516,12.80910629304,25.61821258608,14,6.543513084977437
860US01518,01518,10.09628504688,20.19257009376,12,5.452145566925778
860US01519,01519,7.42977860967978,14.85955721935956,14,3.8197411681594047
860US01520,01520,11.01637789534,22.03275579068,15,5.443948108116135
860US01521,01521,22.86,45.72,1,8.82099770349928
860US01522,01522,13.948482621848482,27.896965243696965,15,6.910355996506711
860US01523,01523,0.06439534286560465,0.1287906857312093,14,3.3380607489252503
860US01524,01524,7.073270728790001,14.146541457580001,12,4.304415778847192
860US01525,01525,13.05,26.1,14,7.08324563328029
860US01526,01526,,,,
860US01527,01527,2.329298675789299,4.658597351578598,16,1.0878111206828656
860US01529,01529,13.834914821869999,27.669829643739998,27,5.375893045378449
860US01531,01531,37.13409313838001,74.26818627676002,0,17.240863023522934
860US01532,01532,9.02069284481,18.04138568962,16,2.823785724241005
860US01534,01534,12.272261305610002,24.544522611220003,14,6.849210746119069
860US01535,01535,23.466744678286744,46.93348935657349,5,12.342523587820855
860US01536,01536,6.480920549989079,12.961841099978159,14,2.987031048812284
860US01537,01537,9.04,18.08,12,6.86624024579389
860US01538,01538,15.0,30.0,23,8.33928176026127
860US01540,01540,7.98000000173,15.96000000346,12,6.4111241103789185
860US01541,01541,11.73,23.46,13,6.01304150185073
860US01542,01542,4.9712320000000005,9.942464000000001,12,3.2610623683097146
860US01543,01543,21.09113361147,42.18226722294,9,10.368111174085822
860US01545,01545,6.858777569451222,13.717555138902444,16,2.604365590828219
860US01546,01546,,,,
860US01550,01550,2.6667041493767045,5.333408298753409,8,0.950934135833934
860US01560,01560,7.19336714815,14.3867342963,15,4.147350473616187
860US01561,01561,,,,
860US01562,01562,13.7600989065499,27.5201978130998,10,7.836670196997177
860US01564,01564,11.353924634990001,22.707849269980002,15,6.241426713041965
860US01566,01566,7.73581274395,15.4716254879,12,3.6381087526371667
860US01568,01568,12.20876758152,24.41753516304,14,5.562510275373487
860US01569,01569,15.713241447836758,31.426482895673516,26,8.55212867945696
