HEROP_ID,ZIP,SutTmDr,SutTmDr2,SutCntDr,SutMinDis
860US57384,57384,0.0,0.0,0.0,168.19984919039388
860US57385,57385,0.0,0.0,0.0,136.87616841316273
860US57386,57386,0.0,0.0,0.0,153.5725929828321
860US57399,57399,,,,
860US57401,57401,0.0,0.0,0.0,229.0958613191822
860US57402,57402,0.0,0.0,0.0,227.619551761546
860US57420,57420,0.0,0.0,0.0,219.338692212446
860US57421,57421,0.0,0.0,0.0,209.271867808232
860US57422,57422,0.0,0.0,0.0,210.38462076236993
860US57424,57424,0.0,0.0,0.0,196.92580941344016
860US57426,57426,0.0,0.0,0.0,241.036509175459
860US57427,57427,0.0,0.0,0.0,236.5585358842161
860US57428,57428,0.0,0.0,0.0,239.28763992865566
860US57429,57429,0.0,0.0,0.0,191.246057485725
860US57430,57430,0.0,0.0,0.0,209.271867808232
860US57432,57432,0.0,0.0,0.0,235.22590405582994
860US57433,57433,0.0,0.0,0.0,241.036509175459
860US57434,57434,0.0,0.0,0.0,195.04453045599368
860US57435,57435,0.0,0.0,0.0,224.5678688511389
860US57436,57436,0.0,0.0,0.0,191.246057485725
860US57437,57437,0.0,0.0,0.0,259.91932451989254
860US57438,57438,0.0,0.0,0.0,223.122738497942
860US57439,57439,0.0,0.0,0.0,217.36722175522
860US57440,57440,0.0,0.0,0.0,191.51713412746432
860US57441,57441,0.0,0.0,0.0,241.036509175459
860US57442,57442,0.0,0.0,0.0,207.32932225570914
860US57445,57445,0.0,0.0,0.0,219.64983790825866
860US57446,57446,0.0,0.0,0.0,241.036509175459
860US57448,57448,0.0,0.0,0.0,245.18767499431954
860US57449,57449,0.0,0.0,0.0,241.036509175459
860US57450,57450,0.0,0.0,0.0,209.55151921640095
860US57451,57451,0.0,0.0,0.0,237.7443287027887
860US57452,57452,0.0,0.0,0.0,222.29430607792574
860US57454,57454,0.0,0.0,0.0,209.47660569929204
860US57455,57455,0.0,0.0,0.0,207.469918995166
860US57456,57456,0.0,0.0,0.0,264.24373335658794
860US57457,57457,0.0,0.0,0.0,264.328668674598
860US57460,57460,0.0,0.0,0.0,215.15178019029847
860US57461,57461,0.0,0.0,0.0,196.32922126945098
860US57465,57465,0.0,0.0,0.0,204.88417829669544
860US57466,57466,0.0,0.0,0.0,227.8074348585721
860US57467,57467,0.0,0.0,0.0,201.53836707277213
860US57468,57468,0.0,0.0,0.0,210.067229807154
860US57469,57469,0.0,0.0,0.0,195.43355249130738
860US57470,57470,0.0,0.0,0.0,207.47951982227937
860US57471,57471,0.0,0.0,0.0,241.16344100041144
860US57472,57472,0.0,0.0,0.0,219.3669747687484
860US57473,57473,0.0,0.0,0.0,218.67811074233913
860US57474,57474,0.0,0.0,0.0,216.6696894227514
860US57475,57475,0.0,0.0,0.0,220.55731886563944
860US57476,57476,0.0,0.0,0.0,196.2979035162893
860US57477,57477,0.0,0.0,0.0,191.246057485725
860US57479,57479,0.0,0.0,0.0,217.36722175522
860US57481,57481,0.0,0.0,0.0,245.68594002800623
860US57501,57501,0.0,0.0,0.0,172.9922554890745
860US57520,57520,0.0,0.0,0.0,188.120293506234
860US57521,57521,0.0,0.0,0.0,98.6327786848276
860US57522,57522,0.0,0.0,0.0,186.17093724816507
860US57523,57523,0.0,0.0,0.0,142.89985008515234
860US57528,57528,0.0,0.0,0.0,180.165501726397
860US57529,57529,0.0,0.0,0.0,165.78425278903805
860US57531,57531,0.0,0.0,0.0,143.74496426918
860US57532,57532,0.0,0.0,0.0,152.19584007440008
860US57533,57533,0.0,0.0,0.0,157.68735857673087
860US57534,57534,0.0,0.0,0.0,180.33613344730202
860US57536,57536,0.0,0.0,0.0,186.59310689935376
860US57537,57537,0.0,0.0,0.0,151.6187880611874
860US57538,57538,0.0,0.0,0.0,140.103577517419
860US57540,57540,0.0,0.0,0.0,207.47725086737415
860US57541,57541,0.0,0.0,0.0,180.165501726397
860US57543,57543,0.0,0.0,0.0,98.72841294786058
860US57544,57544,0.0,0.0,0.0,182.3586438539061
860US57547,57547,0.0,0.0,0.0,91.6874518578157
860US57548,57548,0.0,0.0,0.0,191.737107422137
860US57551,57551,0.0,0.0,0.0,91.22483949090491
860US57552,57552,0.0,0.0,0.0,116.08886015416839
860US57553,57553,0.0,0.0,0.0,112.71315929078368
860US57555,57555,0.0,0.0,0.0,145.768137746955
860US57559,57559,0.0,0.0,0.0,143.69470484866454
860US57560,57560,0.0,0.0,0.0,125.21316145411924
860US57562,57562,0.0,0.0,0.0,143.74496426918
860US57563,57563,0.0,0.0,0.0,145.768137746955
860US57564,57564,0.0,0.0,0.0,188.4209844335928
860US57566,57566,0.0,0.0,0.0,145.768137746955
860US57567,57567,0.0,0.0,0.0,112.73080417360723
860US57568,57568,0.0,0.0,0.0,182.161892871966
860US57569,57569,0.0,0.0,0.0,182.161892871966
860US57570,57570,0.0,0.0,0.0,127.365882136255
860US57571,57571,0.0,0.0,0.0,140.103577517419
860US57572,57572,0.0,0.0,0.0,127.365882136255
860US57574,57574,0.0,0.0,0.0,92.5524552899986
860US57576,57576,0.0,0.0,0.0,182.161892871966
860US57577,57577,0.0,0.0,0.0,91.6874518578157
860US57579,57579,0.0,0.0,0.0,136.331699724619
860US57580,57580,0.0,0.0,0.0,180.4707761905691
860US57584,57584,0.0,0.0,0.0,180.19462494462812
860US57585,57585,0.0,0.0,0.0,136.331699724619
860US57601,57601,0.0,0.0,0.0,210.18548908224537
860US57620,57620,0.0,0.0,0.0,150.443777664882
860US57621,57621,0.0,0.0,0.0,187.335782342801
860US57622,57622,0.0,0.0,0.0,139.525087973957
860US57623,57623,0.0,0.0,0.0,139.84844022872804
860US57625,57625,0.0,0.0,0.0,155.34031552168378
860US57626,57626,0.0,0.0,0.0,99.77310580811702
860US57630,57630,0.0,0.0,0.0,175.552564777148
860US57631,57631,0.0,0.0,0.0,221.98653939603972
860US57632,57632,0.0,0.0,0.0,233.508252806585
860US57633,57633,0.0,0.0,0.0,175.8046122078007
860US57634,57634,0.0,0.0,0.0,187.335782342801
860US57636,57636,0.0,0.0,0.0,175.552564777148
860US57638,57638,0.0,0.0,0.0,151.3353344568957
860US57639,57639,0.0,0.0,0.0,187.335782342801
860US57640,57640,0.0,0.0,0.0,150.443777664882
860US57641,57641,0.0,0.0,0.0,187.335782342801
860US57642,57642,0.0,0.0,0.0,210.55052772315156
860US57644,57644,0.0,0.0,0.0,156.86878970185174
860US57645,57645,0.0,0.0,0.0,187.335782342801
860US57646,57646,0.0,0.0,0.0,233.508252806585
860US57648,57648,0.0,0.0,0.0,233.508252806585
860US57649,57649,0.0,0.0,0.0,150.07304183587888
860US57650,57650,0.0,0.0,0.0,148.332195333463
860US57651,57651,0.0,0.0,0.0,148.81609961845038
860US57652,57652,0.0,0.0,0.0,175.552564777148
860US57656,57656,0.0,0.0,0.0,175.552564777148
860US57657,57657,0.0,0.0,0.0,185.96107362288043
860US57658,57658,0.0,0.0,0.0,214.139649544822
860US57659,57659,0.0,0.0,0.0,187.335782342801
860US57660,57660,0.0,0.0,0.0,187.335782342801
860US57661,57661,0.0,0.0,0.0,175.552564777148
860US57701,57701,56.021492846339996,112.04298569267999,0.0,46.260127180701865
860US57702,57702,63.61897258807897,127.23794517615794,0.0,43.81126350932223
860US57703,57703,57.04837166613162,114.09674333226324,0.0,46.511340107530664
860US57706,57706,68.21496561162,136.42993122324,0.0,53.345952506511246
860US57709,57709,56.03580487944001,112.07160975888002,0.0,46.368149086230886
860US57714,57714,0.0,0.0,0.0,92.51277623315903
860US57716,57716,0.0,0.0,0.0,55.991744427739725
860US57717,57717,0.0,0.0,0.0,88.98211501823366
860US57718,57718,66.08607496732,132.17214993464,0.0,52.818503688717485
860US57719,57719,36.44303291165,72.8860658233,0.0,62.91224177154981
860US57720,57720,0.0,0.0,0.0,148.332195333463
860US57722,57722,25.94262294615,51.8852458923,0.016393443,16.00400628531949
860US57724,57724,0.0,0.0,0.0,148.332195333463
860US57725,57725,53.05176472104,106.10352944208,0.0,48.398188693409416
860US57730,57730,38.2546393318,76.5092786636,0.0,20.781461436672817
860US57732,57732,0.5389876654610123,1.0779753309220246,0.0,63.4541379231226
860US57735,57735,10.64768518245,21.2953703649,0.0,15.092505297888387
860US57737,57737,0.0,0.0,0.0,91.5925395341596
860US57738,57738,31.65,63.3,0.0,16.6369272882828
860US57741,57741,0.0,0.0,0.0,65.4200580837721
860US57744,57744,35.66596086341,71.33192172682,0.0,19.775680655821304
860US57745,57745,78.26420560940001,156.52841121880002,0.0,41.30641299319927
860US57747,57747,2.900832009,5.801664018,0.646328579,6.116237109293261
860US57748,57748,0.0,0.0,0.0,91.5925395341596
860US57750,57750,0.0,0.0,0.0,96.41508595288266
860US57751,57751,62.56880652104999,125.13761304209999,0.0,32.82942239292034
860US57752,57752,0.0,0.0,0.0,42.42436465841893
860US57754,57754,0.091592392,0.183184784,0.0,63.81977285852578
860US57755,57755,0.0,0.0,0.0,148.332195333463
860US57756,57756,0.0,0.0,0.0,41.9474680429755
860US57758,57758,0.0,0.0,0.0,99.3603672651353
860US57759,57759,0.0,0.0,0.0,59.4022357263102
860US57760,57760,0.0,0.0,0.0,103.39352249660682
860US57761,57761,3.05085608628,6.10171217256,0.0,72.86582156248633
860US57762,57762,0.0,0.0,0.0,102.585801243613
860US57763,57763,0.0,0.0,0.0,14.309519265852
860US57764,57764,0.0,0.0,0.0,41.9474680429755
860US57766,57766,0.0,0.0,0.0,14.309519265852
860US57767,57767,0.0,0.0,0.0,77.27522068225286
860US57769,57769,31.54937655094,63.09875310188,0.0,63.77126538737009
860US57770,57770,0.0,0.0,0.0,52.0635370816489
860US57772,57772,0.0,0.0,0.0,61.03030212945262
