GEOID,HEROP_ID,MhCntDr,MhTmDr,MhTmDr2
1089001901,140US01089001901,7,5.2,10.4
1089000501,140US01089000501,9,6.12,12.24
1127020200,140US01127020200,4,0,0
1127021400,140US01127021400,4,15.46,30.92
1089001200,140US01089001200,11,2.75,5.5
1089001500,140US01089001500,11,0,0
1089001801,140US01089001801,6,9.77,19.54
1089002721,140US01089002721,6,3.91,7.82
1079979100,140US01079979100,4,17.12,34.24
1083020600,140US01083020600,8,0,0
1129043900,140US01129043900,1,16.72,33.44
1089002400,140US01089002400,9,4.57,9.14
1039962700,140US01039962700,3,11.75,23.5
1015000900,140US01015000900,3,5.36,10.72
1015001600,140US01015001600,3,7.67,15.34
1015002600,140US01015002600,4,19.1,38.2
1053970300,140US01053970300,1,15.5,31
1077011502,140US01077011502,2,13.41,26.82
1077011603,140US01077011603,2,15.51,31.02
1077011700,140US01077011700,1,29.24,58.48
1019956000,140US01019956000,1,0,0
1003010400,140US01003010400,1,28.27,56.54
1003010600,140US01003010600,2,25.36,50.72
1023957000,140US01023957000,1,26.14,52.28
1043965700,140US01043965700,4,23.5,47
1043964700,140US01043964700,0,33.59,67.18
1043965100,140US01043965100,0,41.46,82.92
1043965300,140US01043965300,1,29.9,59.8
1009050601,140US01009050601,0,34.82,69.64
1055001200,140US01055001200,2,0,0
1055001700,140US01055001700,2,8.02,16.04
1055001600,140US01055001600,2,7.09,14.18
1025957901,140US01025957901,0,71.1,142.2
1047956300,140US01047956300,1,13.49,26.98
1055010300,140US01055010300,1,16.96,33.92
1055000900,140US01055000900,2,5.67,11.34
1055000700,140US01055000700,2,4.95,9.9
1055011001,140US01055011001,2,13.37,26.74
1059973400,140US01059973400,0,50.74,101.48
1059973200,140US01059973200,1,28.18,56.36
1055000400,140US01055000400,2,7.47,14.94
1033020901,140US01033020901,2,19.67,39.34
1033020801,140US01033020801,2,20.99,41.98
1049961100,140US01049961100,2,0,0
1035960400,140US01035960400,0,35.31,70.62
1035960500,140US01035960500,1,21.64,43.28
1121011800,140US01121011800,3,0,0
1121011000,140US01121011000,0,30.75,61.5
1121010900,140US01121010900,5,25.83,51.66
1057020400,140US01057020400,0,41.51,83.02
1067030400,140US01067030400,12,17.9,35.8
1051030300,140US01051030300,1,19.29,38.58
1087232100,140US01087232100,5,14.2,28.4
1017954700,140US01017954700,6,17.48,34.96
1017953900,140US01017953900,1,29.2,58.4
1041963400,140US01041963400,0,30.87,61.74
1021060200,140US01021060200,2,12.54,25.08
1027959000,140US01027959000,0,43.78,87.56
1061050400,140US01061050400,1,18.1,36.2
1031010800,140US01031010800,2,15.85,31.7
1109188700,140US01109188700,0,45.66,91.32
1081040602,140US01081040602,6,10.94,21.88
1101003200,140US01101003200,6,0,0
1101001000,140US01101001000,6,9.03,18.06
1101005902,140US01101005902,6,12.31,24.62
1101005402,140US01101005402,7,6.35,12.7
1101006100,140US01101006100,6,14.26,28.52
1101005503,140US01101005503,6,0,0
1101001700,140US01101001700,6,5.46,10.92
1045021101,140US01045021101,1,12.23,24.46
1045020300,140US01045020300,9,9.81,19.62
1093964100,140US01093964100,0,47.72,95.44
1097003800,140US01097003800,6,17.8,35.6
1097006802,140US01097006802,6,5.41,10.82
1097005300,140US01097005300,6,9.8,19.6
1097000702,140US01097000702,7,2.44,4.88
1097001302,140US01097001302,7,4.96,9.92
1097002301,140US01097002301,7,5.95,11.9
1097002900,140US01097002900,7,7.39,14.78
1097003302,140US01097003302,6,6.05,12.1
1097003606,140US01097003606,6,8.85,17.7
1097003902,140US01097003902,7,2.53,5.06
1097004900,140US01097004900,6,6.52,13.04
1097006103,140US01097006103,6,12.14,24.28
1097003202,140US01097003202,6,5.67,11.34
1097003203,140US01097003203,6,8.01,16.02
1097003707,140US01097003707,6,4.6,9.2
1097007101,140US01097007101,6,10.42,20.84
1069041700,140US01069041700,8,17.38,34.76
1069040500,140US01069040500,13,3.86,7.72
1069041400,140US01069041400,13,0,0
1029959800,140US01029959800,1,19.99,39.98
1001021000,140US01001021000,1,27,54
1001020400,140US01001020400,6,3,6
1001020700,140US01001020700,6,8.62,17.24
1005950500,140US01005950500,2,21.1,42.2
1005950200,140US01005950200,0,43.98,87.96
1081042002,140US01081042002,10,6.68,13.36
1089001401,140US01089001401,11,6.9,13.8
1019955701,140US01019955701,2,11.79,23.58
1047956701,140US01047956701,1,15.6,31.2
1073005910,140US01073005910,11,10.63,21.26
1073011108,140US01073011108,11,7.76,15.52
1073012703,140US01073012703,13,0,0
1073014001,140US01073014001,8,18.42,36.84
1073012908,140US01073012908,16,0,0
1051030902,140US01051030902,1,18.68,37.36
1117030304,140US01117030304,16,10.81,21.62
1101000100,140US01101000100,6,7.88,15.76
1101005611,140US01101005611,7,8.92,17.84
1101005612,140US01101005612,5,11.57,23.14
1101005607,140US01101005607,5,6.86,13.72
1097006702,140US01097006702,5,14.59,29.18
1055010601,140US01055010601,1,18.06,36.12
1055010602,140US01055010602,2,21.21,42.42
1001020803,140US01001020803,1,16.63,33.26
1051030101,140US01051030101,0,33.55,67.1
1051030401,140US01051030401,5,25.33,50.66
1043965401,140US01043965401,0,47.04,94.08
1015981902,140US01015981902,3,21.24,42.48
1117030216,140US01117030216,14,13.43,26.86
1117030341,140US01117030341,14,7.96,15.92
1117030408,140US01117030408,2,18.98,37.96
1117030900,140US01117030900,6,27.2,54.4
1117030345,140US01117030345,12,0,0
1117030407,140US01117030407,2,13.47,26.94
1115040402,140US01115040402,1,28.56,57.12
1083020201,140US01083020201,5,6.37,12.74
1003010906,140US01003010906,3,21.54,43.08
1021060104,140US01021060104,2,0,0
1025957604,140US01025957604,0,51.77,103.54
1125010705,140US01125010705,4,17.85,35.7
1125010305,140US01125010305,0,45.84,91.68
1107050402,140US01107050402,0,45.2,90.4
1099076102,140US01099076102,0,47.26,94.52
1125010304,140US01125010304,4,4.59,9.18
1099076101,140US01099076101,0,58.79,117.58
1109189101,140US01109189101,3,27.59,55.18
1079979501,140US01079979501,4,13.69,27.38
1007010007,140US01007010007,1,11.34,22.68
1007010009,140US01007010009,1,7.2,14.4
1011952202,140US01011952202,0,46.51,93.02
1091972901,140US01091972901,5,8.16,16.32
1083020803,140US01083020803,11,15.67,31.34
1115040302,140US01115040302,1,28.75,57.5
1115040209,140US01115040209,0,35.28,70.56
1115040211,140US01115040211,4,25.74,51.48
1115040213,140US01115040213,1,28.99,57.98
1113030907,140US01113030907,6,6.52,13.04
1113030906,140US01113030906,6,11.5,23
1043965501,140US01043965501,0,37.43,74.86
1043965002,140US01043965002,0,35.29,70.58
1003010710,140US01003010710,7,4.14,8.28
1003011503,140US01003011503,0,37.1,74.2
1003011604,140US01003011604,0,54.41,108.82
1003011409,140US01003011409,0,33.16,66.32
1003011416,140US01003011416,0,51.69,103.38
1049960702,140US01049960702,3,25.28,50.56
1049960601,140US01049960601,2,27.87,55.74
1033020705,140US01033020705,2,8.85,17.7
1097006412,140US01097006412,5,12.85,25.7
1097006703,140US01097006703,5,20.77,41.54
1097006106,140US01097006106,6,11.87,23.74
1097006411,140US01097006411,6,10.43,20.86
1097003206,140US01097003206,6,7.9,15.8
1081041002,140US01081041002,4,22.09,44.18
1081041001,140US01081041001,5,11.28,22.56
1081041104,140US01081041104,5,8,16
1081041902,140US01081041902,11,12.97,25.94
1081041901,140US01081041901,10,15.36,30.72
1015001103,140US01015001103,3,4.2,8.4
1103005602,140US01103005602,0,31.92,63.84
1015002002,140US01015002002,0,41.89,83.78
1019955802,140US01019955802,1,18.33,36.66
1059973701,140US01059973701,0,43.9,87.8
1093964701,140US01093964701,0,33.5,67
1077011605,140US01077011605,2,18.24,36.48
1077011402,140US01077011402,2,20.21,40.42
1121011302,140US01121011302,3,0,0
1121011501,140US01121011501,3,16.4,32.8
1101005412,140US01101005412,7,6.64,13.28
1071950301,140US01071950301,0,34.87,69.74
1095030804,140US01095030804,2,18.87,37.74
1095030101,140US01095030101,0,32.08,64.16
1095030302,140US01095030302,3,17,34
1095030502,140US01095030502,3,0,0
1095030203,140US01095030203,1,22.75,45.5
1095031002,140US01095031002,2,16.76,33.52
1095031001,140US01095031001,2,22.06,44.12
1073014205,140US01073014205,10,16.33,32.66
1073011115,140US01073011115,11,9.62,19.24
1073014415,140US01073014415,12,14.2,28.4
1073011805,140US01073011805,11,7.65,15.3
1073011806,140US01073011806,11,8.04,16.08
1073011303,140US01073011303,0,32.6,65.2
1073010604,140US01073010604,14,3.31,6.62
1073011401,140US01073011401,3,27.73,55.46
1117030616,140US01117030616,12,7.74,15.48
1117030612,140US01117030612,7,13.7,27.4
1117030218,140US01117030218,10,15.86,31.72
1117030351,140US01117030351,12,12.84,25.68
1009050702,140US01009050702,0,30.15,60.3
1009050501,140US01009050501,0,32.06,64.12
1089010801,140US01089010801,6,12.27,24.54
1089010403,140US01089010403,4,22.3,44.6
1089011202,140US01089011202,9,9.46,18.92
1089010102,140US01089010102,5,19.6,39.2
1089010101,140US01089010101,0,39.24,78.48
1089000203,140US01089000203,7,8.97,17.94
1107050300,140US01107050300,0,42.31,84.62
1107050100,140US01107050100,0,30.7,61.4
1119011600,140US01119011600,1,28.37,56.74
1127021700,140US01127021700,4,20.62,41.24
1127021800,140US01127021800,4,23.45,46.9
1127021600,140US01127021600,1,25.06,50.12
1127020400,140US01127020400,4,0,0
1065040000,140US01065040000,3,26.88,53.76
1099076000,140US01099076000,0,53.87,107.74
1073013400,140US01073013400,13,6.51,13.02
1073013100,140US01073013100,14,5.5,11
1073005702,140US01073005702,14,4.09,8.18
1073010706,140US01073010706,14,7.58,15.16
1073011205,140US01073011205,10,13.18,26.36
1073011803,140US01073011803,11,6.89,13.78
1073000100,140US01073000100,12,3.98,7.96
