HEROP_ID,GEOID,HospCntDr,HospTmDr,HospTmDr2,HospTmDrP,HospTmDrP2,HospAvTmDr,HospAvTmDr2
050US06053,6053,103,96,78,93.2,75.73,96,78
050US06055,6055,40,40,35,100,87.5,40,35
050US06057,6057,26,25,18,96.15,69.23,25,18
050US06059,6059,613,613,610,100,99.51,613,610
050US06061,6061,92,90,72,97.83,78.26,90,72
050US06063,6063,7,6,3,85.71,42.86,6,3
050US06065,6065,518,510,470,98.46,90.73,510,470
050US06067,6067,363,362,350,99.72,96.42,362,350
050US06069,6069,12,1,0,8.33,0,1,0
050US06071,6071,466,455,421,97.64,90.34,455,421
050US06073,6073,736,727,694,98.78,94.29,727,694
050US06075,6075,242,241,241,99.59,99.59,241,241
050US06077,6077,174,174,167,100,95.98,174,167
050US06079,6079,69,64,41,92.75,59.42,64,41
050US06081,6081,173,172,169,99.42,97.69,172,169
050US06083,6083,108,106,94,98.15,87.04,106,94
050US06085,6085,408,406,389,99.51,95.34,406,389
050US06087,6087,69,68,61,98.55,88.41,68,61
050US06089,6089,50,44,39,88,78,44,39
050US06091,6091,1,0,0,0,0,0,0
050US06093,6093,16,8,5,50,31.25,8,5
050US06095,6095,100,99,96,99,96,99,96
050US06097,6097,121,117,104,96.69,85.95,117,104
050US06099,6099,112,108,99,96.43,88.39,108,99
050US06101,6101,21,21,17,100,80.95,21,17
050US06103,6103,14,11,5,78.57,35.71,11,5
050US06105,6105,4,1,3,25,75,1,3
050US06107,6107,103,100,86,97.09,83.5,100,86
050US06109,6109,18,13,8,72.22,44.44,13,8
050US06111,6111,189,186,179,98.41,94.71,186,179
050US06113,6113,53,52,48,98.11,90.57,52,48
050US06115,6115,19,17,13,89.47,68.42,17,13
050US08001,8001,107,106,103,99.07,96.26,106,103
050US08003,8003,5,5,4,100,80,5,4
050US08005,8005,161,160,156,99.38,96.89,160,156
050US08007,8007,5,2,1,40,20,2,1
050US08009,8009,2,2,2,100,100,2,2
050US08011,8011,2,1,0,50,0,1,0
050US08013,8013,78,76,72,97.44,92.31,76,72
050US08014,8014,24,24,24,100,100,24,24
050US08015,8015,6,3,2,50,33.33,3,2
050US08017,8017,1,1,1,100,100,1,1
050US08019,8019,4,2,0,50,0,2,0
050US08021,8021,2,1,1,50,50,1,1
050US08023,8023,2,0,0,0,0,0,0
050US08025,8025,2,1,0,50,0,1,0
050US08027,8027,2,0,0,0,0,0,0
050US08029,8029,9,4,1,44.44,11.11,4,1
050US08031,8031,178,178,177,100,99.44,178,177
050US08033,8033,1,0,0,0,0,0,0
050US08035,8035,72,72,60,100,83.33,72,60
050US08037,8037,16,9,5,56.25,31.25,9,5
050US08039,8039,7,3,0,42.86,0,3,0
050US08041,8041,167,165,154,98.8,92.22,165,154
050US08043,8043,15,12,8,80,53.33,12,8
050US08045,8045,12,9,4,75,33.33,9,4
050US08047,8047,2,0,0,0,0,0,0
050US08049,8049,6,1,1,16.67,16.67,1,1
050US08051,8051,6,3,2,50,33.33,3,2
050US08053,8053,1,0,0,0,0,0,0
050US08055,8055,3,1,2,33.33,66.67,1,2
050US08057,8057,1,0,0,0,0,0,0
050US08059,8059,146,143,132,97.95,90.41,143,132
050US08061,8061,1,1,1,100,100,1,1
050US08063,8063,2,2,1,100,50,2,1
050US08065,8065,3,3,3,100,100,3,3
050US08067,8067,12,6,5,50,41.67,6,5
050US08069,8069,86,81,76,94.19,88.37,81,76
050US08071,8071,6,3,1,50,16.67,3,1
050US08073,8073,2,1,1,50,50,1,1
050US08075,8075,7,7,4,100,57.14,7,4
050US08077,8077,33,31,32,93.94,96.97,31,32
050US08079,8079,1,0,0,0,0,0,0
050US08081,8081,4,3,3,75,75,3,3
050US08083,8083,8,6,4,75,50,6,4
050US08085,8085,12,9,8,75,66.67,9,8
050US08087,8087,8,8,7,100,87.5,8,7
050US08089,8089,7,7,3,100,42.86,7,3
050US08091,8091,2,0,0,0,0,0,0
050US08093,8093,6,0,0,0,0,0,0
050US08095,8095,2,2,2,100,100,2,2
050US08097,8097,6,3,2,50,33.33,3,2
050US08099,8099,5,4,1,80,20,4,1
050US08101,8101,58,56,50,96.55,86.21,56,50
050US08103,8103,2,2,2,100,100,2,2
050US08105,8105,4,4,1,100,25,4,1
050US08107,8107,10,7,6,70,60,7,6
050US08109,8109,2,1,0,50,0,1,0
050US08111,8111,1,0,0,0,0,0,0
050US08113,8113,4,0,1,0,25,0,1
050US08115,8115,1,1,1,100,100,1,1
050US08117,8117,12,10,2,83.33,16.67,10,2
050US08119,8119,8,6,1,75,12.5,6,1
050US08121,8121,2,1,0,50,0,1,0
050US08123,8123,83,82,76,98.8,91.57,82,76
050US08125,8125,2,2,2,100,100,2,2
050US09001,9001,226,0,226,0,100,0,226
050US09003,9003,235,0,235,0,100,0,235
050US09005,9005,52,0,52,0,100,0,52
050US09007,9007,40,0,40,0,100,0,40
050US09009,9009,198,0,198,0,100,0,198
050US09011,9011,66,0,66,0,100,0,66
050US09013,9013,32,0,32,0,100,0,32
050US09015,9015,30,0,30,0,100,0,30
050US10001,10001,41,41,29,100,70.73,41,29
050US10003,10003,144,144,133,100,92.36,144,133
050US10005,10005,74,73,44,98.65,59.46,73,44
050US11001,11001,206,206,206,100,100,206,206
050US12001,12001,58,57,43,98.28,74.14,57,43
050US12003,12003,4,4,2,100,50,4,2
050US12005,12005,49,47,31,95.92,63.27,47,31
050US12007,12007,6,6,1,100,16.67,6,1
050US12009,12009,147,144,130,97.96,88.44,144,130
050US12011,12011,416,412,415,99.04,99.76,412,415
050US12013,12013,4,4,3,100,75,4,3
050US12015,12015,46,46,39,100,84.78,46,39
050US12017,12017,41,41,20,100,48.78,41,20
050US12019,12019,45,40,24,88.89,53.33,40,24
050US12021,12021,108,99,80,91.67,74.07,99,80
050US12023,12023,13,11,9,84.62,69.23,11,9
050US12027,12027,9,9,4,100,44.44,9,4
050US12029,12029,5,0,0,0,0,0,0
050US12031,12031,218,218,199,100,91.28,218,199
050US12033,12033,78,76,63,97.44,80.77,76,63
050US12035,12035,23,23,22,100,95.65,23,22
050US12037,12037,5,3,2,60,40,3,2
050US12039,12039,10,10,1,100,10,10,1
050US12041,12041,5,1,0,20,0,1,0
050US12043,12043,5,1,0,20,0,1,0
050US12045,12045,5,2,1,40,20,2,1
050US12047,12047,6,3,0,50,0,3,0
050US12049,12049,8,8,5,100,62.5,8,5
050US12051,12051,10,7,4,70,40,7,4
050US12053,12053,46,46,37,100,80.43,46,37
050US12055,12055,35,33,21,94.29,60,33,21
050US12057,12057,333,332,316,99.7,94.89,332,316
050US12059,12059,7,7,3,100,42.86,7,3
050US12061,12061,44,44,40,100,90.91,44,40
050US12063,12063,13,13,5,100,38.46,13,5
050US12065,12065,5,4,0,80,0,4,0
050US12067,12067,3,0,0,0,0,0,0
050US12069,12069,75,71,53,94.67,70.67,71,53
050US12071,12071,222,218,177,98.2,79.73,218,177
050US12073,12073,79,78,70,98.73,88.61,78,70
050US12075,12075,12,5,0,41.67,0,5,0
050US12077,12077,4,3,2,75,50,3,2
050US12079,12079,5,5,3,100,60,5,3
050US12081,12081,93,92,83,98.92,89.25,92,83
050US12083,12083,93,87,53,93.55,56.99,87,53
050US12085,12085,42,39,35,92.86,83.33,39,35
050US12086,12086,706,704,702,99.72,99.43,704,702
050US12087,12087,28,26,26,92.86,92.86,26,26
050US12089,12089,23,19,10,82.61,43.48,19,10
050US12091,12091,48,48,32,100,66.67,48,32
050US12093,12093,12,11,9,91.67,75,11,9
050US12095,12095,267,267,246,100,92.13,267,246
050US12097,12097,59,57,50,96.61,84.75,57,50
050US12099,12099,372,365,358,98.12,96.24,365,358
050US12101,12101,130,130,118,100,90.77,130,118
050US12103,12103,273,273,273,100,100,273,273
050US12105,12105,174,173,131,99.43,75.29,173,131
050US12107,12107,17,12,7,70.59,41.18,12,7
050US12109,12109,50,50,35,100,70,50,35
050US12111,12111,67,67,59,100,88.06,67,59
050US12113,12113,36,36,20,100,55.56,36,20
050US12115,12115,122,122,115,100,94.26,122,115
050US12117,12117,89,88,82,98.88,92.13,88,82
050US12119,12119,28,26,16,92.86,57.14,26,16
050US12121,12121,11,5,0,45.45,0,5,0
050US12123,12123,7,7,3,100,42.86,7,3
050US12125,12125,4,4,2,100,50,4,2
050US12127,12127,129,128,115,99.22,89.15,128,115
050US12129,12129,8,2,0,25,0,2,0
050US12131,12131,20,9,4,45,20,9,4
050US12133,12133,7,5,3,71.43,42.86,5,3
050US13001,13001,7,7,5,100,71.43,7,5
050US13003,13003,3,3,0,100,0,3,0
050US13005,13005,3,3,1,100,33.33,3,1
050US13007,13007,2,2,0,100,0,2,0
050US13009,13009,14,14,13,100,92.86,14,13
050US13011,13011,4,4,1,100,25,4,1
050US13013,13013,18,18,17,100,94.44,18,17
050US13015,13015,28,28,18,100,64.29,28,18
050US13017,13017,6,6,5,100,83.33,6,5
050US13019,13019,6,6,2,100,33.33,6,2
050US13021,13021,48,48,45,100,93.75,48,45
050US13023,13023,4,4,3,100,75,4,3
050US13025,13025,5,1,0,20,0,1,0
050US13027,13027,6,6,5,100,83.33,6,5
050US13029,13029,9,7,0,77.78,0,7,0
050US13031,13031,20,20,15,100,75,20,15
050US13033,13033,7,7,2,100,28.57,7,2
050US13035,13035,5,5,5,100,100,5,5
050US13037,13037,2,0,0,0,0,0,0
050US13039,13039,16,13,10,81.25,62.5,13,10
050US13043,13043,3,3,1,100,33.33,3,1
050US13045,13045,28,28,24,100,85.71,28,24
050US13047,13047,15,15,12,100,80,15,12
050US13049,13049,3,0,0,0,0,0,0
050US13051,13051,87,86,70,98.85,80.46,86,70
050US13053,13053,5,5,2,100,40,5,2
050US13055,13055,9,4,0,44.44,0,4,0
050US13057,13057,56,56,26,100,46.43,56,26
050US13059,13059,34,34,33,100,97.06,34,33
050US13061,13061,1,0,0,0,0,0,0
050US13063,13063,70,70,65,100,92.86,70,65
050US13065,13065,2,2,1,100,50,2,1
050US13067,13067,186,186,165,100,88.71,186,165
050US13069,13069,12,12,5,100,41.67,12,5
050US13071,13071,15,15,10,100,66.67,15,10
050US13073,13073,25,25,17,100,68,25,17
050US13075,13075,5,5,4,100,80,5,4
050US13077,13077,27,24,22,88.89,81.48,24,22
050US13079,13079,3,1,0,33.33,0,1,0
050US13081,13081,6,6,3,100,50,6,3
050US13083,13083,5,2,0,40,0,2,0
050US13085,13085,7,7,1,100,14.29,7,1
050US13087,13087,8,8,5,100,62.5,8,5
050US13089,13089,203,203,202,100,99.51,203,202
050US13091,13091,7,7,6,100,85.71,7,6
050US13093,13093,3,3,1,100,33.33,3,1
050US13095,13095,29,29,25,100,86.21,29,25
050US13097,13097,31,31,28,100,90.32,31,28
050US13099,13099,5,5,2,100,40,5,2
050US13101,13101,2,1,0,50,0,1,0
