HEROP_ID,ZIP,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
860US12930,12930,24.53667629253,49.07335258506,4.005780346,11.530254014949438
860US12932,12932,13.73541871524,27.47083743048,4.0,6.06326881009653
860US12933,12933,,,,
860US12934,12934,0.0,0.0,1.0,10.7641457
860US12935,12935,5.738139811560001,11.476279623120002,3.3033175360000007,10.875913512593169
860US12936,12936,16.53136054507,33.06272109014,4.0,6.693103877060486
860US12937,12937,18.66,37.32,7.0,10.57968891
860US12939,12939,,,,
860US12941,12941,28.18114247294,56.36228494588,1.997311828,11.937565418023727
860US12942,12942,0.0,0.0,4.0,6.59800621
860US12943,12943,0.0,0.0,4.0,6.59800621
860US12944,12944,4.144285714285714,8.288571428571428,8.980066443019933,2.950088697184494
860US12945,12945,0.0,0.0,5.2054794520000005,5.873353289414675
860US12946,12946,5.32084709678,10.64169419356,5.543617641,1.986779346995287
860US12950,12950,16.03,32.06,4.0,6.817587897
860US12952,12952,6.014134267799999,12.028268535599999,0.823321555,10.715241754833894
860US12953,12953,2.0903515072100003,4.180703014420001,6.078961037999999,4.083612622637356
860US12955,12955,1.4432989649999999,2.8865979299999998,1.481099655,10.914434690228891
860US12956,12956,31.516416667909997,63.032833335819994,0.258333333,11.740798173149923
860US12957,12957,12.509476307520002,25.018952615040003,6.173316708,9.352707643866463
860US12958,12958,19.729875785430004,39.45975157086001,8.991718427,11.051475410103585
860US12959,12959,19.93,39.86,9.0,11.15234337
860US12960,12960,30.579232877069998,61.158465754139996,0.509589041,11.690604385690389
860US12961,12961,28.75,57.5,1.0,11.59263414
860US12962,12962,10.572454920749998,21.144909841499995,8.168617527,5.44076148372163
860US12964,12964,13.46969696835,26.9393939367,2.787878788,9.13121198853456
860US12965,12965,14.02127660584,28.04255321168,1.063829788,14.648410293396392
860US12966,12966,15.058565214118564,30.11713042823713,5.685507246685508,9.711276330255005
860US12967,12967,25.147575768487574,50.29515153697515,2.171717170171717,13.851397734353242
860US12969,12969,13.228782285000001,26.457564570000002,6.0,11.469230456206356
860US12970,12970,33.035000004050005,66.07000000810001,0.0,13.352857881899894
860US12972,12972,14.1332970802767,28.2665941605534,8.589272316410726,5.819076406836065
860US12973,12973,0.0,0.0,0.0,15.25034748
860US12974,12974,32.48,64.96,0.0,11.79240587
860US12975,12975,0.0,0.0,9.0,3.319932869
