HEROP_ID,ZIP,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
860US01086,01086,6.42,12.84,4.0,1.928849802
860US01088,01088,8.205060977379999,16.410121954759997,7.0,4.205215914684001
860US01089,01089,6.4993916787387835,12.998783357477567,7.0,2.1925525634327703
860US01090,01090,4.94,9.88,7.0,1.109820367
860US01092,01092,,,,
860US01093,01093,,,,
860US01094,01094,,,,
860US01095,01095,14.694610758905387,29.389221517810775,5.006011421993988,5.367698585556885
860US01096,01096,17.67471483399,35.34942966798,2.114068441,7.165334347621659
860US01097,01097,,,,
860US01098,01098,27.068039864,54.136079728,2.0,14.568873240835632
860US01101,01101,1.66,3.32,7.0,0.858997596
860US01103,01103,1.87741285367,3.75482570734,7.000000000000001,0.9487426095404616
860US01104,01104,2.6326729103426727,5.265345820685345,7.0,1.3284037567414457
860US01105,01105,2.8384810979,5.6769621958,6.998474318,1.3793194551264405
860US01106,01106,9.449034237180001,18.898068474360002,5.208656331,4.942789943915927
860US01107,01107,1.7011246018400001,3.4022492036800003,7.0,0.45547244354649585
860US01108,01108,5.39003768422,10.78007536844,6.169301470000001,2.934206887734815
860US01109,01109,4.6347873463200004,9.269574692640001,6.509214956,2.3164051836632398
860US01111,01111,,,,
860US01115,01115,,,,
860US01116,01116,11.38,22.76,4.0,5.213544393
860US01118,01118,7.76631125965,15.5326225193,5.755629139,3.7776171068568147
860US01119,01119,8.146207154843793,16.292414309687587,5.6624836113375165,4.212984747197388
860US01128,01128,10.72984712208,21.45969424416,5.0,5.431913275238932
860US01129,01129,10.461519845281519,20.923039690563037,5.125847047125847,5.403019403508883
860US01138,01138,4.05,8.1,7.0,2.25922465
860US01139,01139,3.9,7.8,7.0,2.039270827
860US01144,01144,,,,
860US01151,01151,9.320929931620931,18.641859863241862,6.077638408077639,5.2976801209818944
860US01152,01152,,,,
860US01199,01199,,,,
860US01201,01201,4.254817185425182,8.509634370850364,1.4579891005420107,1.7069347988640093
860US01202,01202,1.72,3.44,2.0,0.534391922
860US01220,01220,9.465000000595,18.93000000119,2.0,5.604516282227047
860US01222,01222,14.81,29.62,1.0,6.283644562
860US01223,01223,24.12616896036,48.25233792072,1.9954158480000002,11.715778525512164
860US01224,01224,12.39,24.78,2.0,5.08521551
860US01225,01225,16.24056179874,32.48112359748,2.0,8.764952144208433
860US01226,01226,9.05082852274,18.10165704548,1.000679117,5.064718550953532
860US01227,01227,9.05,18.1,1.0,5.064923303
860US01229,01229,,,,
860US01230,01230,4.829693932020307,9.659387864040614,1.2040469307959532,3.4042856183953463
860US01235,01235,17.433848240990002,34.867696481980005,1.040650407,8.45465110983398
860US01236,01236,9.907914574337914,19.815829148675828,1.9522613069522614,5.65242379848952
860US01237,01237,12.931905118720001,25.863810237440003,1.9506910720000001,5.060877915822057
860US01238,01238,17.28276354956,34.56552709912,1.958430329,10.275198999621091
860US01240,01240,13.207906077447907,26.415812154895814,2.0,6.25875159850541
860US01242,01242,,,,
860US01243,01243,,,,
860US01244,01244,,,,
860US01245,01245,20.0172571416,40.0345142832,1.0,9.851450740521535
860US01247,01247,3.68429060007,7.36858120014,1.700299593,1.7075995532048451
860US01253,01253,26.59,53.18,1.0,13.83476153
860US01254,01254,23.19233885796,46.38467771592,1.023941068,4.656798984008747
860US01255,01255,26.57344523392,53.14689046784,1.0,13.824684590212208
860US01256,01256,23.18,46.36,1.0,7.036564497
860US01257,01257,14.81866699028,29.63733398056,1.0,6.292258805826405
860US01258,01258,13.07,26.14,2.0,4.643101771
860US01259,01259,17.79,35.58,1.0,9.245508574
860US01260,01260,,,,
860US01262,01262,,,,
860US01263,01263,,,,
860US01264,01264,,,,
860US01266,01266,16.659675172770005,33.31935034554001,2.0,7.907990524878374
860US01267,01267,12.697626226267626,25.395252452535253,2.262999246262999,5.931763029863442
860US01270,01270,19.2562946434637,38.5125892869274,1.0044642859955357,9.378365872147246
860US01301,01301,3.1406162599293834,6.281232519858767,5.130301308869698,1.2837083743879745
860US01302,01302,1.41,2.82,6.0,0.757151445
860US01330,01330,24.08288889098,48.16577778196,2.935947713,10.031836172828749
860US01331,01331,5.357050516757051,10.714101033514101,2.120802378120802,2.0831145017611066
860US01337,01337,9.195864466779998,18.391728933559996,4.001737619,5.884405987159611
860US01338,01338,15.52,31.04,1.0,7.088859795
860US01339,01339,27.364,54.728,1.0,12.8444060325
860US01340,01340,28.439360003759997,56.878720007519995,1.0,13.366973089541444
860US01341,01341,24.364316661530005,48.72863332306001,3.003333334,10.131875583529576
860US01342,01342,8.98,17.96,5.0,5.173883811
860US01343,01343,24.599354838,49.198709676,1.0,8.700395895651955
860US01344,01344,20.59,41.18,2.0,8.978856637
860US01346,01346,28.68,57.36,1.0,13.48391117
860US01347,01347,,,,
860US01349,01349,14.035463184460001,28.070926368920002,4.900237529,5.09990843754917
860US01350,01350,28.68,57.36,1.0,13.48391117
860US01351,01351,13.81677448862,27.63354897724,4.9963031440000005,4.973519637273831
860US01354,01354,9.2,18.4,4.0,5.891519137
860US01355,01355,21.129861751,42.259723502,1.01843318,12.516670470514953
860US01360,01360,16.95252077644,33.90504155288,3.998614958,9.255136890530764
860US01364,01364,12.935904936810001,25.871809873620002,1.963748658,4.80796263881336
860US01366,01366,15.37813444665,30.7562688933,2.0,8.784920941299672
860US01367,01367,28.308617362,56.617234724,1.0,13.048559785360135
860US01368,01368,14.5005825233,29.0011650466,2.0,6.630590554742412
860US01370,01370,17.594548942994553,35.189097885989106,1.1381957761381958,8.015424414154438
860US01373,01373,10.14190086714,20.28380173428,4.816734879,5.726161191262215
860US01375,01375,15.314551547030002,30.629103094060003,4.003608247,8.175805154072256
860US01376,01376,8.103239531069999,16.206479062139998,4.181239531,2.189357895492702
860US01378,01378,20.59,41.18,2.0,8.978856637
860US01379,01379,20.59,41.18,2.0,8.978856637
860US01380,01380,20.59,41.18,2.0,8.978856637
860US01420,01420,9.041766036038233,18.083532072076466,6.650296318349703,3.603715284003989
860US01430,01430,11.562336919300002,23.124673838600003,2.001344989,5.8920523783393675
860US01431,01431,19.009253244259998,38.018506488519996,4.0,9.89483171943386
860US01432,01432,2.3274222779074223,4.654844555814845,7.226468048226468,1.4173452807074134
860US01434,01434,0.0,0.0,7.164086687000001,1.1292269048053765
860US01436,01436,14.18,28.36,3.0,4.980101183
860US01438,01438,11.7,23.4,3.0,4.956289182
860US01440,01440,4.374529806049999,8.749059612099998,2.998369842,1.6163130364348022
860US01450,01450,9.27564945217565,18.5512989043513,7.015001896015002,2.9158703654051092
860US01451,01451,5.178102242661898,10.356204485323795,10.451052459548947,2.2875889835704286
860US01452,01452,16.473540440180003,32.947080880360005,4.039100162,7.259282013320448
860US01453,01453,3.7629487478400003,7.525897495680001,10.873911303,1.8883469330372016
860US01460,01460,11.820627960220628,23.641255920441257,14.62095944462096,5.363556912364079
860US01462,01462,11.642680843199999,23.285361686399998,5.003089784,4.416182375367233
860US01463,01463,14.240485409349999,28.480970818699998,5.8064939319999995,6.516534654139688
860US01464,01464,6.43342369026,12.86684738052,5.999628667,3.413045980822837
860US01467,01467,,,,
860US01468,01468,12.346917294979997,24.693834589959994,3.0004699249999995,4.960832080333304
860US01469,01469,18.01657256616,36.03314513232,5.488961273999999,8.919270588269589
860US01472,01472,,,,
860US01473,01473,9.49692108844692,18.99384217689384,5.993658995993659,4.908383842014932
860US01474,01474,17.609151291169997,35.218302582339994,5.398523985,8.718934416062647
860US01475,01475,12.916437814319998,25.832875628639997,3.630182058,6.698252958158315
860US01501,01501,7.717119550890001,15.434239101780001,9.672064778,4.939030708318049
860US01503,01503,9.119796368379797,18.239592736759594,13.994687915994689,4.612317071361649
860US01504,01504,7.318156395699999,14.636312791399998,11.561626099999998,3.0353040899394945
860US01505,01505,9.457570747400002,18.915141494800004,10.999682035000001,3.8578620186034147
860US01506,01506,16.82054086727,33.64108173454,2.014423076,8.6193124289031
860US01507,01507,11.405197562089999,22.810395124179998,6.423612222,5.5058872062320825
860US01508,01508,9.29,18.58,7.0,4.985872478
860US01509,01509,9.29,18.58,7.0,4.985872478
860US01510,01510,16.075581451528837,32.151162903057674,11.161596209676809,7.554992873120127
860US01515,01515,15.25,30.5,4.0,8.698311814
860US01516,01516,21.838539032619998,43.677078065239996,9.175098124,11.091182973081597
860US01518,01518,8.62800375736,17.25600751472,6.0,4.956269677218365
860US01519,01519,14.54544291851,29.09088583702,9.332813475,6.298747321965745
860US01520,01520,8.57360552283,17.14721104566,8.419151123,4.824846422101827
860US01521,01521,21.38,42.76,2.0,8.299510286
860US01522,01522,10.98694835682695,21.9738967136539,10.386317908386317,6.049322307155942
860US01523,01523,10.548351611581648,21.096703223163296,11.993986558006013,4.715156397953968
860US01524,01524,11.385667727350002,22.771335454700004,8.0,6.704679878056673
860US01525,01525,16.02,32.04,9.0,6.3082557
860US01526,01526,,,,
860US01527,01527,8.82243021495486,17.64486042990972,10.999008075998017,5.101103534912599
860US01529,01529,11.316572891,22.633145782,12.988064792,4.785436879135963
860US01531,01531,24.24805897172,48.49611794344,2.004914005,14.475191647943229
860US01532,01532,8.962384296632385,17.92476859326477,12.489468405489468,4.352454761128614
860US01534,01534,15.38252217665,30.7650443533,9.401241868,6.27677771790198
860US01535,01535,22.26066581505,44.5213316301,3.984635082,13.401415040687686
860US01536,01536,12.61033149351,25.22066298702,9.679267229,5.187493344241078
860US01537,01537,13.06,26.12,8.0,9.694191798
860US01538,01538,14.61,29.22,16.0,6.458436951
860US01540,01540,13.47950762762,26.95901525524,7.3940841420000005,9.40789357602265
860US01541,01541,18.58,37.16,7.0,8.383180392
860US01542,01542,9.272511999999999,18.545023999999998,8.0,5.7805757897216
860US01543,01543,18.89293402904707,37.78586805809414,5.4186387445813615,10.854611370793592
860US01545,01545,7.800356849100001,15.600713698200002,9.690853315,2.515974085306042
860US01546,01546,,,,
860US01550,01550,1.95881982702118,3.91763965404236,3.4829717885170277,0.9508733678909709
860US01560,01560,15.2468532828,30.4937065656,9.992277992,8.140842890984091
860US01561,01561,,,,
860US01562,01562,18.067731488122266,36.13546297624453,6.526564344473435,10.112244074211594
860US01564,01564,13.568101698260001,27.136203396520003,10.950282484,6.948738652682584
860US01566,01566,6.2919849159600005,12.583969831920001,6.59989594,3.110372494492509
860US01568,01568,8.643737182399999,17.287474364799998,9.988552348,4.920713359491428
860US01569,01569,14.09100852102,28.18201704204,15.985117758,7.261468655015958
860US01570,01570,17.31268593052,34.62537186104,6.004737092,9.387025523511356
