GEOID,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
731,0,0,0,6.145442215
732,0,0,0,0.383820861
733,0,0,0,0.375952708
735,0,0,0,4.359999434
736,0,0,0,2.333127003
737,0,0,0,2.410566397
738,0,0,0,0.995600578
739,0,0,0,0.989038738
740,0,0,0,0.846502656
741,0,0,0,4.754923513
744,0,0,0,4.63482137
745,0,0,0,9.792806422
751,0,0,0,9.492997685
754,0,0,0,4.194359388
757,0,0,0,10.77426361
765,0,0,0,21.81927039
766,0,0,0,7.005847651
767,0,0,0,8.638366065
769,0,0,0,8.001599961
771,0,0,0,3.745815772
772,0,0,0,7.856482768
773,0,0,0,5.532548872
775,,,,
777,0,0,0,3.597368763
778,0,0,0,1.262274177
780,0,0,0,1.00854095
782,0,0,0,4.589434294
783,0,0,0,5.329748313
784,0,0,0,1.371499948
785,0,0,0,0.816031019
786,,,,
791,0,0,0,3.796420571
792,0,0,0,2.036988312
794,0,0,0,4.038753002
795,0,0,0,3.352765254
801,0,0,0,0.488675229
802,0,0,0,1.20185775
803,0,0,0,0.488675229
804,0,0,0,0.488675229
820,0,0,0,1.736633789
830,0,0,0,12.8168703
831,0,0,0,9.78709899
840,0,0,0,6.989921446
850,0,0,0,2.912223298
901,0,0,0,2.098868599
902,0,0,0,1.908806166
907,0,0,0,0.424975784
908,0,0,0,0.346809586
909,0,0,0,0.37968711
910,0,0,0,0.31487679
911,0,0,0,0.787643275
912,0,0,0,0.649216963
913,0,0,0,1.752786628
914,0,0,0,0.990777659
915,0,0,0,1.006289848
916,0,0,0,1.029753534
917,0,0,0,0.430881729
918,0,0,0,0.457283998
919,0,0,0,0.406565274
920,0,0,0,0.600685805
921,0,0,0,0.706019519
922,0,0,0,0.733373992
923,0,0,0,1.437948276
924,0,0,0,1.863371012
925,0,0,0,0.868230771
926,0,0,0,2.189658735
927,0,0,0,0.548502377
928,0,0,0,1.649029421
929,0,0,0,2.168692948
931,0,0,0,1.649029421
934,0,0,0,0.571889199
935,,,,
936,0,0,0,0.583045658
937,0,0,0,2.673177038
940,0,0,0,0.31487679
949,0,0,0,3.907999434
950,0,0,0,4.384376608
951,0,0,0,4.384376608
952,0,0,0,2.714978156
953,0,0,0,3.465136624
954,0,0,0,5.031221932
956,0,0,0,1.25902326
957,0,0,0,1.569446507
958,0,0,0,0.514503917
959,0,0,0,1.412644896
960,0,0,0,0.871685833
961,0,0,0,1.625280374
962,0,0,0,1.619495899
963,0,0,0,2.306418582
965,0,0,0,2.120951254
966,0,0,0,0.911437272
968,0,0,0,0.53813772
969,0,0,0,1.527529339
970,0,0,0,1.786221543
971,0,0,0,2.052826431
975,,,,
976,0,0,0,0.816814928
977,0,0,0,2.306418582
979,0,0,0,2.391430242
981,0,0,0,2.673177038
982,0,0,0,1.036730897
983,0,0,0,1.025753665
984,0,0,0,0.468996035
985,0,0,0,1.667087741
986,0,0,0,2.099667784
987,0,0,0,2.535752053
988,0,0,0,0.561458393
1001,4.668308045,9.336616091,28.29311175,2.502386754
1002,3.893855172,7.787710345,21.07163793,2.146044327
1003,0.722781458,1.445562916,24.78145695,0.770639008
1004,0,0,26,0.568836874
1005,0.030397224,0.060794448,9.029791463,0.74189835
1007,13.61815157,27.23630313,21.78898805,2.318079123
1008,26.43715017,52.87430035,1.273037542,10.95331304
1009,6.33,12.66,26,2.117237805
1010,14.14436831,28.28873661,11.80728052,7.293560517
1011,27.73819005,55.47638009,1,11.9059062
1012,18.72,37.44,6,8.934763616
1013,2.641495953,5.282991905,30,0.944659163
1014,0,0,30,0.345032864
1020,3.725001055,7.45000211,30,1.433224731
1021,3.28,6.56,30,0.957346999
1022,6.574541141,13.14908228,30,2.659917298
1026,28.94880416,57.89760831,1.306759101,13.14402621
1027,2.691839774,5.383679548,30.2319847,1.281412668
1028,2.388008915,4.776017831,28.00256653,1.091918651
1029,20.57,41.14,2,7.067378891
1030,5.7780434,11.5560868,27.97704448,3.296149432
1031,12.92983137,25.85966273,4.001686341,6.081702377
1032,18.72,37.44,6,8.934763616
1033,13.26988915,26.53977829,30,4.188763543
1034,23.71425197,47.42850394,5.347440944,8.084615015
1035,5.59,11.18,29,2.284186637
1036,9.57,19.14,22,4.985488324
1037,12.93,25.86,4,6.09125583
1038,8.2,16.4,31,4.296335252
1039,17.87927641,35.75855283,8.512301008,8.429927745
1040,1.954839352,3.909678705,30.37442417,0.739791533
1041,1.520813239,3.041626478,30,0.287930852
1050,19.18236233,38.36472466,10.73663208,9.524321552
1053,4,8,32,2.876647075
1054,16.32313253,32.64626506,6.245783132,9.393469597
1056,3.023965395,6.04793079,29.55898219,1.638437632
1057,15.1739978,30.3479956,18.15259829,5.639960588
1059,,,,
1060,1.512282702,3.024565404,33.62802232,0.860905746
1061,0,0,34,0.444987699
1062,1.701438795,3.40287759,32.44925674,1.323496399
1063,,,,
1066,8.2,16.4,31,4.296335252
1068,12.37397668,24.74795336,19.04792746,5.262861794
1069,2.1739159,4.347831801,25.83991896,2.690414999
1070,29.26656958,58.53313916,1.06472492,13.33893399
1071,21.38,42.76,8,5.86490565
1072,16.43,32.86,6,9.52828988
1073,7.713307918,15.42661584,29,4.360538304
1074,,,,
1075,7.026783421,14.05356684,30,2.740577423
1077,15.01470253,30.02940505,21.62208472,4.218458264
1079,,,,
1080,8.623675527,17.24735105,26,1.616854216
1081,21.38,42.76,4,8.548656095
1082,15.3655933,30.73118659,3.819476959,2.427864105
1083,11.11,22.22,6,4.175032181
1084,18.72,37.44,6,8.934763616
1085,7.411652755,14.82330551,28.01254755,1.735205261
1086,11.04,22.08,27,1.935398474
1088,8.165426831,16.33085366,31.01829268,4.270804748
1089,2.464003692,4.928007383,29.49265554,1.499713186
1090,0,0,30,1.032578882
1092,,,,
1093,,,,
1094,,,,
1095,7.079855728,14.15971146,25.21881575,3.073938175
1096,18.94619772,37.89239545,6.353612165,8.815537897
1097,,,,
1098,29.16358804,58.32717607,1.08305648,13.31320182
1101,0,0,30,0.066990317
1103,0.125326797,0.250653594,29.93409586,0.130599599
1104,2.152682174,4.305364349,30,1.062910724
1105,0.749218511,1.498437022,29.48092897,0.291282741
1106,6.174302325,12.34860465,28.20865633,2.762493277
1107,1.664311306,3.328622613,30,0.402306158
1108,2.30455423,4.609108459,29.01029412,1.139917802
1109,2.184378875,4.368757749,29.30568846,0.775201613
1111,,,,
1115,,,,
1116,7.56,15.12,27,2.690145747
1118,4.597814571,9.195629142,28.75562914,1.868235207
1119,4.831269901,9.662539801,28.9248923,1.672564358
1128,5.865593523,11.73118705,28,2.823797994
1129,5.925498549,11.8509971,28.25040336,2.330954758
1138,0.79,1.58,29,0.477923082
1139,1.92,3.84,30,0.6887148
1144,,,,
1151,2.831520328,5.663040656,30,1.169174935
1152,,,,
1199,,,,
1201,3.163116974,6.326233949,8.610476356,1.288905944
1202,0,0,9,0.078129178
1220,9.465000001,18.93,10,4.859727873
1222,14.81,29.62,3,6.598130751
1223,22.34157171,44.68314343,9.978388996,10.40321574
1224,12.37,24.74,10,5.318872275
1225,16.24025777,32.48051553,10,7.909551908
1226,9.050828523,18.10165705,8,3.281274576
1227,9.05,18.1,8,3.280801679
1229,,,,
1230,4.304322404,8.608644808,6.81669784,2.511549727
1235,17.5196206,35.0392412,6.756097558,6.589883081
1236,7.471482418,14.94296484,9,3.496566424
1237,12.84533807,25.69067613,9.901382144,5.290105766
1238,9.826511472,19.65302294,9.708347188,4.195135508
1240,11.16811837,22.33623674,10,5.418423903
1242,,,,
1243,,,,
1244,,,,
1245,6.517714285,13.03542857,2.702857143,4.265448053
1247,3.682141018,7.364282035,4.938797346,1.381417174
1253,20.57,41.14,2,7.067378891
1254,21.77394107,43.54788214,8.034990792,4.73756025
1255,20.53365725,41.06731451,2.001766784,7.060213528
1256,23.18,46.36,3,6.489311892
1257,14.81852157,29.63704314,3,6.593880939
1258,13.07,26.14,5,5.439423336
1259,17.74,35.48,3,5.136903737
1260,,,,
1262,,,,
1263,,,,
1264,,,,
1266,11.64486465,23.2897293,8.727764889,4.09632081
1267,12.6581884,25.31637679,7.128862094,5.730105049
1270,19.26571429,38.53142857,7.19642857,7.500448543
1301,0.410978964,0.821957927,13.87367823,1.245543134
1302,0,0,16,0.210065993
1330,25.28671896,50.57343791,6.922875818,8.032326298
1331,5.344439825,10.68887965,11.62719169,1.959024444
1337,8.375421377,16.75084275,12,6.390147985
1338,15.03,30.06,5,5.693102502
1339,26.874,53.748,3.2,11.8987775
1340,27.94936,55.89872001,3.036571428,12.46221339
1341,25.59989999,51.19979999,7.020000004,8.048873062
1342,7.57,15.14,19,3.802209036
1343,24.47290323,48.94580645,3,8.063243517
1344,13,26,8,3.709938438
1346,28.19,56.38,3,12.58829694
1347,,,,
1349,12.80665083,25.61330166,13.80047506,4.948816836
1350,28.19,56.38,3,12.58829694
1351,12.8033549,25.60670979,13.99260629,4.995624846
1354,8.39,16.78,12,6.397191506
1355,16.36677419,32.73354839,6.03686636,9.421039161
1360,16.13782548,32.27565097,8.999307479,8.767657505
1364,2.86999731,5.739994621,7.907626211,1.606932606
1366,0,0,8.01344538,4.378654512
1367,27.85170418,55.70340836,3,12.17646837
1368,14.50058252,29.00116505,8.019417476,6.690187617
1370,17.21778311,34.43556622,4.92514395,6.630992665
1373,8.904170081,17.80834016,18.81673488,4.298828184
1375,14.84260309,29.68520619,17.98556701,6.506562234
1376,7.52718258,15.05436516,13.18123953,2.522435448
1378,13,26,8,3.709938438
1379,13,26,8,3.709938438
1380,13,26,8,3.709938438
1420,1.905121874,3.810243748,26.43901057,0.920511023
1430,11.55832886,23.11665771,16.00268998,4.905947497
1431,9.644318178,19.28863636,17.00162338,5.543000421
1432,2.327422278,4.654844556,31.48272884,2.302366178
1434,0,0,30.49226006,1.087764288
1436,9.9,19.8,19,1.806131788
1438,8.22,16.44,20,3.955757088
1440,2.193882837,4.387765675,19.97941926,1.124086083
1450,9.274574635,18.54914927,28.56304595,5.639032768
1451,5.176722356,10.35344471,46.45038424,2.071403022
1452,12.17134976,24.34269952,25.14301018,6.235679226
1453,3.281232356,6.562464712,41.13329663,1.298916093
1460,11.81675931,23.63351863,54.11323864,4.713901842
1462,7.63492003,15.26984006,22.68520538,3.241997753
1463,14.18215317,28.36430634,25.76057724,8.085004227
1464,6.431563312,12.86312662,21.998886,4.446851539
1467,,,,
1468,8.674238723,17.34847745,19.73684211,3.394041245
1469,13.00657257,26.01314513,19,6.836729951
1472,,,,
1473,0.002851103,0.005702207,25.97768906,3.039216658
1474,12.58309963,25.16619926,18.99261993,6.641347523
1475,2.49378153,4.987563061,14.35402501,4.286092916
1501,5.206593236,10.41318647,44.82543463,3.183911386
1503,8.427844179,16.85568836,57.98494909,5.831868198
1504,5.921734852,11.8434697,33.127913,2.633605925
1505,8.707434023,17.41486805,45.99713832,4.126796199
1506,16.82054087,33.64108173,9.068509611,8.081404036
1507,11.09093425,22.18186849,30.93697008,5.086576451
1508,8.99,17.98,31,4.771203413
1509,8.99,17.98,31,4.771203413
1510,15.3021928,30.60438561,50.27551693,7.793149674
1515,15.25,30.5,21,8.565357873
1516,2.226109898,4.452219795,36.07893589,1.569572995
1518,8.628003757,17.25600751,27.93658995,4.951183412
1519,7.429326262,14.85865252,41,3.89938732
1520,8.031483332,16.06296666,40.60214422,3.724453559
1521,21.38,42.76,4,8.548656095
1522,10.66225352,21.32450704,43.64587525,4.969919236
1523,8.68316944,17.36633888,46.05129112,4.618772938
1524,4.186486003,8.372972007,34.20758059,4.864355424
1525,3.82,7.64,39,1.374367712
1526,,,,
1527,1.193434888,2.386869775,46.56341221,1.090621371
1529,9.906572891,19.81314578,41.94032396,4.282520062
1531,12.93621621,25.87243243,4.081081081,6.082336122
1532,5.144146727,10.28829345,46.23069208,2.621489021
1534,4.918290953,9.836581906,40.11945594,1.923294341
1535,19.02000427,38.04000853,14.94494237,8.401086834
1536,6.476516429,12.95303286,41.48066298,3.039844256
1537,9.04,18.08,34,6.112114515
1538,4.94,9.88,49,2.281997855
1540,7.98507441,15.97014882,34.01212566,6.099003546
1541,11.73,23.46,40,7.745162167
1542,1.449456,2.898912,35.4944,3.903059745
1543,16.91304084,33.82608167,27.44251309,7.753360538
1545,3.851708508,7.703417017,44.95911851,1.40356585
1546,,,,
1550,1.775050017,3.550100033,18.59267169,0.828408094
1560,7.191365831,14.38273166,40.97683398,4.054538249
1561,,,,
1562,10.99344915,21.9868983,30.49232585,8.208750526
1564,11.7960339,23.5920678,44.93983051,5.861575777
1566,6.291984916,12.58396983,29.00832466,3.162739365
1568,10.15858812,20.31717625,40.95707131,5.293360795
1569,8.660768683,17.32153737,51.46842942,3.325345171
1570,2.920683324,5.841366648,31.00710564,1.93678793
1571,7.816851349,15.6337027,28.63642066,3.33944123
1581,3.717841903,7.435683806,48.69721601,1.633151682
1583,5.428713153,10.85742631,45.40982567,2.78951194
1585,15.48074872,30.96149744,6.819487183,4.172535548
1586,0,0,48,0.234201655
1588,1.870535355,3.741070711,40.77827347,0.908058726
1590,7.532244811,15.06448962,35.43256831,3.376290181
1602,2.239900631,4.479801262,41.59334297,0.981548145
1603,1.532578383,3.065156766,43.05308432,1.049858523
1604,1.72092071,3.44184142,48.39467456,0.640964114
1605,1.101635754,2.203271509,47.84271591,0.690679764
1606,1.731209789,3.462419577,46.95325351,0.769640885
1607,3.664495394,7.328990787,48.02271266,1.271321709
1608,0.391633844,0.783267687,50.73595915,0.33977387
1609,1.946751191,3.893502383,47.01837851,0.610839396
1610,1.758862416,3.517724831,48.92527964,0.449056118
1611,0.14077342,0.281546839,36.23311546,3.396980507
1612,10.78166377,21.56332754,36.00463768,6.051268658
1613,0,0,51,0.281455124
1653,,,,
1655,,,,
1701,3.734701776,7.469403552,75.10765343,1.188638713
1702,1.626197473,3.252394946,79.86162544,0.950549098
1703,0,0,91,0.37990888
1704,0,0,82,0.81304204
1718,17.74,35.48,48,7.844731255
1719,13.42,26.84,62,4.368084324
1720,16.37283004,32.74566009,54.71121016,7.836036344
1721,6.450231149,12.9004623,46.00839414,2.894980452
1730,3.012269446,6.024538892,93.02289837,1.939914104
1731,9.793748308,19.58749662,89.02976996,4.945949665
1740,9.488615981,18.97723196,63.95516569,6.957413223
1741,11.09768708,22.19537415,56.00360144,6.081272406
1742,15.85018291,31.70036581,78.97690232,7.569701751
1745,0,0,82,2.742022221
1746,9.350237009,18.70047402,27.68155576,4.130964302
1747,5.851975508,11.70395102,25.01306122,2.160187961
1748,10.20584059,20.41168117,42.37717501,4.140364989
1749,8.561901582,17.12380316,54.70776354,4.206625815
