GEOID,HivTmDr,HivTmDr2,HivCntDr,HivMinDis
1888,7.31,14.62,62,3.468056352
1889,,,,
1890,10.13725149,20.27450298,58.56719174,4.873879107
1899,,,,
1901,0.487706108,0.975412216,45.81375481,0.270570013
1902,1.563511937,3.127023874,46.01390976,0.676024107
1903,0,0,45,0.091927118
1904,4.244468695,8.488937389,46.58606718,1.775751053
1905,2.552181921,5.104363843,47.64583333,1.012157986
1906,7.17285232,14.34570464,50.82185063,2.967495136
1907,4.159340865,8.31868173,40.33043604,2.033719194
1908,6.48,12.96,38,2.389423277
1910,,,,
1913,13.08678519,26.17357037,14.6557265,8.318279008
1915,6.729179361,13.45835872,15.93162217,3.604938931
1921,6.844438552,13.6888771,22.92014972,1.717189612
1922,13.6749949,27.3499898,8.021938772,8.249853591
1923,3.43701158,6.87402316,39.8966849,1.168175369
1929,17.26755896,34.53511791,6,9.414494617
1930,19.55410999,39.10821997,2.58296971,14.15972376
1931,19.37,38.74,1,14.52387102
1936,12.21,24.42,6,6.237962026
1937,7.52,15.04,45,1.88360239
1938,16.84640431,33.69280863,7.097882536,8.50614677
1940,11.45627947,22.91255895,50.72803493,4.882774374
1944,13.18033824,26.36067649,5,8.913328378
1945,8.555603783,17.11120757,28.78705824,4.673158642
1949,10.20396443,20.40792886,35.44980108,4.310180039
1950,16.38329181,32.76658361,11.02969902,8.933254813
1951,13.7071808,27.4143616,8.006128704,8.275077816
1952,18.1534149,36.3068298,11.45325055,11.26163268
1960,7.849729972,15.69945994,43.60370322,3.221266064
1961,7.58,15.16,42,3.084982762
1965,11.45,22.9,8,6.098551
1966,26.27634965,52.5526993,1,17.2323283
1969,13.61005355,27.2201071,6.001338688,6.331736019
1970,7.871438353,15.74287671,34.01383577,3.803273092
1971,8.87,17.74,30,4.089059182
1982,10.91632015,21.83264031,8.616071432,5.823940307
1983,8.08220539,16.16441078,22.97979798,4.373862095
1984,6.28,12.56,13,3.598802871
1985,12.08,24.16,10,4.317673499
2018,5.31,10.62,52,2.829725018
2019,6.096904481,12.19380896,24.15837264,2.891351847
2020,18.81,37.62,11,8.704261735
2021,8.862245199,17.7244904,51.64098811,5.004500513
2025,1.551431196,3.102862393,31.40467437,1.002598931
2026,8.782875717,17.56575143,51.67620158,3.807966102
2027,7.66,15.32,51,2.508387658
2030,7.7290756,15.4581512,45.02470059,3.513139138
2032,16.18342038,32.36684076,61,8.061529626
2035,14.41259972,28.82519944,35,7.441889601
2038,11.11528788,22.23057576,17.34692977,5.633941541
2041,17.19,34.38,11,7.881206331
2043,7.805223055,15.61044611,47.52019459,2.665682167
2044,,,,
2045,9.738976492,19.47795298,25.66030037,3.500479304
2047,14.38,28.76,12,7.171248021
2048,10.84162638,21.68325277,31.49829858,4.31784943
2050,16.30092103,32.60184205,15.13453831,8.570490798
2051,13.67,27.34,12,7.535667533
2052,15.88295528,31.76591056,21.89210276,6.947650679
2053,9.889693912,19.77938782,12.86244148,3.76077755
2054,14.85185621,29.70371242,14.5007515,7.09411767
2056,16.315525,32.63105001,14.3998701,8.659048551
2059,,,,
2060,6.71,13.42,8,3.091219198
2061,12.99004208,25.98008416,36.73993186,5.743560791
2062,12.70271574,25.40543148,54.12933799,6.233029484
2065,18.81,37.62,11,8.704261735
2066,9.228173872,18.45634774,13.04834865,4.860856193
2067,11.69880293,23.39760585,51.07919539,5.130137546
2070,,,,
2071,18.61,37.22,55,9.287195301
2072,4.689745513,9.379491026,49.48256881,2.369806507
2081,17.36693923,34.73387847,48.8389307,8.350119928
2090,9.146954158,18.29390832,52.95555556,4.32813456
2093,13.44535826,26.89071652,26.57930435,7.273123088
2108,2.295110204,4.590220408,62.5555102,0.585458898
2109,0.969485692,1.938971383,64.3070379,0.206413368
2110,1.69123391,3.38246782,64.9662672,0.623306427
2111,2.767235742,5.534471483,62.47395437,0.829233619
2112,2.35,4.7,65,0.802258661
2113,0.521364241,1.042728482,64.24073722,0.140081058
2114,1.43321653,2.866433059,64.00628536,0.367592488
2115,1.349866245,2.699732489,60.84881647,0.459667625
2116,2.151062708,4.302125415,61.74049993,0.834694994
2117,1.52,3.04,62,0.564621937
2118,0.973432784,1.946865569,61.98730285,0.32693338
2119,1.341783583,2.683567167,60.20119317,0.345041542
2120,1.771339237,3.542678474,59.43269755,0.554393692
