"HEROP_ID","GEOID","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"050US05075","05075",0,0,0,0,81.98,163.97
"050US05077","05077",0,0,0,0,82.31,164.63
"050US05079","05079",0,0,0,0,77.88,155.76
"050US05081","05081",1,0,16.67,0,36.96,73.93
"050US05083","05083",0,0,0,0,59.58,119.15
"050US05085","05085",0,0,0,0,41.02,82.03
"050US05087","05087",1,0,25,0,40.27,80.55
"050US05089","05089",0,0,0,0,79.49,158.98
"050US05091","05091",14,11,100,78.57,8.84,17.67
"050US05093","05093",0,0,0,0,55.13,110.26
"050US05095","05095",0,0,0,0,83.53,167.05
"050US05097","05097",0,0,0,0,88.29,176.58
"050US05099","05099",0,0,0,0,55.14,110.27
"050US05101","05101",0,0,0,0,NA,NA
"050US05103","05103",0,0,0,0,81.89,163.78
"050US05105","05105",0,0,0,0,72.7,145.4
"050US05107","05107",0,0,0,0,NA,NA
"050US05109","05109",0,0,0,0,84.43,168.86
"050US05111","05111",0,0,0,0,65.9,131.8
"050US05113","05113",0,0,0,0,82.38,164.76
"050US05115","05115",0,0,0,0,NA,NA
"050US05117","05117",0,0,0,0,68.47,136.94
"050US05119","05119",51,39,47.66,36.45,11.32,22.64
"050US05121","05121",0,0,0,0,69.71,139.42
"050US05123","05123",0,0,0,0,60.81,121.62
"050US05125","05125",27,18,90,60,15.09,30.18
"050US05127","05127",0,0,0,0,65.34,130.67
"050US05129","05129",0,0,0,0,NA,NA
"050US05131","05131",26,16,83.87,51.61,18.08,36.16
"050US05133","05133",0,0,0,0,60.33,120.66
"050US05135","05135",0,0,0,0,63.38,126.76
"050US05137","05137",0,0,0,0,NA,NA
"050US05139","05139",0,0,0,0,NA,NA
"050US05141","05141",0,0,0,0,NA,NA
"050US05143","05143",50,32,92.59,59.26,14.64,29.29
"050US05145","05145",0,0,0,0,NA,NA
"050US05147","05147",0,0,0,0,NA,NA
"050US05149","05149",0,0,0,0,84.88,169.75
"050US06001","06001",376,314,99.47,83.07,7.66,15.33
"050US06003","06003",0,0,0,0,88.65,177.3
"050US06005","06005",0,0,0,0,53.92,107.84
"050US06007","06007",44,24,81.48,44.44,17.52,35.04
"050US06009","06009",0,0,0,0,62.01,124.03
"050US06011","06011",0,0,0,0,50.24,100.49
"050US06013","06013",228,145,94.61,60.17,13.93,27.85
"050US06015","06015",0,0,0,0,82.72,165.44
"050US06017","06017",18,0,32.73,0,45.4,90.8
"050US06019","06019",201,171,89.33,76,12.91,25.82
"050US06021","06021",4,0,50,0,35.51,71.02
"050US06023","06023",0,0,0,0,NA,NA
"050US06025","06025",34,26,85,65,13.4,26.8
"050US06027","06027",0,0,0,0,NA,NA
"050US06029","06029",196,171,83.05,72.46,16.48,32.95
"050US06031","06031",18,0,58.06,0,33.12,66.25
"050US06033","06033",0,0,0,0,55.82,111.64
"050US06035","06035",0,0,0,0,76.44,152.88
"050US06037","06037",2489,2452,99.76,98.28,5.42,10.84
"050US06039","06039",23,0,67.65,0,29.43,58.85
"050US06041","06041",58,49,93.55,79.03,13.18,26.36
"050US06043","06043",0,0,0,0,55.69,111.39
"050US06045","06045",12,6,52.17,26.09,37.14,74.28
"050US06047","06047",48,35,76.19,55.56,17.44,34.88
"050US06049","06049",0,0,0,0,NA,NA
"050US06051","06051",0,0,0,0,NA,NA
"050US06053","06053",89,49,86.41,47.57,18.04,36.08
"050US06055","06055",31,2,77.5,5,26.61,53.21
"050US06057","06057",19,11,73.08,42.31,20.81,41.63
"050US06059","06059",613,601,100,98.04,7.33,14.66
"050US06061","06061",78,54,84.78,58.7,17.39,34.78
"050US06063","06063",0,0,0,0,72.6,145.2
"050US06065","06065",475,295,91.7,56.95,15.19,30.38
"050US06067","06067",361,338,99.45,93.11,7.96,15.93
"050US06069","06069",1,0,8.33,0,36.62,73.24
"050US06071","06071",406,358,87.12,76.82,13.95,27.89
"050US06073","06073",727,625,98.78,84.92,9.92,19.83
"050US06075","06075",241,241,99.59,99.59,3.79,7.59
"050US06077","06077",174,139,100,79.89,7.71,15.42
"050US06079","06079",62,16,89.86,23.19,20.67,41.34
"050US06081","06081",172,153,99.42,88.44,10.89,21.79
"050US06083","06083",39,32,36.11,29.63,35.04,70.07
"050US06085","06085",405,358,99.26,87.75,11.09,22.18
"050US06087","06087",67,59,97.1,85.51,10.6,21.19
"050US06089","06089",42,35,84,70,16.44,32.88
"050US06091","06091",0,0,0,0,69.46,138.92
