GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
1865,5.12,10.24,223,1.64378082
1866,,,,
1867,1.392393901,2.784787803,280.9281076,1.020116631
1876,1.498540647,2.997081293,237.4364181,1.077004915
1879,5.276879753,10.55375951,113.6752313,2.309888885
1880,1.696828643,3.393657285,271.7002799,0.728378535
1885,,,,
1886,3.682584494,7.365168988,148.8634556,1.929613171
1887,2.755487113,5.510974226,273.6077982,1.119289217
1888,0,0,298,0.03039625
1889,,,,
1890,1.240735468,2.481470936,291.2762629,0.758794708
1899,,,,
1901,0.487706108,0.975412216,206.5912003,0.289896751
1902,1.19715796,2.39431592,202.6641629,0.486619791
1903,0,0,204,0.169053998
1904,2.171615476,4.343230952,201.4736636,0.589466141
1905,1.680837984,3.361675969,218.0845424,0.556513012
1906,2.152795239,4.305590479,235.7330171,0.869005316
1907,2.022425031,4.044850063,175.4215559,0.624122017
1908,6.48,12.96,154,2.663810142
1910,,,,
1913,3.284296298,6.568592596,85.29435897,1.112251862
1915,2.275171201,4.550342403,129.5092703,0.896809927
1921,6.697641923,13.39528385,138.6531503,3.039380071
1922,0.010510202,0.021020405,74.11632651,2.726228065
1923,1.26918088,2.53836176,193.883167,0.747872801
1929,6.468508606,12.93701721,53.14021669,4.2360077
1930,2.84832649,5.69665298,41.49088809,1.272197929
1931,0,0,42,0.09111755
1936,0,0,75,1.957814789
1937,0,0,207,0.991307445
1938,0.678395261,1.356790521,76.97549604,1.56886455
1940,5.275947598,10.5518952,230.670917,1.781732047
1944,0.013513731,0.027027462,67.95463589,0.541303631
1945,1.374293677,2.748587355,134.601991,0.766239705
1949,0,0,204.1067166,1.528527179
1950,1.102844329,2.205688658,81.70201316,0.769087042
1951,0.018912158,0.037824316,73.98825332,2.724676387
1952,5.857425128,11.71485026,73.4453981,2.495053079
1960,1.906105185,3.81221037,198.5531696,0.957086282
1961,0,0,194,0.901512288
1965,6.63,13.26,80,2.865282907
1966,2.511509084,5.023018167,19.79773823,0.955923388
1969,0,0,82.9939759,0.667724011
1970,0.871740568,1.743481136,164.4997403,0.544300303
1971,1.51,3.02,155,0.746342367
1982,0.180733421,0.361466842,84.00000002,1.945267983
1983,7.547272725,15.09454545,167.8855219,3.675962969
1984,3.75,7.5,110,0.761500057
1985,10.3,20.6,89,3.031107352
2018,5.31,10.62,204,1.552642202
2019,3.770248821,7.540497642,133.3898585,1.671535947
2020,6.15,12.3,34,2.479144388
2021,3.265829828,6.531659656,229.6395243,1.320312298
2025,0,0,102.3700105,1.177782831
2026,1.372209469,2.744418937,262.5949605,0.86117575
2027,0,0,258,1.333392991
2030,7.398884732,14.79776946,211.0407934,3.707524351
2032,0.01077829,0.021556581,246.9564772,1.07102242
2035,2.792069451,5.584138903,188.8293055,1.212070407
2038,2.683927996,5.367855992,126.3674717,1.193437742
2041,0,0,49,1.591723515
2043,2.566386998,5.132773996,179.4018725,1.066664673
2044,,,,
2045,2.819542929,5.639085859,83.74877573,1.338373069
2047,5.86,11.72,54,4.308427812
2048,3.244313761,6.488627522,177.793648,1.556359497
2050,2.340169747,4.680339494,63.23638505,1.729432963
2051,0,0,69,0.829791729
2052,2.365446242,4.730892483,153.2901998,1.200940299
2053,2.812383867,5.624767735,106.6757292,1.015478422
2054,1.845666332,3.691332663,118.4020541,0.914588519
2056,1.306168003,2.612336005,134.7527603,1.024510805
2059,,,,
2060,0,0,64,1.153688275
2061,4.217323185,8.434646369,118.4207573,2.097195736
2062,1.094583481,2.189166963,242.1298368,0.777280159
2065,6.15,12.3,34,2.479144388
2066,5.164560208,10.32912042,62.31574167,2.349427847
2067,2.952828808,5.905657617,204.2948375,1.360610582
2070,,,,
2071,3.34,6.68,222,1.56486096
2072,1.706445153,3.412890307,199.9759074,1.019897747
2081,2.518341011,5.036682022,212.1244524,1.472827623
2090,2.548497281,5.096994562,250.9599068,1.546123292
2093,2.924173916,5.848347831,161.8175652,1.807335963
2108,0.303869387,0.607738774,291.2959184,0.087358576
2109,0.430367363,0.860734725,295.7432328,0.180935571
2110,0.484420772,0.968841544,303.3249001,0.207109376
2111,0.061674905,0.12334981,300.5262357,0.140963433
2112,0,0,307,0.190165707
2113,0.418248148,0.836496295,294.6731902,0.148123768
2114,1.098115965,2.196231931,296.1452703,0.298947607
2115,1.196991732,2.393983464,285.6727464,0.394716872
2116,1.00142465,2.002849301,293.4718971,0.22388543
2117,0,0,295,0.153902236
2118,0.828546375,1.657092751,294.6004669,0.253968689
2119,0.96076596,1.92153192,286.3094014,0.326274607
2120,0.549922343,1.099844686,283.6362398,0.23472433
2121,1.498917612,2.997835224,280.8698569,0.3706628
2122,0.786860284,1.573720568,279.2169683,0.264488812
2123,1.41,2.82,288,0.43950892
2124,0.875590091,1.751180182,281.068066,0.349832121
2125,0.941849758,1.883699516,287.7735586,0.3598863
2126,0.232402722,0.464805444,276.1280384,0.413520945
2127,0.779871889,1.559743778,291.0763219,0.287196484
2128,1.267832672,2.535665344,263.0086125,0.424405331
2129,1.496015917,2.992031833,293.3603304,0.588505126
2130,2.682350443,5.364700885,273.5528271,0.820415976
2131,1.063114792,2.126229584,268.8619661,0.416017836
