GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
2171,1.349678492,2.699356984,268.7836122,0.583622106
2176,0.848210743,1.696421485,268.5957882,0.617474635
2180,2.554875477,5.109750955,291.6196047,0.953996069
2184,1.946345923,3.892691845,250.7458962,0.876241362
2185,0,0,267,0.914566841
2186,2.171059811,4.342119622,274.6047146,1.130020267
2188,1.859713405,3.719426809,221.9402705,0.683680823
2189,3.158691404,6.317382807,203.8418071,1.010850854
2190,1.197811457,2.395622915,196.6764485,0.762862651
2191,1.569291688,3.138583376,213.9210664,0.728478024
2196,0,0,307,0.190165707
2199,1.69,3.38,290,0.182000672
2201,,,,
2203,1.28,2.56,303,0.200927102
2205,0,0,307,0.190165707
2210,0.333155052,0.666310105,297.0558461,0.23186541
2215,1.779605432,3.559210864,282.5250799,0.703304283
2217,,,,
2222,,,,
2238,0,0,288,0.324168818
2269,0,0,272,0.222303654
2301,0.947152232,1.894304463,174.3085252,0.571353788
2302,2.225207913,4.450415826,161.2458137,0.813192561
2303,0,0,172,0.405802297
2304,0,0,163,0.143896071
2305,0,0,166,0.479725522
2322,3.755976458,7.511952916,213.9657571,1.796691028
2324,3.282435594,6.564871188,122.1886923,1.987795245
2325,,,,
2327,0,0,64,1.639321373
2330,12.29188475,24.5837695,47.36717287,5.521437812
2331,0,0,52,0.137084301
2332,3.502305398,7.004610795,64.50857053,1.676341638
2333,3.92544427,7.850888539,103.9617647,1.405588712
2334,0,0,168,1.01912385
2337,,,,
2338,9.572880835,19.14576167,68.16001229,5.173448061
2339,0,0,133.8132458,1.426850926
2341,2.418048781,4.836097563,82.09028326,1.046505606
2343,0.020858698,0.041717397,204.7169926,0.675214964
2344,,,,
2345,2.94,5.88,20,2.48373521
2346,5.872416829,11.74483366,93.78937786,2.582501686
2347,5.314125837,10.62825167,103.7239362,3.437318243
2348,,,,
2349,,,,
2350,4.82,9.64,79,1.222760033
2351,2.171043621,4.342087243,164.7529808,1.356114436
2355,,,,
2356,0.006930204,0.013860408,141.2065443,1.132759206
2357,,,,
2358,,,,
2359,1.902212314,3.804424627,75.63655778,1.684804506
2360,5.045572602,10.0911452,31.49911704,2.203580891
2361,3.45,6.9,46,0.860629474
2362,12.91,25.82,22,5.886121759
2364,2.92099399,5.84198798,50.88387201,1.739662981
2366,,,,
2367,9.835199637,19.67039927,56.04900181,5.061865356
2368,1.398171311,2.796342623,242.5210239,0.695697111
