"GEOID","TotPop","MaleP","FemP","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","WhiteE","AsianE","PacIsE","HisE","AmIndE","TwoPlsE","OtherE","SomeCollege","EduNoHsP","EduHsP","BachelorsP","GradSclP"
"06013",1161458,49.18,50.82,936141,80.6,903366,77.78,783484,67.46,193816,16.69,96.76,94.36,80.61,505202,214958,5593,316799,9941,168618,158800,16.24,10.39,17.71,27.37,17.54
"06015",27293,54.41,45.59,22196,81.32,21565,79.01,19163,70.21,5392,19.76,119.36,118.1,89.46,18316,856,119,5350,1911,3029,2257,25.11,14.46,25.58,12.79,8.18
"06017",192299,50.01,49.99,159360,82.87,154382,80.28,136253,70.85,43808,22.78,100.04,98.91,92.9,153632,10082,241,27230,1189,17620,7891,20.45,5.08,20.73,25.74,13.08
"06019",1012152,50.12,49.88,761285,75.21,728329,71.96,631541,62.4,128751,12.72,100.49,98.64,82.7,423296,111385,1729,547669,14036,211586,205728,21.41,21.4,23.02,15.67,8.18
"06021",28623,51.26,48.74,22108,77.24,21122,73.79,18317,63.99,4822,16.85,105.18,103.74,91.27,17120,777,22,12632,439,4138,5969,20.88,19.68,31.42,12.42,4.06
"06023",135418,49.48,50.52,112770,83.28,109733,81.03,96111,70.97,26082,19.26,97.95,96.29,85.11,99692,4250,364,18744,5089,16395,7907,22.52,8.48,23.24,20.88,11.21
"06025",179319,51.36,48.64,133703,74.56,128203,71.49,110322,61.52,24119,13.45,105.59,106.19,81.92,54559,2702,31,153460,2857,47008,67702,21.18,28.15,25.89,11.51,4.59
"06027",18803,50.87,49.13,15356,81.67,14984,79.69,13449,71.53,4594,24.43,103.54,102.87,93.43,12154,341,168,4469,1948,2754,1256,21.9,7.2,27.41,19.85,11.97
"06029",910433,50.95,49.05,677057,74.37,647883,71.16,561105,61.63,105653,11.6,103.87,104,87.11,448046,46219,1472,507456,10938,194073,162739,22.28,22.87,27.67,12.34,6.24
"06031",152830,55.22,44.78,115997,75.9,111456,72.93,96676,63.26,16221,10.61,123.3,131.11,91.11,70362,5381,395,87860,2931,30952,33027,22.68,25.76,28.09,9.41,4.51
"06033",68139,50.19,49.81,54765,80.37,53311,78.24,47262,69.36,16105,23.64,100.76,99.08,92.97,47171,750,233,16184,1916,7944,8647,24.66,12.92,28.84,11.74,6.01
"06035",31177,62.13,37.87,26164,83.92,25597,82.1,22827,73.22,4977,15.96,164.06,183.64,96.64,21468,543,294,7027,844,4364,1088,22.94,20.86,30.3,9.9,3.31
"06037",9848406,49.54,50.46,8033916,81.58,7790870,79.11,6770448,68.75,1448571,14.71,98.19,96.08,78.74,3489206,1480146,21691,4753369,125310,1642818,2320096,17.38,19.34,20.3,22.77,12.7
"06039",158790,49.1,50.9,120550,75.92,115343,72.64,99854,62.88,22802,14.36,96.44,92,91.36,70067,3922,199,95835,3050,29280,48183,24.35,26.95,23.89,11.61,5.52
"06041",258765,49.12,50.88,214737,82.99,207753,80.29,179146,69.23,60192,23.26,96.53,94.43,80.96,182267,16041,417,49128,1530,27708,24732,13.57,7.27,10.78,33.21,27.25
"06043",17060,51.51,48.49,14547,85.27,14186,83.15,13018,76.31,5009,29.36,106.24,110.5,99.96,13594,277,7,2341,305,1713,940,24.71,9.53,21.2,19.28,11.58
"06045",90709,49.59,50.41,73715,81.27,71567,78.9,63476,69.98,21829,24.06,98.38,97.78,87.89,61962,2014,81,24440,3195,15219,7380,22.62,13.84,26.13,15.14,9.78
"06047",285597,50.73,49.27,212519,74.41,202355,70.85,171766,60.14,33068,11.58,102.97,101.48,85.81,102852,20391,887,178961,4120,35067,114030,21.1,28.11,28.68,10.36,4.42
"06049",8646,49.11,50.89,7141,82.59,6985,80.79,6324,73.14,2680,31,96.5,98.7,101.35,6974,103,0,1321,212,796,489,24.45,12.05,27.52,16.01,6.99
"06051",13169,55.89,44.11,10908,82.83,10750,81.63,9503,72.16,2164,16.43,126.7,120.21,119.47,9755,296,0,3513,211,2107,788,27.45,10.45,17.61,18.8,15.52
"06053",435834,50.86,49.14,335220,76.91,322633,74.03,277487,63.67,63232,14.51,103.51,102.95,85.98,159097,25202,2226,265748,3510,58755,177511,17.15,26.67,20.64,16.53,11.35
"06055",136070,50.04,49.96,113023,83.06,109047,80.14,95240,69.99,28017,20.59,100.17,98.9,88.48,81711,10900,396,48801,1272,19025,20141,18.62,15.29,17.45,24.41,14.1
"06057",102452,49.38,50.62,86942,84.86,84938,82.91,76219,74.39,29591,28.88,97.56,95.45,88.96,87829,1821,64,10723,505,9534,2385,21.11,4.93,20.47,24.95,14.51
"06059",3164063,49.56,50.44,2572232,81.3,2489230,78.67,2144448,67.78,498997,15.77,98.27,96.3,81.83,1468454,694189,9954,1080480,23889,470643,444982,17.02,13.06,17.2,27.28,16.13
"06061",412435,49.19,50.81,332802,80.69,321825,78.03,281548,68.26,83236,20.18,96.81,94.03,80.75,299005,37124,750,63412,2033,50345,16362,19.29,5.08,17.15,27.67,15.22
"06063",19607,51,49,16702,85.18,16177,82.51,14751,75.23,5848,29.83,104.07,99.16,108.26,17071,170,56,1965,341,1495,208,27.66,6.02,28.36,13.35,7.11
"06065",2449909,50.14,49.86,1923829,78.53,1851238,75.56,1597897,65.22,371046,15.15,100.55,98.97,85.99,1033132,172556,8164,1239702,29471,453548,594371,21.33,16.7,26.34,16.02,9.06
"06067",1584047,49.23,50.77,1260370,79.57,1218380,76.92,1066223,67.31,236467,14.93,96.97,94.37,78.25,747022,277017,18041,379734,13876,213376,163772,20.38,11.63,21.93,21.42,11.87
"06069",66056,50.38,49.62,51266,77.61,49236,74.54,42522,64.37,8900,13.47,101.55,102.14,86.23,29824,2288,152,40783,1229,21567,10313,21.54,16.76,26.3,16.13,6.26
"06071",2187816,50.08,49.92,1690450,77.27,1623837,74.22,1401204,64.05,269001,12.3,100.31,98.74,82.57,855655,177777,7466,1193691,28315,407836,535517,20.7,17.91,27.83,14.72,8.18
"06073",3282782,50.57,49.43,2666773,81.24,2588613,78.85,2253033,68.63,493837,15.04,102.31,101.6,82.56,1740220,401057,13796,1127221,31001,594033,348079,18.51,10.98,17.95,25.57,16.52
"06075",836321,51.4,48.6,733770,87.74,721593,86.28,648930,77.59,143605,17.17,105.75,104.81,85.18,338640,292477,3141,133266,5524,89178,64814,11.32,11.2,11.32,35.07,25.05
"06077",787416,50.1,49.9,603277,76.61,578486,73.47,498013,63.25,104481,13.27,100.39,98.05,80.94,292062,140647,4745,332543,9585,155683,129646,20.37,19.57,27.75,14.6,6.98
"06079",281486,50.48,49.52,237780,84.47,231922,82.39,195380,69.41,60708,21.57,101.93,101.22,86.58,203738,10455,499,68980,2618,42124,18863,20.76,8.23,18.18,24.27,14.93
"06081",745100,49.82,50.18,615601,82.62,597036,80.13,524905,70.45,128893,17.3,99.29,97.62,80.59,303184,229418,8510,185378,7988,93192,86274,13.76,9.7,14.81,29.17,23.9
"06083",443975,50.16,49.84,355877,80.16,344367,77.56,289807,65.28,71982,16.21,100.62,99.13,83.68,240915,23659,491,211412,7941,103078,60423,19.53,17.86,16.91,21.63,14.24
"06085",1903297,50.96,49.04,1552720,81.58,1504544,79.05,1306835,68.66,273921,14.39,103.93,103.37,83.1,631965,751693,7506,477632,14579,251284,200945,12.29,10.67,13.51,28.15,27.71
"06087",266021,49.9,50.1,222454,83.62,216119,81.24,181745,68.32,48784,18.34,99.61,97.99,87.91,167132,12608,457,93116,2641,36550,44088,19.21,11.51,15.21,25.26,18.3
"06089",181554,49.36,50.64,146605,80.75,142150,78.3,125947,69.37,38580,21.25,97.46,95.09,84.63,145566,6188,436,20604,3133,19797,4820,25.43,7.93,26.37,15.91,7.35
"06091",2731,49.47,50.53,2394,87.66,2382,87.22,2115,77.44,942,34.49,97.9,96.47,92.64,2469,0,0,262,37,89,128,25.18,8.61,33.88,14.88,9.52
"06093",43834,49.96,50.04,36040,82.22,35007,79.86,31126,71.01,11903,27.15,99.84,98.34,94.37,34820,709,176,5757,1420,4895,1078,24.58,8.93,26.02,15.75,7.33
