GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
40,19.12,14.63,32.57,15.21,7.4,77.95,75.22,70.74,13.51,105.01,95.82,77.34,13.54,14.22,72.16,2706845,7.4,277644,8.58,321687,1.73,65076,0.12,4369,4.12,154409,5.9,221321,5.32,199457
41,20.79,11.45,25.6,18.25,10.38,80.0,77.38,73.25,13.93,104.93,96.01,80.43,12.38,12.99,83.65,3204614,1.81,69206,1.39,53203,3.69,141263,0.35,13404,5.34,204625,3.78,144759,7.04,269748
42,12.92,12.59,37.81,16.32,10.07,80.77,78.02,73.46,15.42,104.58,92.46,72.13,12.23,12.79,81.92,10406288,10.85,1377689,0.21,26843,2.75,349088,0.03,3653,2.37,300983,1.87,237835,3.62,459421
44,14.63,16.34,28.22,18.46,11.88,81.44,78.72,73.28,14.43,103.73,90.53,69.82,12.21,12.66,81.41,856869,5.72,60189,0.58,6058,2.89,30457,0.05,554,6.05,63653,3.3,34787,8.05,84715
45,16.07,16.99,31.25,15.51,8.44,79.34,76.64,71.93,13.66,103.98,92.09,76.31,12.98,13.49,66.16,3060000,27.9,1290684,0.42,19524,1.28,59051,0.06,2706,2.45,113464,1.73,79935,3.33,154176
46,17.44,10.74,32.73,17.98,7.34,77.89,75.09,70.69,14.32,105.56,98.44,77.37,13.55,14.3,85.9,699392,1.25,10207,8.82,71817,0.93,7610,0.05,394,0.92,7477,2.12,17283,1.59,12917
47,16.86,17.51,33.38,14.7,7.99,79.15,76.43,72.18,13.45,104.44,92.33,75.1,12.92,13.49,77.56,4921948,16.66,1057315,0.32,19994,1.44,91242,0.06,3642,2.24,141955,1.73,110009,2.87,182006
48,19.28,19.98,25.99,17.26,8.5,75.7,72.7,68.22,10.35,104.76,96.18,77.46,14.8,15.51,70.4,17701552,11.85,2979598,0.68,170972,3.84,964596,0.09,21656,10.45,2628186,2.7,679001,24.43,6143144
49,22.26,9.4,24.84,19.9,9.52,71.6,68.49,63.65,9.03,104.6,98.86,82.87,17.02,17.8,86.09,2379560,1.06,29287,1.19,32927,2.0,55285,0.89,24554,6.03,166754,2.73,75518,7.76,214494
50,13.04,9.44,32.05,20.16,13.11,82.02,79.35,74.32,14.56,105.68,94.98,79.41,11.67,12.34,95.29,596292,1.0,6277,0.35,2207,1.27,7947,0.03,160,0.34,2105,1.72,10753,1.01,6328
51,15.9,13.92,25.99,19.93,13.88,79.53,76.83,72.49,12.21,104.3,94.02,75.83,12.75,13.3,68.58,5486852,19.39,1551399,0.37,29225,5.5,439890,0.07,5980,3.18,254278,2.92,233400,5.34,426857
53,19.89,10.42,24.29,19.95,11.05,79.23,76.48,72.28,12.31,105.13,97.54,80.83,12.83,13.49,77.27,5196362,3.57,240042,1.54,103869,7.15,481067,0.6,40475,5.2,349799,4.65,312926,6.79,456355
54,14.6,18.09,41.29,10.57,6.69,81.56,79.09,74.9,16.05,105.16,95.24,77.3,11.55,12.15,93.9,1739988,3.41,63124,0.2,3787,0.67,12406,0.02,428,0.33,6119,1.46,27142,0.8,14764
55,16.51,10.57,34.03,17.15,8.65,79.25,76.45,72.17,13.67,104.8,96.66,76.7,12.9,13.52,86.2,4902067,6.32,359148,0.96,54526,2.27,129234,0.03,1827,2.39,135867,1.83,104317,3.51,199822
56,20.72,8.66,31.27,15.75,7.82,78.62,75.98,71.63,12.44,106.15,103.37,87.03,13.04,13.84,90.71,511279,0.84,4748,2.37,13336,0.79,4426,0.08,427,3.02,17049,2.19,12361,5.69,32070
72,13.83,32.44,25.24,15.79,5.65,78.8,75.76,71.13,14.55,104.73,88.19,77.37,13.34,13.97,75.83,2825100,12.39,461498,0.53,19839,0.18,6831,0.01,370,7.78,289905,3.28,122246,74.93,2791782
