GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
42115,12.62,13.23,47.1,9.34,6.05,81.79,78.86,75.41,18.09,109.2,99.2,86.39,11.28,12.31,98.05,42510,0.36,156,0.13,57,0.28,123,0.03,12,0.32,139,0.83,359,0.84,364
42117,13.84,12.94,43.25,10.99,6.73,82.13,79.54,73.55,18.01,98.03,94.95,84.57,12.36,12.11,97.31,40852,0.79,333,0.22,91,0.44,183,0.01,4,0.19,80,1.04,438,0.66,279
42119,13.65,16.87,40.11,12.98,9.21,83.85,81.51,74.47,14.8,103.35,126.1,75.61,11.35,11.73,87.69,39414,7.4,3324,0.35,159,1.16,522,0.05,24,1.76,792,1.58,712,4.58,2058
42121,11.89,12.67,49.1,9.21,4.86,81.34,78.48,75.05,17.98,105.78,93.51,76.34,11.62,12.29,97.1,53390,1.04,571,0.15,85,0.36,197,0.02,11,0.2,108,1.13,622,0.5,275
42123,12.33,11.14,47.28,11.38,5.5,82.02,79.15,76.02,18.75,107.86,97.17,82.37,11.1,11.98,98.13,41031,0.36,149,0.19,80,0.38,157,0.03,12,0.13,53,0.8,333,0.46,192
42125,11.82,11.01,40.72,16.02,8.16,82.0,79.46,75.13,17.5,105.44,91.88,71.66,11.38,12.0,94.15,195657,3.25,6757,0.12,251,0.64,1327,0.01,31,0.3,630,1.52,3167,0.74,1538
42127,14.44,13.33,43.87,10.59,7.28,83.7,80.99,78.0,18.98,105.21,111.97,89.42,10.28,10.82,94.2,49759,3.11,1644,0.19,101,0.48,255,0.01,4,0.87,460,1.13,599,2.61,1380
42129,12.94,8.64,40.98,15.95,8.03,82.79,80.12,76.56,18.86,106.23,92.3,72.25,10.84,11.51,95.35,348182,2.34,8562,0.1,351,0.74,2704,0.02,62,0.23,833,1.23,4475,0.55,2024
42131,12.97,10.93,47.92,11.16,5.66,81.26,78.25,74.06,16.01,107.86,97.85,84.36,11.79,12.72,97.41,27545,0.74,208,0.19,54,0.34,95,0.01,3,0.4,112,0.92,259,0.92,260
42133,13.11,13.24,41.55,14.1,7.42,79.4,76.55,72.76,14.04,106.42,94.82,78.5,12.61,13.42,88.54,385135,5.6,24344,0.22,942,1.24,5407,0.03,123,2.37,10326,2.0,8695,3.39,14745
