HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US48423,41.0,24.0,,39.0,14.0,,0.0,,,9.0,34.78,,13.67,53.4,,67.28,,,1.0,0.59,,0.95,0.34,,0.0,,,0.78,0.22,0.0,,209714,143428,66286,0.32,0,0,0.0,1813.52,744.69,2596.0,1066.0,496.91,6083.2,314.83,715.0,8753.0,453.0
050US48425,0.0,0.0,,0.0,,,0.0,0.0,,36.38,151.01,,56.8,,,37.61,234.84,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,,8490,0,8490,1.0,0,0,0.0,749.68,639.97,41.0,35.0,719.3,14961.34,485.52,40.0,832.0,27.0
050US48427,0.0,,,0.0,,,0.0,,,59.22,,,65.06,,,63.66,,,0.0,,,0.0,,,0.0,,,0.0,0.93,0.07,,60968,46515,14453,0.24,0,0,0.0,485.86,227.59,190.0,89.0,522.12,2648.8,0.0,205.0,1040.0,0.0
050US48429,3.0,3.0,1.0,0.0,,,0.0,,,4.38,11.55,29.69,87.25,,,92.02,,,1.0,1.0,0.33,0.0,,,0.0,,,0.0,0.0,1.0,,9630,5839,3791,0.39,0,0,0.0,1688.27,750.34,99.0,44.0,483.59,9516.41,500.86,28.0,551.0,29.0
050US48431,0.0,0.0,0.0,0.0,,,0.0,0.0,,52.06,376.88,1087.66,54.45,,,52.06,376.88,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,1.0,,1143,0,1143,1.0,0,0,0.0,1102.94,857.84,9.0,7.0,312.42,20568.38,159.35,2.49,163.93,1.27
050US48433,0.0,0.0,0.0,0.0,,,,,,54.58,206.13,615.86,71.73,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,,1490,0,1490,1.0,0,0,0.0,1159.79,644.33,9.0,5.0,259.4,26977.95,259.4,2.0,208.0,2.0
050US48435,0.0,,,0.0,,,,,,79.79,,,80.55,,,,,,0.0,,,0.0,,,,,,0.0,0.0,1.0,,4128,3352,776,0.19,0,0,0.0,1173.14,444.98,29.0,11.0,293.13,10887.77,83.75,7.0,260.0,2.0
050US48437,0.0,,,0.0,,,0.0,,,56.38,,,59.39,,,58.31,,,0.0,,,0.0,,,0.0,,,0.0,0.33,0.67,,7854,4903,2951,0.38,0,0,0.0,1160.75,284.71,53.0,13.0,283.41,6191.41,0.0,13.0,284.0,0.0
050US48439,357.0,312.0,,357.0,209.0,,357.0,293.0,75.0,5.56,16.02,,9.8,31.12,,6.93,20.2,56.72,1.0,0.87,,1.0,0.59,,1.0,0.82,0.21,1.0,0.0,0.0,,1809034,1785730,23304,0.01,0,0,0.0,754.16,387.11,10232.0,5252.0,254.27,2760.08,182.95,3501.0,38003.0,2519.0
050US48441,38.0,33.0,18.0,37.0,23.0,,0.0,,,5.72,16.32,46.55,9.37,29.76,,109.51,,,1.0,0.87,0.47,0.97,0.61,,0.0,,,0.87,0.08,0.05,,131506,110421,21085,0.16,0,0,0.0,1560.81,860.47,1384.0,763.0,617.25,11618.28,469.43,547.0,10296.0,416.0
050US48443,0.0,0.0,0.0,,,,,,,145.66,922.09,2234.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,,984,0,984,1.0,0,0,0.0,836.82,,4.0,,452.49,11764.71,226.24,2.0,52.0,1.0
050US48445,3.0,3.0,1.0,0.0,,,0.0,,,4.39,13.45,34.37,50.15,,,66.64,,,1.0,1.0,0.33,0.0,,,0.0,,,0.0,0.0,1.0,,12651,9530,3121,0.25,0,0,0.0,1769.36,1104.28,141.0,88.0,1002.21,52791.88,846.02,77.0,4056.0,65.0
050US48447,0.0,0.0,0.0,0.0,,,0.0,,,54.74,221.4,667.98,105.46,,,111.59,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,1.0,,1641,0,1641,1.0,0,0,0.0,1033.3,688.86,9.0,6.0,10311.32,118977.59,9022.41,87.44,1008.93,76.51
050US48449,8.0,5.0,2.0,0.0,,,0.0,,,10.08,30.12,119.74,79.52,,,68.87,,,1.0,0.62,0.25,0.0,,,0.0,,,0.0,0.62,0.38,,32334,15987,16347,0.51,0,0,0.0,807.05,564.44,163.0,114.0,587.16,7440.67,429.27,119.0,1508.0,87.0
050US48451,25.0,20.0,7.0,25.0,15.0,,,,,6.67,19.73,57.4,9.64,30.53,,,,,1.0,0.8,0.28,1.0,0.6,,,,,0.88,0.12,0.0,,110224,92984,17240,0.16,0,0,0.0,1402.07,719.31,1074.0,551.0,575.26,9604.45,502.7,438.67,7323.97,383.34
050US48453,218.0,192.0,124.0,207.0,104.0,,217.0,161.0,49.0,5.02,13.3,36.72,11.85,38.39,,8.03,23.27,65.32,1.0,0.88,0.57,0.95,0.48,,1.0,0.74,0.22,0.94,0.06,0.0,,1024266,968305,55961,0.05,0,0,0.0,488.29,260.7,4233.0,2260.0,283.58,5348.14,213.3,2502.0,47187.0,1882.0
050US48455,2.0,1.0,,0.0,,,0.0,,,26.77,84.01,,67.35,,,95.07,,,0.4,0.2,,0.0,,,0.0,,,0.0,0.0,1.0,,14585,3320,11265,0.77,0,0,0.0,1667.46,690.81,140.0,58.0,83.13,6175.04,47.5,7.0,520.0,4.0
050US48457,4.0,2.0,2.0,0.0,,,0.0,,,14.04,84.84,251.05,59.57,,,66.03,,,0.8,0.4,0.4,0.0,,,0.0,,,0.0,0.4,0.6,,21766,4760,17006,0.78,0,0,0.0,700.92,298.26,94.0,40.0,254.64,778.91,217.2,34.0,104.0,29.0
050US48459,4.0,0.0,,0.0,,,0.0,,,26.05,116.26,,55.1,,,93.49,,,0.57,0.0,,0.0,,,0.0,,,0.14,0.71,0.14,,39309,8137,31172,0.79,0,0,0.0,1288.88,622.89,329.0,159.0,781.04,7107.43,577.97,200.0,1820.0,148.0
050US48461,0.0,0.0,,0.0,0.0,,0.0,,,64.43,389.81,,63.87,387.57,,78.04,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,1.0,,3355,0,3355,1.0,0,0,0.0,960.7,698.69,22.0,16.0,2090.75,25444.84,1290.04,47.0,572.0,29.0
050US48463,1.0,1.0,,,,,0.0,,,33.74,145.69,,,,,100.28,,,0.2,0.2,,,,,0.0,,,0.0,0.8,0.2,,26405,18118,8287,0.31,0,0,0.0,713.68,378.19,117.0,62.0,785.44,9498.3,511.45,129.0,1560.0,84.0
050US48465,10.0,8.0,2.0,,,,,,,8.17,24.38,69.51,,,,,,,1.0,0.8,0.2,,,,,,,0.0,1.0,0.0,,48879,43914,4965,0.1,0,0,0.0,519.27,324.13,157.0,98.0,3717.17,53418.14,2673.05,1125.0,16167.0,809.0
050US48467,2.0,0.0,,0.0,,,3.0,1.0,,36.02,174.62,,55.75,,,30.49,117.4,,0.2,0.0,,0.0,,,0.3,0.1,,0.0,0.8,0.2,,52579,13135,39444,0.75,0,0,0.0,869.28,644.47,290.0,215.0,467.55,7078.39,449.8,158.0,2392.0,152.0
050US48469,22.0,13.0,,22.0,13.0,,0.0,,,11.26,44.44,,11.26,44.44,,109.76,,,0.96,0.57,,0.96,0.57,,0.0,,,0.74,0.22,0.04,,86793,63683,23110,0.27,0,0,0.0,1433.08,726.78,840.0,426.0,682.37,10550.89,496.27,396.0,6123.0,288.0
050US48471,10.0,5.0,2.0,0.0,,,0.0,,,12.07,44.29,130.24,60.09,,,60.09,,,1.0,0.5,0.2,0.0,,,0.0,,,0.0,0.6,0.4,,67861,36928,30933,0.46,0,0,0.0,457.79,248.36,247.0,134.0,116.51,7212.74,170.15,63.0,3900.0,92.0
050US48473,3.0,1.0,,0.0,0.0,,2.0,0.0,,24.52,101.43,,37.34,157.3,,35.42,158.01,,0.5,0.17,,0.0,0.0,,0.33,0.0,,0.17,0.67,0.17,,43205,16573,26632,0.62,1,0,0.0,478.15,181.87,163.0,62.0,287.75,7800.99,244.59,100.0,2711.0,85.0
050US48475,0.0,,,0.0,,,0.0,,,47.91,,,47.91,,,75.04,,,0.0,,,0.0,,,0.0,,,0.0,0.0,1.0,,10658,7686,2972,0.28,0,0,0.0,1282.41,766.66,92.0,55.0,663.56,7440.35,310.6,47.0,527.0,22.0
050US48477,6.0,3.0,1.0,0.0,,,0.0,,,12.37,41.33,120.47,58.73,,,58.95,,,1.0,0.5,0.17,0.0,,,0.0,,,0.0,0.67,0.33,,33718,15682,18036,0.53,0,0,0.0,1121.07,689.53,239.0,147.0,396.23,9320.75,415.09,84.0,1976.0,88.0
050US48479,59.0,53.0,,58.0,37.0,,,,,7.34,27.83,,12.51,40.64,,,,,0.97,0.87,,0.95,0.61,,,,,0.92,0.08,0.0,,250304,243797,6507,0.03,0,0,0.0,326.85,171.6,560.0,294.0,315.29,6178.28,267.18,544.0,10660.0,461.0
050US48481,9.0,4.0,,0.0,,,1.0,1.0,,19.83,87.13,,69.12,,,43.68,127.31,,0.82,0.36,,0.0,,,0.09,0.09,,0.0,0.45,0.55,,41280,20683,20597,0.5,0,0,0.0,764.8,278.11,198.0,72.0,501.6,9831.38,466.88,130.0,2548.0,121.0
050US48483,0.0,0.0,0.0,,,,,,,61.18,268.48,794.88,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,,5410,0,5410,1.0,0,0,0.0,1433.36,853.92,47.0,28.0,94.88,8222.64,63.25,3.0,260.0,2.0
050US48485,37.0,26.0,,36.0,22.0,,36.0,24.0,,8.13,28.45,,10.08,37.45,,9.27,33.87,,1.0,0.7,,0.97,0.59,,0.97,0.65,,0.84,0.11,0.05,,131500,117473,14027,0.11,0,0,0.01,1118.24,675.96,981.0,593.0,552.13,0.0,455.36,485.0,0.0,400.0
050US48487,4.0,3.0,2.0,0.0,,,0.0,,,5.66,15.33,44.44,60.99,,,60.99,,,1.0,0.75,0.5,0.0,,,0.0,,,0.0,0.75,0.25,,13535,10572,2963,0.22,0,0,0.01,1574.13,805.37,129.0,66.0,369.59,0.0,0.0,30.0,0.0,0.0
050US48489,5.0,0.0,,0.0,,,0.0,0.0,,32.26,504.03,,62.1,,,56.32,577.5,,0.83,0.0,,0.0,,,0.0,0.0,,0.0,0.83,0.17,,22134,14481,7653,0.35,0,0,0.0,656.8,352.6,95.0,51.0,433.17,2179.84,363.31,62.0,312.0,52.0
050US48491,86.0,63.0,,66.0,9.0,,85.0,42.0,,9.28,30.0,,21.47,80.65,,13.05,40.23,,0.97,0.71,,0.74,0.1,,0.96,0.47,,0.83,0.17,0.0,,422679,372000,50679,0.12,0,0,0.0,337.14,174.97,1185.0,615.0,181.52,3765.21,44.01,660.0,13690.0,160.0
050US48493,4.0,0.0,,0.0,,,0.0,,,33.28,142.83,,45.04,,,49.05,,,0.36,0.0,,0.0,,,0.0,,,0.0,1.0,0.0,,42918,6068,36850,0.86,0,0,0.0,461.83,286.65,145.0,90.0,366.45,977.2,0.0,117.0,312.0,0.0
050US48495,0.0,,,0.0,,,0.0,,,53.2,,,53.2,,,79.46,,,0.0,,,0.0,,,0.0,,,0.0,0.0,1.0,,7110,5821,1289,0.18,0,0,0.0,805.48,402.74,40.0,20.0,1850.71,24593.8,1439.49,88.39,1174.6,68.75
050US48497,11.0,2.0,,0.0,0.0,,3.0,0.0,,16.2,62.67,,48.6,210.52,,40.25,171.67,,1.0,0.18,,0.0,0.0,,0.27,0.0,,0.0,0.36,0.64,,59127,16492,42635,0.72,0,0,0.0,720.01,416.22,301.0,174.0,460.18,8877.25,354.53,196.0,3781.0,151.0
050US48499,3.0,0.0,,0.0,,,0.0,,,38.6,179.7,,54.9,,,70.05,,,0.3,0.0,,0.0,,,0.0,,,0.0,0.0,1.0,,41964,10827,31137,0.74,0,0,0.0,1028.54,430.55,258.0,108.0,535.94,5584.02,551.7,136.0,1417.0,140.0
050US48501,0.0,0.0,,0.0,,,0.0,,,36.34,189.37,,92.14,,,108.63,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,1.0,,7879,4938,2941,0.37,0,0,0.0,995.41,478.56,52.0,25.0,289.58,12046.33,173.75,15.0,624.0,9.0
050US48503,3.0,3.0,2.0,0.0,,,0.0,,,13.0,48.08,208.17,69.86,,,74.24,,,0.75,0.75,0.5,0.0,,,0.0,,,0.0,0.0,1.0,,18550,12323,6227,0.34,0,0,0.0,1349.01,601.59,148.0,66.0,739.23,13454.08,628.35,80.0,1456.0,68.0
050US48505,0.0,,,0.0,,,,,,53.99,,,68.26,,,,,,0.0,,,0.0,,,,,,0.0,1.0,0.0,,14018,10719,3299,0.24,0,0,0.0,422.49,187.77,36.0,16.0,1850.09,2466.79,984.35,156.0,208.0,83.0
050US48507,2.0,0.0,,,,,,,,35.64,164.04,,,,,,,,0.5,0.0,,,,,,,,0.0,0.0,1.0,,11677,7236,4441,0.38,0,0,0.0,630.45,348.76,47.0,26.0,866.74,14084.51,270.86,64.0,1040.0,20.0
050US49001,0.0,0.0,,,,,0.0,,,69.64,313.66,,,,,71.72,,,0.0,0.0,,,,,0.0,,,0.0,0.0,1.0,,6629,2882,3747,0.57,0,0,0.0,1003.17,686.38,38.0,26.0,9914.02,21923.7,0.0,369.0,816.0,0.0
050US49003,10.0,6.0,,3.0,0.0,,10.0,8.0,3.0,20.02,70.34,,40.76,168.58,,13.6,42.28,122.91,0.91,0.55,,0.27,0.0,,0.91,0.73,0.27,0.64,0.09,0.27,,49975,34433,15542,0.31,0,0,0.0,223.97,108.87,72.0,35.0,434.46,6841.27,88.73,142.0,2236.0,29.0
050US49005,25.0,19.0,,24.0,14.0,,24.0,16.0,,7.85,25.68,,12.25,42.56,,10.42,36.25,,0.96,0.73,,0.92,0.54,,0.92,0.62,,0.88,0.12,0.0,,112656,94983,17673,0.16,0,0,0.0,230.09,71.67,183.0,57.0,318.24,3527.82,161.59,258.0,2860.0,131.0
050US49007,5.0,4.0,3.0,5.0,2.0,1.0,5.0,2.0,1.0,2.41,14.28,35.18,8.98,57.59,151.39,8.98,57.59,151.39,1.0,0.8,0.6,1.0,0.4,0.2,1.0,0.4,0.2,0.0,0.8,0.2,,21403,14187,7216,0.34,0,0,0.06,899.82,732.6,113.0,92.0,790.83,12588.77,274.37,98.0,1560.0,34.0
