HEROP_ID,DmySgrg
050US27013,0
050US27031,0
050US27061,0
050US27073,0
050US27075,0
050US27089,0
050US27097,0
050US27127,0
050US27161,0
050US27171,0
050US28001,0
050US28011,0
050US28029,0
050US28043,0
050US28083,0
050US28087,0
050US28103,0
050US28121,0
050US35015,0
050US35039,0
050US35045,0
050US35055,0
050US36025,0
050US36031,0
050US36103,1
050US36105,0
050US36119,1
050US36123,1
050US37009,0
050US37013,0
050US37017,0
050US37023,0
050US37037,0
050US37043,0
050US37053,0
050US37057,1
050US37065,0
050US37075,0
050US37085,0
050US37089,1
050US37095,0
050US37103,0
050US37115,1
050US37123,0
050US28141,0
050US42099,0
050US42103,1
050US42127,0
050US42133,1
050US48411,0
050US48429,0
050US48449,0
050US48453,0
050US48455,0
050US48467,0
050US48473,1
050US48479,0
050US49033,0
050US49045,0
050US49047,0
050US49051,0
050US50017,0
050US50027,0
050US51007,1
050US51017,0
050US51019,0
050US51023,1
050US51033,0
050US51036,1
050US51041,1
050US51057,0
050US51067,1
050US51083,0
050US51091,0
050US51095,0
050US51107,1
050US51111,0
050US51127,1
050US51133,0
050US51143,0
050US51159,0
050US51165,0
050US51175,0
050US51179,1
050US51187,1
050US53047,0
050US53049,0
050US53053,0
050US53061,0
050US53071,0
050US53073,0
050US54013,0
050US54017,0
050US54019,0
050US54023,0
050US54027,0
050US54033,0
050US54037,1
050US54043,0
050US54065,0
050US54071,0
050US54081,0
050US54093,0
050US54095,0
050US37133,0
050US37137,0
050US37149,0
050US37153,0
050US37161,0
050US37163,0
050US37177,0
050US38005,0
050US38033,0
050US38053,0
050US38059,0
050US38067,0
050US38071,0
050US22067,1
050US22069,0
050US22079,0
050US22097,0
050US22107,0
050US22113,0
050US22117,0
050US22123,0
050US23007,0
050US08065,0
050US08071,0
050US08093,1
050US08105,0
050US08113,0
050US09001,0
050US09007,1
050US09011,0
050US10005,0
050US12033,0
050US12037,0
050US12041,0
050US12047,0
050US12053,0
050US12071,0
050US19009,0
050US19027,0
050US19075,0
050US19113,0
050US19147,0
050US19195,0
050US20069,0
050US20143,0
050US20181,0
050US21005,0
050US21025,0
050US21029,1
050US21033,0
050US21043,0
050US21049,0
050US21063,0
050US21071,0
050US21085,0
050US21097,0
050US21109,0
050US21119,0
050US21125,0
050US21135,0
050US21139,0
050US21153,0
050US21159,0
050US21167,0
050US21181,0
050US21183,0
050US21193,0
050US21197,0
050US21205,0
050US54109,0
050US55023,0
050US55037,0
050US55051,0
050US55069,0
050US55075,0
050US55111,0
050US41007,0
050US41017,0
050US41019,0
050US41065,0
050US42003,1
050US42027,0
050US42033,0
050US42041,0
050US42045,1
050US42051,1
050US42061,0
050US42071,0
050US42089,0
050US42095,0
050US51063,0
050US51087,1
050US53077,0
050US45027,0
050US45047,0
050US01043,0
050US45029,0
050US45071,0
050US46067,0
050US01033,0
050US02050,0
050US04007,0
050US05039,0
050US06039,0
050US08043,0
050US12013,0
050US12069,0
050US12129,0
050US13219,0
050US16035,0
050US16069,0
050US17153,0
050US18071,0
050US19087,0
050US21003,0
050US21051,0
050US21165,0
050US46085,0
050US47057,0
050US02195,0
050US06009,0
050US08097,0
050US13007,0
050US21055,0
050US22017,0
050US22115,0
050US26137,0
050US29019,0
050US30005,0
050US37029,0
050US40089,0
050US41023,0
050US46117,0
050US47091,0
050US39047,0
050US39061,1
050US39095,1
050US45055,0
050US45059,0
050US45069,0
050US45073,0
050US45083,0
050US45089,0
050US46009,0
050US06043,0
050US06095,0
050US08035,1
050US10003,1
050US12079,0
050US12113,0
050US13001,0
050US13079,0
050US13135,1
050US13311,0
