HEROP_ID,TotTracts,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,OpRxRt20,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,OdMortRtAv
050US01059,9,6.0,26.79,0.67,8.0,16.5,0.89,9.0,10.49,1.0,6.0,32.21,0.67,6.0,30.28,0.67,0.0,49.12,0.0,89.4,16.4,16.8,18.5,20.6,18.7,16.6,23.0,18.24
050US01061,6,6.0,12.85,1.0,5.0,19.98,0.83,6.0,6.74,1.0,6.0,16.08,1.0,6.0,18.92,1.0,1.0,43.26,0.17,17.0,13.8,14.2,14.6,17.7,18.2,12.0,18.1,15.34
050US01063,3,3.0,18.68,1.0,3.0,18.98,1.0,3.0,18.98,1.0,3.0,18.68,1.0,3.0,18.98,1.0,0.0,57.87,0.0,16.5,12.4,13.5,15.2,16.3,16.4,6.3,8.1,13.54
050US01065,6,6.0,18.43,1.0,5.0,19.29,0.83,6.0,11.93,1.0,6.0,18.64,1.0,3.0,35.0,0.5,1.0,51.08,0.17,22.6,14.1,14.8,18.5,18.1,18.2,6.8,9.2,15.28
050US01067,6,6.0,17.18,1.0,1.0,37.58,0.17,6.0,11.28,1.0,6.0,15.63,1.0,6.0,16.04,1.0,0.0,55.05,0.0,46.2,12.1,12.2,15.1,15.3,16.3,7.9,10.7,13.36
050US01069,22,22.0,15.63,1.0,21.0,11.73,0.95,22.0,3.43,1.0,21.0,9.47,0.95,21.0,9.12,0.95,16.0,24.97,0.73,136.5,11.9,12.7,12.4,15.1,16.0,11.8,16.4,13.6
050US01071,11,9.0,13.59,0.82,7.0,25.46,0.64,11.0,4.49,1.0,8.0,22.9,0.73,8.0,19.28,0.73,4.0,34.31,0.36,71.7,12.9,13.2,13.9,16.6,16.6,11.1,12.8,14.28
050US01073,163,161.0,10.52,0.99,157.0,12.25,0.96,163.0,3.47,1.0,156.0,11.88,0.96,159.0,12.04,0.98,151.0,19.92,0.93,139.0,24.7,23.6,28.7,30.1,27.2,28.8,40.0,27.68
050US01075,3,3.0,15.39,1.0,0.0,36.41,0.0,3.0,0.0,1.0,0.0,43.26,0.0,3.0,15.39,1.0,0.0,58.87,0.0,10.7,13.9,14.1,17.4,17.3,18.7,9.8,13.9,15.46
050US01077,22,21.0,13.08,0.95,18.0,16.55,0.82,21.0,4.46,0.95,18.0,16.73,0.82,21.0,11.74,0.95,17.0,21.81,0.77,57.3,11.7,12.2,14.5,15.2,16.3,12.6,11.7,14.16
050US01079,9,6.0,23.35,0.67,9.0,14.82,1.0,9.0,8.25,1.0,9.0,15.21,1.0,4.0,28.54,0.44,0.0,43.02,0.0,28.3,14.3,14.6,17.9,17.6,16.7,14.7,16.2,16.3
050US01081,27,16.0,28.06,0.59,27.0,14.92,1.0,27.0,5.9,1.0,25.0,15.79,0.93,27.0,13.73,1.0,6.0,44.27,0.22,35.4,8.2,9.6,8.8,10.4,9.5,7.8,11.8,9.22
050US01083,16,16.0,15.19,1.0,15.0,13.82,0.94,16.0,5.08,1.0,15.0,15.38,0.94,15.0,16.0,0.94,6.0,33.03,0.38,26.9,10.3,11.3,12.0,13.4,13.7,8.3,9.0,11.74
050US01085,4,1.0,27.31,0.25,1.0,39.43,0.25,3.0,23.63,0.75,2.0,24.92,0.5,1.0,44.84,0.25,0.0,56.42,0.0,8.3,9.7,11.3,11.9,12.8,12.8,6.5,8.4,11.06
050US01087,12,12.0,12.26,1.0,9.0,20.18,0.75,12.0,12.2,1.0,12.0,12.26,1.0,8.0,20.82,0.67,0.0,46.63,0.0,11.3,8.5,9.3,10.4,11.4,11.1,7.4,8.9,9.92
050US01089,73,71.0,11.66,0.97,69.0,10.9,0.95,73.0,2.9,1.0,71.0,11.26,0.97,73.0,9.15,1.0,68.0,13.83,0.93,87.3,8.6,11.6,15.6,18.7,13.3,19.6,24.6,15.76
050US01091,6,4.0,22.25,0.67,3.0,27.24,0.5,5.0,15.74,0.83,3.0,25.22,0.5,3.0,27.98,0.5,0.0,85.94,0.0,58.8,12.0,14.7,16.5,15.5,16.0,6.1,8.7,13.76
050US01093,8,1.0,36.23,0.12,8.0,15.18,1.0,8.0,10.0,1.0,4.0,27.06,0.5,8.0,15.54,1.0,5.0,27.19,0.62,106.0,13.5,13.2,16.3,16.0,17.4,8.6,10.1,14.3
050US01095,18,9.0,29.23,0.5,15.0,18.51,0.83,18.0,5.28,1.0,16.0,17.53,0.89,13.0,23.94,0.72,1.0,46.04,0.06,92.2,16.6,18.7,16.1,16.4,18.2,19.1,19.7,17.7
050US01097,115,113.0,8.57,0.98,103.0,13.63,0.9,115.0,4.27,1.0,102.0,20.5,0.89,105.0,11.08,0.91,103.0,15.8,0.9,98.0,13.9,16.4,16.2,14.2,15.8,13.2,23.1,15.16
050US01099,7,4.0,21.23,0.57,4.0,25.88,0.57,4.0,19.56,0.57,0.0,54.28,0.0,0.0,81.6,0.0,0.0,86.0,0.0,53.7,12.5,13.6,14.7,17.0,16.2,11.2,14.0,14.54
050US01101,65,64.0,8.12,0.98,63.0,9.75,0.97,63.0,5.24,0.97,63.0,11.55,0.97,63.0,11.78,0.97,62.0,16.23,0.95,86.3,7.8,7.6,8.3,8.4,9.1,6.4,12.2,7.96
050US01103,27,23.0,16.15,0.85,23.0,15.07,0.85,27.0,4.63,1.0,23.0,15.22,0.85,22.0,16.02,0.81,4.0,35.13,0.15,67.9,13.4,18.6,15.3,18.6,19.3,15.7,23.2,17.5
050US01105,3,2.0,14.0,0.67,0.0,37.56,0.0,2.0,14.0,0.67,1.0,24.13,0.33,0.0,42.51,0.0,0.0,87.82,0.0,17.3,12.4,13.6,15.5,16.6,16.6,7.4,9.5,13.94
050US01107,5,5.0,9.58,1.0,4.0,19.96,0.8,5.0,3.69,1.0,1.0,37.96,0.2,4.0,20.05,0.8,0.0,59.09,0.0,43.7,14.4,14.3,15.9,17.0,19.6,12.8,20.8,15.92
050US01109,8,8.0,15.69,1.0,6.0,18.22,0.75,8.0,11.37,1.0,8.0,14.78,1.0,8.0,15.69,1.0,0.0,77.46,0.0,38.5,10.1,9.7,11.3,12.4,11.4,7.5,9.8,10.46
050US01111,6,1.0,30.85,0.17,4.0,22.28,0.67,4.0,13.79,0.67,0.0,42.39,0.0,0.0,50.23,0.0,0.0,56.75,0.0,47.0,13.3,16.4,16.4,19.5,19.5,12.3,15.2,16.82
050US01113,13,11.0,15.01,0.85,11.0,13.82,0.85,13.0,7.28,1.0,11.0,15.48,0.85,11.0,13.72,0.85,11.0,18.62,0.85,35.9,10.7,11.5,12.0,12.1,14.5,22.3,21.5,14.48
050US01115,13,4.0,33.92,0.31,6.0,27.05,0.46,13.0,3.4,1.0,9.0,24.92,0.69,10.0,23.95,0.77,5.0,35.15,0.38,63.0,26.5,21.5,27.1,27.6,27.1,24.4,31.8,25.54
050US01117,48,34.0,26.1,0.71,42.0,17.16,0.88,48.0,4.34,1.0,44.0,19.14,0.92,38.0,21.78,0.79,28.0,28.95,0.58,64.6,17.5,18.4,20.3,17.4,18.6,16.8,21.6,18.3
050US01119,4,2.0,29.09,0.5,2.0,29.06,0.5,3.0,15.96,0.75,1.0,27.26,0.25,1.0,26.79,0.25,0.0,49.35,0.0,41.9,12.4,13.4,16.2,17.4,17.5,5.1,6.5,13.92
050US01121,22,14.0,23.75,0.64,22.0,12.26,1.0,22.0,8.1,1.0,16.0,20.93,0.73,15.0,21.29,0.68,4.0,50.85,0.18,39.7,11.4,13.1,14.0,16.5,17.6,10.8,13.2,14.4
050US01123,10,0.0,44.61,0.0,9.0,15.79,0.9,10.0,10.76,1.0,2.0,37.88,0.2,7.0,22.19,0.7,0.0,78.73,0.0,43.4,10.7,11.9,14.6,12.9,14.0,14.6,13.3,13.6
050US01125,47,46.0,13.13,0.98,45.0,11.47,0.96,47.0,4.18,1.0,46.0,10.42,0.98,45.0,11.43,0.96,42.0,18.16,0.89,86.6,13.5,14.8,16.3,18.1,16.1,14.1,21.1,15.88
050US01127,18,14.0,14.88,0.78,11.0,24.64,0.61,18.0,7.39,1.0,15.0,19.22,0.83,13.0,21.46,0.72,11.0,24.61,0.61,123.0,28.0,23.8,26.3,27.1,26.6,30.3,43.8,26.82
050US01129,5,3.0,29.7,0.6,3.0,28.53,0.6,5.0,13.31,1.0,2.0,29.97,0.4,0.0,55.24,0.0,0.0,82.95,0.0,29.4,14.0,15.2,17.4,18.5,19.1,8.6,10.9,15.76
050US01131,4,3.0,15.77,0.75,3.0,22.13,0.75,3.0,20.79,0.75,3.0,22.13,0.75,0.0,75.18,0.0,0.0,136.84,0.0,16.0,11.2,12.2,13.9,15.0,14.5,6.3,8.6,12.38
050US01133,7,4.0,21.71,0.57,2.0,32.61,0.29,6.0,6.68,0.86,2.0,28.6,0.29,4.0,19.45,0.57,0.0,48.98,0.0,65.0,15.0,18.1,18.6,21.4,20.3,13.8,19.8,18.44
050US02013,1,1.0,23.94,1.0,,,,,,,1.0,0.0,1.0,,,,,,,9.6,17.7,19.4,21.7,24.3,23.3,15.9,20.4,20.92
050US02016,2,2.0,23.94,1.0,2.0,0.0,1.0,,,,2.0,0.0,1.0,2.0,0.0,1.0,,,,2.1,16.4,17.9,19.9,21.4,21.3,12.2,15.6,18.54
050US02020,55,53.0,10.07,0.96,54.0,8.93,0.98,54.0,3.82,0.98,54.0,5.52,0.98,55.0,3.99,1.0,54.0,10.37,0.98,47.2,19.1,20.1,19.4,24.3,19.3,19.3,31.1,20.48
050US02050,3,3.0,0.0,1.0,3.0,1.85,1.0,,,,3.0,0.0,1.0,3.0,0.0,1.0,,,,8.8,19.5,21.1,21.8,23.2,22.6,13.7,16.2,20.48
050US02060,1,1.0,0.0,1.0,1.0,28.5,1.0,,,,1.0,28.5,1.0,1.0,28.5,1.0,,,,6.4,18.8,21.1,23.1,24.7,24.8,19.3,25.0,22.6
050US02068,1,1.0,0.0,1.0,0.0,131.82,0.0,0.0,129.12,0.0,0.0,130.88,0.0,0.0,130.88,0.0,0.0,133.84,0.0,5.2,17.0,18.1,20.3,21.7,21.8,14.6,20.1,19.3
050US02070,2,2.0,0.0,1.0,2.0,0.0,1.0,,,,2.0,0.0,1.0,2.0,0.0,1.0,,,,1.7,19.1,20.6,23.2,24.7,24.8,18.1,23.2,22.28
050US02090,19,17.0,14.62,0.89,18.0,11.2,0.95,18.0,7.96,0.95,17.0,11.25,0.89,17.0,12.61,0.89,17.0,14.75,0.89,29.7,15.3,14.0,16.4,17.2,16.3,18.4,16.4,16.46
050US02100,1,1.0,0.0,1.0,0.0,541.7,0.0,0.0,536.84,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,0.5,16.0,17.4,19.6,20.9,21.0,12.4,16.0,18.26
050US02105,2,2.0,0.0,1.0,,,,0.0,425.04,0.0,1.0,150.46,0.5,1.0,150.46,0.5,,,,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
050US02110,6,6.0,11.56,1.0,6.0,11.14,1.0,6.0,3.39,1.0,6.0,4.72,1.0,6.0,4.77,1.0,,,,29.2,15.2,17.7,19.6,23.0,19.2,21.6,23.7,20.22
050US02122,13,12.0,11.9,0.92,8.0,30.3,0.62,9.0,26.69,0.69,10.0,21.37,0.77,10.0,21.37,0.77,,,,47.3,18.6,22.7,24.0,22.6,25.8,21.9,27.5,23.4
050US02130,4,4.0,0.0,1.0,4.0,9.75,1.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,,,,49.5,18.8,19.3,21.5,24.8,24.2,16.8,21.0,21.32
050US02150,5,5.0,2.71,1.0,4.0,42.87,0.8,4.0,42.87,0.8,4.0,40.55,0.8,4.0,41.29,0.8,,,,18.0,16.8,19.4,21.6,21.7,24.6,15.4,19.3,20.54
050US02158,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,12.3,14.8,12.3
050US02164,1,1.0,10.45,1.0,0.0,68.55,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,-9.0,18.2,19.8,22.3,24.4,23.9,16.8,23.2,21.44
050US02170,24,24.0,12.09,1.0,16.0,29.97,0.67,19.0,19.87,0.79,19.0,22.0,0.79,19.0,20.76,0.79,19.0,25.31,0.79,38.0,18.5,17.6,22.1,21.6,19.7,19.8,24.1,20.16
050US02180,2,2.0,0.0,1.0,2.0,14.46,1.0,2.0,14.46,1.0,2.0,14.46,1.0,2.0,14.46,1.0,,,,3.0,18.0,19.0,23.2,24.9,22.7,12.1,15.3,20.38
050US02185,3,1.0,86.78,0.33,,,,,,,,,,,,,,,,2.2,14.8,15.8,18.6,18.9,19.5,13.7,17.4,17.3
050US02188,2,2.0,0.0,1.0,1.0,1045.1,0.5,1.0,1045.1,0.5,1.0,1045.1,0.5,1.0,1045.1,0.5,,,,11.2,15.5,17.1,19.4,20.3,21.0,7.7,9.3,17.1
050US02195,1,1.0,9.56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,67.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
050US02198,4,3.0,12.73,0.75,2.0,125.87,0.5,3.0,10.34,0.75,3.0,27.23,0.75,3.0,27.23,0.75,,,,18.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
050US02220,2,1.0,338.46,0.5,2.0,9.54,1.0,2.0,0.0,1.0,2.0,9.54,1.0,2.0,9.54,1.0,,,,14.8,17.5,19.7,21.3,24.5,24.6,16.6,19.9,21.34
050US02230,1,1.0,0.0,1.0,,,,0.0,583.74,0.0,0.0,69.83,0.0,0.0,69.83,0.0,,,,10.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
050US02240,2,1.0,58.98,0.5,0.0,175.72,0.0,0.0,173.86,0.0,1.0,58.98,0.5,2.0,0.0,1.0,,,,14.1,15.6,17.1,19.1,20.4,20.7,12.5,16.0,17.96
050US02261,3,3.0,0.0,1.0,3.0,0.0,1.0,2.0,114.78,0.67,3.0,0.0,1.0,3.0,0.0,1.0,,,,,17.7,19.7,20.9,22.3,23.0,,,21.475
050US02275,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,3.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
050US02282,1,1.0,0.0,1.0,0.0,1667.25,0.0,0.0,1667.25,0.0,1.0,0.0,1.0,0.0,1473.95,0.0,,,,8.1,17.0,18.5,20.8,22.3,22.3,14.8,19.1,19.74
050US02290,4,4.0,0.0,1.0,,,,,,,,,,1.0,1566.0,0.25,,,,2.6,16.3,18.0,20.7,21.4,21.6,16.7,19.0,19.68
050US04001,16,2.0,68.7,0.12,8.0,39.22,0.5,3.0,77.1,0.19,2.0,62.51,0.12,3.0,63.86,0.19,,,,4.9,13.4,14.4,15.0,16.1,18.0,13.0,23.0,15.3
050US04003,32,27.0,15.48,0.84,23.0,19.54,0.72,28.0,12.17,0.88,28.0,10.95,0.88,26.0,14.19,0.81,15.0,40.06,0.47,34.4,16.5,21.9,20.4,22.0,20.4,21.7,33.6,21.28
050US04005,28,21.0,22.22,0.75,19.0,26.26,0.68,19.0,28.22,0.68,19.0,27.95,0.68,19.0,30.18,0.68,,,,32.2,14.2,18.2,16.8,20.3,22.9,17.7,28.3,19.18
050US04007,16,9.0,33.71,0.56,10.0,33.99,0.62,10.0,25.06,0.62,11.0,28.46,0.69,11.0,30.62,0.69,4.0,62.39,0.25,42.8,24.8,27.5,31.0,31.1,29.2,31.2,34.1,30.0
050US04009,9,7.0,22.69,0.78,8.0,19.8,0.89,7.0,16.91,0.78,7.0,18.88,0.78,7.0,18.88,0.78,7.0,22.14,0.78,51.6,18.0,19.9,21.3,23.1,24.8,24.6,28.6,22.74
050US04011,3,3.0,4.96,1.0,0.0,78.37,0.0,2.0,18.99,0.67,2.0,19.21,0.67,0.0,61.46,0.0,0.0,65.47,0.0,1.6,23.0,27.2,30.1,28.7,32.3,19.9,28.0,27.64
050US04012,9,2.0,56.16,0.22,5.0,39.39,0.56,6.0,22.47,0.67,4.0,47.52,0.44,6.0,32.89,0.67,0.0,89.55,0.0,14.8,17.8,20.9,23.7,24.5,24.5,21.7,39.3,23.06
050US04013,916,909.0,8.67,0.99,903.0,8.34,0.99,911.0,2.65,0.99,908.0,6.0,0.99,909.0,6.49,0.99,897.0,10.55,0.98,42.4,17.0,17.1,18.8,22.4,24.4,27.2,35.3,21.98
050US04015,43,39.0,13.95,0.91,38.0,15.44,0.88,38.0,10.26,0.88,38.0,13.12,0.88,40.0,9.84,0.93,36.0,16.97,0.84,66.4,25.8,27.9,27.1,26.4,23.0,24.4,28.1,25.76
050US04017,31,14.0,42.88,0.45,12.0,38.59,0.39,,,,13.0,49.52,0.42,18.0,28.03,0.58,,,,43.6,20.4,17.5,25.8,19.8,19.0,23.0,34.2,21.02
050US04019,248,,,,,,,,,,,,,,,,,,,46.9,22.1,23.0,23.9,24.5,25.5,28.8,38.9,25.14
050US04021,75,72.0,11.01,0.96,55.0,20.33,0.73,70.0,11.08,0.93,70.0,11.38,0.93,71.0,11.3,0.95,43.0,27.51,0.57,10.5,10.8,14.8,15.2,15.3,17.0,18.0,23.9,16.06
050US04023,10,10.0,6.18,1.0,9.0,17.96,0.9,10.0,4.52,1.0,9.0,13.87,0.9,9.0,13.87,0.9,0.0,70.05,0.0,5.9,12.1,13.8,14.4,17.3,16.9,14.2,26.1,15.32
050US04025,42,32.0,24.62,0.76,29.0,25.15,0.69,39.0,8.85,0.93,37.0,11.69,0.88,34.0,16.83,0.81,19.0,43.36,0.45,48.6,25.6,25.4,29.7,26.5,26.3,36.2,38.5,28.82
050US04027,55,50.0,16.7,0.91,45.0,22.51,0.82,50.0,13.33,0.91,49.0,18.43,0.89,49.0,18.54,0.89,44.0,23.57,0.8,28.2,16.3,15.0,18.1,15.3,16.7,19.3,24.6,16.88
050US05001,8,4.0,23.18,0.5,8.0,9.87,1.0,8.0,8.68,1.0,4.0,22.47,0.5,4.0,25.21,0.5,0.0,102.65,0.0,70.7,13.7,14.1,15.3,17.2,16.3,13.4,17.6,15.26
050US05003,7,7.0,13.98,1.0,5.0,19.11,0.71,5.0,9.77,0.71,5.0,12.97,0.71,4.0,24.87,0.57,0.0,85.86,0.0,26.0,14.1,15.8,16.6,20.1,20.3,14.4,19.9,17.44
050US05005,9,0.0,47.26,0.0,9.0,13.39,1.0,9.0,10.03,1.0,9.0,12.51,1.0,9.0,11.86,1.0,0.0,86.91,0.0,136.7,19.9,20.8,21.7,24.5,22.3,19.4,25.7,21.74
050US05007,49,46.0,12.49,0.94,45.0,13.87,0.92,48.0,7.1,0.98,45.0,14.1,0.92,45.0,14.76,0.92,25.0,30.93,0.51,37.1,13.9,14.7,15.7,14.3,15.1,11.7,16.5,14.3
050US05009,7,7.0,13.84,1.0,7.0,13.84,1.0,7.0,8.47,1.0,7.0,13.84,1.0,7.0,13.84,1.0,0.0,99.36,0.0,67.2,14.3,18.0,17.9,17.9,18.0,17.2,18.8,17.8
050US05011,5,5.0,10.75,1.0,5.0,10.14,1.0,5.0,6.19,1.0,5.0,10.14,1.0,5.0,8.5,1.0,,,,73.8,13.3,14.7,15.8,16.9,16.9,9.2,11.1,14.7
050US05013,2,2.0,13.88,1.0,0.0,35.22,0.0,2.0,13.88,1.0,0.0,35.22,0.0,0.0,35.22,0.0,0.0,124.12,0.0,15.3,13.0,14.0,15.9,16.8,16.8,12.6,19.4,15.22
050US05015,5,3.0,23.9,0.6,5.0,11.01,1.0,5.0,4.02,1.0,5.0,18.42,1.0,5.0,10.99,1.0,0.0,80.65,0.0,37.4,15.7,18.4,18.3,19.9,24.5,22.5,24.6,20.72
050US05017,4,4.0,0.69,1.0,4.0,10.01,1.0,4.0,0.69,1.0,4.0,13.11,1.0,1.0,33.6,0.25,,,,90.0,13.0,15.1,15.5,17.5,17.5,10.0,14.4,15.12
050US05019,5,4.0,9.73,0.8,3.0,18.2,0.6,4.0,9.81,0.8,3.0,18.2,0.6,0.0,45.62,0.0,0.0,71.59,0.0,54.7,13.0,14.5,16.1,17.1,18.5,7.7,9.7,14.78
