HEROP_ID,PcpPer100k,SpPer100k
140US01049960200,64.6,0.0
140US01049960400,49.13,65.51
140US01043965200,111.28,148.37
140US01073010401,0.0,0.0
140US01067030100,0.0,0.0
140US01067030400,0.0,0.0
140US01043964100,0.0,0.0
140US01043964200,243.87,631.19
140US01043964400,0.0,0.0
140US01033020802,0.0,0.0
140US01067030600,0.0,0.0
140US01073010402,0.0,42.41
140US01133965900,0.0,0.0
140US01055001200,796.95,1940.4
140US01055010602,0.0,0.0
140US01055010900,0.0,0.0
140US01073010602,104.11,52.06
140US01073010704,120.17,260.36
140US01073010706,41.99,104.98
140US01061050300,91.01,0.0
140US01061050400,0.0,0.0
140US01073011108,126.18,168.24
140US01073011110,0.0,0.0
140US01073011208,0.0,0.0
140US01073011210,0.0,0.0
140US01049960900,106.61,79.96
140US01049961100,302.93,269.27
140US01003011502,80.1,112.13
140US01031010300,0.0,20.46
140US01055000200,108.05,54.02
140US01055000400,0.0,0.0
140US01055001100,93.95,56.37
140US01117030337,0.0,105.99
140US01117030341,0.0,0.0
140US01113030902,0.0,8.71
140US01117030345,32.77,0.0
140US01021060600,0.0,0.0
140US01053970300,26.47,0.0
140US01053970700,179.03,102.3
140US01017954000,48.73,0.0
140US01009050400,0.0,0.0
140US01009050601,0.0,0.0
140US01111000600,0.0,0.0
140US01113030700,26.67,0.0
140US01113030901,15.23,0.0
140US01029959600,52.16,0.0
140US01053970100,271.06,248.48
140US01015002502,0.0,0.0
140US01015001800,28.98,0.0
140US01015002103,101.17,173.44
140US01015002200,86.18,0.0
140US01101005503,0.0,0.0
140US01101005504,0.0,0.0
140US01015002600,22.96,0.0
140US01003011202,366.48,966.18
140US01003011405,0.0,107.6
140US01003011408,0.0,0.0
140US01091973100,0.0,0.0
140US01121011600,21.38,0.0
140US01121012000,49.21,0.0
140US01117030336,14.2,0.0
140US01023957000,0.0,0.0
140US01101002202,0.0,0.0
140US01101002600,165.81,16.58
140US01101002900,25.77,64.42
140US01101003100,0.0,0.0
140US01021060300,0.0,0.0
140US01125010203,0.0,36.91
140US01125010303,0.0,0.0
140US01125010407,0.0,266.9
140US01019956000,166.31,213.83
140US01021060101,23.06,23.06
140US01077010900,184.14,410.76
140US01113031100,0.0,0.0
140US01115040106,28.56,0.0
140US01125011600,115.27,86.46
140US01125011800,0.0,0.0
140US01125011902,0.0,0.0
140US01117030408,0.0,0.0
140US01083020102,17.86,17.86
140US01109188900,0.0,0.0
140US01125010202,9.73,19.46
140US01021060402,10.55,0.0
140US01025957602,75.54,0.0
140US01073011400,29.51,14.76
140US01073011600,0.0,0.0
140US01035960300,0.0,130.55
140US01101003200,349.41,87.35
140US01101005102,0.0,0.0
140US01101005402,0.0,0.0
140US01117030609,37.04,0.0
140US01121010301,0.0,0.0
140US01103000700,0.0,0.0
140US01125010703,34.27,0.0
140US01117030331,0.0,22.15
140US01117030333,0.0,20.18
140US01083020802,9.84,29.52
140US01083021100,0.0,0.0
140US01047956201,38.43,0.0
140US01047956702,186.92,124.61
140US01049960100,0.0,0.0
140US01121010400,38.18,114.55
140US01121011000,0.0,0.0
140US01073012104,0.0,0.0
140US01073012304,39.39,0.0
140US01075030200,24.86,0.0
140US01077010300,0.0,0.0
140US01089001200,181.62,217.94
140US01025957500,0.0,0.0
140US01077010800,110.99,110.99
140US01083020300,0.0,0.0
140US01081042102,13.42,26.84
140US01109188700,674.43,674.43
140US01117030701,21.98,0.0
140US01003010903,34.55,0.0
140US01003010906,0.0,0.0
140US01101001000,0.0,0.0
140US01089002721,151.4,0.0
140US01099076100,16.02,0.0
140US01097000701,0.0,0.0
140US01093964400,84.62,63.47
140US01073014301,37.58,37.58
140US01073014406,169.95,169.95
140US01089010301,53.52,0.0
140US01089010402,0.0,0.0
140US01089010502,0.0,0.0
140US01089010621,0.0,0.0
140US01073014410,75.1,18.78
140US01073014413,10.41,10.41
140US01081041800,0.0,35.22
140US01095030300,15.25,0.0
140US01073012914,0.0,192.86
140US01073013200,0.0,0.0
140US01073013300,0.0,0.0
140US01087231603,0.0,0.0
140US01089011011,19.97,0.0
140US01089011021,128.3,36.66
140US01089011022,120.37,387.86
140US01089002801,112.76,135.32
140US01089002912,42.02,0.0
140US01089002922,0.0,0.0
140US01073012500,0.0,0.0
140US01095030100,29.28,58.57
140US01073012911,150.6,284.47
140US01095030802,139.84,12.71
140US01095030402,57.09,0.0
140US01081041600,0.0,0.0
140US01107050100,26.98,0.0
140US01107050300,0.0,0.0
140US01073012701,57.09,57.09
140US01073012802,112.82,0.0
140US01081040901,0.0,24.3
140US01081041200,276.63,197.59
140US01095030903,36.87,73.75
140US01095031000,0.0,0.0
140US01095031100,53.54,35.7
140US01087232000,566.8,728.74
140US01089000202,0.0,0.0
140US01089000502,0.0,0.0
140US01089000503,0.0,0.0
140US01089000702,39.9,0.0
140US01089000901,0.0,0.0
140US01085781200,0.0,0.0
140US01081041900,0.0,0.0
140US01081042006,0.0,0.0
140US01005950800,42.61,0.0
140US01027959200,0.0,0.0
140US01011952500,0.0,0.0
140US01013952900,0.0,0.0
140US01011952100,0.0,0.0
140US01027959000,33.61,67.23
140US01013953500,0.0,0.0
140US01015000600,0.0,0.0
140US01015001201,167.9,67.16
140US01015001300,0.0,0.0
140US01015001500,0.0,0.0
140US01093964600,59.52,29.76
140US01097003605,111.23,556.17
140US01097003607,0.0,0.0
140US01097003608,0.0,0.0
140US01097003707,20.36,20.36
140US01073012905,483.2,2876.21
140US01073012906,64.43,193.3
140US01073013601,0.0,0.0
140US01073014105,254.35,21.2
140US01025958001,0.0,0.0
140US01027958900,37.77,18.89
140US01073014204,30.69,0.0
140US01125010602,0.0,19.06
140US01031010100,0.0,0.0
140US01125010702,0.0,0.0
140US01003011101,9.01,45.07
140US01003011201,179.25,199.16
140US01007010004,54.29,0.0
140US01117030704,0.0,0.0
140US01007010001,40.88,0.0
140US01123961900,0.0,0.0
140US01009050300,0.0,0.0
140US01121011300,35.26,0.0
140US01123962100,0.0,0.0
140US01123962300,146.84,391.58
140US01013953100,0.0,0.0
140US01015000900,27.82,0.0
140US01015002400,0.0,0.0
140US01089001902,265.08,132.54
140US01089002100,30.72,0.0
140US01089002400,0.0,0.0
140US01089002502,0.0,94.01
140US01093964100,0.0,0.0
140US01089010902,60.7,0.0
140US01097007103,31.84,0.0
140US01097003302,100.2,951.9
140US01097003405,0.0,0.0
140US01097003501,0.0,132.98
140US01101001800,0.0,89.9
140US01101002201,0.0,0.0
140US01097006502,0.0,0.0
140US01097006600,16.96,33.92
140US01097006802,358.66,32.61
140US01097007000,0.0,0.0
140US01089011400,22.31,0.0
140US01091972900,0.0,20.96
140US01101001700,18.99,0.0
140US01097005800,46.94,140.81
140US01097006102,0.0,0.0
140US01097007202,0.0,37.4
140US01097007600,0.0,0.0
140US01097006407,0.0,0.0
140US01099075900,77.41,46.45
140US01097002502,539.57,2742.81
140US01101005406,46.02,103.56
140US01101005407,667.26,711.74
140US01101005501,810.37,1836.84
140US01101000200,0.0,251.47
140US01101000700,0.0,64.64
140US01097005000,0.0,0.0
140US01075030000,0.0,0.0
140US01073012402,128.7,0.0
140US01081040500,0.0,0.0
140US01089010100,0.0,10.51
140US01097003709,26.7,307.04
140US01089001302,0.0,0.0
140US01089001801,99.4,596.42
140US01097003800,0.0,0.0
140US01097004800,0.0,0.0
140US01097005300,0.0,0.0
140US01097005500,72.33,0.0
140US01097006104,0.0,0.0
140US01097006200,0.0,0.0
140US01097002700,88.18,1543.21
140US01097003000,58.55,87.82
140US01097003205,113.72,75.82
140US01081040602,0.0,0.0
140US01081040604,38.09,19.04
140US01097006000,57.23,0.0
140US01089010622,61.04,26.16
140US01131034700,0.0,0.0
140US01117030501,14.33,0.0
140US01117030800,0.0,0.0
140US01123962600,0.0,0.0
140US01125010404,0.0,0.0
140US01121011700,0.0,49.48
140US01125010802,0.0,20.32
140US01125012700,38.09,114.26
140US01121010302,0.0,0.0
140US01073010703,1048.39,2580.65
140US01097006801,24.85,24.85
140US01117030334,0.0,24.24
140US01073011104,392.16,1137.25
140US01073011209,0.0,0.0
140US01073012305,0.0,0.0
140US01025957902,227.04,75.68
140US01033020902,28.83,0.0
140US01015002000,56.1,70.13
140US01015981903,,
140US01019955800,18.43,0.0
140US01039961900,0.0,0.0
140US01073012907,64.52,0.0
140US01073014203,30.41,7.6
140US01073014412,0.0,0.0
140US01077011102,23.6,0.0
140US01127020400,311.69,155.84
140US01127021000,0.0,0.0
140US01087231400,136.61,614.75
140US01089000201,0.0,111.48
140US01089000902,0.0,0.0
140US01089001901,107.1,1311.91
