HEROP_ID,ParkArea,Cover,CntBupT,CntMetT,CntNalT,AvBupTime,AvMetTime,AvNalTime,PctBupT,PctMetT,PctNalT,TotHcv,MlHcv,FmHcv,Un50Hcv,A50_74Hcv,Ov75Hcv,BlkHcv,NonBlkHcv,HcvD13,MlHcvD13,FlHcvD13,AmInHcvD13,AsPiHcvD13,BlkHcvD13,HspHcvD13,U50HcvD13,A50_74HcvD13,O75HcvD13,HcvD14,MlHcvD14,FlHcvD14,AmInHcvD14,AsPiHcvD14,BlkHcvD14,HspHcvD14,U50HcvD14,A50_74HcvD14,O75HcvD14,HcvD15,MlHcvD15,FlHcvD15,AmInHcvD15,AsPiHcvD15,BlkHcvD15,HspHcvD15,U50HcvD15,D50_74Hcv15,O75HcvD15,HcvD16,MlHcvD16,FlHcvD16,AmInHcvD16,AsPiHcvD16,BlkHcvD16,HspHcvD16,U50HcvD16,A50_74HcvD16,O75HcvD16,HcvD17,MlHcvD17,FlHcvD17,AmInHcvD17,AsPiHcvD17,BlkHcvD17,HspHcvD17,U50HcvD17,A50_74HcvD17,O75HcvD17,AvHcvD,AvMlHcvD,AvFlHcvD,AvAmInHcvD,AvAsPiHcvD,AvBlkHcvD,AvHspHcvD,AvU50HcvD,Av50_74HcvD,AvO75HcvD,PrMsuse20P,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,AnyNalDt,NalPrStDt,NalPresDt,AnyNalFr,NalPrStFr,NalPresFr,MedcdExp19,MedcdExp18,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,ExpSsp,NoPrphLw,NtPrFrDsSy,PrExcInj,PrNtRefInj,NoLwRmUnc,MdMarijLaw,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT
040US13,9891240198.0,10.3,1799,1515,1457,11.21,22.14,22.43,0.91,0.77,0.74,56800,36000,17900,13900,38700,1300,20600,33400,409,300,109.0,,,148.0,,30.0,344.0,13.0,426,304,122.0,,,151.0,10.0,24.0,372.0,10.0,396,277,119.0,,,133.0,,30.0,343,,368,264,104.0,,,119.0,,17.0,320.0,13.0,344,242,102.0,,,122.0,,11.0,308.0,11.0,388.6,277.4,111.2,,,134.6,1.2,22.4,337.4,9.2,2.98,1.0,1.0,1,1,1.0,5/13/2011,7/1/2011,5/1/2013,7/13/2014,7/1/2011,4/24/2014,4/24/2014,1.0,1,5/1/2014,5/1/2014,,1.0,1.0,0.0,10908940349,10668670800,7329941100,3338729800,,,1,0,0,0,0,0,0,1249401,416467.0,1249401,2498802,2491740.0,3493626.0,2491740.0,4983480.0,3741141,3910093,3741141,7482282
040US15,6909375004.0,2.06,0,0,0,,,,0.0,0.0,0.0,6700,4700,1600,900,5200,200,200,6100,67,54,13.0,,21.0,,,,48.0,,87,61,26.0,,33.0,,,,68.0,,68,51,17.0,,23.0,,,,44,,70,53,17.0,,24.0,,10.0,,48.0,,67,47,20.0,,17.0,,,,45.0,,71.8,53.2,18.6,,23.6,,1.2,,50.6,,2.79,1.0,1.0,1,0,1.0,1/1/1943,1/1/1990,2/1/2012,,6/18/1996,7/7/2015,7/7/2015,1.0,1,7/1/2016,7/1/2016,,1.0,1.0,0.0,2223706647,2282099900,890604900,734972600,611344700.0,45177700.0,1,0,0,0,0,0,1,134631,44877.0,134631,269262,0.0,693798.0,0.0,0.0,134631,738675,134631,269262
040US16,30419936378.0,6.2,248,84,210,16.71,43.32,24.15,0.83,0.28,0.7,11200,7500,3700,2500,8500,200,100,11100,110,79,31.0,,,,10.0,,85.0,,110,88,22.0,,,,12.0,,90.0,,99,77,22.0,,,,,,90,,115,74,41.0,,,,,,90.0,,84,60,24.0,,,,,,60.0,,103.6,75.6,28.0,,,,3.8,,83.0,,3.71,1.0,1.0,1,0,1.0,1/1/1967,1/1/1990,4/1/2008,,4/4/2000,7/1/2018,,0.5,0,7/1/2015,,7/1/2015,1.0,0.0,1.0,2162996139,1985771800,1414507000,571264800,,,1,0,0,0,0,0,0,191931,63977.0,191931,383862,428508.0,614081.0,428508.0,857016.0,620439,678058,620439,1240878
040US17,5072662067.0,3.55,2929,2488,2822,7.97,19.64,10.29,0.94,0.8,0.9,54900,35100,16700,16600,33000,2100,19300,32500,349,236,113.0,,,79.0,24.0,20.0,280.0,34.0,364,259,105.0,,,98.0,29.0,,298.0,38.0,399,281,118.0,,,92.0,32.0,19.0,318,50.0,354,259,95.0,,,108.0,40.0,,300.0,20.0,288,199,89.0,,,90.0,22.0,,242.0,20.0,350.8,246.8,104.0,,,93.4,29.4,7.2,287.6,32.4,3.03,1.0,1.0,1,0,1.0,1/1/1961,1/1/1990,12/1/2009,,4/1/2000,6/1/2012,,1.0,0,1/1/2010,1/1/2010,,1.0,1.0,0.0,18589281649,22315492600,8592722500,8288756400,4403251600.0,1030762100.0,1,0,0,0,0,0,1,1227459,409153.0,1227459,2454918,2179767.0,7527125.0,2179767.0,4359534.0,3407226,7936278,3407226,6814452
040US18,3026849803.0,2.97,1422,843,1367,9.72,31.06,12.57,0.94,0.56,0.9,40200,26200,13200,14600,24000,800,8000,31500,264,192,72.0,,,42.0,,22.0,209.0,,263,193,70.0,,,49.0,12.0,13.0,229.0,,270,198,72.0,,,52.0,,,235,,295,208,87.0,,,48.0,13.0,25.0,249.0,,269,189,80.0,,,54.0,,,232.0,,272.2,196.0,76.2,,,49.0,4.4,11.6,230.8,,3.26,1.0,1.0,1,1,1.0,12/31/1987,1/1/1990,7/1/2007,7/1/2014,1/1/1994,3/26/2014,7/1/2016,1.0,1,5/1/2015,5/1/2015,,1.0,1.0,0.0,12497966677,12791473100,6101336100,3197243000,3043033400.0,449860700.0,1,0,0,0,1,0,0,670386,223462.0,670386,1340772,1288020.0,2104036.0,1288020.0,2576040.0,1958406,2327498,1958406,3916812
040US19,3777774205.0,2.57,579,268,462,20.16,51.85,29.25,0.7,0.32,0.56,12600,8300,3600,3000,8600,300,1600,10300,144,101,43.0,,,,,12.0,118.0,,112,82,30.0,,,,,,79.0,,125,89,36.0,,,11.0,,,100,,109,80,29.0,,,,,,95.0,,122,91,31.0,,,16.0,,,106.0,,122.4,88.6,33.8,,,4.8,,1.6,99.6,,3.18,1.0,1.0,1,0,1.0,5/31/2006,5/1/2006,3/1/2009,,5/31/2006,7/1/2018,,0.5,0,6/1/2016,6/1/2016,,1.0,1.0,0.0,5268433098,5005002500,2318971200,1640684800,961083900.0,84262600.0,0,0,0,0,0,1,0,286545,95515.0,286545,573090,445464.0,988953.0,445464.0,890928.0,732009,1084468,732009,1464018
040US20,1428561400.0,0.7,590,386,556,18.46,36.73,23.9,0.77,0.5,0.72,14600,9500,4400,3700,9900,300,2000,12000,115,77,38.0,,,10.0,,11.0,89.0,,126,88,38.0,,,18.0,,,101.0,,141,96,45.0,,,15.0,,,114,,148,107,41.0,,,13.0,11.0,,126.0,,141,100,41.0,,,17.0,,,121.0,,134.2,93.6,40.6,,,14.6,1.4,1.4,110.2,,3.43,1.0,1.0,1,0,1.0,7/1/2008,7/1/2008,4/1/2011,,7/1/2008,,,0.0,0,7/1/2017,7/1/2017,,0.5,0.5,0.0,3620593018,3470336900,1905097100,1565239900,,,0,0,0,0,0,1,0,323604,107868.0,323604,647208,697572.0,1108566.0,697572.0,1395144.0,1021176,1216434,1021176,2042352
040US21,3651406797.0,4.19,1039,678,938,10.31,27.86,15.41,0.93,0.61,0.84,42500,28800,15000,18200,25000,700,5000,38900,239,172,67.0,,,24.0,,36.0,161.0,,250,174,76.0,,,20.0,,20.0,198.0,,270,182,88.0,,,21.0,,39.0,203,,269,184,85.0,,,28.0,,45.0,193.0,,306,215,91.0,,,35.0,,45.0,238.0,,266.8,185.4,81.4,,,25.6,,37.0,198.6,,3.44,1.0,1.0,1,1,1.0,7/15/1998,7/1/1998,7/1/1999,7/20/2012,7/15/1998,3/25/2015,,1.0,0,7/1/2013,7/1/2013,,1.0,1.0,0.0,10246350395,10192341600,5067931400,2045343300,2901052000.0,178014900.0,1,0,0,0,0,0,0,726039,242013.0,726039,1452078,913584.0,977663.0,913584.0,1827168.0,1639623,1219676,1639623,3279246
040US22,6175933958.0,3.23,1049,686,913,10.28,32.94,18.38,0.91,0.6,0.8,50000,35400,17200,14500,36400,1700,24300,28300,309,220,89.0,,,144.0,,24.0,248.0,11.0,400,284,116.0,,,171.0,,29.0,322.0,13.0,396,296,100.0,,,164.0,10.0,32.0,331,,383,263,120.0,,,154.0,,20.0,327.0,,382,279,103.0,,,166.0,,12.0,328.0,15.0,374.0,268.4,105.6,,,159.8,1.2,23.4,311.2,7.4,3.39,1.0,1.0,1,0,1.0,7/1/2006,7/1/2006,1/1/2009,,7/1/2006,8/1/2014,,1.0,0,9/1/2015,9/1/2015,,1.0,1.0,0.0,11832706272,10648405300,5087538500,2879179700,2527183400.0,154503700.0,1,0,0,0,0,0,0,728616,242872.0,728616,1457232,1443519.0,2166712.0,1443519.0,2887038.0,2172135,2409584,2172135,4344270
040US23,16442784025.0,3.11,320,125,227,14.49,46.96,29.4,0.89,0.35,0.63,7000,5000,1800,2600,4100,100,100,6700,52,41,11.0,,,,,,35.0,,59,47,12.0,,,,,,35.0,,57,51,,,,,,,37,,40,29,11.0,,,,,,14.0,,32,29,,,,,,,,,48.0,39.4,6.4,,,,,,24.0,,3.01,1.0,1.0,1,0,1.0,6/23/2003,1/1/2004,1/1/2005,,9/13/2003,,,0.0,0,5/1/2014,11/1/2015,,1.0,1.0,0.0,2941220236,2774730800,1787971900,986758900,,,1,0,0,0,0,0,1,271104,90368.0,271104,542208,293139.0,387204.0,293139.0,586278.0,564243,477572,564243,1128486
