HEROP_ID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,Age45_49,Age50_54,AgeOv18,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
040US28,2988762,1316108,1818976,188575,407928,212886,212059,1184622,197536,182350,449478,59.59,15.04,58.59,37.67,3.03,0.46,0.95,0.02,2.31,16.08,76,20.8,8.2,16.0,2892341,168996,1228537,183522,194751,2268454,16.3,7.49,2.39,16.52,23725,23434,0.48,9.75,23.72,14.98,11.66,650010,52.91,24.44,15.2,28.0,31.8,28.05,438,0.01,0,0.27
040US29,6090062,2775635,3723307,372932,774218,396819,421255,2360618,425339,387303,981692,57.6,16.12,82.24,11.57,4.09,0.44,1.92,0.11,3.72,10.44,77,14.2,5.1,13.67,5915004,413189,2888094,374569,413391,4704999,14.6,8.82,2.78,20.22,28121,29537,0.46,9.2,20.28,14.97,11.79,1339991,46.4,15.85,6.21,23.81,33.15,40.38,572,0.01,0,0.15
040US30,1041732,505685,630317,61810,127768,64452,73435,390755,75255,76419,183823,55.71,17.65,88.86,0.44,3.75,6.46,0.76,0.07,3.4,6.81,78,13.7,4.2,16.3,1012863,85480,507249,59101,66801,814140,13.6,10.54,2.64,22.55,27115,29765,0.46,8.92,20.61,14.45,11.72,240904,47.49,15.45,10.94,23.65,32.3,3.47,115,0.0,0,0.06
040US31,1904760,830749,1146162,131812,264249,129350,136886,753272,125370,114929,286080,60.34,15.02,87.49,4.77,10.67,0.91,2.32,0.07,4.44,8.91,75,11.6,3.5,9.23,1852809,120290,993836,109634,119414,1432242,11.5,8.43,2.55,20.26,30966,31101,0.44,9.69,22.68,14.55,11.47,452975,45.58,13.45,3.42,22.66,33.88,10.81,166,0.0,0,0.22
040US32,2922849,1235096,1810322,182311,379597,177213,182278,1173952,186207,174085,438051,59.39,14.99,66.21,8.93,28.45,1.23,8.03,0.66,14.94,13.7,77,13.7,6.9,12.89,2885149,208731,1370603,195494,193152,2248373,12.8,9.32,3.63,25.01,30319,29961,0.46,6.42,13.39,9.48,11.81,646533,47.17,13.25,5.32,12.76,44.19,11.25,228,0.0,0,0.22
040US33,1343622,630955,853075,64079,148612,88652,90164,496028,110487,95512,227984,52.75,16.97,93.03,1.53,3.6,0.16,2.69,0.03,2.57,7.1,80,7.9,4.0,16.3,1301042,97644,724017,94043,106877,1081059,12.6,9.05,3.01,23.29,34508,38548,0.44,9.99,20.88,14.66,12.45,306709,42.36,9.31,5.63,28.72,29.03,70.47,124,0.01,0,0.11
040US34,8881845,3605401,5531580,521684,1103003,565170,562446,3406505,636206,551339,1376863,56.65,15.5,67.91,13.47,19.91,0.21,9.37,0.04,9.0,10.46,78,10.4,6.1,10.87,8697059,333835,4390602,623993,662252,6908443,10.4,4.84,2.42,18.75,36411,40895,0.48,9.98,15.08,13.83,11.01,1736504,39.55,11.52,0.95,28.76,36.07,490.24,1631,0.22,0,0.19
040US35,2092434,932818,1256755,128357,281753,140188,147856,815957,139817,132632,341515,58.6,16.32,74.5,2.06,48.54,9.55,1.51,0.07,12.31,14.74,76,20.0,7.2,16.85,2049476,148264,882735,120433,131970,1598270,15.1,9.33,3.02,19.82,25234,26085,0.48,10.56,16.23,14.7,11.54,412109,46.69,21.24,16.96,26.7,32.41,7.69,98,0.0,0,0.15
040US36,19618453,8287087,12408131,1163606,2267695,1224760,1356050,7887722,1342368,1212727,3068689,57.7,15.64,63.79,15.64,18.89,0.41,8.31,0.04,11.81,13.52,79,14.6,6.0,11.71,19043605,730557,9445023,1295956,1379690,15476820,11.5,4.73,2.99,21.6,32062,37470,0.51,11.02,12.91,16.64,10.38,3984668,42.19,13.9,2.33,31.52,46.1,175.86,2972,0.06,0,0.14
040US37,10155624,4573066,6292010,603193,1294042,676295,700320,4015345,676977,618435,1570998,58.22,15.47,68.87,21.46,9.22,1.19,2.78,0.07,5.62,12.64,77,15.4,6.3,14.31,9882910,667696,4665822,686210,690424,7863008,13.6,8.59,2.52,20.65,27458,29456,0.48,9.12,21.31,13.87,11.74,2167395,46.45,15.71,13.02,23.31,34.96,94.06,633,0.01,0,0.23
