HEROP_ID,TotTracts
050US40079,12
050US40145,22
050US41005,80
050US41021,1
050US41033,16
050US41035,20
050US41039,87
050US41043,21
050US41051,171
050US41055,1
050US41061,8
050US42005,19
050US42029,116
050US42035,9
050US42059,9
050US42067,5
050US42091,211
050US42111,21
050US45005,3
050US45019,86
050US45025,10
050US45043,15
050US45063,74
050US45077,28
050US45091,46
050US46073,1
050US46093,5
050US46095,1
050US46123,2
050US47001,18
050US47003,9
050US47005,5
050US47019,17
050US47029,9
050US47049,4
050US47063,12
050US47073,13
050US47081,6
050US47097,9
050US47121,3
050US47149,49
050US47173,4
050US48007,6
050US25001,57
050US25013,103
050US25025,204
050US26033,16
050US26053,8
050US26063,13
050US26097,6
050US26115,39
050US13283,2
050US13289,2
050US13313,18
050US13317,4
050US15001,34
050US15009,36
050US16059,3
050US16073,3
050US16083,14
050US16087,3
050US17027,8
050US17031,1319
050US17047,3
050US49029,2
050US49035,212
050US49043,13
050US49049,128
050US51015,13
050US51037,3
050US51051,4
050US51053,7
050US51069,14
050US51073,8
050US51085,23
050US51099,5
050US51125,3
050US51131,4
050US51137,5
050US51145,5
050US51149,7
050US51161,18
050US51177,30
050US51185,11
050US51199,15
050US53005,37
050US53007,14
050US53009,22
050US53015,24
050US53025,16
050US53031,8
050US53037,8
050US53043,4
050US12077,2
050US05061,3
050US05093,12
050US05095,3
050US05099,3
050US05103,6
050US05109,3
050US05117,3
050US05133,4
050US05147,2
050US06045,21
050US06051,3
050US24011,9
050US24033,218
050US24043,32
050US25007,5
050US25017,318
050US26041,13
050US26099,217
050US26103,25
050US26135,5
050US26147,50
050US26163,611
050US27023,4
050US27053,299
050US27077,2
050US27091,6
050US27129,6
050US27139,21
050US27163,50
050US28007,6
050US28033,33
050US28055,1
050US28075,19
050US28143,3
050US28157,2
050US28163,6
050US29023,10
050US29029,11
050US29031,16
050US29033,3
050US17075,9
050US17129,3
050US17161,40
050US17175,2
050US17185,4
050US18009,4
050US18035,30
050US18067,20
050US18083,10
050US18159,4
050US18175,6
050US49025,2
050US05003,7
050US05007,49
050US05013,2
050US05045,25
050US13051,72
050US13077,20
050US13123,5
050US13133,7
050US13137,8
050US13139,36
050US13143,5
050US13157,11
