HEROP_ID,RxCtTmDr,RxAvTmDr,RxTmDrP
050US47005,5.0,14.86,1.0
050US47019,16.0,8.91,0.94
050US47029,8.0,14.78,0.89
050US47049,4.0,2.57,1.0
050US47063,12.0,2.98,1.0
050US47073,13.0,7.98,1.0
050US47081,4.0,19.66,0.67
050US47097,8.0,11.13,0.89
050US47121,3.0,15.29,1.0
050US47149,49.0,3.42,1.0
050US47173,3.0,12.53,0.75
050US48007,6.0,5.99,1.0
050US25001,56.0,4.28,0.98
050US25013,103.0,2.69,1.0
050US25025,204.0,1.27,1.0
050US26033,9.0,33.38,0.56
050US26053,7.0,8.59,0.88
050US26063,12.0,13.38,0.92
050US26097,2.0,37.48,0.33
050US26115,39.0,5.76,1.0
050US13283,2.0,7.19,1.0
050US13289,1.0,15.77,0.5
050US13313,18.0,4.9,1.0
050US13317,4.0,12.3,1.0
050US15001,43.0,16.48,0.86
050US15009,38.0,15.8,1.0
050US16059,1.0,39.1,0.33
050US16073,2.0,30.65,0.67
050US16083,13.0,5.56,0.93
050US16087,2.0,16.46,0.67
050US17027,8.0,9.2,1.0
050US17031,1319.0,1.63,1.0
050US17047,3.0,5.6,1.0
050US49029,2.0,8.3,1.0
050US49035,212.0,2.2,1.0
050US49043,11.0,13.66,0.85
050US49049,128.0,3.84,1.0
050US51015,12.0,12.2,0.92
050US51037,3.0,18.19,1.0
050US51051,4.0,5.92,1.0
050US51053,6.0,11.89,0.86
050US51069,14.0,7.15,1.0
050US51073,8.0,5.03,1.0
050US51085,23.0,4.48,1.0
050US51099,5.0,9.9,1.0
050US51125,3.0,8.74,1.0
050US51131,4.0,2.64,1.0
050US51137,5.0,10.59,1.0
050US51145,5.0,12.43,1.0
050US51149,7.0,12.86,1.0
050US51161,18.0,4.68,1.0
050US51177,29.0,9.48,0.97
050US51185,11.0,5.45,1.0
050US51199,15.0,4.61,1.0
050US53005,36.0,6.69,0.97
050US53007,13.0,9.3,0.93
050US53009,19.0,12.95,0.86
050US53015,23.0,7.29,0.96
050US53025,11.0,20.23,0.69
050US53031,5.0,32.06,0.62
050US53037,6.0,13.18,0.75
050US53043,4.0,7.23,1.0
050US12077,2.0,13.1,1.0
050US05061,3.0,3.26,1.0
050US05093,12.0,4.49,1.0
050US05095,3.0,7.62,1.0
050US05099,2.0,18.17,0.67
050US05103,6.0,8.83,1.0
050US05109,3.0,0.0,1.0
050US05117,3.0,6.75,1.0
050US05133,3.0,11.12,0.75
050US05147,2.0,0.0,1.0
050US06045,19.0,13.09,0.9
050US06051,2.0,14.53,0.67
050US24011,9.0,6.77,1.0
050US24033,218.0,3.07,1.0
050US24043,32.0,3.0,1.0
050US25007,5.0,1.09,1.0
050US25017,318.0,2.02,1.0
050US26041,10.0,19.62,0.77
050US26099,217.0,1.78,1.0
050US26103,24.0,7.3,0.96
050US26135,3.0,18.16,0.6
050US26147,48.0,7.89,0.96
050US26163,611.0,1.79,1.0
050US27023,4.0,11.81,1.0
050US27053,299.0,2.41,1.0
050US27077,2.0,13.22,1.0
050US27091,5.0,17.11,0.83
050US27129,4.0,16.65,0.67
050US27139,21.0,5.44,1.0
050US27163,50.0,3.87,1.0
050US28007,6.0,11.88,1.0
050US28033,33.0,2.37,1.0
050US28055,0.0,35.96,0.0
050US28075,19.0,4.55,1.0
050US28143,3.0,3.37,1.0
050US28157,1.0,21.34,0.5
050US28163,5.0,13.24,0.83
050US29023,10.0,9.4,1.0
050US29029,10.0,12.58,0.91
050US29031,16.0,5.33,1.0
050US29033,1.0,20.2,0.33
050US17075,8.0,14.04,0.89
050US17129,3.0,4.19,1.0
050US17161,40.0,3.51,1.0
050US17175,2.0,25.79,1.0
050US17185,4.0,5.27,1.0
050US18009,4.0,5.53,1.0
050US18035,30.0,4.23,1.0
050US18067,20.0,3.02,1.0
050US18083,10.0,8.04,1.0
050US18159,4.0,9.61,1.0
050US18175,6.0,13.02,1.0
050US49025,1.0,36.1,0.5
050US05003,5.0,9.77,0.71
050US05007,48.0,7.1,0.98
050US05013,2.0,13.88,1.0
050US05045,24.0,7.48,0.96
050US13051,72.0,3.41,1.0
050US13077,20.0,7.44,1.0
050US13123,5.0,12.92,1.0
050US13133,7.0,6.65,1.0
050US13137,8.0,5.51,1.0
050US13139,36.0,5.71,1.0
050US13143,5.0,7.3,1.0
050US13157,11.0,5.8,1.0
050US13171,3.0,6.58,1.0
050US13181,2.0,12.76,1.0
050US13185,25.0,5.2,1.0
050US13195,6.0,4.6,1.0
050US13213,8.0,8.65,1.0
050US13217,13.0,8.24,1.0
050US13237,4.0,17.3,0.8
050US13245,47.0,3.09,1.0
050US13251,4.0,16.97,0.8
050US13269,3.0,6.01,1.0
050US13279,6.0,5.7,1.0
050US23023,9.0,11.5,1.0
050US23031,41.0,5.86,1.0
050US24001,22.0,4.64,0.96
050US24005,214.0,2.63,1.0
050US24017,31.0,7.76,1.0
050US24021,61.0,5.26,1.0
050US24031,215.0,2.12,1.0
050US24045,19.0,3.8,1.0
050US28149,12.0,5.56,1.0
050US28151,19.0,4.32,1.0
050US29041,3.0,15.28,1.0
050US29069,10.0,5.62,1.0
050US29087,3.0,9.81,1.0
050US29113,7.0,9.56,1.0
050US29159,11.0,6.52,1.0
050US29183,79.0,3.69,1.0
050US29195,8.0,3.95,1.0
050US29197,2.0,12.81,1.0
050US29201,10.0,7.61,1.0
050US30001,2.0,17.65,0.67
050US30013,19.0,9.3,0.86
050US30027,2.0,12.05,1.0
050US30031,22.0,5.26,1.0
050US30045,0.0,52.52,0.0
050US30049,13.0,14.57,0.93
050US30055,0.0,96.59,0.0
050US30059,1.0,0.0,1.0
050US30069,0.0,63.88,0.0
050US30073,1.0,28.68,0.5
050US30083,3.0,18.59,0.75
050US30099,2.0,22.18,0.67
050US31103,0.0,59.39,0.0
050US31151,4.0,5.02,1.0
050US32001,7.0,9.51,1.0
050US32003,484.0,2.65,0.99
050US32015,1.0,0.0,1.0
050US33007,9.0,13.78,0.82
050US33015,66.0,5.5,1.0
050US33017,25.0,5.14,1.0
050US34001,70.0,3.11,1.0
050US34005,114.0,2.8,1.0
050US34015,63.0,2.17,1.0
050US34019,26.0,2.85,1.0
050US34021,77.0,1.06,1.0
050US34025,144.0,1.54,1.0
050US34029,126.0,2.38,1.0
050US34035,68.0,2.3,1.0
050US21229,3.0,15.24,1.0
050US21231,5.0,10.32,1.0
050US22035,3.0,10.65,1.0
050US22045,15.0,7.3,0.94
050US22053,7.0,1.76,1.0
050US22055,43.0,2.41,1.0
050US06055,39.0,5.19,0.98
050US06059,583.0,1.5,1.0
050US06069,11.0,5.89,1.0
050US06073,626.0,3.11,1.0
050US06079,54.0,4.57,1.0
050US06083,89.0,3.87,0.99
050US06097,97.0,4.67,0.97
050US06101,20.0,6.01,0.95
050US06107,77.0,4.39,0.99
050US06113,41.0,3.29,1.0
050US08019,3.0,7.54,1.0
050US08023,0.0,72.24,0.0
050US08031,144.0,1.96,1.0
050US08037,13.0,11.66,0.93
050US08055,1.0,18.86,0.5
050US01049,14.0,3.28,1.0
050US01063,3.0,18.98,1.0
050US01087,12.0,12.2,1.0
050US01091,5.0,15.74,0.83
050US01095,18.0,5.28,1.0
050US01101,63.0,5.24,0.97
050US01107,5.0,3.69,1.0
050US01115,13.0,3.4,1.0
050US01119,3.0,15.96,0.75
050US01131,3.0,20.79,0.75
050US02090,18.0,7.96,0.95
050US02158,,,
050US02240,0.0,173.86,0.0
050US04005,19.0,28.22,0.68
050US04009,7.0,16.91,0.78
050US04013,911.0,2.65,0.99
050US54001,4.0,8.32,1.0
050US54005,7.0,11.05,0.88
050US54021,2.0,3.54,1.0
050US54039,53.0,4.8,1.0
050US54045,9.0,9.3,1.0
050US54047,5.0,17.62,0.62
050US54063,2.0,13.67,0.67
050US54067,7.0,10.48,1.0
050US54087,3.0,17.5,0.75
050US54107,26.0,4.04,1.0
050US55003,5.0,27.08,0.62
050US55043,12.0,8.95,1.0
050US55113,4.0,27.87,0.67
050US56029,5.0,4.34,1.0
050US12086,518.0,1.39,1.0
050US12093,11.0,11.92,0.92
050US12097,41.0,2.63,1.0
050US13021,44.0,2.99,1.0
050US13029,6.0,9.35,0.86
050US39137,7.0,8.37,1.0
050US39175,6.0,0.5,1.0
050US40013,9.0,14.33,0.82
050US40027,61.0,3.83,0.98
050US40057,1.0,0.0,1.0
050US40067,3.0,0.0,1.0
050US40075,2.0,14.07,0.67
050US40095,4.0,6.08,1.0
050US40125,14.0,8.85,0.88
050US40135,9.0,8.72,1.0
050US40143,175.0,2.23,1.0
050US27011,3.0,8.06,1.0
050US27013,16.0,8.28,1.0
050US27031,3.0,12.06,1.0
050US27061,8.0,17.19,0.73
