HEROP_ID,NoIntP
050US08055,27.63
050US01049,25.1
050US01063,48.12
050US01087,32.53
050US01091,34.14
050US01095,17.86
050US01101,16.91
050US01107,31.3
050US01115,17.39
050US01119,34.64
050US01131,40.61
050US02090,10.79
050US02158,33.35
050US02240,23.41
050US04005,17.93
050US04009,21.58
050US04013,10.7
050US54001,26.49
050US54005,20.38
050US54021,25.78
050US54039,18.01
050US54045,18.15
050US54047,28.47
050US54063,29.28
050US54067,18.94
050US54087,28.43
050US54107,16.93
050US55003,24.22
050US55043,17.84
050US55113,20.14
050US56029,10.59
050US12086,18.58
050US12093,31.54
050US12097,13.28
050US13021,21.19
050US13029,11.5
050US39137,14.47
050US39175,18.48
050US40013,23.17
050US40027,9.48
050US40057,18.96
050US40067,29.52
050US40075,25.32
050US40095,31.46
050US40125,18.74
050US40135,25.02
050US40143,13.11
050US27011,20.23
050US27013,10.5
050US27031,14.31
050US27061,18.14
050US27073,17.48
050US27075,15.64
050US27089,16.12
050US27097,20.83
050US27127,23.65
050US27161,15.38
050US27171,9.69
050US28001,25.23
050US28011,37.37
050US28029,39.14
050US28043,29.82
050US28083,47.29
050US28087,18.93
050US28103,37.56
050US28121,14.13
050US35015,17.91
050US35039,40.15
050US35045,28.82
050US35055,28.84
050US36025,19.9
050US36031,16.12
050US36103,8.66
050US36105,16.67
050US36119,10.41
050US36123,22.48
050US37009,26.08
050US37013,27.58
050US37017,26.72
050US37023,25.55
050US37037,14.81
050US37043,20.66
050US37053,11.67
050US37057,18.2
050US37065,32.21
050US37075,36.19
050US37085,16.57
050US37089,14.76
050US37095,36.83
050US37103,36.14
050US37115,22.92
050US37123,27.01
050US28141,27.3
050US42099,18.27
050US42103,10.87
050US42127,16.67
050US42133,14.94
050US48411,20.32
050US48429,19.96
050US48449,23.81
050US48453,8.55
050US48455,30.53
050US48467,22.75
050US48473,26.16
050US48479,29.14
050US49033,5.04
050US49045,7.55
050US49047,12.89
050US49051,7.12
050US50017,16.66
050US50027,12.17
050US51007,25.51
050US51017,29.76
050US51019,20.46
050US51023,16.56
050US51033,22.74
050US51036,30.8
050US51041,7.72
050US51057,33.11
050US51067,22.73
050US51083,37.48
050US51091,20.59
050US51095,8.11
050US51107,3.53
050US51111,38.76
050US51127,15.79
050US51133,19.47
050US51143,24.04
050US51159,30.95
050US51165,19.31
050US51175,21.58
050US51179,4.42
050US51187,13.43
050US53047,19.89
050US53049,15.44
050US53053,9.36
050US53061,6.63
050US53071,11.23
050US53073,9.61
050US54013,26.68
050US54017,26.41
050US54019,24.8
050US54023,26.96
050US54027,26.53
050US54033,18.26
050US54037,10.5
050US54043,23.21
050US54065,19.25
050US54071,34.12
050US54081,20.26
050US54093,21.67
050US54095,26.01
050US37133,9.91
050US37137,23.32
050US37149,17.1
050US37153,25.76
050US37161,25.45
050US37163,31.46
050US37177,34.25
050US38005,31.85
050US38033,23.63
050US38053,9.9
050US38059,14.21
050US38067,26.28
050US38071,20.92
050US22067,41.83
050US22069,35.83
050US22079,19.17
050US22097,31.68
050US22107,46.32
050US22113,17.45
050US22117,30.7
050US22123,50.34
050US23007,17.69
050US08065,16.8
050US08071,23.61
050US08093,13.98
050US08105,30.19
050US08113,9.09
050US09001,9.01
050US09007,10.63
050US09011,11.06
050US10005,16.53
050US12033,13.55
050US12037,18.56
050US12041,28.16
050US12047,31.0
050US12053,12.52
050US12071,10.36
050US19009,19.21
050US19027,16.5
050US19075,14.68
050US19113,11.54
050US19147,20.31
050US19195,18.0
050US20069,17.2
050US20143,23.39
050US20181,12.26
050US21005,16.38
050US21025,33.61
050US21029,13.55
050US21033,22.74
050US21043,31.14
050US21049,20.01
050US21063,32.86
050US21071,24.81
050US21085,24.4
050US21097,29.8
050US21109,29.32
050US21119,29.37
050US21125,21.84
050US21135,27.09
050US21139,24.84
050US21153,27.85
050US21159,25.79
050US21167,21.05
050US21181,32.38
050US21183,25.92
050US21193,24.41
050US21197,30.71
050US21205,16.36
050US54109,22.93
050US55023,19.93
050US55037,20.69
050US55051,19.05
050US55069,18.97
050US55075,18.1
050US55111,14.09
050US41007,13.72
050US41017,8.76
050US41019,14.95
050US41065,15.88
050US42003,13.46
050US42027,11.05
050US42033,22.64
050US42041,11.88
050US42045,11.49
050US42051,21.97
050US42061,20.28
050US42071,16.21
050US42089,12.69
050US42095,13.75
050US51063,23.63
050US51087,11.89
050US53077,16.04
050US45027,25.2
050US45047,23.67
050US01043,22.02
050US45029,18.39
050US45071,29.01
050US46067,24.66
050US01033,25.21
050US02050,23.44
050US04007,28.89
050US05039,35.7
050US06039,17.0
050US08043,13.03
050US12013,27.59
050US12069,11.25
050US12129,15.33
050US13219,8.0
050US16035,20.06
050US16069,16.71
050US17153,45.78
050US18071,22.91
050US19087,19.19
050US21003,26.9
050US21051,29.41
050US21165,29.61
050US46085,24.05
050US47057,21.52
050US02195,15.59
050US06009,13.32
