HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
050US47031,32071,3444,7502,3329,3161,19736,3812,3316,9327,56.27,4.19,0.95,13.74,0.24,3481,3913,41398,12996.0,428.96,8.0,0.02,0.0,0.23
050US47035,30544,2812,6016,2700,2669,16765,4413,4183,17521,43.65,2.95,0.27,13.99,0.18,3254,3670,48065,12743.0,681.02,4.0,0.01,0.0,0.25
050US47037,458636,46442,78317,38640,50675,317901,42316,36360,79891,64.71,10.18,3.52,11.43,0.21,40999,41791,538527,155521.0,503.49,88.0,0.17,0.0,0.16
050US47041,11815,1078,2355,1179,1031,7094,1374,1441,3527,53.71,8.03,0.95,20.05,0.22,1336,1396,15342,4432.0,304.38,2.0,0.01,0.0,0.25
050US47065,222368,20718,41962,21156,23240,139521,24056,24188,60258,56.55,5.46,2.03,10.8,0.21,22917,23926,282626,75586.0,542.34,40.0,0.07,0.0,0.19
050US47089,32065,2557,6196,3679,3329,18991,3850,3792,10312,52.1,3.58,0.57,15.54,0.2,3599,3950,42377,12749.0,274.92,1.0,0.0,0.0,0.22
050US56003,6381,746,1754,831,540,3887,732,886,2457,53.67,8.95,0.4,10.06,0.26,713,726,8838,2916.0,3136.94,,,,0.07
050US56013,22975,2852,5785,2553,2308,14187,2759,2981,6892,56.95,6.87,0.14,8.79,0.25,2137,2483,29867,9636.0,9183.55,6.0,0.0,0.0,0.1
050US56031,4856,474,982,495,424,2642,553,804,2033,47.25,8.05,0.68,6.59,0.21,495,690,6889,2252.0,2081.44,1.0,0.0,0.0,0.09
050US56035,5859,632,1395,652,336,3507,731,675,1664,55.61,7.35,0.12,3.68,0.24,469,878,7523,2622.0,4886.46,3.0,0.0,0.0,0.1
050US01041,8207,787,1793,862,748,4919,1070,928,2542,54.09,1.98,1.36,21.61,0.22,815,1011,10749,3165.0,608.86,1.0,0.0,0.0,0.27
050US02100,1346,159,326,123,38,779,202,95,614,50.2,3.85,2.94,3.04,0.22,161,182,1960,551.0,2339.58,2.0,0.0,0.0,
050US04001,41271,4908,11361,5845,4982,27395,4424,4338,10420,61.05,6.21,0.4,20.45,0.28,3999,4677,51691,10215.0,11197.42,2.0,0.0,0.0,0.05
050US05001,10606,1207,2191,1238,1010,6457,1218,1425,3342,54.38,3.06,0.0,17.0,0.23,1094,1190,13948,4049.0,988.76,6.0,0.01,0.0,0.16
050US05029,12191,1238,2725,1230,1121,7255,1512,1384,3931,53.66,3.88,0.09,14.11,0.23,1270,1591,16122,5353.0,552.25,11.0,0.02,0.0,0.2
050US05057,12430,1609,3198,1425,1396,7630,1348,1565,3873,56.49,12.65,0.08,19.0,0.26,1280,1515,16303,5368.0,727.52,1.0,0.0,0.0,0.23
050US39115,8634,727,1818,939,778,4920,1089,1236,2921,50.78,0.33,0.2,13.53,0.21,940,1051,11555,3552.0,416.42,,,,0.28
050US40113,27839,2450,6219,3093,2545,16501,3787,3304,8817,53.2,3.53,0.41,12.33,0.23,2859,3374,36656,9819.0,2246.54,4.0,0.0,0.0,0.19
050US41015,11760,908,1846,753,849,5689,1754,2345,7439,37.51,6.94,0.56,10.95,0.15,1095,1431,19199,3977.0,1628.37,2.0,0.0,0.0,0.23
050US42049,169801,15661,33459,19777,19111,105807,20656,18472,46335,56.14,4.12,1.66,8.73,0.22,17095,18487,216136,64759.0,799.08,34.0,0.04,0.0,0.17
050US42101,1021692,107792,185494,98497,119986,705847,94982,86975,207563,63.42,14.45,7.15,16.07,0.22,91793,95076,1229255,327032.0,134.23,89.0,0.66,0.0,0.07
050US45009,8671,700,1700,1102,1358,5406,1066,1026,2962,53.47,1.99,0.29,17.72,0.2,736,1004,11633,3013.0,393.36,1.0,0.0,0.0,0.23
050US45057,51933,5353,11205,4670,4651,31991,5638,5717,18004,54.22,5.24,1.13,13.58,0.22,5835,5803,69937,17800.0,549.07,15.0,0.03,0.0,0.22
050US45087,16346,1545,3282,1617,1609,9416,2110,2073,5353,51.52,1.45,0.01,18.58,0.22,1824,2041,21699,7285.0,514.17,4.0,0.01,0.0,0.25
050US47025,19596,1559,3327,1933,2203,11733,2296,2296,6051,52.57,1.25,0.65,19.59,0.19,2129,2222,25647,7159.0,434.6,1.0,0.0,0.0,0.27
050US47053,28539,3161,6556,3372,2851,17833,3474,2943,8718,56.02,2.68,0.39,15.13,0.24,3012,3478,37257,10560.0,602.74,5.0,0.01,0.0,0.19
050US47135,4549,532,877,506,426,2726,708,457,1613,52.26,2.43,0.44,25.83,0.22,456,543,6162,1793.0,414.74,2.0,0.0,0.0,0.3
050US47163,92872,7786,17264,9130,8713,53475,11104,11597,33114,50.1,1.83,0.57,13.44,0.2,10972,11422,125986,32618.0,413.4,17.0,0.04,0.0,0.21
050US48089,11665,1363,2781,1397,1145,6829,1280,1866,4463,52.2,29.49,0.03,18.49,0.23,1090,1350,16128,5229.0,960.28,4.0,0.0,0.0,0.18
050US48135,95777,14526,26041,11485,12562,69986,8353,7355,14971,69.82,59.65,1.16,23.94,0.3,8517,8593,110748,41212.0,897.81,17.0,0.02,0.0,0.04
050US48203,38917,4354,9697,4844,3991,24801,4591,4269,10680,58.3,12.94,0.73,15.06,0.26,3986,4267,49597,15374.0,899.95,9.0,0.01,0.0,0.22
050US48323,32967,5540,9700,5194,4930,24525,2718,2582,6596,68.6,95.23,0.46,40.31,0.32,3329,2980,39563,12562.0,1279.47,1.0,0.0,0.0,0.06
050US48351,8420,679,1538,1416,716,5075,845,1157,2758,51.87,3.54,1.18,16.3,0.2,779,1226,11178,3175.0,933.67,2.0,0.0,0.0,0.25
050US48379,6349,566,1349,578,507,3454,1088,766,2821,46.8,8.88,0.07,15.21,0.2,670,759,9170,2587.0,229.45,1.0,0.0,0.0,0.15
050US48409,39225,4947,10146,4824,4393,26468,4417,3367,9623,61.99,57.4,1.03,20.45,0.27,3952,4126,48848,16111.0,693.43,9.0,0.01,0.0,0.09
050US48465,28033,4192,7574,3771,4126,20620,1863,2498,6894,66.06,81.76,0.62,31.78,0.29,2757,2629,34927,10967.0,3144.74,6.0,0.0,0.0,0.07
050US49007,11634,1328,3092,1650,1299,7825,1381,1338,3291,60.15,13.27,0.41,9.16,0.27,1034,1067,14925,4714.0,1479.18,1.0,0.0,0.0,0.06
050US49019,6020,503,1189,527,672,3732,688,712,1597,56.41,10.4,1.93,9.19,0.21,443,752,7617,2913.0,3672.73,1.0,0.0,0.0,0.06
050US51005,8786,679,1633,933,765,4851,1228,1204,3561,46.86,1.43,0.07,14.42,0.19,1026,1104,12347,3369.0,446.57,1.0,0.0,0.0,0.27
050US51029,10715,766,1834,801,1054,6314,1390,1064,3107,52.42,2.4,0.33,22.06,0.19,1220,1309,13822,3973.0,579.62,,,,0.27
050US51089,29555,2439,5823,2776,2703,16049,4001,3912,11897,47.13,5.31,0.72,21.18,0.2,3430,4037,41452,11193.0,382.35,1.0,0.0,0.0,0.27
050US51141,10162,740,1780,897,902,5287,1446,1394,4538,43.71,2.95,0.4,20.64,0.18,1284,1390,14700,4301.0,482.95,,,,0.29
050US51193,10055,902,1964,695,921,5408,1134,1743,4259,46.91,6.29,0.63,13.94,0.19,987,1241,14314,3181.0,229.32,1.0,0.0,0.0,0.24
050US53011,283020,29134,65121,30969,27386,180960,30685,29151,67720,59.14,9.31,4.48,7.65,0.25,31410,31203,350740,99411.0,628.48,18.0,0.03,0.0,0.13
050US53045,36574,3272,6848,3226,3330,20666,5337,5015,13868,49.16,9.68,1.41,12.57,0.19,3549,4072,50442,13076.0,959.42,3.0,0.0,0.0,0.22
050US54025,20500,1830,3940,1810,1743,11721,2597,2806,7852,49.48,1.88,0.65,15.03,0.2,2158,2443,28352,7417.0,1019.81,4.0,0.0,0.0,0.27
050US55001,11491,649,1762,844,774,5465,1774,2009,5619,39.24,3.89,0.63,12.86,0.15,1190,1605,17110,4359.0,645.65,1.0,0.0,0.0,0.2
050US08027,2155,101,549,242,156,949,474,517,1685,34.46,9.57,0.0,7.04,0.17,191,174,3840,852.0,738.62,2.0,0.0,0.0,0.1
050US08051,11564,744,1645,1395,2200,8096,940,1127,2044,63.4,9.26,0.5,2.8,0.18,1036,905,13608,4752.0,3239.13,12.0,0.0,0.0,0.15
050US05041,6677,758,1768,858,583,4074,797,932,2156,55.52,5.87,0.33,21.17,0.26,642,760,8833,2461.0,768.13,5.0,0.01,0.0,0.14
050US13261,18457,1881,4016,2361,3034,12335,1811,1890,4838,60.07,5.42,1.18,19.32,0.23,1669,1912,23295,6709.0,482.87,4.0,0.01,0.0,0.2
050US18179,16043,1834,3961,1771,1555,9704,2265,1744,4947,55.46,2.91,0.47,8.9,0.25,1607,1885,20990,7566.0,368.09,3.0,0.01,0.0,0.11
050US22111,13095,1300,2829,1699,1076,7797,1600,1790,4364,53.06,4.66,0.08,14.39,0.22,1277,1518,17459,5034.0,876.97,1.0,0.0,0.0,0.24
050US23003,40131,3304,6923,3941,3699,21458,5827,5499,15500,46.41,1.17,0.43,12.52,0.19,4582,5176,55631,16340.0,6671.23,,,,0.22
050US40133,14360,1664,3531,1873,1529,9071,1662,1599,4369,56.9,4.95,0.35,15.43,0.25,1438,1737,18729,5418.0,632.83,3.0,0.0,0.0,0.21
050US35019,2618,220,430,174,197,1627,384,201,990,51.96,78.37,0.0,20.14,0.18,244,286,3608,521.0,3029.76,,,,0.04
050US37105,35757,3881,8470,4003,3526,22452,4227,3500,9498,57.88,19.22,1.07,16.56,0.25,3984,4113,45255,14687.0,255.06,1.0,0.0,0.0,0.2
050US37125,52569,5363,11597,5190,4343,31255,6423,6420,22698,50.42,6.5,1.37,9.59,0.21,5706,6167,75267,19262.0,697.67,6.0,0.01,0.0,0.19
050US19035,6364,699,1342,519,652,3461,900,1065,2651,47.98,1.28,0.68,7.45,0.21,583,767,9015,3311.0,576.9,2.0,0.0,0.0,0.16
050US20033,915,89,233,102,81,510,128,153,458,46.74,6.91,0.0,7.22,0.23,85,124,1373,485.0,788.29,1.0,0.0,0.0,0.11
050US20149,13466,1872,3902,1575,1259,8997,1437,1431,3239,62.74,5.26,0.98,5.27,0.29,1248,1419,16705,5396.0,840.78,5.0,0.01,0.0,0.15
050US21027,11704,1164,2616,1277,1037,6723,1446,1560,3749,52.31,1.44,0.35,17.77,0.23,1280,1542,15453,4738.0,569.8,4.0,0.01,0.0,0.25
050US21147,11136,1056,2116,1136,961,6966,1194,1060,2648,57.49,2.48,0.71,25.44,0.22,1264,1331,13784,2675.0,426.8,,,,0.31
050US21175,8790,628,1334,731,751,5379,920,1114,2015,55.26,0.95,1.19,26.64,0.19,1006,889,10805,2166.0,381.13,,,,0.3
050US22005,74794,8681,18682,8563,7047,49895,7514,6293,13440,63.76,5.45,1.06,11.64,0.27,8444,8227,88234,28135.0,290.05,4.0,0.01,0.0,0.2
050US22015,77616,8944,17630,7997,8735,52667,7391,7445,16866,62.82,6.55,1.66,10.69,0.25,7521,7667,94482,25465.0,840.3,14.0,0.02,0.0,0.17
050US22025,6095,590,1234,578,768,3971,624,765,1617,58.58,1.65,0.1,23.9,0.22,525,567,7712,1942.0,708.02,3.0,0.0,0.0,0.17
