HEROP_ID,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,CenRuralP
050US36053,0.0,0.62,0.38,,0.59
050US36065,0.58,0.31,0.11,,0.33
050US36077,0.0,0.35,0.65,,0.71
050US36081,0.98,0.0,0.02,,0.0
050US36091,0.78,0.2,0.02,,0.3
050US36115,0.24,0.18,0.59,,0.68
050US37007,0.0,0.83,0.17,,0.79
050US37027,0.76,0.24,0.0,,0.34
050US37039,0.0,0.0,1.0,,1.0
050US37049,0.57,0.38,0.05,,0.28
050US37055,0.0,0.45,0.55,,0.29
050US37059,0.29,0.29,0.43,,0.7
050US37069,0.08,0.58,0.33,,0.85
050US37083,0.0,0.5,0.5,,0.55
050US37091,0.0,0.0,1.0,,0.69
050US37093,0.44,0.44,0.11,,0.43
050US37099,0.0,0.44,0.56,,0.73
050US37111,0.0,0.6,0.4,,0.7
050US37117,0.0,0.17,0.83,,0.78
050US37127,0.56,0.39,0.06,,0.48
050US37165,0.0,0.57,0.43,,0.48
050US37175,0.0,0.71,0.29,,0.6
050US37199,0.0,0.6,0.4,,1.0
050US38017,0.85,0.12,0.03,,0.1
050US38037,0.0,0.0,1.0,,1.0
050US38085,0.0,0.0,1.0,,1.0
050US38099,0.0,0.0,1.0,,0.62
050US39035,0.99,0.0,0.01,1.0,0.01
050US39039,0.0,0.44,0.56,,0.44
050US39043,0.05,0.79,0.16,,0.26
050US39125,0.0,0.0,1.0,,0.82
050US40065,0.0,0.62,0.38,,0.25
050US48103,0.0,0.0,1.0,,0.11
050US48141,0.96,0.03,0.01,,0.02
050US48151,0.0,0.0,1.0,,1.0
050US48161,0.0,0.0,1.0,,0.66
050US48167,0.25,0.7,0.04,,0.06
050US48199,0.36,0.55,0.09,,0.52
050US48213,0.0,0.53,0.47,,0.6
050US48229,0.0,1.0,0.0,,1.0
050US48241,0.0,0.25,0.75,,0.78
050US48245,0.93,0.04,0.03,,0.08
050US48261,0.0,0.0,1.0,,1.0
050US48289,0.0,0.0,1.0,,1.0
050US48317,0.0,1.0,0.0,,1.0
050US48333,0.0,0.0,1.0,,1.0
050US48347,0.0,0.62,0.38,,0.46
050US48361,0.71,0.29,0.0,,0.35
050US48371,0.0,0.0,1.0,,0.4
050US48395,0.0,0.8,0.2,,0.74
050US48423,0.78,0.22,0.0,,0.32
050US48427,0.0,0.93,0.07,,0.24
050US48457,0.0,0.4,0.6,,0.78
050US48471,0.0,0.6,0.4,,0.46
050US48475,0.0,0.0,1.0,,0.28
050US48477,0.0,0.67,0.33,,0.53
050US48499,0.0,0.0,1.0,,0.74
050US49001,0.0,0.0,1.0,,0.57
050US49003,0.64,0.09,0.27,,0.31
050US49011,1.0,0.0,0.0,,0.01
050US40073,0.0,0.25,0.75,,0.72
050US40079,0.08,0.33,0.58,,0.73
050US40145,0.59,0.23,0.18,,0.37
050US41005,0.71,0.26,0.03,,0.18
050US41021,0.0,0.0,1.0,,1.0
050US41033,0.5,0.38,0.12,,0.45
050US41035,0.0,0.6,0.4,,0.38
050US41039,0.68,0.26,0.06,,0.18
050US41043,0.43,0.29,0.29,,0.32
050US41051,0.99,0.01,0.0,,0.01
050US41055,0.0,0.0,1.0,,1.0
050US41061,0.0,0.62,0.38,,0.42
050US42005,0.16,0.53,0.32,,0.67
050US42029,0.88,0.12,0.0,1.0,0.13
050US42035,0.0,0.78,0.22,,0.46
050US42059,0.0,0.56,0.44,,0.67
050US42067,0.0,1.0,0.0,,0.82
050US42091,0.91,0.09,0.0,1.0,0.03
050US42111,0.05,0.38,0.57,,0.71
050US45005,0.0,0.33,0.67,,0.68
050US45019,0.9,0.08,0.02,,0.11
050US45025,0.0,0.4,0.6,,0.74
050US45043,0.13,0.47,0.4,,0.42
050US45063,0.74,0.24,0.01,,0.25
050US45077,0.71,0.29,0.0,,0.36
050US45091,0.74,0.11,0.15,,0.23
050US46073,0.0,0.0,1.0,,1.0
050US46093,0.2,0.2,0.6,1.0,0.38
050US46095,0.0,0.0,1.0,,1.0
050US46123,0.0,0.0,1.0,,0.48
050US47001,0.72,0.22,0.06,,0.35
050US47003,0.0,0.44,0.56,,0.56
050US47005,0.0,0.0,1.0,,0.78
