HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US41043,11.88,6.16,47.1
050US41051,11.13,4.44,34.34
050US41055,10.28,6.5,8.0
050US41061,15.07,6.81,24.12
050US42005,10.64,9.08,38.05
050US42029,13.32,4.03,28.27
050US42035,18.43,9.31,47.33
050US42059,13.0,9.64,44.0
050US42067,11.48,8.95,58.75
050US42091,12.01,4.68,29.87
050US42111,10.78,8.22,35.25
050US45005,13.97,21.43,64.0
050US45019,12.24,8.51,54.4
050US45025,12.7,13.09,56.75
050US45043,10.71,10.67,75.3
050US45063,11.93,7.27,64.33
050US45077,21.08,7.32,39.46
050US45091,12.79,9.12,78.91
050US46073,7.54,4.6,6.0
050US46093,14.4,5.47,30.33
050US46095,10.36,10.3,8.0
050US46123,10.46,4.3,12.5
050US47001,11.46,8.74,49.25
050US47003,12.61,11.65,68.5
050US47005,11.43,11.84,35.0
050US47019,10.79,9.22,32.53
050US47029,10.94,12.3,40.0
050US47049,11.59,12.9,54.25
050US47063,12.37,9.95,67.17
050US47073,11.21,9.6,62.33
050US47081,12.55,12.64,62.6
050US47097,13.04,18.83,77.71
050US47121,10.99,11.57,41.33
050US47149,16.86,7.93,132.85
050US47173,11.3,11.3,62.0
050US48007,11.3,5.82,34.6
050US25001,10.17,8.23,85.8
050US25013,14.69,15.88,107.82
050US25025,16.72,10.2,49.98
050US26033,16.16,10.64,36.25
050US26053,10.85,8.79,26.38
050US26063,10.79,8.75,33.92
050US26097,10.36,9.95,28.0
050US26115,12.34,15.47,99.36
050US13283,11.07,20.2,39.5
050US13289,10.56,16.0,65.5
050US13313,13.92,14.06,84.33
050US13317,12.74,14.15,67.0
050US15001,10.94,11.51,124.86
050US15009,10.63,8.65,76.93
050US16059,9.26,5.03,17.0
050US16073,13.33,5.1,18.5
050US16083,12.92,5.22,35.71
050US16087,10.29,5.7,25.67
050US17027,11.62,8.15,64.67
050US17031,12.81,13.18,82.12
050US17047,11.4,11.9,27.0
050US49029,14.87,5.55,32.5
050US49035,13.99,6.18,60.39
050US49043,12.96,4.76,105.0
050US49049,22.06,6.39,60.12
050US51015,11.38,5.8,49.17
050US51037,12.65,12.5,46.0
050US51051,10.74,15.82,52.25
050US51053,11.92,9.77,66.83
050US51069,12.17,10.81,177.09
050US51073,11.2,5.92,78.6
050US51085,13.26,4.28,40.39
050US51099,12.9,8.8,83.8
050US51125,9.16,5.97,54.0
050US51131,9.86,6.82,35.5
050US51137,11.72,8.7,141.75
050US51145,11.69,4.9,48.2
050US51149,12.64,7.62,70.0
050US51161,11.83,6.49,66.5
050US51177,13.22,10.84,342.3
050US51185,11.19,10.42,42.0
050US51199,13.42,2.86,25.57
050US53005,13.07,4.43,34.74
050US53007,12.25,4.46,40.0
050US53009,9.81,5.51,22.81
050US53015,11.71,8.87,65.39
050US53025,14.59,6.51,40.0
050US53031,6.78,3.24,14.75
050US53037,25.32,4.76,39.88
050US53043,10.12,6.45,19.0
050US12077,14.58,13.3,31.5
050US05061,12.31,10.97,48.0
050US05093,13.79,12.04,51.92
050US05095,12.69,10.57,30.0
050US05099,10.65,17.73,40.33
050US05103,11.74,10.43,50.83
050US05109,11.95,12.6,38.0
050US05117,10.77,10.1,26.0
050US05133,13.67,10.65,35.0
050US05147,10.63,10.55,41.5
050US06045,11.37,8.32,43.79
050US06051,13.91,7.35,164.5
050US24011,11.97,11.21,88.43
050US24033,13.66,14.82,181.63
050US24043,12.12,8.82,67.69
050US25007,11.05,5.45,55.0
050US25017,13.42,5.58,43.55
050US26041,10.62,8.72,40.75
050US26099,12.41,14.3,106.39
050US26103,18.54,8.63,27.89
050US26135,9.79,14.93,42.75
050US26147,12.35,14.75,83.72
050US26163,13.39,25.68,126.54
050US27023,11.67,10.74,39.8
050US27053,12.15,9.26,65.85
050US27077,8.4,9.53,14.0
050US27091,10.94,10.9,53.83
050US27129,11.07,11.02,38.17
050US27139,12.52,9.28,111.52
050US27163,12.5,7.76,83.4
050US28007,12.28,14.5,43.83
