HEROP_ID,TotHcv,MlHcv,FmHcv,Un50Hcv,A50_74Hcv,Ov75Hcv,BlkHcv,NonBlkHcv,HcvD,MlHcvD,FlHcvD,AmInHcvD,AsPiHcvD,BlkHcvD,HspHcvD,U50HcvD,A50_74HcvD,O75HcvD,AvHcvD,AvMlHcvD,AvFlHcvD,AvAmInHcvD,AvAsPiHcvD,AvBlkHcvD,AvHspHcvD,AvU50HcvD,Av50_74HcvD,AvO75HcvD,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,AnyNalDt,NalPrStDt,NalPresDt,AnyNalFr,NalPrStFr,NalPresFr,MdMarijLaw
040US34,47200,32100,14000,13600,30700,1700,14300,31900,342,236,106.0,,,102.0,55.0,10.0,280.0,28.0,398.0,281.8,116.2,,,120.4,52.6,19.4,328.6,27.0,1.0,1.0,1,1,1.0,1/4/2008,8/1/2009,1/1/2012,11/1/2015,8/1/2010,5/2/2013,5/2/2013,1.0,1,7/1/2013,7/1/2013,,1.0,1.0,0.0,1
040US24,40600,27400,13000,10600,28600,1200,21900,18500,340,258,82.0,,,178.0,,27.0,277.0,15.0,333.4,243.6,89.8,,1.2,180.6,,20.4,279.6,8.6,1.0,1.0,1,0,1.0,5/10/2011,10/1/2011,12/1/2013,,10/1/2011,10/1/2009,10/1/2015,1.0,1,10/1/2013,10/1/2015,,1.0,1.0,0.0,1
040US23,7000,5000,1800,2600,4100,100,100,6700,32,29,,,,,,,,,48.0,39.4,6.4,,,,,,24.0,,1.0,1.0,1,0,1.0,6/23/2003,1/1/2004,1/1/2005,,9/13/2003,,,0.0,0,5/1/2014,11/1/2015,,1.0,1.0,0.0,1
040US15,6700,4700,1600,900,5200,200,200,6100,67,47,20.0,,17.0,,,,45.0,,71.8,53.2,18.6,,23.6,,1.2,,50.6,,1.0,1.0,1,0,1.0,1/1/1943,1/1/1990,2/1/2012,,6/18/1996,7/7/2015,7/7/2015,1.0,1,7/1/2016,7/1/2016,,1.0,1.0,0.0,1
040US10,6300,4300,2000,1800,4300,100,2300,4000,49,34,15.0,,,17.0,,,23.0,,48.8,36.8,8.6,,,16.6,,,28.8,,1.0,1.0,1,0,1.0,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,8/31/2013,8/31/2013,1.0,1,9/1/2014,9/1/2014,,1.0,1.0,0.0,1
040US44,10000,7200,3000,2800,7100,300,1500,8700,76,49,27.0,,,,,,58.0,,87.8,63.2,24.6,,,1.6,6.0,4.2,63.4,,1.0,1.0,1,1,1.0,1/1/1978,1/1/1990,9/1/2012,6/28/2016,1/1/1997,6/18/2012,,1.0,0,7/1/2012,4/1/2014,,1.0,1.0,0.0,1
040US21,42500,28800,15000,18200,25000,700,5000,38900,306,215,91.0,,,35.0,,45.0,238.0,,266.8,185.4,81.4,,,25.6,,37.0,198.6,,1.0,1.0,1,1,1.0,7/15/1998,7/1/1998,7/1/1999,7/20/2012,7/15/1998,3/25/2015,,1.0,0,7/1/2013,7/1/2013,,1.0,1.0,0.0,0
040US39,89600,61300,28800,33400,54900,1700,26700,63500,541,403,138.0,,,148.0,,40.0,459.0,12.0,549.4,393.2,156.2,,,144.6,7.6,41.4,459.4,26.8,1.0,1.0,1,1,1.0,5/18/2005,5/1/2005,10/1/2006,12/31/2015,5/18/2005,9/13/2016,9/13/2016,1.0,1,4/1/2014,8/1/2015,,1.0,1.0,0.0,1
040US55,27900,18200,8300,8100,17800,600,7600,18900,145,110,35.0,,,31.0,,,124.0,,189.4,135.2,54.2,,,43.4,7.0,3.8,158.8,1.6,1.0,1.0,1,0,1.0,6/2/2010,6/1/2010,6/1/2013,,6/2/2010,4/9/2014,,1.0,0,5/1/2014,,,1.0,0.0,0.0,0
040US41,48700,35400,15400,8500,41200,1100,2200,48700,518,367,151.0,11.0,10.0,21.0,18.0,30.0,442.0,12.0,527.0,378.2,148.8,12.0,6.4,15.8,24.0,35.2,455.6,14.0,1.0,1.0,1,0,1.0,7/23/2009,7/1/2009,9/1/2011,,7/23/2009,1/1/2016,1/1/2016,1.0,1,7/1/2013,7/1/2013,4/1/2016,1.0,1.0,1.0,1
040US38,2600,1800,600,800,1500,100,100,2300,23,15,,,,,,,,,24.2,17.4,,,,,,,1.6,,1.0,1.0,1,0,1.0,12/1/2005,12/1/2006,10/1/2008,,4/5/2007,8/1/2015,,1.0,0,8/1/2015,8/1/2015,4/1/2016,1.0,1.0,1.0,0
040US05,21800,14900,6900,5800,15500,500,4600,17300,169,121,48.0,,,24.0,,13.0,143.0,,173.4,124.6,48.8,,,25.8,,4.8,142.8,,1.0,1.0,1,0,1.0,3/11/2011,3/1/2013,5/1/2013,,7/27/2011,7/22/2015,7/22/2015,1.0,1,8/1/2015,8/1/2015,,1.0,1.0,0.0,1
040US18,40200,26200,13200,14600,24000,800,8000,31500,269,189,80.0,,,54.0,,,232.0,,272.2,196.0,76.2,,,49.0,4.4,11.6,230.8,,1.0,1.0,1,1,1.0,12/31/1987,1/1/1990,7/1/2007,7/1/2014,1/1/1994,3/26/2014,7/1/2016,1.0,1,5/1/2015,5/1/2015,,1.0,1.0,0.0,0
040US27,24300,16700,6800,5500,17400,600,6700,16900,235,167,68.0,15.0,12.0,43.0,,,207.0,,236.6,169.8,66.8,15.0,4.0,38.6,7.0,6.4,202.8,,1.0,1.0,1,0,1.0,7/1/2007,1/1/2009,4/1/2010,,7/1/2007,7/1/2014,,1.0,0,6/1/2014,6/1/2014,,1.0,1.0,0.0,1
040US09,18300,12900,4900,5600,11700,400,3700,14100,130,92,38.0,,,24.0,31.0,,103.0,,144.4,105.8,38.6,,,24.2,30.2,4.6,115.4,,1.0,1.0,1,1,1.0,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,10/1/2011,10/1/2011,1.0,1,10/1/2003,10/1/2017,7/1/2015,1.0,0.25,1.0,1
