HEROP_ID,NoIntP
140US01117030331,7.24
140US01117030333,6.72
140US01083020802,8.35
140US01083021100,16.78
140US01047956201,15.38
140US01047956702,19.41
140US01049960100,28.62
140US01121010400,26.57
140US01121011000,27.07
140US01073012104,31.85
140US01073012304,16.76
140US01075030200,34.89
140US01077010300,59.89
140US01089001200,37.58
140US01025957500,47.32
140US01077010800,23.86
140US01083020300,24.64
140US01081042102,15.01
140US01109188700,37.38
140US01117030701,23.45
140US01003010903,20.19
140US01003010906,19.08
140US01101001000,38.7
140US01089002721,11.14
140US01099076100,48.32
140US01097000701,48.11
140US01093964400,24.43
140US01073014301,25.5
140US01073014406,7.02
140US01089010301,13.06
140US01089010402,22.81
140US01089010502,16.95
140US01089010621,4.27
140US01073014410,2.04
140US01073014413,1.89
140US01081041800,16.44
140US01095030300,10.05
140US01073012914,15.58
140US01073013200,27.99
140US01073013300,41.91
140US01087231603,22.04
140US01089011011,1.3
140US01089011021,7.81
140US01089011022,4.78
140US01089002801,9.39
140US01089002912,4.68
140US01089002922,3.22
140US01073012500,25.74
140US01095030100,26.92
140US01073012911,2.14
140US01095030802,16.38
140US01095030402,13.58
140US01081041600,32.6
140US01107050100,31.69
140US01107050300,44.25
140US01073012701,19.91
140US01073012802,4.14
140US01081040901,6.12
140US01081041200,9.43
140US01095030903,15.01
140US01095031000,24.08
140US01095031100,21.82
140US01087232000,39.53
140US01089000202,28.78
140US01089000502,18.62
140US01089000503,21.74
140US01089000702,23.23
140US01089000901,17.67
140US01085781200,35.92
140US01081041900,19.19
140US01081042006,20.45
140US01005950800,21.65
140US01027959200,35.27
140US01011952500,31.63
140US01013952900,34.87
140US01011952100,30.79
140US01027959000,42.09
140US01013953500,37.35
140US01015000600,29.65
140US01015001201,32.08
140US01015001300,28.61
140US01015001500,20.72
140US01093964600,29.46
140US01097003605,
140US01097003607,24.58
140US01097003608,16.48
140US01097003707,16.87
140US01073012905,5.03
140US01073012906,7.36
140US01073013601,37.15
140US01073014105,15.51
140US01025958001,34.41
140US01027958900,16.89
140US01073014204,9.91
140US01125010602,12.99
140US01031010100,22.52
140US01125010702,16.53
140US01003011101,7.62
140US01003011201,9.21
140US01007010004,32.93
140US01117030704,15.58
140US01007010001,23.93
140US01123961900,30.11
140US01009050300,36.07
140US01121011300,26.04
140US01123962100,26.45
140US01123962300,16.45
140US01013953100,40.23
140US01015000900,16.23
140US01015002400,13.03
140US01089001902,8.53
140US01089002100,22.07
140US01089002400,17.6
140US01089002502,12.54
140US01093964100,31.76
140US01089010902,15.42
140US01097007103,17.82
140US01097003302,8.4
140US01097003405,12.72
140US01097003501,6.26
140US01101001800,28.79
140US01101002201,40.48
140US01097006502,12.65
140US01097006600,19.26
140US01097006802,22.69
140US01097007000,16.12
140US01089011400,15.01
140US01091972900,31.94
140US01101001700,15.02
140US01097005800,30.77
140US01097006102,24.21
140US01097007202,14.79
140US01097007600,50.6
140US01097006407,7.7
140US01099075900,52.61
140US01097002502,16.32
140US01101005406,10.54
140US01101005407,3.69
140US01101005501,29.61
140US01101000200,31.33
140US01101000700,23.23
140US01097005000,34.78
140US01075030000,34.99
140US01073012402,12.15
140US01081040500,4.97
140US01089010100,15.54
140US01097003709,11.31
140US01089001302,14.5
140US01089001801,5.29
140US01097003800,40.0
140US01097004800,62.4
140US01097005300,31.35
140US01097005500,28.37
140US01097006104,27.9
140US01097006200,8.99
140US01097002700,49.33
140US01097003000,12.9
140US01097003205,38.53
140US01081040602,9.41
140US01081040604,2.13
140US01097006000,18.26
140US01089010622,8.33
140US01131034700,41.3
140US01117030501,19.85
140US01117030800,21.99
140US01123962600,41.68
140US01125010404,26.97
140US01121011700,20.13
140US01125010802,11.28
140US01125012700,14.61
140US01121010302,22.22
140US01073010703,1.74
140US01097006801,8.12
140US01117030334,12.21
140US01073011104,14.75
140US01073011209,12.84
140US01073012305,10.95
140US01025957902,26.87
140US01033020902,28.79
140US01015002000,10.05
140US01015981903,
140US01019955800,20.41
140US01039961900,22.91
140US01073012907,5.21
140US01073014203,5.72
140US01073014412,1.14
140US01077011102,18.43
140US01127020400,29.79
140US01127021000,38.46
140US01087231400,31.87
140US01089000201,41.76
140US01089000902,9.93
140US01089001901,3.39
140US01089002802,5.85
140US01089010302,10.74
140US01103005108,17.08
140US01103005101,17.09
140US01095030702,25.43
140US01097001902,22.99
140US01097002302,51.01
140US01103005302,17.34
140US01097003602,38.28
140US01009050200,19.87
140US01013953000,36.61
140US01069041900,29.27
140US01109189000,23.5
140US01105687000,45.11
140US01089010901,3.1
140US01005950400,43.34
140US01039962400,24.25
140US01041963700,19.16
140US01045020100,28.66
140US01077011200,22.91
140US01115040201,25.84
140US01117030103,31.85
140US01127021600,43.59
140US01077011602,21.98
140US01077011802,31.77
140US01079979500,19.34
140US01081042004,14.99
140US01097007300,21.61
140US01101000300,29.42
140US01101003000,32.86
140US01101006100,28.09
140US01065040500,52.12
140US01001020801,6.22
140US01071950300,34.95
140US01073001400,25.49
140US01073003100,30.79
140US01073004500,21.97
140US01133965501,22.81
140US01073013100,26.5
140US01097003710,14.83
140US01097005400,16.94
140US01053970400,23.39
140US01047957100,40.32
140US01051030800,15.3
140US01003010904,22.19
140US01003011406,11.93
140US01073005600,13.23
140US01055010601,16.78
140US01057020300,25.17
140US01093964700,23.8
140US01045020801,22.61
140US01047956300,22.36
140US01047957200,33.16
140US01049960700,28.63
140US01015981902,
140US01017954600,23.31
140US01097007102,28.17
140US01101000400,32.77
140US01081042003,20.51
140US01083020202,10.11
140US01123962700,18.41
140US01073012001,15.61
140US01073005910,7.37
140US01073010805,4.0
140US01073011205,11.48
140US01073011705,15.52
140US01125010500,26.85
140US01091973400,28.88
140US01095030801,14.84
140US01113030402,18.24
140US01095030201,21.58
140US01115040103,14.66
140US01065040400,38.41
140US01069040202,7.35
140US01073011206,16.78
140US01073011703,11.26
140US01125010301,13.04
140US01087231602,34.62
140US01101002000,12.35
140US01061050600,35.17
140US01121011500,21.77
140US01089002300,20.11
140US01097000200,31.93
140US01095030500,17.48
140US01073011500,19.78
140US01073012913,3.36
140US01073014302,5.87
140US01127020300,15.83
140US01089010200,11.98
140US01103005405,24.06
140US01001021000,21.81
140US01117030216,2.17
140US01101006000,32.03
140US01107050000,31.02
140US01109189100,25.88
140US01123962502,12.78
140US01089010800,4.38
140US01093964300,31.24
140US01101001500,22.91
140US01101002400,34.23
140US01101003302,6.49
140US01101005607,7.44
140US01049960800,26.64
140US01073012403,17.62
140US01073014002,3.77
140US01059973100,36.37
140US01049960600,29.27
140US01069040500,17.38
140US01055010401,9.74
140US01055011002,20.86
140US01067030300,25.64
140US01081042005,17.55
140US01083020700,28.37
140US01017953800,37.14
140US01019955900,26.1
140US01015001000,12.1
140US01029959500,29.13
140US01031011201,4.35
140US01089002911,4.18
140US01089010401,15.4
140US01077010400,12.7
140US01067030500,13.34
140US01069041500,27.6
140US01079979400,37.1
140US01033020600,26.08
140US01051030901,10.75
140US01069042000,31.91
140US01131035100,41.07
140US01059973600,43.48
140US01071950500,26.0
140US01087231500,29.65
140US01127021700,23.31
140US01033020300,45.97
140US01039962100,27.45
140US01089000301,19.95
140US01101005608,5.18
140US01103005404,11.94
140US01077011400,28.02
140US01003010905,17.18
140US01077011700,26.58
140US01081042101,14.12
140US01067030200,26.73
140US01003011300,12.27
140US01005950700,33.22
140US01003010701,7.53
140US01015000700,31.07
140US01073012703,4.96
140US01073012912,6.99
140US01073013801,34.34
140US01077011101,13.88
140US01073014404,5.24
140US01083021200,4.77
140US01089010612,6.12
140US01097001901,29.91
140US01103000800,28.29
140US01117030342,1.4
140US01125012403,4.97
140US01037961000,37.61
140US01015002300,23.23
140US01009050602,15.68
140US01081041000,13.83
140US01029959700,30.8
140US01031010900,15.97
140US01053970500,35.7
140US01055000900,40.09
140US01035960400,45.87
140US01049961400,24.04
140US01051031000,15.58
140US01073003500,39.38
140US01073004702,6.12
140US01073005500,32.6
140US01017954500,29.09
140US01045020802,18.89
140US01033020701,16.2
140US01073001200,44.02
140US01073002306,10.29
140US01073012200,23.86
140US01043964600,28.24
140US01043965500,21.49
140US01025957901,39.24
140US01125010302,24.32
140US01125012503,13.64
140US01127020600,18.89
140US01031010200,36.19
140US01097006302,12.23
140US01101005403,11.05
140US01117030314,4.82
140US01049961000,30.95
140US01095031200,14.63
140US01097002301,42.95
140US01089011100,2.28
140US01003010600,25.94
140US01015000800,52.72
140US01039962900,28.66
140US01117030213,3.31
140US01117030332,3.32
140US01021060200,19.79
140US01097006301,14.65
140US01117030304,2.36
140US01083020402,21.29
140US01089000403,17.22
140US01089010702,16.38
140US01097002900,25.06
140US01061050200,30.2
140US01111000500,23.1
140US01117030608,4.81
140US01123962000,19.58
140US01097003402,22.88
140US01097005200,23.7
140US01097006406,1.33
140US01101000500,17.03
140US01101002300,46.34
140US01107050200,27.35
140US01021060700,35.36
140US01097003407,19.24
140US01097003704,10.89
140US01007010003,23.13
140US01115040104,11.37
140US01047957300,37.8
140US01117030102,18.69
140US01117030330,5.41
140US01117030344,2.58
140US01125012405,19.28
140US01081040200,3.82
140US01117030607,3.16
140US01121011800,31.26
140US01125010403,20.9
140US01073005103,32.28
140US01073010302,25.64
140US01073010804,3.36
140US01005950100,36.93
140US01087232100,19.28
140US01125010803,23.53
140US01013953300,16.87
140US01015001100,9.89
140US01097003202,31.63
140US01097005600,14.58
140US01097006402,18.4
140US01097006702,23.33
140US01043965300,24.27
140US01045021101,5.93
140US01097007400,17.34
140US01053970200,36.5
140US01055011100,27.25
140US01009050700,22.81
140US01003011401,16.86
140US01073001600,39.48
140US01039961800,20.75
140US01041963600,33.18
140US01073010301,31.67
140US01015000500,60.4
140US01059973700,33.58
140US01003010705,6.64
140US02020000701,4.46
140US02020001701,1.48
140US02020002811,6.64
140US02050000100,31.6
140US02090001700,17.12
140US02122000100,36.36
140US02122000400,19.1
140US02122001200,20.38
140US02164000100,32.07
140US02180000100,32.88
140US02188000100,28.61
140US02195000200,15.59
140US02198000200,28.09
140US02240000400,20.64
140US02282000100,26.94
140US02290000100,71.62
140US02290000400,44.53
140US02050000200,11.17
140US02050000300,38.79
140US02090001100,5.6
140US02016000200,16.3
140US02020000202,4.79
140US02020000702,6.55
140US02020000802,8.5
140US02020001601,8.21
140US02020002302,6.42
140US02020002603,3.07
140US02020002821,2.65
140US02020002900,4.88
140US02122000200,25.31
140US02122000300,9.41
140US02122000800,20.21
140US02122001100,17.55
140US02122001300,8.52
140US02158000100,33.35
140US02170000101,25.1
140US02170000102,17.95
140US02170000604,9.2
140US02170000705,9.78
140US02170001300,8.79
140US02180000200,12.03
140US02185000300,
140US02290000300,49.35
140US02020000201,3.95
140US02020001802,6.1
140US02090001900,12.07
140US02220000100,3.76
140US02261000200,4.52
140US02100000100,13.21
140US02020002602,5.77
140US02110000500,15.37
140US02170000502,12.11
140US02198940100,20.94
140US02020002303,7.26
140US02016000100,26.34
140US02020001801,5.4
140US02070000200,13.49
140US02110000600,7.41
140US02170000402,22.94
140US02170001001,6.95
140US02185000200,30.5
140US02013000100,33.6
140US02170000401,15.89
140US02170000703,11.76
140US02170000900,12.74
140US02198000300,0.0
140US02220000200,19.1
140US02261000100,26.28
140US02261000300,19.48
140US02290000200,46.6
140US02090001400,15.07
140US02105000300,33.6
140US02110000200,3.58
140US02122000900,7.71
140US02170001004,7.39
140US02020000101,3.84
140US02020000400,1.32
140US02020000703,15.04
140US02020001000,12.72
140US02020001500,7.22
140US02020001731,12.77
140US02020002000,18.36
140US02020002202,11.6
140US02020002813,1.25
140US02090000200,17.48
140US02090000400,9.92
140US02090000900,12.9
140US02130000100,3.78
140US02150000200,12.19
140US02020002702,3.38
140US02170000200,20.91
