HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OpRxRt,OdMortRt,OdMortRtAv
040US50,146,17.27,0.79,136,22.38,0.74,147,18.05,0.8,146,19.26,0.79,34.8,32.9,20.6
040US30,191,27.71,0.7,208,20.58,0.77,184,28.61,0.68,197,23.43,0.73,46.1,15.6,11.74
040US19,542,25.74,0.66,771,12.18,0.93,676,15.7,0.82,698,14.11,0.85,40.2,14.3,11.26
040US45,1048,13.66,0.95,987,15.71,0.89,1001,15.65,0.91,1002,15.17,0.91,56.6,34.9,16.78
040US33,230,18.86,0.78,266,14.68,0.9,266,14.8,0.9,276,12.73,0.94,35.2,30.3,35.08
040US04,1434,12.04,0.94,1386,12.88,0.91,1430,10.1,0.93,1434,10.14,0.94,40.5,35.8,22.42
040US11,179,2.17,1.0,179,4.08,1.0,179,9.24,1.0,179,2.7,1.0,32.6,58.1,22.08
040US34,1996,8.84,0.99,2000,8.12,1.0,1993,6.82,0.99,2004,6.05,1.0,31.8,32.1,25.58
040US24,1338,11.32,0.95,1364,11.12,0.98,1380,8.43,0.98,1384,7.37,0.98,39.5,44.6,32.28
040US23,289,17.01,0.81,280,23.3,0.79,296,20.09,0.83,303,18.58,0.85,40.3,39.7,30.28
040US15,344,10.6,0.98,309,12.24,0.93,305,11.84,0.87,345,10.4,0.98,27.3,18.3,13.68
040US10,217,10.43,1.0,211,11.45,0.97,212,9.48,0.97,218,8.63,1.0,45.2,47.3,36.32
040US44,242,6.31,0.99,241,8.22,0.99,241,7.95,0.99,242,6.26,0.99,36.5,38.2,28.42
040US21,1028,12.45,0.92,1016,14.2,0.91,1051,12.13,0.94,1067,10.12,0.96,68.2,49.2,31.7
040US39,2831,10.82,0.96,2870,10.55,0.97,2900,8.39,0.98,2901,9.01,0.98,47.4,47.2,34.4
040US55,1111,17.36,0.79,1294,11.96,0.93,1317,10.15,0.93,1260,11.97,0.89,39.6,27.7,19.26
040US41,745,13.63,0.89,737,14.84,0.89,737,13.93,0.88,761,11.41,0.91,45.6,18.7,17.28
040US38,104,40.01,0.51,149,18.34,0.73,99,39.35,0.48,120,29.71,0.59,36.7,15.6,15.14
040US05,563,15.88,0.82,564,16.45,0.82,593,14.18,0.86,576,15.47,0.84,75.8,19.1,14.5
040US18,1320,13.69,0.87,1443,11.14,0.96,1466,10.17,0.97,1458,9.59,0.96,56.9,36.7,21.82
040US27,824,34.81,0.62,1216,13.32,0.91,1151,13.83,0.86,1159,12.88,0.87,30.2,19.0,12.28
040US09,829,6.41,1.0,817,10.14,0.98,832,6.83,1.0,833,7.3,1.0,37.0,39.1,29.16
