HEROP_ID,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs
050US55019,0.32,0.93,0.01,0.45,0.89,0.09,0.37,0.94,0.01
050US55021,0.64,0.88,0.04,0.24,0.91,0.04,0.38,0.92,0.02
050US55023,0.66,0.9,0.06,0.14,0.94,0.02,0.35,0.93,0.01
050US55025,0.45,0.69,0.11,0.38,0.7,0.12,0.41,0.71,0.12
050US55027,0.55,0.82,0.08,0.3,0.87,0.07,0.49,0.87,0.01
050US55029,0.69,0.89,0.02,0.24,0.93,0.04,0.52,0.94,0.01
050US55031,0.54,0.87,0.04,0.28,0.91,0.02,0.48,0.88,0.03
050US55033,0.47,0.89,0.01,0.15,0.93,0.02,0.42,0.9,0.05
050US55035,0.33,0.89,0.02,0.31,0.88,0.03,0.26,0.88,0.05
050US55037,0.59,0.96,0.01,0.41,0.96,0.02,0.0,0.0,0.0
050US55039,0.5,0.84,0.04,0.25,0.87,0.07,0.43,0.86,0.03
050US55041,0.49,0.8,0.02,0.2,0.82,0.03,0.56,0.86,0.01
050US55043,0.59,0.92,0.05,0.22,0.95,0.02,0.5,0.93,0.02
050US55045,0.45,0.94,0.01,0.16,0.94,0.04,0.4,0.94,0.01
050US55047,0.18,0.93,0.01,0.26,0.91,0.06,0.5,0.92,0.01
050US55049,0.31,0.95,0.01,0.58,0.93,0.05,0.33,0.97,0.01
050US55051,0.48,0.95,0.02,0.18,0.96,0.01,0.23,0.95,0.0
050US55053,0.64,0.71,0.07,0.44,0.83,0.07,0.35,0.85,0.01
050US55055,0.42,0.87,0.02,0.3,0.86,0.1,0.28,0.88,0.01
050US55057,0.46,0.89,0.05,0.26,0.9,0.04,0.38,0.92,0.01
050US55059,0.49,0.61,0.14,0.36,0.65,0.2,0.43,0.75,0.04
050US55061,0.39,0.95,0.01,0.1,0.95,0.03,0.3,0.95,0.01
050US55063,0.41,0.87,0.04,0.24,0.9,0.02,0.38,0.87,0.08
050US55065,0.45,0.94,0.01,0.37,0.92,0.06,0.42,0.95,0.01
050US55067,0.6,0.88,0.02,0.37,0.9,0.03,0.32,0.94,0.0
050US55069,0.5,0.94,0.02,0.3,0.95,0.02,0.3,0.96,0.0
050US55071,0.57,0.85,0.03,0.33,0.87,0.06,0.52,0.84,0.07
050US55073,0.49,0.84,0.02,0.42,0.85,0.06,0.45,0.81,0.12
050US55075,0.47,0.94,0.02,0.3,0.95,0.03,0.62,0.93,0.02
050US55077,0.27,0.93,0.01,0.22,0.92,0.04,0.3,0.94,0.01
050US55078,0.73,0.04,0.01,0.8,0.03,0.12,0.97,0.01,0.01
050US55079,0.76,0.2,0.65,0.54,0.39,0.41,0.45,0.49,0.1
050US55081,0.5,0.89,0.03,0.21,0.9,0.06,0.4,0.9,0.02
050US55083,0.43,0.95,0.01,0.19,0.94,0.02,0.41,0.94,0.01
050US55085,0.51,0.92,0.01,0.3,0.94,0.02,0.38,0.95,0.01
050US55087,0.56,0.8,0.05,0.28,0.84,0.06,0.46,0.82,0.08
050US55089,0.35,0.89,0.03,0.2,0.91,0.04,0.41,0.89,0.04
050US55091,0.23,0.97,0.0,0.19,0.96,0.02,0.03,0.97,0.0
050US55093,0.31,0.93,0.01,0.27,0.94,0.03,0.46,0.92,0.02
050US55095,0.35,0.95,0.01,0.21,0.95,0.02,0.42,0.95,0.01
050US55097,0.38,0.89,0.01,0.3,0.9,0.05,0.43,0.89,0.05
050US55099,0.67,0.93,0.03,0.2,0.93,0.02,0.39,0.94,0.01
050US55101,0.52,0.5,0.22,0.46,0.54,0.23,0.54,0.71,0.04
050US55103,0.43,0.93,0.01,0.26,0.93,0.03,0.56,0.92,0.02
050US55105,0.56,0.64,0.12,0.43,0.68,0.18,0.48,0.84,0.03
050US55107,0.2,0.95,0.01,0.09,0.95,0.02,0.64,0.95,0.0
050US55109,0.34,0.94,0.01,0.22,0.93,0.03,0.43,0.93,0.02
050US55111,0.47,0.89,0.02,0.31,0.89,0.08,0.4,0.9,0.01
050US55113,0.55,0.71,0.01,0.48,0.79,0.06,0.58,0.48,0.01
050US55115,0.62,0.8,0.01,0.31,0.85,0.04,0.36,0.87,0.01
050US55117,0.58,0.77,0.06,0.37,0.77,0.1,0.51,0.75,0.11
050US55119,0.64,0.94,0.02,0.35,0.95,0.03,0.33,0.96,0.0
050US55121,0.43,0.9,0.01,0.6,0.75,0.24,0.25,0.91,0.01
050US55123,0.32,0.95,0.0,0.18,0.96,0.02,0.48,0.95,0.01
050US55125,0.33,0.76,0.0,0.12,0.87,0.03,0.44,0.81,0.01
050US55127,0.57,0.84,0.05,0.29,0.81,0.16,0.38,0.83,0.02
