HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,Age45_49,Age50_54,AgeOv18,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,MobileP,LngTermP,RentalP,UnitDens,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
050US01041,1041,13865,6790,8207,787,1793,862,748,4919,1070,928,2542,54.09,18.33,71.68,23.07,1.98,0.79,1.36,0.0,3.12,21.61,0.22,15.7,5.8,25.99,13703,761,5612.0,815,1011,10749,21.1,7.11,1.76,16.22,20180.0,23353.0,0.5,8.0,31.43,12.19,11.67,3165.0,56.4,30.51,27.3,31.95,26.19,11.15,608.86,1.0,0.0,0.0,0.27
050US01043,1043,82313,37652,48938,4979,10332,5009,4781,30134,5716,5336,14803,55.21,17.98,95.24,1.21,4.3,0.42,0.41,0.0,2.72,18.19,0.23,15.8,5.5,18.38,81113,5149,33003.0,5257,5756,63741,17.6,8.08,1.91,18.33,23467.0,22980.0,0.45,5.97,30.72,14.11,14.03,18862.0,57.15,22.02,22.88,29.26,25.42,51.24,734.78,6.0,0.01,0.0,0.24
050US01045,1045,49255,23065,29810,3231,6310,3023,3309,19274,3629,2719,7939,58.5,16.12,72.86,19.79,6.23,0.77,1.29,0.01,5.28,14.18,0.23,18.4,8.8,19.05,47992,6288,18025.0,3036,3117,37749,21.3,17.77,2.14,16.78,24357.0,23837.0,0.45,6.5,21.12,10.87,16.57,9751.0,54.1,18.45,18.21,23.71,39.8,41.11,561.1,1.0,0.0,0.0,0.23
050US01047,1047,40029,20336,23544,2477,5524,2906,2522,14557,3068,2763,6705,56.35,16.75,28.12,70.47,1.03,0.02,0.56,0.06,0.76,19.3,0.24,31.1,11.8,19.67,39433,2106,14295.0,2247,2688,30249,17.8,6.96,2.71,10.0,19304.0,18910.0,0.49,8.88,34.17,13.81,10.67,8764.0,61.31,27.08,20.46,33.09,40.21,20.78,978.73,6.0,0.01,0.0,0.23
050US01049,1049,71200,31462,42101,4251,10067,4805,4201,26615,4919,4333,11619,57.49,16.32,85.63,1.41,14.35,1.31,0.2,0.87,10.57,25.89,0.25,22.1,4.5,16.94,70240,3678,28637.0,4769,4627,53720,15.5,6.85,2.7,13.77,21487.0,21004.0,0.47,5.51,40.21,11.19,12.54,17422.0,60.84,25.1,23.86,30.25,28.81,40.49,777.1,3.0,0.0,0.0,0.25
050US01051,1051,81212,34004,51203,4736,10221,5243,5253,32794,5750,4659,11770,58.8,14.49,74.9,21.43,2.89,0.26,0.48,0.0,2.94,13.62,0.22,12.3,6.2,14.3,76788,6600,33811.0,5525,5757,62973,17.9,10.56,1.82,11.5,28458.0,27475.0,0.44,7.94,22.16,12.11,12.14,15547.0,45.98,15.85,15.07,23.49,26.29,54.98,618.44,2.0,0.0,0.0,0.22
050US01053,1053,37328,16595,22524,2122,4781,2212,2248,14244,2453,2355,6476,56.65,17.35,61.87,31.93,2.24,3.85,0.36,0.19,1.79,18.46,0.22,24.0,13.5,19.08,34498,2184,12182.0,2389,2508,29000,18.8,7.53,2.4,11.11,21402.0,18161.0,0.48,6.58,29.9,13.22,11.48,7031.0,57.72,37.25,17.52,33.45,31.21,17.56,945.22,2.0,0.0,0.0,0.23
050US01055,1055,102939,47705,61781,5793,12358,6484,6309,37830,7243,6790,18877,54.38,18.34,80.35,15.75,3.77,0.73,0.72,0.06,2.39,15.48,0.22,17.3,6.5,18.72,101599,7419,42367.0,7054,6994,80658,19.6,9.2,2.57,15.37,22866.0,24065.0,0.45,7.52,26.64,15.82,11.83,23835.0,56.26,19.48,10.96,30.12,28.1,89.12,535.28,10.0,0.02,0.0,0.21
050US01057,1057,16585,8470,9631,925,1950,1076,917,5767,1135,1237,3392,52.11,20.45,84.99,11.93,1.72,0.0,0.65,0.04,2.4,17.58,0.21,20.0,7.0,17.98,16257,1159,6380.0,1082,1097,13023,25.7,8.91,1.47,12.89,20957.0,21862.0,0.46,7.45,33.67,17.15,12.59,4026.0,63.1,27.96,22.27,34.74,22.1,13.49,627.68,,,,0.26
050US01059,1059,31542,14152,18636,2165,4267,2021,2277,12263,1662,2046,5100,59.27,16.17,83.91,4.4,16.91,1.55,0.38,0.0,9.76,23.23,0.25,20.2,6.1,20.79,31287,1257,12849.0,1901,2138,23736,15.5,5.3,3.59,13.06,22432.0,19776.0,0.42,9.49,42.89,8.57,9.1,7747.0,60.29,33.32,17.38,28.21,29.44,22.32,633.92,3.0,0.0,0.0,0.26
050US01061,1061,26491,12768,15483,1445,3384,1661,1403,9153,2049,1708,5152,52.78,19.45,86.33,9.55,3.88,0.79,0.41,0.02,2.9,20.92,0.22,24.0,8.6,17.93,26242,2130,10047.0,1695,1905,20635,21.5,10.37,1.68,15.94,20978.0,20471.0,0.44,6.17,31.67,14.9,10.18,6097.0,60.68,28.13,28.42,27.84,29.19,22.23,574.48,1.0,0.0,0.0,0.22
050US01063,1063,8426,5075,4848,490,1025,493,585,2850,688,660,1716,51.8,20.37,17.15,79.67,1.7,0.57,0.0,0.0,2.61,24.1,0.22,38.7,15.8,41.77,8363,427,2204.0,411,586,6564,25.1,6.51,3.01,6.56,15789.0,14209.0,0.5,10.21,34.66,15.06,8.48,1265.0,57.4,48.12,38.5,53.58,31.27,7.84,647.02,,,,0.27
050US01065,1065,14887,7777,8689,971,1873,1128,844,5289,970,1180,2717,54.63,18.25,39.62,58.76,0.87,0.19,0.26,0.0,1.16,16.35,0.23,26.0,11.9,27.25,14688,769,5083.0,822,1065,11406,21.1,6.77,1.71,6.63,18239.0,20272.0,0.51,9.19,32.05,14.66,11.63,2765.0,54.4,33.84,35.86,35.71,28.53,12.08,643.98,1.0,0.0,0.0,0.26
050US01067,1067,17124,9096,9841,933,2007,1013,1004,5812,1307,1150,3696,51.11,21.58,71.12,27.73,2.62,0.02,0.0,0.0,1.12,19.82,0.21,13.5,6.7,26.68,16813,1230,6868.0,1084,1135,13537,18.7,9.09,1.98,12.18,22656.0,24069.0,0.44,8.42,22.74,15.42,11.88,3894.0,56.7,22.4,25.92,31.55,17.2,16.19,561.75,2.0,0.0,0.0,0.22
050US01069,1069,104352,47187,62351,6340,13703,6478,6133,39176,7431,6344,17615,56.75,16.88,69.37,26.91,3.29,0.29,0.84,0.02,2.58,14.31,0.23,18.3,7.0,16.81,103414,7949,44291.0,6640,7103,79966,17.8,9.96,2.44,18.25,24009.0,25990.0,0.48,6.7,19.2,17.06,14.47,23105.0,52.17,22.35,13.72,25.04,34.42,81.38,579.87,10.0,0.02,0.0,0.18
050US01071,1071,52094,25106,30963,2793,6323,3035,2718,18229,4034,3614,9972,52.49,19.14,91.01,3.45,2.89,1.18,0.41,0.15,3.79,17.53,0.21,20.2,5.9,17.84,51434,2902,20189.0,3507,3622,40935,18.8,7.09,1.59,9.08,22410.0,21608.0,0.46,8.59,38.45,10.83,12.85,12022.0,59.55,25.21,19.57,34.62,25.91,23.29,1077.98,6.0,0.01,0.0,0.25
050US01073,1073,659892,307372,409088,42537,84079,41417,43127,263276,45223,42278,99146,59.08,15.02,51.92,42.69,3.8,0.24,1.55,0.03,3.57,10.26,0.23,17.0,7.3,15.11,643884,37324,302428.0,40493,42860,508234,15.5,7.35,2.01,16.73,27664.0,30657.0,0.5,8.72,16.76,16.65,10.85,136069.0,44.99,16.87,2.94,25.76,37.2,276.57,1111.38,56.0,0.05,0.0,0.18
050US01075,1075,13933,7390,7930,699,1813,867,661,4562,1065,975,2938,50.77,21.09,87.47,11.18,1.56,0.0,0.0,0.0,1.35,17.6,0.22,21.2,8.0,19.16,13745,770,5338.0,906,975,10868,24.4,7.09,0.43,5.13,21005.0,21666.0,0.46,6.28,36.55,11.97,7.66,3369.0,63.11,33.62,18.42,35.51,23.55,12.22,604.84,,,,0.28
050US01077,1077,92585,44792,56187,4736,10415,6149,7856,35164,6240,6270,17876,54.34,19.31,87.01,10.11,2.61,0.45,0.66,0.07,1.7,12.58,0.2,15.2,5.3,14.02,90376,6198,40130.0,5730,6154,74063,14.7,8.38,1.96,18.13,25519.0,27189.0,0.47,9.81,24.6,12.86,13.63,20342.0,50.69,22.32,9.12,27.71,31.52,67.05,668.01,9.0,0.01,0.0,0.2
050US01079,1079,33171,15373,20152,1855,4196,1953,1772,11699,2559,2230,5787,53.51,17.45,78.21,10.93,2.13,5.66,0.13,0.07,4.99,21.03,0.22,16.8,5.7,16.67,32939,1578,12568.0,2255,2590,25939,20.5,6.09,1.89,7.85,24749.0,23557.0,0.44,8.78,39.1,10.42,9.33,7774.0,61.86,30.74,22.49,34.52,20.9,22.26,690.68,,,,0.23
050US01081,1081,159287,68081,107346,9431,19050,13411,22407,77921,8453,8039,17739,66.8,11.14,70.3,23.02,3.68,0.14,4.13,0.01,2.39,9.53,0.21,21.4,5.7,12.79,153390,9958,72956.0,9442,9212,125085,13.2,8.0,2.32,33.72,24359.0,26960.0,0.51,16.76,20.87,11.89,11.33,31845.0,43.65,13.34,15.98,18.78,39.67,112.06,607.55,6.0,0.01,0.0,0.2
050US01083,1083,93052,36069,57917,5223,12128,6304,5103,36186,6605,5299,13723,57.53,14.75,80.75,13.4,5.89,0.92,1.26,0.03,3.64,15.74,0.23,13.7,6.9,10.93,90180,7115,39595.0,6754,7134,71640,16.3,9.94,1.62,14.68,27033.0,27699.0,0.45,7.82,28.98,9.85,11.8,19876.0,50.2,14.97,12.58,22.32,21.98,64.41,559.95,2.0,0.0,0.0,0.2
050US01085,1085,10236,5187,6078,634,1299,579,668,3596,822,667,1828,54.02,17.86,24.87,74.26,0.68,0.13,0.0,0.0,0.74,22.51,0.23,27.9,11.5,19.41,10139,366,3457.0,653,737,7906,25.0,4.63,2.88,8.49,17180.0,19491.0,0.5,6.91,29.3,14.29,12.06,2109.0,61.01,40.53,36.59,42.62,26.34,7.25,715.91,1.0,0.0,0.0,0.27
050US01087,1087,19054,10274,12101,936,1859,1858,2266,7927,1295,1323,3542,56.27,18.59,15.88,82.61,1.72,0.33,0.26,0.0,0.92,18.25,0.18,25.8,12.1,25.67,16753,1411,7289.0,990,1182,15643,17.3,9.03,2.7,11.87,17093.0,20125.0,0.51,22.18,21.16,12.4,11.18,3760.0,51.58,32.53,18.98,38.64,34.25,16.88,608.82,3.0,0.0,0.0,0.25
050US01089,1089,357560,159299,227057,20902,44167,24006,24700,141563,26834,21085,51308,57.79,14.35,68.19,24.06,4.84,0.55,2.54,0.09,4.57,8.87,0.22,13.2,5.8,8.82,348718,32614,172631.0,23828,27873,278365,13.1,11.76,1.52,16.79,31819.0,35526.0,0.47,8.78,17.23,12.34,10.8,64895.0,37.59,10.61,4.45,20.79,32.77,198.73,801.58,38.0,0.05,0.0,0.19
050US01091,1091,19538,10325,11380,969,2706,1447,893,6889,1278,1468,3690,54.07,18.89,45.32,53.83,0.59,0.26,0.0,0.0,0.58,16.21,0.23,21.8,9.7,24.77,19302,974,6563.0,1211,1327,15070,25.0,6.46,1.9,7.65,20591.0,23056.0,0.54,8.55,28.1,15.16,11.73,3638.0,55.43,34.14,24.57,36.85,28.77,10.57,976.89,3.0,0.0,0.0,0.26
050US01093,1093,29965,14867,17430,1539,3570,1897,1605,10271,2036,2074,6219,51.33,20.75,93.06,3.66,2.51,0.41,0.16,0.0,2.71,20.34,0.21,17.5,5.6,17.86,29461,1515,11980.0,2033,2223,23649,25.9,6.41,1.51,10.86,20208.0,21391.0,0.46,8.55,33.02,13.79,12.66,6878.0,57.41,29.17,22.34,33.07,24.64,20.03,742.34,3.0,0.0,0.0,0.26
050US01095,1095,95145,40630,55550,6536,13139,6167,5659,35078,5987,5980,15941,57.55,16.75,92.37,2.58,13.62,0.41,0.6,0.05,3.99,19.09,0.25,21.7,5.1,14.11,94115,6127,38997.0,6158,6326,71491,15.5,8.57,2.62,17.22,22617.0,23833.0,0.48,7.92,32.96,11.43,11.69,21810.0,55.93,17.86,14.77,23.62,29.63,71.8,565.84,5.0,0.01,0.0,0.23
050US01097,1097,414659,183164,252672,26969,54440,27066,28485,162327,28094,26496,63650,58.78,15.35,58.76,35.56,2.89,0.7,1.96,0.01,3.01,13.77,0.24,19.3,6.2,14.92,405711,27976,174229.0,25050,27633,316322,14.0,8.87,2.05,16.27,25308.0,25215.0,0.48,8.43,21.87,15.01,12.43,87752.0,50.37,21.5,7.69,28.23,35.11,148.99,1229.36,40.0,0.03,0.0,0.17
050US01099,1099,21512,11398,12532,1266,2701,1450,1339,7462,1608,1522,4060,53.13,18.87,54.92,41.5,1.4,1.61,0.56,0.0,1.42,16.33,0.23,30.9,17.5,28.51,21263,1472,6422.0,1408,1485,16592,13.8,8.87,1.5,9.39,20570.0,18890.0,0.55,9.44,29.98,13.91,14.78,3724.0,57.99,51.78,22.6,37.45,39.11,11.11,1025.66,1.0,0.0,0.0,0.25
050US01101,1101,226941,104355,141089,15315,29538,15037,17009,93564,14899,13392,32183,60.99,14.18,36.51,57.67,3.41,0.18,2.69,0.02,2.93,14.43,0.24,20.7,7.6,13.91,220029,16259,100599.0,13566,14484,173272,16.2,9.48,2.61,15.62,25626.0,28008.0,0.49,9.35,16.39,12.51,11.72,45169.0,44.9,16.91,4.15,23.38,41.42,132.89,785.3,22.0,0.03,0.0,0.18
050US01103,1103,119122,51951,71873,7059,15345,7610,6847,44091,8293,7742,19865,55.82,16.68,80.56,12.78,8.14,0.62,0.65,0.04,5.34,16.66,0.23,15.3,5.2,12.14,117257,8135,51513.0,7964,8763,91738,16.8,8.87,1.73,15.07,25215.0,25907.0,0.45,7.5,30.04,12.8,12.91,26585.0,51.61,20.1,11.11,27.59,27.86,89.67,579.39,7.0,0.01,0.0,0.19
050US01105,1105,9486,4751,5653,514,1164,1007,986,3922,625,615,1764,59.03,18.6,29.92,69.45,0.94,0.06,0.22,0.0,0.35,21.93,0.22,41.8,12.3,35.19,8683,382,2325.0,338,544,7417,25.2,5.16,2.43,6.75,16142.0,13678.0,0.48,20.65,24.56,12.9,7.87,1330.0,57.2,43.52,20.65,46.0,27.25,6.6,719.65,2.0,0.0,0.0,0.27
050US01107,1107,20298,9557,12567,1034,2183,1294,1222,7534,1545,1271,3729,52.97,18.37,55.98,41.22,4.59,0.12,0.06,0.04,2.58,19.42,0.2,23.5,10.6,21.21,18755,1316,7136.0,1438,1564,16296,24.5,8.08,1.76,4.6,19381.0,22417.0,0.5,8.0,30.69,14.36,12.35,4125.0,57.81,31.3,23.74,36.15,26.04,10.84,881.43,,,,0.27
050US01109,1109,33403,16077,21978,1861,3608,2875,5801,15987,1913,1695,4886,64.23,14.63,56.76,38.01,0.79,0.63,2.14,0.01,2.45,19.01,0.2,26.6,8.0,28.18,31491,1873,14093.0,1678,1775,26864,17.1,6.97,2.34,30.86,19016.0,21137.0,0.53,14.76,21.57,8.44,13.56,6956.0,49.36,29.96,21.99,27.93,40.72,23.92,672.06,4.0,0.01,0.0,0.26
050US01111,1111,22574,12056,13148,1290,2732,1542,1272,7856,1408,1833,4512,52.62,19.99,77.27,20.14,2.95,0.23,0.3,0.23,1.83,21.22,0.22,17.7,5.0,28.31,22085,1447,8628.0,1374,1569,17660,14.3,8.19,1.97,13.72,23169.0,23247.0,0.47,6.72,39.58,10.93,9.7,5281.0,61.21,26.15,23.49,34.96,26.59,20.77,580.55,1.0,0.0,0.0,0.25
050US01113,1113,58213,27426,36079,4258,7831,3421,3753,23529,3899,3353,7776,61.19,13.36,50.26,42.87,5.36,0.28,0.89,0.12,5.57,16.68,0.25,20.1,7.8,17.09,57639,5593,23550.0,3618,3949,43855,18.8,13.13,2.63,20.44,23681.0,22055.0,0.45,7.9,19.7,13.48,12.54,12077.0,51.28,23.37,15.55,23.32,40.19,42.78,641.15,3.0,0.0,0.0,0.2
050US01115,1115,87306,36628,53417,5241,11337,5144,4886,32709,6314,5341,13891,56.45,15.91,87.31,9.45,2.39,0.36,0.84,0.01,2.03,15.25,0.23,13.2,5.3,12.17,85106,6619,38881.0,6375,6098,67308,16.5,9.84,2.38,15.81,26955.0,24861.0,0.41,5.21,27.72,12.57,12.42,20052.0,51.57,17.39,23.95,23.9,21.06,57.99,631.6,2.0,0.0,0.0,0.24
050US01117,1117,211261,86077,130525,12500,28904,14336,12099,82532,13510,13497,30125,58.66,14.26,80.28,12.05,5.74,0.22,2.01,0.02,5.42,7.85,0.24,8.4,4.0,9.0,208272,12877,105724.0,15293,14900,160650,11.2,8.02,1.68,18.33,35756.0,36576.0,0.43,8.98,17.89,11.95,11.7,38486.0,36.4,9.26,7.98,20.73,20.33,109.6,785.37,16.0,0.02,0.0,0.21
050US01119,1119,12985,6858,8265,702,1354,1385,1686,5442,993,843,2198,57.74,16.93,24.65,71.98,0.1,0.06,2.6,0.0,0.71,15.75,0.19,31.3,12.1,26.41,12088,590,4207.0,682,771,10463,21.8,5.65,2.0,7.9,14525.0,15882.0,0.55,20.82,20.8,12.88,12.36,2329.0,55.36,34.64,30.53,34.0,35.05,7.59,903.82,1.0,0.0,0.0,0.27
050US01121,1121,80565,37669,49460,4301,9836,5044,5262,30213,5609,5803,13757,55.05,17.08,64.2,32.28,2.26,0.43,0.58,0.03,2.47,19.01,0.22,19.9,8.8,16.62,77157,5124,31082.0,5477,5569,63217,19.3,8.11,1.84,14.33,21707.0,22498.0,0.46,8.11,31.64,13.2,12.43,17479.0,56.24,22.94,23.62,33.47,28.7,51.13,736.78,3.0,0.0,0.0,0.23
050US01123,1123,40636,22310,23788,2211,4867,2712,2264,13608,3055,3146,8274,50.91,20.36,69.52,27.43,2.35,0.32,0.38,0.0,2.35,19.53,0.21,20.3,10.4,26.28,40020,2898,15083.0,2593,2882,32062,19.0,9.04,1.76,7.95,23561.0,23655.0,0.46,7.78,34.18,16.37,8.88,8476.0,56.2,22.47,18.06,34.16,27.15,31.14,716.52,2.0,0.0,0.0,0.24
050US01125,1125,206213,90576,137352,12348,23669,19497,23145,97630,11711,12103,25685,64.81,12.46,64.44,31.65,3.61,0.19,1.6,0.04,2.09,11.56,0.21,17.4,6.3,20.09,195942,10454,93450.0,11393,11674,163037,12.0,6.42,2.77,28.77,24740.0,26064.0,0.46,14.82,23.21,14.82,10.02,47878.0,51.23,16.09,9.78,22.13,36.85,68.57,1320.85,16.0,0.01,0.0,0.18
