HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP
050US51760,66.0,66.0,51.0,66.0,52.0,17.0,66.0,64.0,22.0,2.85,6.47,17.41,6.93,19.02,49.96,5.47,14.16,37.08,1.0,1.0,0.77,1.0,0.79,0.26,1.0,0.97,0.33
050US53023,0.0,0.0,0.0,0.0,,,0.0,0.0,,38.81,186.73,567.44,154.78,,,38.81,186.73,,0.0,0.0,0.0,0.0,,,0.0,0.0,
050US20003,0.0,0.0,,0.0,,,0.0,0.0,0.0,41.06,166.86,,82.24,,,46.3,153.92,452.02,0.0,0.0,,0.0,,,0.0,0.0,0.0
050US20047,0.0,0.0,,,,,0.0,,,39.24,160.61,,,,,98.75,,,0.0,0.0,,,,,0.0,,
050US20119,0.0,0.0,,,,,0.0,,,69.32,209.38,,,,,53.62,,,0.0,0.0,,,,,0.0,,
050US20157,0.0,,,,,,0.0,,,66.45,,,,,,99.54,,,0.0,,,,,,0.0,,
050US50015,6.0,2.0,2.0,0.0,0.0,,6.0,1.0,,16.61,57.2,180.52,54.4,210.8,,20.13,66.82,,0.86,0.29,0.29,0.0,0.0,,0.86,0.14,
050US40059,0.0,0.0,,,,,0.0,,,101.68,404.52,,,,,111.85,,,0.0,0.0,,,,,0.0,,
050US31063,0.0,0.0,,,,,0.0,0.0,,66.27,407.33,,,,,108.11,568.6,,0.0,0.0,,,,,0.0,0.0,
050US41029,37.0,31.0,20.0,34.0,15.0,,36.0,22.0,,9.36,26.14,71.31,19.78,61.55,,14.5,45.76,,0.9,0.76,0.49,0.83,0.37,,0.88,0.54,
050US16011,6.0,3.0,2.0,,,,3.0,0.0,,15.73,50.45,145.79,,,,35.51,147.27,,0.75,0.38,0.25,,,,0.38,0.0,
050US38069,0.0,0.0,,,,,0.0,0.0,0.0,66.1,292.76,,,,,66.1,292.76,814.96,0.0,0.0,,,,,0.0,0.0,0.0
050US39005,11.0,6.0,1.0,6.0,0.0,,11.0,6.0,1.0,11.79,37.99,112.17,31.85,117.99,,10.9,36.61,108.34,1.0,0.55,0.09,0.55,0.0,,1.0,0.55,0.09
050US17095,15.0,11.0,5.0,0.0,,,14.0,10.0,,10.61,29.23,85.04,54.34,,,13.33,37.44,,0.94,0.69,0.31,0.0,,,0.88,0.62,
050US21157,6.0,0.0,,1.0,0.0,,3.0,0.0,,23.12,95.37,,38.79,180.58,,31.39,130.07,,1.0,0.0,,0.17,0.0,,0.5,0.0,
050US40139,0.0,0.0,,,,,1.0,,,67.69,267.93,,,,,55.43,,,0.0,0.0,,,,,0.2,,
050US48137,0.0,0.0,0.0,,,,0.0,,,114.97,474.93,1422.72,,,,132.87,,,0.0,0.0,0.0,,,,0.0,,
050US48217,9.0,2.0,,0.0,,,0.0,,,21.91,84.33,,51.97,,,46.23,,,0.82,0.18,,0.0,,,0.0,,
050US48299,3.0,0.0,,0.0,,,0.0,,,33.16,143.26,,83.99,,,77.07,,,0.5,0.0,,0.0,,,0.0,,
050US18011,10.0,6.0,5.0,3.0,0.0,,10.0,3.0,3.0,9.32,25.62,72.38,37.04,160.96,,12.66,39.73,113.16,1.0,0.6,0.5,0.3,0.0,,1.0,0.3,0.3
050US20121,5.0,1.0,,0.0,,,5.0,1.0,1.0,26.4,83.78,,54.89,,,24.2,76.73,236.92,0.62,0.12,,0.0,,,0.62,0.12,0.12
050US31143,0.0,0.0,,0.0,,,0.0,0.0,,37.86,314.42,,89.06,,,35.35,309.98,,0.0,0.0,,0.0,,,0.0,0.0,
050US32005,17.0,5.0,3.0,5.0,,,11.0,4.0,,12.04,38.0,139.29,34.22,,,23.52,89.99,,1.0,0.29,0.18,0.29,,,0.65,0.24,
050US31087,0.0,,,,,,0.0,,,107.39,,,,,,97.9,,,0.0,,,,,,0.0,,
050US31117,0.0,0.0,,,,,0.0,0.0,,51.03,272.7,,,,,90.69,501.28,,0.0,0.0,,,,,0.0,0.0,
050US42109,7.0,2.0,2.0,0.0,,,2.0,1.0,,16.66,45.39,133.0,53.5,,,30.93,80.06,,0.88,0.25,0.25,0.0,,,0.25,0.12,
050US23005,65.0,56.0,46.0,50.0,,,61.0,36.0,,22.33,30.69,36.71,38.2,,,29.58,54.13,,0.97,0.84,0.69,0.75,,,0.91,0.54,
050US17035,3.0,1.0,1.0,0.0,,,0.0,0.0,,14.51,40.23,119.64,91.55,,,37.05,136.54,,1.0,0.33,0.33,0.0,,,0.0,0.0,
050US17039,5.0,2.0,,1.0,0.0,,4.0,2.0,,12.89,41.84,,36.96,165.25,,14.6,45.84,,1.0,0.4,,0.2,0.0,,0.8,0.4,
050US20041,0.0,0.0,,,,,4.0,2.0,,37.48,150.27,,,,,20.08,71.98,,0.0,0.0,,,,,0.67,0.33,
050US20137,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,1.0
050US42025,10.0,7.0,3.0,0.0,0.0,,10.0,5.0,,13.2,34.42,99.29,47.19,159.15,,18.23,51.38,,0.83,0.58,0.25,0.0,0.0,,0.83,0.42,
050US20179,0.0,0.0,,,,,0.0,0.0,,41.25,263.52,,,,,40.9,279.04,,0.0,0.0,,,,,0.0,0.0,
