HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OpRxRt,OdMortRt,OdMortRtAv
050US56019,0.0,147.22,0.0,1.0,17.94,0.5,1.0,17.94,0.5,1.0,17.94,0.5,29.6,17.4,18.1
050US55089,15.0,24.73,0.79,19.0,10.3,1.0,19.0,14.15,1.0,19.0,13.74,1.0,45.4,14.8,12.08
050US39001,6.0,11.54,1.0,5.0,21.3,0.83,6.0,16.58,1.0,6.0,16.58,1.0,32.9,54.6,41.08
050US28091,6.0,8.41,1.0,6.0,14.6,1.0,6.0,14.96,1.0,6.0,14.96,1.0,56.9,34.3,25.54
050US51045,1.0,0.0,1.0,0.0,41.42,0.0,0.0,46.91,0.0,0.0,45.41,0.0,1.5,25.5,22.16
050US51580,2.0,12.64,1.0,2.0,18.3,1.0,2.0,2.54,1.0,2.0,2.38,1.0,117.6,29.0,21.72
050US51600,5.0,13.41,1.0,5.0,12.33,1.0,5.0,3.49,1.0,5.0,11.35,1.0,58.2,22.5,13.74
050US17081,10.0,11.95,0.91,10.0,11.82,0.91,10.0,11.03,0.91,11.0,9.35,1.0,96.1,26.9,19.88
050US13035,3.0,8.23,1.0,3.0,8.23,1.0,3.0,8.23,1.0,3.0,8.23,1.0,36.8,27.6,19.08
050US27019,11.0,32.61,0.58,19.0,16.9,1.0,19.0,10.64,1.0,19.0,8.68,1.0,23.9,11.5,7.66
050US27029,0.0,164.32,0.0,3.0,15.3,1.0,0.0,45.52,0.0,0.0,45.52,0.0,57.4,18.5,15.1
050US39169,20.0,27.09,0.62,32.0,12.94,1.0,32.0,9.04,1.0,32.0,12.26,1.0,24.6,24.7,17.86
050US42001,22.0,14.8,0.96,22.0,15.23,0.96,22.0,13.05,0.96,22.0,12.48,0.96,23.2,22.4,16.22
050US28095,7.0,21.03,0.78,9.0,12.18,1.0,6.0,22.57,0.67,2.0,38.87,0.22,39.3,11.8,12.14
050US47133,6.0,17.53,0.86,6.0,17.82,0.86,6.0,15.47,0.86,6.0,20.17,0.86,67.8,35.2,31.78
050US49041,4.0,16.26,0.8,4.0,15.94,0.8,4.0,16.26,0.8,1.0,36.9,0.2,72.7,28.0,26.46
050US26043,0.0,75.43,0.0,5.0,14.35,0.71,5.0,16.53,0.71,5.0,15.03,0.71,43.1,26.8,20.56
050US26057,10.0,7.22,1.0,10.0,14.43,1.0,9.0,15.37,0.9,6.0,29.26,0.6,32.3,13.0,13.34
050US26067,8.0,26.1,0.62,13.0,16.72,1.0,12.0,11.99,0.92,12.0,15.96,0.92,33.3,19.5,15.88
050US36069,24.0,13.57,0.96,23.0,10.87,0.92,24.0,12.18,0.96,24.0,10.41,0.96,36.5,15.0,14.76
050US28105,8.0,7.46,1.0,8.0,9.31,1.0,8.0,13.17,1.0,6.0,28.12,0.75,69.5,5.3,9.06
050US31039,3.0,13.31,1.0,3.0,13.31,1.0,0.0,45.08,0.0,1.0,37.52,0.33,10.0,7.9,10.02
050US13193,3.0,14.49,0.75,3.0,21.1,0.75,1.0,34.87,0.25,1.0,39.1,0.25,25.6,9.9,13.54
050US16001,59.0,6.38,1.0,59.0,7.34,1.0,59.0,5.87,1.0,59.0,6.44,1.0,54.9,18.6,15.2
050US26087,19.0,19.49,0.79,18.0,22.77,0.75,18.0,20.62,0.75,19.0,19.0,0.79,31.1,22.3,18.44
050US26091,22.0,14.99,0.96,21.0,14.54,0.91,22.0,14.2,0.96,22.0,13.27,0.96,38.9,23.5,19.08
050US21127,4.0,20.38,0.8,4.0,20.38,0.8,4.0,20.38,0.8,4.0,20.38,0.8,44.5,46.4,40.32
050US13293,7.0,11.32,1.0,7.0,10.5,1.0,7.0,10.5,1.0,0.0,40.15,0.0,90.5,19.8,15.3
050US17133,5.0,25.12,0.83,5.0,24.72,0.83,6.0,15.65,1.0,6.0,15.65,1.0,21.7,17.9,18.5
050US47043,5.0,33.84,0.5,9.0,16.18,0.9,8.0,19.63,0.8,9.0,11.72,0.9,61.4,52.3,29.14
050US54097,6.0,1.97,1.0,6.0,9.8,1.0,6.0,7.82,1.0,6.0,9.8,1.0,13.2,26.1,20.48
050US45023,10.0,15.31,0.91,9.0,19.5,0.82,8.0,20.44,0.73,10.0,15.31,0.91,38.3,25.4,16.12
050US50007,32.0,10.79,0.91,32.0,16.29,0.91,32.0,11.47,0.91,32.0,12.47,0.91,41.6,21.6,15.84
050US31113,0.0,125.21,0.0,0.0,39.29,0.0,0.0,36.26,0.0,0.0,36.26,0.0,-9.0,8.1,11.56
050US42009,6.0,20.71,0.55,4.0,30.7,0.36,5.0,25.65,0.45,3.0,31.31,0.27,19.5,35.4,23.86
050US18079,2.0,31.29,0.33,6.0,12.84,1.0,6.0,10.52,1.0,6.0,10.52,1.0,21.5,36.2,31.02
050US17181,5.0,13.59,1.0,5.0,13.59,1.0,5.0,13.59,1.0,5.0,8.87,1.0,69.2,23.1,20.46
050US17191,4.0,17.62,0.8,4.0,17.62,0.8,0.0,48.83,0.0,4.0,17.62,0.8,56.2,13.2,19.1
050US17195,17.0,11.62,0.94,17.0,9.94,0.94,16.0,13.59,0.89,18.0,9.02,1.0,35.0,15.1,13.48
050US42053,1.0,35.47,0.33,0.0,43.36,0.0,1.0,25.01,0.33,3.0,8.15,1.0,2.8,19.0,19.68
050US48149,5.0,21.25,0.71,5.0,19.7,0.71,0.0,67.9,0.0,5.0,21.25,0.71,63.2,10.6,11.16
050US48155,0.0,103.05,0.0,0.0,34.72,0.0,0.0,34.72,0.0,0.0,34.72,0.0,51.7,17.5,19.58
050US48183,25.0,5.88,1.0,25.0,6.34,1.0,25.0,10.29,1.0,25.0,6.59,1.0,105.0,12.0,10.72
050US50011,10.0,6.24,1.0,7.0,21.23,0.7,7.0,21.97,0.7,7.0,22.02,0.7,32.4,19.5,19.04
050US26005,18.0,22.18,0.72,21.0,15.8,0.88,19.0,22.74,0.76,22.0,15.68,0.88,13.5,17.0,14.06
050US18093,1.0,37.95,0.1,10.0,12.06,1.0,10.0,13.11,1.0,10.0,12.13,1.0,34.7,24.5,17.88
050US05047,2.0,35.01,0.67,2.0,23.31,0.67,2.0,23.31,0.67,2.0,23.31,0.67,40.2,23.5,21.7
050US13055,6.0,12.09,1.0,0.0,37.78,0.0,3.0,27.35,0.5,6.0,12.09,1.0,29.5,32.0,22.6
050US05137,2.0,18.46,0.67,2.0,18.46,0.67,2.0,18.46,0.67,2.0,18.46,0.67,71.4,17.1,17.82
050US08061,0.0,35.58,0.0,1.0,0.0,1.0,0.0,60.46,0.0,0.0,65.64,0.0,25.4,16.6,18.62
050US08075,5.0,17.24,0.83,5.0,12.84,0.83,5.0,12.38,0.83,5.0,11.6,0.83,30.2,22.1,17.08
050US48189,8.0,12.9,0.89,8.0,13.49,0.89,7.0,12.3,0.78,8.0,11.52,0.89,29.2,10.4,12.52
050US40007,0.0,51.29,0.0,3.0,15.97,1.0,0.0,46.18,0.0,1.0,48.02,0.33,6.9,15.0,16.7
050US13321,4.0,27.19,0.8,4.0,21.7,0.8,2.0,33.11,0.4,2.0,32.92,0.4,30.5,14.4,13.4
050US17109,0.0,53.16,0.0,9.0,13.22,0.9,9.0,13.22,0.9,10.0,10.21,1.0,49.4,9.5,13.12
050US17113,36.0,13.31,0.88,38.0,11.82,0.93,38.0,11.16,0.93,38.0,11.55,0.93,50.9,14.7,16.32
050US26025,36.0,9.5,0.92,37.0,12.98,0.95,39.0,8.99,1.0,36.0,12.84,0.92,63.6,43.4,30.98
050US13101,2.0,13.12,1.0,0.0,42.7,0.0,0.0,37.04,0.0,0.0,42.64,0.0,-9.0,14.9,16.46
050US17099,9.0,39.59,0.32,27.0,15.78,0.96,21.0,15.83,0.75,26.0,14.79,0.93,28.7,28.6,26.36
050US17103,8.0,23.09,0.89,9.0,12.71,1.0,9.0,12.21,1.0,9.0,11.11,1.0,23.4,21.1,16.5
050US17105,0.0,57.42,0.0,7.0,21.02,0.7,6.0,24.43,0.6,7.0,21.04,0.7,44.0,31.9,21.9
050US51197,0.0,42.25,0.0,5.0,19.21,0.83,5.0,19.21,0.83,5.0,19.21,0.83,51.9,29.4,27.26
050US37179,40.0,19.36,0.98,41.0,16.17,1.0,40.0,18.15,0.98,41.0,12.52,1.0,22.9,17.0,13.26
050US17123,0.0,49.67,0.0,0.0,39.2,0.0,0.0,39.39,0.0,0.0,39.61,0.0,20.8,21.3,17.42
050US13109,3.0,12.69,1.0,3.0,10.05,1.0,2.0,26.45,0.67,2.0,26.45,0.67,43.9,10.8,13.04
050US48397,11.0,22.17,1.0,11.0,7.57,1.0,11.0,23.04,1.0,11.0,24.43,1.0,42.2,13.0,10.34
050US18155,1.0,37.97,0.33,0.0,47.5,0.0,1.0,21.62,0.33,1.0,21.62,0.33,5.5,36.3,31.18
050US37025,37.0,13.59,1.0,37.0,14.22,1.0,37.0,12.5,1.0,37.0,11.84,1.0,48.7,31.6,22.08
050US37035,31.0,6.2,1.0,31.0,12.83,1.0,30.0,13.79,0.97,31.0,10.29,1.0,104.6,25.0,23.04
050US13211,4.0,27.04,0.8,5.0,12.56,1.0,5.0,12.56,1.0,3.0,29.6,0.6,22.2,16.2,14.2
050US40105,4.0,7.56,1.0,4.0,7.56,1.0,4.0,10.7,1.0,4.0,7.56,1.0,37.1,19.5,20.62
050US40111,9.0,16.43,0.9,10.0,7.29,1.0,10.0,12.65,1.0,10.0,9.12,1.0,14.7,25.1,25.58
050US26031,8.0,19.89,0.89,1.0,39.74,0.12,6.0,38.23,0.67,6.0,32.46,0.67,51.6,20.8,17.72
050US54089,4.0,0.0,1.0,2.0,23.37,0.5,4.0,18.85,1.0,4.0,18.58,1.0,54.7,100.4,44.28
050US51115,3.0,10.9,1.0,1.0,27.98,0.5,0.0,39.38,0.0,0.0,39.38,0.0,3.4,18.7,16.52
050US51169,4.0,20.08,0.67,3.0,27.36,0.5,5.0,20.34,0.83,5.0,20.34,0.83,142.9,31.6,25.14
050US17083,2.0,32.4,0.33,5.0,19.53,0.83,3.0,31.35,0.5,2.0,33.2,0.33,68.3,30.8,26.78
050US39071,9.0,7.97,1.0,9.0,13.1,1.0,9.0,17.88,1.0,9.0,12.06,1.0,32.2,36.6,34.86
050US39079,7.0,10.91,1.0,6.0,14.22,0.86,6.0,14.22,0.86,6.0,14.22,0.86,28.6,48.6,32.7
050US48267,2.0,3.78,1.0,2.0,3.81,1.0,,,,0.0,48.84,0.0,18.9,14.5,13.3
050US28117,4.0,17.73,0.8,4.0,17.73,0.8,4.0,14.13,0.8,2.0,24.23,0.4,38.8,19.5,16.1
050US28125,2.0,5.29,1.0,2.0,5.26,1.0,2.0,5.26,1.0,2.0,5.26,1.0,5.7,9.8,11.86
050US29135,4.0,15.11,1.0,0.0,37.66,0.0,1.0,33.96,0.25,1.0,34.81,0.25,10.2,10.8,18.72
050US48271,1.0,0.0,1.0,0.0,39.33,0.0,0.0,39.33,0.0,0.0,56.58,0.0,1.6,7.5,10.38
050US51650,34.0,9.06,1.0,33.0,7.18,1.0,34.0,5.84,1.0,34.0,6.94,1.0,27.2,29.5,19.04
050US37143,2.0,30.4,0.67,2.0,27.14,0.67,0.0,68.85,0.0,2.0,24.3,0.67,15.6,29.4,18.52
050US29221,4.0,6.5,0.8,2.0,26.95,0.4,0.0,50.61,0.0,3.0,18.75,0.6,11.1,49.3,30.32
050US39069,6.0,14.21,0.86,6.0,15.33,0.86,6.0,15.33,0.86,6.0,15.33,0.86,13.8,19.0,17.22
050US29075,2.0,0.0,1.0,1.0,15.84,0.5,0.0,44.72,0.0,0.0,55.55,0.0,32.1,14.6,16.28
050US29079,0.0,36.96,0.0,4.0,9.2,1.0,4.0,4.26,1.0,4.0,9.2,1.0,34.8,16.9,18.1
050US29165,18.0,14.06,0.9,20.0,11.61,1.0,19.0,13.18,0.95,18.0,17.55,0.9,37.1,17.5,13.24
050US17111,52.0,14.53,1.0,52.0,14.61,1.0,52.0,12.51,1.0,52.0,9.37,1.0,27.6,22.3,17.84
050US30107,0.0,88.77,0.0,1.0,0.0,1.0,0.0,79.11,0.0,0.0,88.77,0.0,3.7,17.0,16.32
050US46047,0.0,74.98,0.0,2.0,10.24,1.0,2.0,10.24,1.0,2.0,10.24,1.0,38.7,22.8,18.26
050US37191,26.0,7.94,1.0,26.0,14.27,1.0,26.0,12.67,1.0,26.0,8.77,1.0,40.5,24.8,17.48
050US38001,0.0,80.9,0.0,1.0,0.0,1.0,0.0,80.9,0.0,0.0,119.91,0.0,99.1,8.7,12.12
050US29225,8.0,11.94,1.0,1.0,35.61,0.12,6.0,22.22,0.75,7.0,20.54,0.88,45.8,22.0,22.88
050US36085,111.0,7.93,1.0,109.0,7.2,1.0,111.0,5.69,1.0,111.0,4.34,1.0,26.6,29.5,23.3
050US28059,29.0,10.73,1.0,25.0,12.17,0.89,26.0,11.89,0.9,27.0,13.87,0.93,66.2,49.9,22.04
050US29093,4.0,1.45,1.0,2.0,19.67,0.5,0.0,42.3,0.0,2.0,19.8,0.5,9.2,37.8,30.46
050US56037,10.0,21.95,0.83,10.0,20.93,0.83,11.0,18.41,0.92,8.0,22.42,0.67,70.0,31.9,20.84
050US54079,10.0,7.72,1.0,8.0,15.73,0.8,10.0,13.36,1.0,10.0,15.22,1.0,49.4,47.8,36.64
050US39089,12.0,29.07,0.38,32.0,14.51,1.0,31.0,9.86,0.97,31.0,9.07,0.97,21.2,31.5,21.1
050US45085,22.0,11.02,0.96,22.0,12.25,0.96,22.0,12.38,0.96,22.0,11.61,0.96,45.6,23.1,13.42
050US46007,2.0,11.88,1.0,2.0,11.88,1.0,0.0,96.94,0.0,2.0,11.88,1.0,4.0,8.7,12.3
050US18089,118.0,6.67,1.0,117.0,7.99,1.0,118.0,7.65,1.0,118.0,6.17,1.0,62.0,33.1,23.16
050US18107,9.0,12.09,1.0,9.0,13.41,1.0,9.0,11.17,1.0,9.0,11.94,1.0,23.7,30.8,22.84
050US18161,2.0,9.73,1.0,2.0,20.88,1.0,2.0,19.07,1.0,2.0,19.45,1.0,26.5,42.0,38.0
050US19021,4.0,18.17,0.67,4.0,18.17,0.67,4.0,16.64,0.67,4.0,16.64,0.67,28.1,7.4,11.36
050US36117,22.0,16.45,0.96,15.0,25.69,0.65,20.0,17.42,0.87,16.0,23.88,0.7,13.7,18.3,12.58
050US48177,4.0,17.79,0.67,4.0,17.82,0.67,4.0,18.3,0.67,0.0,46.58,0.0,13.7,15.8,11.64
050US48191,0.0,80.96,0.0,0.0,54.21,0.0,0.0,50.4,0.0,0.0,56.58,0.0,15.9,13.2,16.82
050US48219,6.0,15.39,0.86,6.0,13.93,0.86,5.0,16.81,0.71,1.0,36.86,0.14,27.7,13.2,15.22
050US12005,43.0,13.1,0.98,40.0,14.1,0.93,43.0,11.01,0.98,43.0,8.68,0.98,69.2,32.2,22.7
050US48257,17.0,19.07,0.94,18.0,13.35,1.0,18.0,10.85,1.0,18.0,12.51,1.0,20.7,13.3,13.7
050US31021,1.0,34.38,0.33,3.0,14.0,1.0,2.0,30.81,0.67,1.0,34.35,0.33,18.7,9.5,11.26
050US36011,20.0,6.37,1.0,15.0,16.24,0.79,17.0,13.73,0.85,16.0,14.74,0.8,24.3,33.8,16.76
050US31141,7.0,7.96,1.0,7.0,8.93,1.0,7.0,5.9,1.0,7.0,6.31,1.0,27.0,6.5,9.6
050US31145,0.0,92.52,0.0,3.0,6.34,1.0,3.0,7.08,1.0,3.0,7.08,1.0,45.3,12.1,13.36
050US31149,0.0,59.63,0.0,1.0,0.0,1.0,0.0,30.69,0.0,0.0,39.65,0.0,10.2,7.9,10.74
050US48247,2.0,9.8,1.0,0.0,86.66,0.0,2.0,9.8,1.0,0.0,87.34,0.0,-9.0,10.5,10.52
050US48021,10.0,11.9,1.0,7.0,25.06,0.7,1.0,42.33,0.1,9.0,13.26,0.9,13.3,17.1,11.54
050US29111,2.0,31.58,0.5,2.0,32.87,0.5,2.0,35.16,0.5,2.0,21.56,0.5,55.0,15.1,16.98
050US53001,3.0,21.99,0.6,4.0,7.9,0.8,3.0,22.9,0.6,3.0,22.9,0.6,16.3,10.5,14.3
050US53063,102.0,8.05,0.97,100.0,10.24,0.95,100.0,7.9,0.95,102.0,7.29,0.97,58.8,20.8,18.86
050US40153,0.0,89.09,0.0,5.0,7.32,1.0,5.0,2.61,1.0,5.0,4.74,1.0,38.5,16.3,19.06
050US17139,3.0,18.51,0.75,2.0,32.62,0.5,4.0,13.27,1.0,2.0,30.9,0.5,7.2,10.9,15.16
050US55091,0.0,46.58,0.0,1.0,17.4,0.5,0.0,36.22,0.0,0.0,46.46,0.0,26.0,10.6,10.6
050US37033,5.0,16.49,0.83,3.0,27.32,0.5,5.0,24.18,0.83,4.0,27.26,0.67,3.5,27.5,18.04
050US37185,5.0,19.51,0.83,1.0,40.34,0.17,3.0,35.98,0.5,4.0,16.71,0.67,2.6,22.5,16.0
050US37187,3.0,15.2,1.0,2.0,16.71,0.67,0.0,48.65,0.0,2.0,16.71,0.67,29.1,16.2,17.86
050US33005,2.0,36.96,0.12,13.0,19.81,0.81,16.0,15.55,1.0,16.0,13.45,1.0,26.8,25.3,24.1
050US35001,153.0,7.04,1.0,149.0,9.07,0.97,152.0,7.47,0.99,152.0,5.53,0.99,52.0,52.8,30.62
050US28107,5.0,19.25,0.83,3.0,25.51,0.5,6.0,14.54,1.0,5.0,21.38,0.83,23.2,15.1,14.98
050US36027,78.0,13.11,0.99,73.0,15.83,0.92,79.0,9.93,1.0,77.0,14.38,0.97,32.4,40.2,24.14
050US17193,5.0,14.0,1.0,0.0,34.76,0.0,5.0,14.0,1.0,5.0,14.0,1.0,29.1,19.0,23.74
