HEROP_ID,Age15_24P,ForDqP,ForDqTot,TotPcp,TotSp
140US01039962700,15.39,10.1,24.0,0.0,0.0
140US01039962800,13.17,5.8,8.0,0.0,0.0
140US01039962900,7.51,12.0,17.0,14.0,25.0
140US01039963000,8.3,10.4,28.0,2.0,0.0
140US01041963400,9.85,14.8,27.0,0.0,0.0
140US01041963500,13.23,15.5,26.0,0.0,0.0
140US01041963600,8.31,14.3,30.0,0.0,0.0
140US01041963700,13.05,9.7,32.0,2.0,2.0
140US01041963800,12.91,10.4,13.0,0.0,0.0
140US01041963900,13.21,8.3,9.0,0.0,0.0
140US01043964100,10.86,12.7,69.0,0.0,0.0
140US01043964200,6.97,11.7,95.0,17.0,44.0
140US01043964300,11.31,10.7,64.0,0.0,0.0
140US01043964400,12.01,12.6,66.0,0.0,0.0
140US01043964500,10.64,13.6,55.0,0.0,0.0
140US01043964600,13.08,11.5,45.0,0.0,0.0
140US01043964700,12.52,8.6,46.0,0.0,0.0
140US01043964800,12.58,9.6,55.0,0.0,1.0
140US01043964900,13.88,9.0,76.0,12.0,9.0
140US01043965000,15.64,7.7,52.0,11.0,19.0
140US01043965100,13.66,10.0,40.0,0.0,0.0
140US01043965200,11.72,10.5,26.0,3.0,4.0
140US01043965300,8.51,12.6,55.0,0.0,0.0
140US01043965401,17.66,,,0.0,0.0
140US01043965402,11.99,,,0.0,0.0
140US01043965500,10.85,10.6,75.0,2.0,0.0
140US01043965600,9.67,7.2,36.0,0.0,1.0
140US01043965700,12.46,10.2,31.0,0.0,0.0
140US01045020000,23.24,,,1.0,1.0
140US01045020100,11.12,9.6,36.0,0.0,0.0
140US01045020200,10.3,9.0,17.0,0.0,0.0
140US01045020300,11.43,7.9,22.0,0.0,0.0
140US01045020400,11.68,7.0,24.0,0.0,0.0
140US01045020500,10.11,7.3,17.0,6.0,4.0
140US01045020700,10.8,10.0,39.0,2.0,5.0
140US01045020801,14.65,,,0.0,0.0
140US01045020802,9.71,,,3.0,2.0
140US01045021101,14.64,5.4,25.0,0.0,0.0
140US01045021102,9.76,6.1,28.0,0.0,0.0
140US01045021200,14.38,7.2,23.0,0.0,2.0
140US01045021300,11.86,6.6,33.0,0.0,0.0
140US01045021400,10.46,8.0,40.0,1.0,0.0
140US01047956100,13.38,,,1.0,0.0
140US01047956201,7.99,,,1.0,0.0
140US01047956202,12.1,,,0.0,0.0
140US01047956300,13.82,,,1.0,4.0
140US01047956400,21.87,,,0.0,1.0
140US01047956500,12.7,,,0.0,0.0
140US01047956600,18.34,,,4.0,3.0
140US01047956701,9.8,,,0.0,0.0
140US01047956702,8.6,,,3.0,2.0
140US01047956800,18.06,,,17.0,20.0
140US01047956900,12.63,,,0.0,0.0
140US01047957000,19.79,,,0.0,0.0
140US01047957100,6.44,,,0.0,0.0
140US01047957200,4.82,,,0.0,0.0
140US01047957300,13.74,,,0.0,0.0
140US01049960100,11.6,11.5,52.0,0.0,0.0
140US01049960200,10.63,9.7,30.0,2.0,0.0
140US01049960300,11.84,8.8,55.0,0.0,0.0
140US01049960400,14.48,7.5,41.0,3.0,4.0
140US01049960500,13.69,10.3,38.0,0.0,0.0
140US01049960600,9.82,13.2,68.0,0.0,0.0
140US01049960700,16.52,10.9,55.0,0.0,0.0
140US01049960800,13.83,13.3,33.0,1.0,0.0
140US01049960900,8.64,10.7,46.0,4.0,3.0
140US01049961000,12.72,10.0,48.0,1.0,0.0
140US01049961100,15.99,7.4,27.0,9.0,8.0
140US01049961200,10.85,5.9,22.0,1.0,0.0
140US01049961300,11.65,7.8,33.0,0.0,0.0
140US01049961400,10.74,7.5,31.0,0.0,2.0
140US01051030100,11.0,8.1,77.0,0.0,0.0
140US01051030200,13.84,8.1,50.0,0.0,0.0
140US01051030300,9.96,4.4,34.0,0.0,0.0
140US01051030400,8.75,8.4,76.0,10.0,16.0
140US01051030500,11.18,9.5,53.0,1.0,0.0
140US01051030600,8.31,7.1,52.0,2.0,2.0
140US01051030701,10.87,,,0.0,0.0
