HEROP_ID,RxMinDis,RxTmDr,RxCntDr,NoIntP
140US01079979900,12.72,23.78,6,29.46
140US01019956100,13.54,18.79,5,26.48
140US01021060102,1.62,0.0,10,31.51
140US01021060401,1.03,0.0,16,21.71
140US01051030100,2.17,0.0,8,15.63
140US01117030605,1.23,0.0,35,6.04
140US01069040600,0.67,3.08,41,44.01
140US01101005901,9.0,0.0,58,31.29
140US01103000600,0.65,5.31,54,32.5
140US01101005409,1.1,3.22,69,2.79
140US01073011706,4.19,20.69,32,14.8
140US01073012704,4.88,7.11,120,10.56
140US01113030300,0.86,2.13,62,30.93
140US01095030202,6.42,0.0,7,14.42
140US01097006403,1.96,6.36,86,8.74
140US01097006501,3.24,13.43,52,12.68
140US01097007101,1.67,7.93,87,22.26
140US01103005200,8.02,16.18,8,21.49
140US01103005301,1.89,0.0,20,13.25
140US01103005304,0.54,0.0,51,12.15
140US01021060500,2.04,0.0,8,27.83
140US01025957601,11.66,33.38,0,39.21
140US01073010701,0.33,0.0,215,7.18
140US01029959800,10.08,27.79,2,32.69
140US01119011400,21.88,35.05,0,36.24
140US01121010500,1.82,7.65,6,27.25
140US01027959100,8.63,24.23,4,18.61
140US01103005107,4.16,10.17,39,8.12
140US01105687100,8.73,0.0,1,47.44
140US01069040100,7.79,0.0,42,13.55
140US01069040700,0.74,5.19,40,24.46
140US01069040900,1.65,0.0,38,20.24
140US01103005103,2.52,9.68,34,13.26
140US01103005105,3.2,7.45,33,10.16
140US01103005106,1.56,6.65,41,19.43
140US01019955701,0.92,0.0,8,17.59
140US01071951100,2.58,0.0,17,28.26
140US01081041100,1.47,0.0,32,19.74
140US01073003802,1.69,5.05,178,33.63
140US01073004000,0.49,0.0,192,47.52
140US01073004902,0.32,0.0,212,11.84
140US01073005200,1.63,4.42,188,28.19
140US01043965402,3.16,0.0,20,26.82
140US01077011801,7.46,17.56,4,31.97
140US01079979100,9.28,12.33,34,47.66
140US01097007201,4.84,16.44,16,31.99
140US01099075700,17.08,36.85,0,62.6
140US01121011200,9.15,25.37,6,20.46
140US01049960300,3.12,0.0,19,22.4
140US01087231601,8.46,16.14,9,19.89
140US01073013901,1.49,0.0,130,22.26
140US01069042100,8.53,15.86,35,26.63
140US01097001200,1.01,0.0,103,48.85
140US01073011302,3.12,0.0,22,12.77
140US01041963500,20.09,35.86,0,33.33
140US01001020900,5.34,0.0,12,25.53
140US01003010200,7.66,12.47,8,23.27
140US01117030703,1.75,0.0,7,23.13
140US01045020400,2.31,6.99,5,20.04
140US01045020700,0.55,0.0,9,29.02
140US01113030800,2.7,7.43,60,41.42
140US01097001501,1.09,4.84,106,59.62
140US01097001800,1.2,7.33,75,27.98
140US01097002000,2.55,15.24,67,21.15
140US01097002100,1.66,6.76,104,35.5
140US01097002400,0.43,0.0,106,41.26
140US01097002600,0.9,0.0,108,37.36
140US01097003100,0.42,0.0,94,15.87
140US01097003301,0.36,0.0,94,19.03
140US01097003406,1.07,0.0,94,10.89
140US01097003408,1.11,0.0,95,15.4
140US01073002400,1.09,0.0,216,22.01
140US01073010001,1.72,4.46,108,28.43
140US01073010603,0.77,3.67,161,24.28
140US01073010705,0.62,3.65,210,4.06
140US01089002921,1.23,3.83,59,12.52
140US01089010501,2.38,0.0,66,8.51
140US01117030405,1.51,0.0,21,31.85
140US01109189300,2.66,0.0,6,40.81
140US01111000200,10.05,31.16,0,29.05
140US01079979200,4.1,0.0,27,35.38
140US01069041800,10.19,25.63,5,42.72
140US01031010700,11.35,25.68,5,22.69
140US01113031000,9.05,21.95,25,22.97
140US01043965700,10.97,15.71,4,15.92
140US01073005909,2.26,8.75,115,15.2
140US01045021200,4.85,6.53,26,13.61
140US01047956500,1.37,3.93,13,41.05
140US01047956800,0.53,0.0,13,22.54
140US01055010700,6.8,29.44,1,15.77
140US01055011001,5.88,16.42,23,14.54
140US01015002101,2.18,5.64,21,26.09
140US01097005700,6.8,15.64,12,19.29
140US01097006103,1.84,0.0,88,25.48
140US01127020200,1.85,0.0,23,18.85
140US01073014104,2.47,0.0,87,27.69
140US01073014409,0.57,0.0,200,11.03
140US01077011604,4.99,0.0,43,13.11
140US01033020703,0.26,0.0,48,14.76
140US01033020801,6.25,22.71,34,29.32
140US01001020802,6.24,17.04,16,14.93
140US01077010200,0.71,0.0,48,29.84
140US01041963800,14.8,38.13,0,34.09
140US01071950900,1.77,0.0,12,17.24
140US01043964300,5.78,17.04,20,10.28
140US01121011400,4.0,13.07,13,25.11
140US01121011900,0.39,0.0,13,24.03
140US01051030600,1.8,0.0,15,29.29
140US01089002000,0.51,0.0,91,6.85
140US01089002501,0.61,0.0,87,19.37
140US01001020200,1.6,7.42,39,30.38
140US01001020400,0.78,0.0,51,13.79
140US01079979600,3.11,0.0,33,24.39
140US01073010802,0.85,0.0,216,7.75
140US01073011001,0.79,0.0,123,11.97
140US01073011109,3.22,0.0,72,10.2
140US01073011111,1.96,0.0,67,5.14
140US01087231700,1.5,3.7,11,19.05
140US01041963400,13.81,36.0,0,28.7
140US01121010202,2.15,0.0,31,14.71
140US01089002722,1.15,3.56,65,4.84
140US01093964000,6.15,23.32,9,35.04
140US01099076000,3.15,0.0,4,43.42
140US01055010402,3.69,0.0,30,7.76
140US01073011704,3.41,12.11,54,13.47
140US01065040200,8.14,17.02,2,37.09
140US01073011904,0.92,0.0,143,24.37
140US01073012103,2.53,13.29,97,19.03
140US01057020000,9.93,19.66,3,45.15
140US01059973200,2.13,9.29,8,33.44
140US01059973400,7.52,0.0,3,37.21
140US01081041700,2.78,0.0,37,9.07
140US01127020800,5.88,0.0,19,22.99
140US01073005800,0.52,0.0,212,6.59
140US01073005905,0.73,5.63,131,19.25
140US01083020201,4.33,10.6,16,17.76
140US01051031200,3.69,11.44,26,27.33
140US01075030100,0.84,0.0,7,31.45
140US01077010100,0.85,0.0,48,29.31
