HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,SomeCollegeP,ChildrenP
050US01021,1021,30612,12702,13115.0,17.12,67.2,12.98,88.01,11.87,0.55,0.03,0.07,0.0,0.03,19.85,9.34,15.43,73.7,69.91,64.91,42.84,26942.0,3633.0,48.51,51.49,94.21,90.44,70.85,167.0,0.55,9.0,20.0,0.0,31.11,53.97,8.47,30.09
050US01023,1023,16839,5988,6946.0,17.4,69.17,12.54,56.36,43.46,0.97,0.04,0.06,0.0,0.08,31.47,8.01,9.74,69.84,65.5,60.56,41.25,9490.0,7319.0,48.17,51.83,92.95,87.9,77.1,164.0,0.97,7.0,10.0,0.0,29.27,55.34,8.44,34.5
050US01025,1025,27702,9909,11632.0,17.9,69.63,12.83,57.06,42.69,1.11,0.15,0.05,0.01,0.04,26.37,7.99,10.02,70.21,65.75,60.53,41.99,15806.0,11827.0,48.22,51.78,93.14,88.43,73.58,307.0,1.11,42.0,13.0,3.0,30.48,50.59,10.02,34.25
050US01027,1027,13703,5320,5597.0,16.77,65.31,15.16,83.37,16.55,0.69,0.03,0.03,0.0,0.02,21.02,6.14,10.39,73.41,69.57,64.45,40.85,11424.0,2268.0,48.33,51.67,93.55,88.03,73.46,94.0,0.69,4.0,4.0,0.0,32.08,53.41,8.57,30.43
050US01029,1029,12595,4778,5466.0,17.17,67.35,12.65,94.68,5.14,0.56,0.03,0.1,0.0,0.06,16.68,6.1,8.48,74.08,70.19,65.25,43.4,11925.0,647.0,49.09,50.91,96.43,91.59,72.03,71.0,0.56,4.0,12.0,0.0,27.35,61.66,5.19,29.81
050US01031,1031,38533,14559,17312.0,17.37,68.76,11.36,82.1,16.95,0.91,0.17,0.43,0.01,0.33,16.32,6.61,7.75,74.2,70.16,65.15,44.93,31636.0,6532.0,48.74,51.26,95.07,89.19,67.14,349.0,0.91,67.0,165.0,4.0,29.53,43.38,14.9,29.84
050US01033,1033,54519,20662,24365.0,17.91,67.68,11.21,82.92,16.78,0.51,0.12,0.11,0.01,0.06,14.53,9.5,7.17,75.07,70.97,65.79,44.69,45209.0,9146.0,48.14,51.86,92.83,88.04,68.4,280.0,0.51,68.0,60.0,3.0,34.78,44.15,11.65,29.03
050US01035,1035,15884,5963,6299.0,17.69,65.08,15.87,58.62,41.14,1.23,0.16,0.03,0.04,0.01,29.41,7.29,8.5,72.46,68.48,62.99,39.66,9311.0,6534.0,47.61,52.39,90.87,86.15,68.97,195.0,1.23,26.0,5.0,6.0,28.43,57.51,7.9,31.52
050US01037,1037,11377,4303,4559.0,16.97,64.68,13.71,65.14,34.72,0.99,0.07,0.0,0.01,0.06,24.68,5.15,9.39,73.37,69.56,64.66,40.07,7411.0,3950.0,48.94,51.06,95.85,92.74,79.31,113.0,0.99,8.0,0.0,1.0,31.6,56.88,7.96,30.44
050US01039,1039,36850,15043,14620.0,16.13,61.35,16.24,86.62,13.12,0.7,0.09,0.12,0.0,0.05,19.92,6.79,8.62,76.53,72.89,67.98,39.67,31918.0,4835.0,47.28,52.72,89.68,84.69,64.29,258.0,0.7,35.0,43.0,1.0,27.93,55.73,9.2,27.11
050US01041,1041,14110,5488,5463.0,16.22,62.45,16.71,73.51,26.17,0.91,0.18,0.05,0.03,0.06,29.82,6.03,8.45,74.27,70.65,65.68,38.72,10372.0,3693.0,47.55,52.45,90.65,84.41,65.71,128.0,0.91,25.0,7.0,4.0,24.34,62.38,6.48,29.35
050US01043,1043,61642,23507,26539.0,17.01,66.36,12.62,98.84,0.86,0.5,0.12,0.11,0.02,0.06,17.48,8.06,7.44,74.75,70.9,65.92,43.05,60928.0,528.0,48.74,51.26,95.09,91.47,74.32,310.0,0.5,71.0,66.0,13.0,30.87,53.38,8.49,29.1
050US01045,1045,47821,16499,24574.0,22.48,76.93,7.86,81.02,16.37,2.24,0.41,0.97,0.14,1.09,16.49,8.92,8.07,72.87,69.25,62.17,51.39,38744.0,7828.0,51.89,48.11,107.84,108.79,66.09,1073.0,2.24,198.0,466.0,65.0,34.45,35.1,18.81,30.75
050US01047,1047,53981,19223,22992.0,19.25,70.02,12.37,44.84,54.63,1.1,0.07,0.06,0.03,0.37,32.29,9.4,8.5,70.32,65.71,59.9,42.59,24205.0,29488.0,46.5,53.5,86.91,79.64,59.86,594.0,1.1,37.0,33.0,18.0,29.79,46.49,12.4,34.29
050US01049,1049,53658,20605,22783.0,16.5,66.43,13.42,97.91,1.75,0.52,0.17,0.07,0.01,0.09,19.46,6.87,6.59,74.27,70.72,65.81,42.46,52538.0,939.0,48.44,51.56,93.94,89.42,68.59,281.0,0.52,90.0,38.0,6.0,27.97,57.33,9.04,29.28
050US01051,1051,43390,15975,19481.0,17.74,69.44,11.38,77.4,22.25,0.8,0.07,0.12,0.01,0.15,18.18,5.45,12.21,73.55,69.61,64.48,44.9,33585.0,9655.0,49.34,50.66,97.38,94.92,68.97,346.0,0.8,29.0,54.0,4.0,36.61,42.27,10.87,30.39
050US01053,1053,38440,13489,17050.0,17.86,69.28,12.12,67.78,29.59,0.73,2.47,0.06,0.03,0.06,21.02,9.59,6.2,73.09,68.99,63.7,44.35,26056.0,11376.0,49.58,50.42,98.32,95.0,65.66,280.0,0.73,951.0,23.0,10.0,32.83,49.23,10.74,31.01
050US01055,1055,103057,39824,43778.0,16.78,65.82,12.72,86.17,13.4,0.51,0.12,0.14,0.0,0.16,16.15,8.19,7.43,74.81,71.33,66.35,42.48,88806.0,13809.0,47.75,52.25,91.4,86.23,65.81,523.0,0.51,123.0,149.0,5.0,32.96,45.1,13.05,28.67
050US01057,1057,18809,7489,7840.0,16.47,65.46,14.47,87.08,12.74,0.61,0.04,0.08,0.01,0.06,18.13,6.46,10.4,74.51,70.84,65.63,41.68,16378.0,2396.0,48.21,51.79,93.09,90.07,71.63,115.0,0.61,7.0,15.0,2.0,29.56,56.42,6.73,29.16
050US01059,1059,28350,11239,12101.0,16.58,65.53,13.7,95.21,4.59,0.65,0.08,0.1,0.0,0.03,17.11,9.47,9.16,75.39,71.76,66.84,42.68,26991.0,1301.0,48.47,51.53,94.05,89.14,68.62,183.0,0.65,22.0,28.0,0.0,29.48,54.92,9.61,28.24
050US01061,1061,24253,9310,9914.0,16.28,64.92,14.55,86.67,12.71,0.87,0.41,0.05,0.01,0.16,20.85,5.28,7.93,74.14,70.33,65.46,40.88,21019.0,3082.0,48.45,51.55,93.98,88.88,69.63,210.0,0.87,100.0,11.0,3.0,31.09,54.0,8.95,29.67
050US01063,1063,11021,3814,4268.0,18.82,67.24,16.24,21.82,78.0,1.59,0.02,0.04,0.01,0.12,45.67,14.51,9.49,69.22,64.36,58.78,38.73,2405.0,8596.0,46.08,53.92,85.48,77.72,65.43,175.0,1.59,2.0,4.0,1.0,22.07,60.09,8.23,35.64
050US01065,1065,15604,5476,6150.0,19.03,66.58,15.5,37.0,62.8,1.97,0.11,0.04,0.04,0.01,39.52,11.07,11.43,70.57,65.71,59.97,39.41,5774.0,9799.0,47.17,52.83,89.3,81.52,68.15,308.0,1.97,17.0,6.0,6.0,23.82,61.81,7.67,34.29
050US01067,1067,15302,6065,6194.0,15.68,65.89,14.34,61.91,37.9,0.89,0.16,0.03,0.0,0.01,22.72,6.06,13.31,72.96,69.33,64.6,40.48,9473.0,5799.0,47.33,52.67,89.85,85.73,68.77,136.0,0.89,24.0,4.0,0.0,26.4,56.04,8.92,30.67
050US01069,1069,74632,28558,33751.0,17.4,70.53,10.3,76.91,22.26,0.77,0.31,0.38,0.0,0.14,16.9,4.72,8.32,72.79,68.97,63.94,45.22,57402.0,16611.0,47.96,52.04,92.15,86.84,63.16,578.0,0.77,234.0,281.0,0.0,32.68,41.71,12.91,31.03
050US01071,1071,51407,19297,23727.0,17.38,71.33,10.09,95.3,4.18,0.66,0.37,0.08,0.0,0.07,15.75,8.76,8.33,72.85,69.23,64.1,46.16,48990.0,2150.0,48.9,51.1,95.69,92.7,72.38,340.0,0.66,189.0,40.0,2.0,30.59,52.18,10.47,30.77
050US01073,1073,671324,259042,306270.0,18.18,67.73,12.08,66.2,33.33,0.67,0.08,0.24,0.02,0.13,15.32,6.66,5.72,76.17,72.61,67.43,45.62,444426.0,223759.0,46.91,53.09,88.35,83.35,61.04,4475.0,0.67,535.0,1592.0,123.0,33.15,35.29,15.8,27.39
050US01075,1075,16453,6376,6734.0,16.11,65.31,14.62,87.87,12.0,0.95,0.07,0.04,0.01,0.01,18.24,6.05,9.24,73.85,70.28,65.46,40.93,14457.0,1975.0,48.74,51.26,95.08,91.0,76.39,156.0,0.95,11.0,7.0,1.0,30.52,57.02,6.54,29.72
050US01077,1077,80546,30090,37527.0,19.9,69.17,10.89,89.86,9.74,0.65,0.12,0.18,0.01,0.09,14.76,8.37,6.21,75.45,71.45,65.02,46.59,72375.0,7845.0,48.0,52.0,92.31,88.5,66.64,520.0,0.65,100.0,145.0,5.0,33.55,42.4,11.02,28.55
050US01079,1079,30170,10818,13363.0,17.89,71.13,10.94,82.91,16.82,0.63,0.13,0.04,0.0,0.1,23.55,10.73,9.28,70.92,66.52,61.41,44.29,25013.0,5074.0,48.94,51.06,95.83,92.06,72.52,190.0,0.63,40.0,12.0,1.0,32.36,57.05,6.6,33.48
050US01081,1081,76283,29202,43765.0,32.41,77.83,7.39,74.55,24.45,1.04,0.14,0.52,0.01,0.32,23.58,6.16,7.63,77.94,74.79,60.96,57.37,56869.0,18652.0,50.12,49.88,100.47,99.31,64.02,791.0,1.04,106.0,398.0,11.0,27.41,37.87,13.1,25.21
050US01083,1083,46005,16372,20851.0,18.49,70.29,10.66,85.54,14.21,0.62,0.08,0.09,0.01,0.07,16.96,8.76,6.19,73.03,68.92,63.33,45.32,39351.0,6539.0,48.56,51.44,94.38,90.36,66.72,283.0,0.62,36.0,40.0,5.0,31.77,49.31,10.17,31.08
050US01085,1085,13253,4163,5496.0,20.97,72.87,11.6,24.93,74.98,1.61,0.02,0.04,0.0,0.04,44.99,12.0,10.35,65.82,60.37,53.94,41.47,3304.0,9937.0,47.05,52.95,88.84,79.88,69.09,213.0,1.61,2.0,5.0,0.0,27.28,57.49,8.41,39.63
050US01087,1087,26829,9222,12210.0,24.19,69.33,13.55,15.04,84.16,1.29,0.1,0.23,0.03,0.44,32.98,10.87,10.29,74.23,70.55,60.96,45.51,4034.0,22579.0,47.68,52.32,91.14,87.65,75.69,345.0,1.29,26.0,63.0,9.0,22.74,45.74,13.41,29.45
050US01089,1089,196966,71033,98339.0,20.83,73.18,7.23,78.58,19.84,1.06,0.22,0.72,0.04,0.59,13.83,7.9,5.56,74.78,70.6,63.91,49.93,154782.0,39069.0,48.94,51.06,95.86,92.98,67.4,2086.0,1.06,443.0,1427.0,81.0,31.55,29.89,17.2,29.4
050US01091,1091,25047,8881,10109.0,17.77,67.67,13.79,46.56,53.28,2.18,0.04,0.06,0.02,0.03,33.38,6.38,8.6,70.48,66.01,61.03,40.36,11663.0,13346.0,47.53,52.47,90.59,83.65,69.98,546.0,2.18,11.0,15.0,4.0,30.83,51.81,8.59,33.99
050US01093,1093,30041,11596,12873.0,16.54,66.65,13.55,97.37,2.33,0.58,0.12,0.12,0.0,0.07,16.06,7.99,6.93,74.27,70.7,65.84,42.85,29250.0,701.0,48.71,51.29,94.96,90.91,72.65,174.0,0.58,35.0,35.0,0.0,28.98,57.73,7.24,29.3
050US01095,1095,65622,25780,28856.0,17.34,67.05,12.05,98.2,1.55,0.55,0.09,0.1,0.0,0.05,16.55,7.62,8.89,75.06,71.21,65.99,43.97,64444.0,1016.0,48.44,51.56,93.95,89.43,69.54,359.0,0.55,62.0,64.0,2.0,30.56,49.91,10.9,28.79
050US01097,1097,364980,131301,170042.0,19.53,72.05,9.64,67.59,31.45,1.05,0.32,0.32,0.02,0.3,18.84,7.09,6.1,72.58,68.57,62.83,46.59,246693.0,114787.0,48.02,51.98,92.38,87.47,64.69,3830.0,1.05,1159.0,1173.0,77.0,34.78,38.35,14.47,31.43
050US01099,1099,22651,7980,9309.0,17.44,69.29,13.02,56.28,43.01,0.78,0.53,0.13,0.01,0.04,25.89,8.0,9.25,69.55,65.36,60.15,41.1,12749.0,9742.0,47.97,52.03,92.19,86.84,67.23,177.0,0.78,119.0,29.0,2.0,32.97,49.37,8.99,34.64
050US01101,1101,197038,73694,92614.0,19.54,71.59,10.07,59.83,39.39,0.93,0.1,0.35,0.02,0.3,19.4,6.6,7.09,73.51,69.7,63.71,47.0,117895.0,77614.0,46.96,53.04,88.55,82.97,55.9,1824.0,0.93,206.0,695.0,32.0,31.2,33.19,15.63,30.3
050US01103,1103,90231,33778,41442.0,17.68,70.35,10.0,89.91,9.77,0.63,0.11,0.11,0.01,0.09,13.86,8.05,7.13,73.57,69.52,64.4,45.93,81131.0,8816.0,48.58,51.42,94.48,90.69,67.2,571.0,0.63,101.0,95.0,8.0,35.03,40.08,13.09,30.48
050US01105,1105,15012,5018,6031.0,20.18,67.65,15.22,39.77,60.08,1.14,0.05,0.05,0.02,0.03,43.78,7.6,8.43,70.41,65.82,58.04,40.17,5971.0,9019.0,46.8,53.2,87.98,81.17,69.51,171.0,1.14,7.0,8.0,3.0,25.66,56.86,7.79,34.18
050US01107,1107,21481,7728,8696.0,17.64,66.47,14.35,57.96,41.8,0.83,0.06,0.09,0.01,0.08,27.08,10.04,9.46,71.95,67.57,62.39,40.48,12451.0,8978.0,47.57,52.43,90.72,86.9,70.05,178.0,0.83,12.0,19.0,3.0,29.86,56.15,7.02,32.43
050US01109,1109,28050,10200,12982.0,24.41,68.63,13.98,64.56,35.03,0.94,0.2,0.1,0.04,0.08,27.37,6.86,6.62,75.98,72.12,62.18,46.28,18109.0,9825.0,46.82,53.18,88.05,84.08,65.77,263.0,0.94,56.0,27.0,11.0,26.65,52.58,9.46,27.88
050US01111,1111,20075,7827,7998.0,16.57,64.26,15.09,75.58,24.25,0.68,0.05,0.06,0.0,0.05,23.23,9.68,9.99,73.81,70.11,65.1,39.84,15173.0,4869.0,47.69,52.31,91.15,85.42,66.25,137.0,0.68,10.0,12.0,0.0,26.94,58.79,7.02,29.89
050US01113,1113,47356,17829,20953.0,18.74,68.99,10.59,60.28,39.4,0.96,0.1,0.13,0.02,0.08,24.72,9.2,8.85,73.22,69.03,63.49,44.25,28544.0,18656.0,47.65,52.35,91.01,85.32,65.37,455.0,0.96,48.0,61.0,11.0,28.58,57.16,8.53,30.97
050US01115,1115,41205,15229,18515.0,17.03,70.48,10.13,89.64,10.02,0.69,0.13,0.08,0.03,0.11,15.61,7.04,9.06,72.42,68.6,63.78,44.93,36935.0,4128.0,49.17,50.83,96.72,92.62,74.58,283.0,0.69,52.0,32.0,11.0,33.61,50.08,9.88,31.4
050US01117,1117,66298,24481,33087.0,18.46,75.67,7.98,88.96,10.48,0.64,0.16,0.27,0.01,0.12,12.39,5.7,10.88,72.4,68.83,62.85,49.91,58982.0,6947.0,49.14,50.86,96.61,92.69,73.07,423.0,0.64,107.0,177.0,5.0,31.74,36.44,14.07,31.17
050US01119,1119,16908,5995,7004.0,21.62,69.26,14.41,30.46,69.26,1.25,0.03,0.09,0.04,0.12,33.65,10.86,12.38,70.13,65.61,58.42,41.42,5150.0,11711.0,47.39,52.61,90.08,83.71,72.84,212.0,1.25,5.0,16.0,6.0,27.08,53.53,9.52,34.39
050US01121,1121,73826,25614,31754.0,18.5,69.58,11.01,68.98,30.81,0.81,0.06,0.09,0.01,0.06,20.8,9.04,6.06,71.29,67.32,61.69,43.01,50922.0,22745.0,47.97,52.03,92.18,86.7,68.9,596.0,0.81,41.0,69.0,8.0,31.48,50.86,9.87,32.68
050US01123,1123,38676,14778,15797.0,16.28,65.17,13.85,72.64,27.02,0.61,0.03,0.07,0.01,0.22,17.35,5.46,10.17,73.73,69.89,65.17,40.84,28096.0,10451.0,47.92,52.08,92.01,87.18,69.41,235.0,0.61,13.0,26.0,5.0,30.05,51.69,9.97,30.11
050US01125,1125,137541,50198,69244.0,24.31,72.49,9.69,72.22,27.2,0.88,0.08,0.29,0.01,0.21,20.85,7.76,6.73,76.21,72.88,63.49,50.34,99335.0,37405.0,48.52,51.48,94.26,90.94,67.46,1217.0,0.88,107.0,395.0,15.0,31.15,39.95,12.29,27.12
050US01127,1127,68660,26246,29822.0,17.03,67.81,12.59,92.55,7.05,0.51,0.14,0.14,0.02,0.09,16.39,8.5,9.25,73.76,70.15,64.97,43.43,63547.0,4839.0,48.48,51.52,94.08,89.59,68.37,350.0,0.51,99.0,99.0,12.0,31.46,54.37,7.8,29.85
050US01129,1129,16821,5863,7372.0,18.4,72.09,10.82,67.06,28.1,0.81,4.63,0.05,0.01,0.16,23.45,9.8,10.08,69.53,64.94,59.8,43.83,11280.0,4726.0,49.03,50.97,96.21,92.87,76.53,137.0,0.81,779.0,8.0,1.0,33.84,53.54,7.17,35.06
050US01131,1131,14755,4992,5596.0,18.14,68.61,14.54,31.11,68.8,2.45,0.02,0.03,0.01,0.03,45.28,9.7,12.62,66.95,62.24,56.85,37.93,4590.0,10151.0,46.99,53.01,88.63,80.89,66.67,361.0,2.45,3.0,5.0,2.0,24.45,58.4,7.68,37.76
050US01133,1133,21953,8484,9706.0,16.86,68.4,11.52,99.39,0.31,0.56,0.12,0.13,0.0,0.05,18.22,7.95,9.03,73.83,69.87,64.83,44.21,21818.0,69.0,48.86,51.14,95.54,90.95,72.44,122.0,0.56,27.0,28.0,1.0,29.65,57.1,8.04,30.13
050US02013,2013,7768,442,5382.0,30.82,90.27,1.38,61.47,4.24,3.82,24.9,6.87,0.59,1.93,12.38,6.64,3.03,,,,,,,,,,,,,,,,,,,,24.77
050US02016,2016,,1206,,,,,,,,,,,,12.38,6.64,3.03,77.73,75.23,63.53,69.28,4775.0,329.0,62.8,37.2,168.79,195.6,105.77,297.0,3.82,1934.0,534.0,46.0,41.24,22.89,20.54,
050US02020,2020,174431,69895,101572.0,20.61,84.32,2.02,85.22,5.31,2.99,5.13,2.11,0.21,2.02,7.35,8.28,13.48,72.15,68.55,62.82,58.23,148650.0,9258.0,51.86,48.14,107.74,108.24,78.68,5222.0,2.99,8953.0,3673.0,370.0,39.64,11.65,25.08,31.45
050US02050,2050,10999,3075,5564.0,22.72,84.12,3.92,15.1,0.24,0.55,84.07,0.22,0.05,0.32,31.33,11.49,12.72,63.81,58.53,52.29,50.59,1661.0,26.0,52.85,47.15,112.09,118.16,119.9,61.0,0.55,9247.0,24.0,6.0,22.01,54.14,10.12,41.47
050US02060,2060,1094,297,747.0,28.06,85.28,2.29,60.33,4.3,2.74,32.91,0.18,0.27,2.01,4.14,12.96,17.17,80.99,78.06,72.12,68.28,660.0,47.0,65.27,34.73,187.89,233.59,108.33,30.0,2.74,360.0,2.0,3.0,43.43,18.14,21.96,21.94
050US02068,2068,,556,,,,,,,,,,,,29.29,15.53,18.69,,,,,,,,,,,,,,,,,,,,
050US02070,2070,,425,,,,,,,,,,,,22.7,17.01,14.27,67.03,61.44,54.94,53.21,1066.0,1.0,52.75,47.25,111.65,115.17,172.58,23.0,0.5,3520.0,5.0,2.0,28.89,43.64,11.27,
050US02090,2090,53983,22094,31943.0,21.7,85.49,2.36,85.41,5.57,2.86,5.53,1.34,0.17,1.98,9.54,11.61,17.52,72.19,69.01,62.52,59.17,46106.0,3006.0,53.79,46.21,116.38,121.11,104.16,1546.0,2.86,2987.0,725.0,91.0,41.55,13.41,23.07,30.99
050US02100,2100,1132,714,597.0,17.68,77.92,4.64,85.12,0.18,0.77,12.74,0.3,0.0,1.67,13.95,7.7,19.89,71.52,66.62,62.85,52.57,1061.63333893236,2.27422841847461,52.8,47.2,111.88,111.13,120.92,10.8347195431197,0.83,218.241807364702,3.87484015691714,0.557432432432432,39.33,22.98,18.55,33.16
050US02105,2105,1106,1005,570.0,17.22,80.45,5.52,55.81,0.14,1.18,42.04,0.29,0.32,1.41,13.11,16.68,18.94,69.03,65.15,60.49,51.52,617.127252252252,1.58971471471471,52.85,47.15,112.07,119.57,110.99,13.0356606606607,1.18,464.832582582583,3.17942942942943,3.49737237237237,41.16,29.1,15.06,34.85
050US02110,2110,19528,7533,10958.0,17.93,80.63,3.95,84.28,0.73,1.96,11.21,2.52,0.06,1.19,4.14,6.91,6.61,73.65,69.71,65.33,56.11,16459.0,142.0,51.32,48.68,105.43,104.28,84.89,383.0,1.96,2190.0,493.0,11.0,34.01,8.89,23.19,30.29
050US02122,2122,25282,10364,13366.0,17.58,81.22,3.27,91.37,0.16,1.42,6.87,0.74,0.05,0.81,11.7,13.53,17.54,69.89,65.93,61.39,52.87,23099.0,41.0,52.96,47.04,112.58,115.19,122.91,358.0,1.42,1738.0,188.0,12.0,43.84,17.96,22.02,34.07
050US02130,2130,12649,4275,6525.0,18.6,77.36,5.49,80.67,0.39,1.71,15.67,2.15,0.16,0.96,7.42,5.02,6.76,72.38,68.43,63.21,51.58,10204.4421768707,49.8364730507588,52.59,47.41,110.91,114.91,97.51,216.811878597593,1.71,1981.81972789116,271.743851386709,19.8827838827839,42.48,19.03,21.49,31.57
050US02150,2150,9939,3462,5892.0,21.57,85.15,2.57,70.89,0.72,3.06,18.96,7.52,0.48,1.43,10.63,7.27,12.56,72.65,69.33,63.0,59.28,7046.0,72.0,55.78,44.22,126.14,137.7,110.74,304.0,3.06,1884.0,747.0,48.0,38.53,21.65,22.09,30.67
050US02164,2164,4616,991,2456.0,23.7,83.38,3.66,23.09,0.02,0.5,76.26,0.11,0.04,0.48,22.7,17.01,14.27,67.03,61.44,54.94,53.21,1066.0,1.0,52.75,47.25,111.65,115.17,172.58,23.0,0.5,3520.0,5.0,2.0,28.89,43.64,11.27,38.56
050US02170,2170,17816,7443,9111.0,16.31,80.75,4.1,94.54,0.51,1.26,3.86,0.27,0.07,0.75,13.76,14.21,23.43,68.2,63.98,59.99,51.14,16844.0,90.0,51.87,48.13,107.79,109.64,103.34,224.0,1.26,688.0,48.0,13.0,40.4,18.59,23.28,36.02
050US02180,2180,6537,2059,3232.0,21.25,81.41,5.19,19.55,0.34,0.41,79.15,0.47,0.02,0.47,28.38,17.26,15.44,66.05,61.08,54.72,49.44,1278.0,22.0,54.37,45.63,119.14,124.7,109.26,27.0,0.41,5174.0,31.0,1.0,27.57,45.55,13.15,38.92
050US02185,2185,4199,1144,2335.0,23.2,83.16,3.52,21.77,0.52,0.76,76.8,0.5,0.07,0.33,11.22,7.47,14.34,69.64,65.11,58.23,55.61,914.0,22.0,56.75,43.25,131.22,151.29,120.9,32.0,0.76,3225.0,21.0,3.0,27.42,43.57,16.39,34.89
050US02188,2188,4831,0,2347.0,23.14,82.47,5.15,14.14,0.14,0.31,85.14,0.08,0.04,0.46,,,,63.2,58.12,51.46,48.58,683.0,7.0,53.69,46.31,115.96,117.0,104.1,15.0,0.31,4113.0,4.0,2.0,24.89,51.76,9.92,41.88
050US02195,2195,3804,1215,1952.0,17.77,78.0,5.72,78.03,0.15,1.44,19.3,1.36,0.03,1.14,6.51,9.15,9.56,71.48,68.17,63.09,51.31,2968.19328684936,5.55148370358359,53.67,46.33,115.86,121.96,119.25,54.8980055132155,1.44,734.029511918275,51.8138479001135,1.2336630452408,37.28,22.89,22.16,31.83
050US02198,2198,2489,1286,1297.0,20.04,80.77,3.95,54.42,0.29,0.81,43.2,0.13,0.37,1.6,11.03,7.71,13.37,69.39,64.86,58.79,52.12,1354.55782312925,7.16352694924123,56.02,43.98,127.36,136.55,122.06,20.1881214024071,0.81,1075.18027210884,3.25614861329147,9.11721611721612,41.61,30.9,17.44,35.14
050US02220,2220,7803,2659,4191.0,19.66,80.99,4.63,73.92,0.56,1.38,21.39,2.92,0.09,1.11,4.87,6.62,8.24,70.7,66.99,61.36,53.71,5768.0,44.0,52.74,47.26,111.58,113.0,96.2,108.0,1.38,1669.0,228.0,7.0,38.15,18.86,21.81,33.01
