HEROP_ID,ZCTA5,Ruca1,Ruca2,Rurality
860US03082,3082,2.0,2.0,Suburban
860US03102,3102,1.0,1.0,Urban
860US03103,3103,1.0,1.0,Urban
860US03104,3104,1.0,1.0,Urban
860US03106,3106,1.0,1.0,Urban
860US00601,601,,,
860US00602,602,,,
860US00603,603,,,
860US00606,606,,,
860US00610,610,,,
860US00612,612,,,
860US00616,616,,,
860US00617,617,,,
860US00622,622,,,
860US00623,623,,,
860US00624,624,,,
860US00631,631,,,
860US00637,637,,,
860US00638,638,,,
860US00646,646,,,
860US00650,650,,,
860US00653,653,,,
860US00659,659,,,
860US00662,662,,,
860US00669,669,,,
860US00674,674,,,
860US00677,677,,,
860US00682,682,,,
860US00688,688,,,
860US00692,692,,,
860US00698,698,,,
860US00703,703,,,
860US00707,707,,,
860US00718,718,,,
860US00719,719,,,
860US00723,723,,,
860US00728,728,,,
860US00730,730,,,
860US00735,735,,,
860US00738,738,,,
860US00751,751,,,
860US00757,757,,,
860US00766,766,,,
860US00771,771,,,
860US00773,773,,,
860US00777,777,,,
860US00780,780,,,
860US00783,783,,,
860US00791,791,,,
860US00795,795,,,
860US00907,907,,,
860US00918,918,,,
860US00921,921,,,
860US00923,923,,,
860US00924,924,,,
860US00926,926,,,
860US00949,949,,,
860US00950,950,,,
860US00952,952,,,
860US00956,956,,,
860US00959,959,,,
860US00961,961,,,
860US00966,966,,,
860US00969,969,,,
860US00985,985,,,
860US01001,1001,1.0,1.0,Urban
860US01007,1007,1.0,1.0,Urban
860US01008,1008,2.0,2.0,Suburban
860US01010,1010,2.0,2.1,Suburban
860US01012,1012,2.0,2.0,Suburban
860US01020,1020,1.0,1.0,Urban
860US01027,1027,1.0,1.0,Urban
860US01029,1029,10.0,10.0,Rural
860US01031,1031,3.0,3.0,Rural
860US01034,1034,2.0,2.0,Suburban
860US01037,1037,3.0,3.0,Rural
860US03830,3830,2.0,2.0,Suburban
860US03833,3833,1.0,1.0,Urban
860US03835,3835,2.0,2.0,Suburban
860US03836,3836,10.0,10.0,Rural
860US03837,3837,6.0,6.0,Rural
860US03838,3838,10.0,10.0,Rural
860US03839,3839,1.0,1.0,Urban
860US03841,3841,1.0,1.0,Urban
860US03842,3842,1.0,1.0,Urban
860US03845,3845,10.0,10.0,Rural
860US03847,3847,7.0,7.0,Rural
860US03851,3851,1.0,1.0,Urban
860US03853,3853,10.0,10.0,Rural
860US03860,3860,7.0,7.0,Rural
860US03867,3867,1.0,1.0,Urban
860US03868,3868,1.0,1.0,Urban
860US03869,3869,1.0,1.0,Urban
860US03870,3870,1.0,1.0,Urban
860US03872,3872,2.0,2.0,Suburban
860US03874,3874,1.0,1.0,Urban
860US03882,3882,10.0,10.0,Rural
860US03886,3886,10.0,10.0,Rural
860US03890,3890,10.0,10.0,Rural
860US03901,3901,1.0,1.0,Urban
860US03903,3903,1.0,1.0,Urban
860US03906,3906,3.0,3.0,Rural
860US03907,3907,10.0,10.0,Rural
860US03910,3910,1.0,1.0,Urban
860US04002,4002,2.0,2.0,Suburban
860US04005,4005,1.0,1.0,Urban
860US04008,4008,5.0,5.0,Rural
860US04010,4010,3.0,3.0,Rural
860US04020,4020,10.0,10.0,Rural
860US04022,4022,3.0,3.0,Rural
860US04027,4027,2.0,2.0,Suburban
860US04030,4030,2.0,2.0,Suburban
860US04037,4037,10.0,10.0,Rural
860US04040,4040,10.0,10.0,Rural
860US04042,4042,2.0,2.0,Suburban
860US04046,4046,2.0,2.0,Suburban
860US04048,4048,2.0,2.0,Suburban
860US04055,4055,2.0,2.0,Suburban
860US04056,4056,6.0,6.0,Rural
860US04061,4061,2.0,2.0,Suburban
860US04068,4068,2.0,2.0,Suburban
860US04073,4073,4.0,4.0,Suburban
860US04076,4076,6.0,6.0,Rural
860US04083,4083,4.0,4.0,Suburban
860US04085,4085,2.0,2.0,Suburban
860US04088,4088,10.0,10.0,Rural
860US04091,4091,2.0,2.0,Suburban
860US04093,4093,2.0,2.0,Suburban
860US04096,4096,1.0,1.0,Urban
860US04102,4102,1.0,1.0,Urban
860US04103,4103,1.0,1.0,Urban
860US04107,4107,1.0,1.0,Urban
