"HEROP_ID","FIPS","OdMortRt"
"050US35007","35007",25.9
"050US35011","35011",22.7
"050US35051","35051",25.3
"050US36013","36013",13.1
"050US36029","36029",15.2
"050US36043","36043",10
"050US36045","36045",12.5
"050US36047","36047",8.8
"050US36053","36053",12.3
"050US36065","36065",14
"050US36077","36077",11.5
"050US36081","36081",6.9
"050US36091","36091",9.1
"050US36115","36115",8.2
"050US37007","37007",13.9
"050US37027","37027",21.9
"050US37039","37039",24.9
"050US37049","37049",18
"050US37055","37055",20.1
"050US37059","37059",17.9
"050US37069","37069",12.3
"050US37083","37083",14.4
"050US37091","37091",13.4
"050US37093","37093",12.7
"050US37099","37099",19.9
"050US37111","37111",19.3
"050US37117","37117",14.4
"050US37127","37127",12.2
"050US37165","37165",15.7
"050US37175","37175",20.4
"050US37199","37199",26
"050US38017","38017",7.3
"050US38037","38037",10.3
"050US38085","38085",10.2
"050US38099","38099",10
"050US39035","39035",22.3
"050US39039","39039",13.7
"050US39043","39043",19.8
"050US39125","39125",14.2
"050US40065","40065",17.9
"050US48103","48103",12.9
"050US48141","48141",9.5
"050US48151","48151",12.7
"050US48161","48161",12.9
"050US48167","48167",15.4
"050US48199","48199",17.1
"050US48213","48213",14.8
"050US48229","48229",14.6
"050US48241","48241",14.2
"050US48245","48245",14.5
"050US48261","48261",7.7
"050US48289","48289",12.1
"050US48317","48317",12.9
"050US48333","48333",11.7
"050US48347","48347",11.5
"050US48361","48361",20.3
"050US48371","48371",12.2
"050US48395","48395",11
"050US48423","48423",10.4
"050US48427","48427",7.1
"050US48457","48457",16.8
"050US48471","48471",9
"050US48475","48475",15.3
"050US48477","48477",8.9
"050US48499","48499",11.5
"050US49001","49001",22.2
"050US49003","49003",17.2
"050US49011","49011",16.1
"050US40073","40073",16.4
"050US40079","40079",22.2
"050US40145","40145",23.2
"050US41005","41005",11.8
"050US41021","41021",12.3
"050US41033","41033",16.8
"050US41035","41035",15
"050US41039","41039",17
"050US41043","41043",17.2
"050US41051","41051",16.1
"050US41055","41055",12.4
"050US41061","41061",14
"050US42005","42005",24
"050US42029","42029",14.3
"050US42035","42035",12.5
"050US42059","42059",23.7
"050US42067","42067",13.8
"050US42091","42091",18.3
"050US42111","42111",21.5
"050US45005","45005",11.5
"050US45019","45019",15
"050US45025","45025",13.7
"050US45043","45043",17.4
"050US45063","45063",17.1
"050US45077","45077",28.5
"050US45091","45091",14.3
"050US46073","46073",9.5
"050US46093","46093",11.9
"050US46095","46095",10.6
"050US46123","46123",10.1
"050US47001","47001",27.1
"050US47003","47003",17.1
"050US47005","47005",28
"050US47019","47019",20.7
"050US47029","47029",25.9
"050US47049","47049",25.3
"050US47063","47063",29.8
"050US47073","47073",24.6
"050US47081","47081",18.4
"050US47097","47097",16.3
"050US47121","47121",24.1
"050US47149","47149",13.6
"050US47173","47173",30.1
"050US48007","48007",13.9
"050US25001","25001",23.7
"050US25013","25013",14.7
"050US25025","25025",17.6
"050US26033","26033",14
"050US26053","26053",17.9
"050US26063","26063",13.8
"050US26097","26097",14.4
"050US26115","26115",22.6
"050US13283","13283",12.7
"050US13289","13289",12.4
"050US13313","13313",14.1
"050US13317","13317",13.6
"050US15001","15001",11.6
"050US15009","15009",13.3
"050US16059","16059",15.3
"050US16073","16073",15.3
"050US16083","16083",12
"050US16087","16087",15.7
"050US17027","17027",11.9
"050US17031","17031",11.9
"050US17047","17047",16.8
"050US49029","49029",22.6
"050US49035","49035",24.1
"050US49043","49043",18.1
"050US49049","49049",16.8
"050US51015","51015",13
"050US51037","51037",12.8
"050US51051","51051",41.9
"050US51053","51053",13.9
"050US51069","51069",20.2
"050US51073","51073",13.3
"050US51085","51085",12.4
"050US51099","51099",15.6
"050US51125","51125",13.2
"050US51131","51131",14.5
"050US51137","51137",17.7
"050US51145","51145",13
"050US51149","51149",12
"050US51161","51161",16.1
"050US51177","51177",12
"050US51185","51185",34.2
"050US51199","51199",10
"050US53005","53005",12.3
"050US53007","53007",13.3
"050US53009","53009",18.6
"050US53015","53015",21.4
"050US53025","53025",11.7
"050US53031","53031",17
"050US53037","53037",11.8
"050US53043","53043",16.1
"050US12077","12077",14.1
"050US05061","05061",16.1
"050US05093","05093",14.2
"050US05095","05095",13
"050US05099","05099",12.7
"050US05103","05103",11.6
"050US05109","05109",16
"050US05117","05117",12.8
"050US05133","05133",20.3
"050US05147","05147",13.8
"050US06045","06045",24
"050US06051","06051",17.8
"050US24011","24011",22.4
"050US24033","24033",8.1
"050US24043","24043",26.2
"050US25007","25007",20.2
"050US25017","25017",16.4
"050US26041","26041",14.1
"050US26099","26099",28.6
"050US26103","26103",13.9
"050US26135","26135",18.1
"050US26147","26147",25
"050US26163","26163",25.4
"050US27023","27023",8.8
"050US27053","27053",10.9
"050US27077","27077",14.4
"050US27091","27091",9.2
"050US27129","27129",9.1
"050US27139","27139",6.8
"050US27163","27163",8.8
"050US28007","28007",10.5
"050US28033","28033",12.7
"050US28055","28055",10.6
"050US28075","28075",9.5
"050US28143","28143",13.1
"050US28157","28157",14.1
"050US28163","28163",10.3
"050US29023","29023",24.2
"050US29029","29029",16.4
"050US29031","29031",13.9
"050US29033","29033",15.6
"050US17075","17075",16.2
"050US17129","17129",14.2
"050US17161","17161",10
"050US17175","17175",13.5
"050US17185","17185",15
"050US18009","18009",23.1
"050US18035","18035",26.4
"050US18067","18067",23.3
"050US18083","18083",14.1
"050US18159","18159",20.1
"050US18175","18175",20.4
"050US49025","49025",21
"050US05003","05003",14.1
"050US05007","05007",13.9
"050US05013","05013",13
"050US05045","05045",12.9
"050US13051","13051",9.8
"050US13077","13077",11.5
"050US13123","13123",18.2
"050US13133","13133",12.1
"050US13137","13137",13.3
"050US13139","13139",13.4
"050US13143","13143",22.6
"050US13157","13157",16.7
"050US13171","13171",13.8
"050US13181","13181",13.8
"050US13185","13185",8.3
"050US13195","13195",20.5
"050US13213","13213",22.9
"050US13217","13217",11.2
"050US13237","13237",13.6
"050US13245","13245",14.4
"050US13251","13251",11.1
"050US13269","13269",12.8
"050US13279","13279",13.5
"050US23023","23023",13.5
"050US23031","23031",20.3
"050US24001","24001",21.1
"050US24005","24005",23
"050US24017","24017",13.8
"050US24021","24021",16.4
"050US24031","24031",7.3
"050US24045","24045",16.7
"050US28149","28149",8.9
"050US28151","28151",8.8
"050US29041","29041",15.3
"050US29069","29069",22
"050US29087","29087",12.1
"050US29113","29113",18.9
"050US29159","29159",12.2
"050US29183","29183",17.3
"050US29195","29195",15.8
"050US29197","29197",12.7
"050US29201","29201",16.9
"050US30001","30001",15.6
"050US30013","30013",11.4
"050US30027","30027",14.7
"050US30031","30031",9.1
"050US30045","30045",13.8
"050US30049","30049",12.8
"050US30055","30055",14.3
"050US30059","30059",13.8
"050US30069","30069",14.3
"050US30073","30073",15.4
"050US30083","30083",14.7
"050US30099","30099",15.5
"050US31103","31103",10
"050US31151","31151",8.7
"050US32001","32001",23.9
"050US32003","32003",19.8
"050US32015","32015",21.1
"050US33007","33007",20.6
"050US33015","33015",21.5
"050US33017","33017",27.8
"050US34001","34001",22.9
"050US34005","34005",16.6
"050US34015","34015",23.2
"050US34019","34019",11.2
"050US34021","34021",12.2
"050US34025","34025",16.5
"050US34029","34029",21.4
"050US34035","34035",9.9
"050US21229","21229",19
"050US21231","21231",25.3
"050US22035","22035",11.8
"050US22045","22045",13.7
"050US22053","22053",16.9
"050US22055","22055",14.8
"050US06055","06055",11.5
"050US06059","06059",11.9
"050US06069","06069",10.5
"050US06073","06073",12.9
"050US06079","06079",13
"050US06083","06083",12.9
"050US06097","06097",14.9
"050US06101","06101",12.1
"050US06107","06107",9
"050US06113","06113",11.6
"050US08019","08019",15.6
"050US08023","08023",27.4
"050US08031","08031",20.7
"050US08037","08037",10.6
"050US08055","08055",29.6
"050US01049","01049",14
"050US01063","01063",12.4
"050US01087","01087",8.5
"050US01091","01091",12
"050US01095","01095",16.6
"050US01101","01101",7.8
"050US01107","01107",14.4
"050US01115","01115",26.5
"050US01119","01119",12.4
"050US01131","01131",11.2
"050US02090","02090",15.3
"050US02158","02158",
"050US02240","02240",15.6
"050US04005","04005",14.2
"050US04009","04009",18
"050US04013","04013",17
"050US54001","54001",18.8
"050US54005","54005",67.4
"050US54021","54021",25.8
"050US54039","54039",40.3
"050US54045","54045",55.1
"050US54047","54047",57.1
"050US54063","54063",25.3
"050US54067","54067",30
"050US54087","54087",24.5
"050US54107","54107",22.5
"050US55003","55003",16.9
"050US55043","55043",9.5
"050US55113","55113",16.1
"050US56029","56029",14
"050US12086","12086",5.7
"050US12093","12093",21.6
"050US12097","12097",13.8
"050US13021","13021",10.5
"050US13029","13029",9.9
"050US39137","39137",11.3
"050US39175","39175",16.2
"050US40013","40013",17.3
"050US40027","40027",15.5
"050US40057","40057",17.8
"050US40067","40067",22.6
"050US40075","40075",19
"050US40095","40095",18.7
"050US40125","40125",19.2
"050US40135","40135",26.6
"050US40143","40143",19.5
"050US27011","27011",9.1
"050US27013","27013",7.6
"050US27031","27031",13.8
"050US27061","27061",12.6
"050US27073","27073",9
"050US27075","27075",14.5
"050US27089","27089",10.8
"050US27097","27097",10.6
"050US27127","27127",10
"050US27161","27161",8.5
"050US27171","27171",7.1
"050US28001","28001",13.2
"050US28011","28011",9.8
"050US28029","28029",10.7
"050US28043","28043",10.9
"050US28083","28083",11
"050US28087","28087",9.4
"050US28103","28103",10.8
"050US28121","28121",11
"050US35015","35015",23.8
"050US35039","35039",70
"050US35045","35045",17.4
"050US35055","35055",28.4
"050US36025","36025",12.7
"050US36031","36031",10.9
"050US36103","36103",17.1
"050US36105","36105",22.1
"050US36119","36119",9.6
"050US36123","36123",10.9
"050US37009","37009",20.4
"050US37013","37013",16
"050US37017","37017",18.3
"050US37023","37023",27.9
"050US37037","37037",11.2
"050US37043","37043",24.4
"050US37053","37053",15.2
"050US37057","37057",19.7
"050US37065","37065",13.7
"050US37075","37075",27.7
"050US37085","37085",12.6
"050US37089","37089",16.8
"050US37095","37095",17.7
"050US37103","37103",16.3
"050US37115","37115",20.1
"050US37123","37123",16.7
"050US28141","28141",19.6
"050US42099","42099",15.2
"050US42103","42103",18.2
"050US42127","42127",21.5
"050US42133","42133",24.5
"050US48411","48411",11.9
"050US48429","48429",16.2
"050US48449","48449",12.3
"050US48453","48453",11.5
"050US48455","48455",14.1
"050US48467","48467",13.9
"050US48473","48473",9.9
"050US48479","48479",9.1
"050US49033","49033",19
"050US49045","49045",26.5
"050US49047","49047",18
"050US49051","49051",18.5
"050US50017","50017",13.7
"050US50027","50027",15.7
"050US51007","51007",13.1
"050US51017","51017",17.6
"050US51019","51019",11.1
"050US51023","51023",14.3
"050US51033","51033",14.5
"050US51036","51036",13.1
"050US51041","51041",10.4
"050US51057","51057",16.5
"050US51067","51067",16.8
"050US51083","51083",12.7
"050US51091","51091",16
"050US51095","51095",10.1
"050US51107","51107",8.6
"050US51111","51111",14.5
"050US51127","51127",14.1
"050US51133","51133",16.6
"050US51143","51143",11.3
"050US51159","51159",16.4
"050US51165","51165",9.8
"050US51175","51175",13.5
"050US51179","51179",10.1
"050US51187","51187",18.6
"050US53047","53047",15.9
"050US53049","53049",18.6
"050US53053","53053",15.4
"050US53061","53061",17.1
"050US53071","53071",16.7
"050US53073","53073",10.4
"050US54013","54013",24.4
"050US54017","54017",20.6
"050US54019","54019",36.1
"050US54023","54023",19.8
"050US54027","54027",25.1
"050US54033","54033",24.6
"050US54037","54037",21.7
"050US54043","54043",42.6
"050US54065","54065",24.2
"050US54071","54071",15.3
"050US54081","54081",48.8
"050US54093","54093",17.5
"050US54095","54095",18.5
"050US37133","37133",13
"050US37137","37137",20
"050US37149","37149",19
"050US37153","37153",19.1
"050US37161","37161",21.6
"050US37163","37163",17.9
"050US37177","37177",16.4
"050US38005","38005",10.3
"050US38033","38033",12.3
"050US38053","38053",13.6
"050US38059","38059",9.7
"050US38067","38067",10.8
"050US38071","38071",9.9
"050US22067","22067",14
"050US22069","22069",10.9
"050US22079","22079",13.2
"050US22097","22097",14.9
"050US22107","22107",12.3
"050US22113","22113",12.6
"050US22117","22117",26.3
"050US22123","22123",13.9
"050US23007","23007",13.7
"050US08065","08065",14.6
"050US08071","08071",27.9
"050US08093","08093",14.6
"050US08105","08105",24.2
"050US08113","08113",18.2
"050US09001","09001",11.3
"050US09007","09007",19.4
"050US09011","09011",20.5
"050US10005","10005",18.3
"050US12033","12033",14.5
"050US12037","12037",19.1
"050US12041","12041",16.9
"050US12047","12047",14.6
"050US12053","12053",19
"050US12071","12071",14
"050US19009","19009",10.5
"050US19027","19027",12.2
"050US19075","19075",8.8
"050US19113","19113",11.7
"050US19147","19147",9.4
"050US19195","19195",9.5
"050US20069","20069",11.6
"050US20143","20143",11.1
"050US20181","20181",13
"050US21005","21005",20.8
"050US21025","21025",43.1
"050US21029","21029",23.4
"050US21033","21033",17.1
"050US21043","21043",28.9
"050US21049","21049",30.8
"050US21063","21063",30.2
"050US21071","21071",53.3
"050US21085","21085",23.1
"050US21097","21097",30.4
"050US21109","21109",27
"050US21119","21119",45.2
"050US21125","21125",25.8
"050US21135","21135",27
"050US21139","21139",21.9
"050US21153","21153",34.6
"050US21159","21159",41
"050US21167","21167",21.2
"050US21181","21181",28.2
"050US21183","21183",17.2
"050US21193","21193",43.9
"050US21197","21197",49.7
"050US21205","21205",25.6
"050US54109","54109",71.5
"050US55023","55023",10.9
"050US55037","55037",14.7
"050US55051","55051",15.8
"050US55069","55069",12.5
"050US55075","55075",11
"050US55111","55111",13.8
"050US41007","41007",16.3
"050US41017","41017",12
"050US41019","41019",13.5
"050US41065","41065",11.9
"050US42003","42003",25.6
"050US42027","42027",9.7
"050US42033","42033",15.9
"050US42041","42041",12.2
"050US42045","42045",27.9
"050US42051","42051",27.2
"050US42061","42061",14.5
"050US42071","42071",13.3
"050US42089","42089",17.1
"050US42095","42095",14.2
"050US51063","51063",17.5
"050US51087","51087",11.6
"050US53077","53077",10.8
"050US45027","45027",10.4
"050US45047","45047",15
"050US01043","01043",22.8
"050US45029","45029",14.3
"050US45071","45071",12.9
"050US46067","46067",8.4
"050US01033","01033",10.4
"050US02050","02050",19.5
"050US04007","04007",24.8
"050US05039","05039",12.5
"050US06039","06039",13.4
"050US08043","08043",17.3
"050US12013","12013",14.3
"050US12069","12069",13.1
"050US12129","12129",12.2
"050US13219","13219",12.6
"050US16035","16035",14.1
"050US16069","16069",13.2
"050US17153","17153",17.9
"050US18071","18071",24
"050US19087","19087",11
"050US21003","21003",17.7
"050US21051","21051",31.9
"050US21165","21165",37
"050US46085","46085",10.1
"050US47057","47057",24.6
"050US02195","02195",
"050US06009","06009",19
"050US08097","08097",14.8
"050US13007","13007",9.8
"050US21055","21055",18.9
"050US22017","22017",10.3
"050US22115","22115",12
"050US26137","26137",17.4
"050US29019","29019",12.2
"050US30005","30005",14.8
"050US37029","37029",15.2
"050US40089","40089",18.4
"050US41023","41023",13.2
"050US46117","46117",10.1
"050US47091","47091",18.3
"050US39047","39047",28.5
"050US39061","39061",31.2
"050US39095","39095",25.8
"050US45055","45055",12.2
"050US45059","45059",16.4
"050US45069","45069",13.9
"050US45073","45073",24.3
"050US45083","45083",17
"050US45089","45089",11.4
"050US46009","46009",8.7
"050US06043","06043",19.1
"050US06095","06095",14.9
"050US08035","08035",9
"050US10003","10003",20.1
"050US12079","12079",13.8
"050US12113","12113",14.1
"050US13001","13001",15.3
"050US13079","13079",13.6
"050US13135","13135",7.5
"050US13311","13311",17.6
"050US47107","47107",23.2
"050US47117","47117",20.8
"050US47123","47123",20.9
"050US47143","47143",20
"050US47151","47151",27.6
"050US47155","47155",22
"050US47157","47157",15.7
"050US47165","47165",16.4
"050US47167","47167",14.6
"050US47185","47185",19.8
"050US47189","47189",20.1
"050US48001","48001",12.5
"050US48005","48005",11
"050US48029","48029",10.5
"050US48037","48037",9.2
"050US48043","48043",11.8
"050US48051","48051",9.6
"050US48057","48057",13.4
"050US48067","48067",10.8
"050US48091","48091",9.8
"050US48109","48109",15.8
"050US48119","48119",12.5
"050US48173","48173",11.7
"050US48187","48187",9
"050US48205","48205",17.2
"050US48215","48215",3.2
"050US48225","48225",13.4
"050US48263","48263",13.1
"050US48273","48273",10.1
"050US48287","48287",9.5
"050US48301","48301",16.8
"050US48311","48311",9.8
"050US48315","48315",11.7
"050US48339","48339",10
"050US48343","48343",11.8
"050US48349","48349",10
"050US48373","48373",17.8
"050US48377","48377",11.5
"050US48383","48383",12.4
"050US48405","48405",14.1
"050US48407","48407",14
"050US46041","46041",11
"050US46071","46071",10.6
"050US46075","46075",10.3
"050US46079","46079",8.8
"050US46127","46127",8.7
"050US47013","47013",37.7
"050US47021","47021",28.7
"050US47031","47031",18.5
"050US47035","47035",23.2
"050US47037","47037",19.6
"050US47041","47041",29.1
"050US47065","47065",17.5
"050US47089","47089",19.5
"050US56003","56003",16.8
"050US56013","56013",17.5
"050US56031","56031",15.1
"050US56035","56035",16
"050US01041","01041",10.3
"050US02100","02100",16
"050US04001","04001",13.4
"050US05001","05001",13.7
"050US05029","05029",15.3
"050US05057","05057",13
"050US39115","39115",17.9
"050US40113","40113",16.2
"050US41015","41015",17.6
"050US42049","42049",19.6
"050US42101","42101",32.8
"050US45009","45009",12.4
"050US45057","45057",12.4
"050US45087","45087",15.5
"050US47025","47025",33.2
"050US47053","47053",13.8
"050US47135","47135",22
"050US47163","47163",25.4
"050US48089","48089",9.3
"050US48135","48135",16.9
"050US48203","48203",10.1
"050US48323","48323",8.2
"050US48351","48351",17.7
"050US48379","48379",11.4
"050US48409","48409",13.5
"050US48465","48465",8.2
"050US49007","49007",33.1
"050US49019","49019",22.1
"050US51005","51005",20.4
"050US51029","51029",15.4
"050US51089","51089",21.4
"050US51141","51141",20.8
"050US51193","51193",19.5
"050US53011","53011",13.9
"050US53045","53045",18.9
"050US54025","54025",27.6
"050US55001","55001",14.5
"050US08027","08027",21.7
"050US08051","08051",16.2
"050US05041","05041",13.1
"050US13261","13261",10
"050US18179","18179",15.9
"050US22111","22111",13.1
"050US23003","23003",12.2
"050US40133","40133",22.4
"050US35019","35019",27.6
"050US37105","37105",13
"050US37125","37125",13.9
"050US19035","19035",9.4
"050US20033","20033",14.6
"050US20149","20149",11.6
"050US21027","21027",15.1
"050US21147","21147",23
"050US21175","21175",27.2
"050US22005","22005",14.8
"050US22015","22015",10.5
"050US22025","22025",14.5
"050US22037","22037",13.3
"050US22091","22091",19.6
"050US22109","22109",18.8
"050US24029","24029",22.2
"050US24047","24047",19.6
"050US26055","26055",13.3
"050US27015","27015",9
"050US27167","27167",9.2
"050US28051","28051",10.2
"050US29013","29013",19.3
"050US29095","29095",15.9
"050US30053","30053",17.1
"050US35033","35033",27.9
"050US36059","36059",12.4
"050US38003","38003",8.1
"050US38055","38055",9.3
"050US40055","40055",18.6
"050US40117","40117",21
"050US42043","42043",17.5
"050US42097","42097",15.7
"050US45015","45015",13.3
"050US45067","45067",13.3
"050US47009","47009",20.7
"050US47129","47129",24.2
"050US48065","48065",14.1
"050US48157","48157",5.9
"050US12057","12057",13.2
"050US12089","12089",17.2
"050US13025","13025",17.4
"050US39167","39167",17.2
"050US40023","40023",18.8
"050US18007","18007",17.1
"050US18051","18051",13
"050US18123","18123",17.8
"050US20083","20083",11.3
"050US20203","20203",13.1
"050US21079","21079",23.6
"050US21123","21123",19.2
"050US21209","21209",18.9
"050US22065","22065",12
"050US22105","22105",22.2
"050US23025","23025",14.9
"050US26007","26007",13.8
"050US28017","28017",11.3
"050US48419","48419",13
"050US54083","54083",17.6
"050US06063","06063",30.4
"050US48129","48129",14.7
"050US48313","48313",10.3
"050US53027","53027",21.8
"050US54059","54059",66.5
"050US05119","05119",13.7
"050US06093","06093",18.6
"050US02170","02170",18.5
"050US13075","13075",11.2
"050US25005","25005",28.7
"050US13303","13303",12.6
"050US17017","17017",14.6
"050US22043","22043",13.1
"050US22127","22127",14.9
"050US10001","10001",21
"050US12075","12075",18.6
"050US27021","27021",15.6
"050US28089","28089",10.1
"050US29227","29227",13.2
"050US30043","30043",14.8
"050US30081","30081",13.3
"050US34027","34027",10.6
"050US36075","36075",13.4
"050US37021","37021",17.1
"050US37107","37107",11.9
"050US37145","37145",12.8
"050US37193","37193",34.6
"050US40141","40141",19.1
"050US41031","41031",11.9
"050US41047","41047",9.1
"050US27087","27087",14
"050US27173","27173",9.7
"050US28109","28109",21.7
"050US29027","29027",15.7
"050US30009","30009",14.9
"050US30033","30033",14.3
"050US31033","31033",13.6
"050US34031","34031",10.6
"050US35017","35017",25.2
"050US36009","36009",10.5
"050US36061","36061",10.5
"050US36071","36071",16.8
"050US37015","37015",16.1
"050US37101","37101",10.9
"050US37131","37131",14.7
"050US37159","37159",22.6
"050US37183","37183",8.6
"050US13201","13201",10.5
"050US13265","13265",13.1
"050US44009","44009",20.3
"050US45003","45003",17.4
"050US45007","45007",19.1
"050US45017","45017",12.3
"050US45035","45035",11.3
"050US45041","45041",12.6
"050US45045","45045",17.8
"050US45051","45051",20.3
"050US30007","30007",13.2
"050US30093","30093",18.9
"050US37051","37051",13.7
"050US37139","37139",13.6
"050US45061","45061",13.3
"050US46055","46055",10.5
"050US47045","47045",13.4
"050US47127","47127",17.7
"050US51081","51081",16
"050US51105","51105",29.6
"050US51195","51195",35.1
"050US54007","54007",22.9
"050US54099","54099",41.8
"050US42031","42031",15.8
"050US01009","01009",18.6
"050US01047","01047",9.6
"050US05073","05073",12.4
"050US06027","06027",18.9
"050US06053","06053",11.5
"050US06099","06099",14
"050US08111","08111",19
"050US12045","12045",17.9
"050US12105","12105",15.2
"050US12121","12121",13.4
"050US16041","16041",16.7
"050US16079","16079",15.4
"050US18021","18021",14.5
"050US48175","48175",11.1
"050US48503","48503",20.1
"050US51113","51113",15
"050US53033","53033",14.5
"050US53057","53057",14.9
"050US06091","06091",25.1
"050US18125","18125",13
"050US26003","26003",15.4
"050US27103","27103",8.6
"050US01039","01039",13.4
"050US01061","01061",13.8
"050US01075","01075",13.9
"050US04011","04011",23
"050US01013","01013",11.4
"050US01015","01015",14.9
"050US21235","21235",38.4
"050US22057","22057",20.5
"050US24023","24023",16.3
"050US26013","26013",14.2
"050US26071","26071",15.1
"050US47145","47145",34.9
"050US47183","47183",14.1
"050US48041","48041",8.9
"050US48079","48079",15.7
"050US48341","48341",13.8
"050US49005","49005",13.3
"050US49023","49023",22.4
"050US51103","51103",15.2
"050US51157","51157",17
"050US53019","53019",18.3
"050US53075","53075",10.8
"050US55011","55011",9.8
"050US56033","56033",14
"050US56039","56039",13.3
"050US05085","05085",14.5
"050US06089","06089",23.9
"050US08005","08005",16.4
"050US08033","08033",18.5
"050US01073","01073",24.7
"050US01129","01129",14
"050US02290","02290",16.3
"050US42131","42131",19.2
"050US45021","45021",14.4
"050US27137","27137",14.5
"050US28021","28021",10.4
"050US28053","28053",9.8
"050US28137","28137",13.4
"050US30003","30003",16.1
"050US30035","30035",17.5
"050US30061","30061",17.5
"050US30089","30089",16.8
"050US31009","31009",10.1
"050US32033","32033",23.5
"050US34009","34009",20
"050US36017","36017",11.4
"050US37019","37019",20.9
"050US37047","37047",18.2
"050US37079","37079",12.3
"050US37147","37147",14.6
"050US37173","37173",22.8
"050US45065","45065",13.9
"050US46003","46003",9.3
"050US47055","47055",18
"050US47085","47085",21.8
"050US05145","05145",12.2
"050US13107","13107",12.4
"050US16007","16007",17.8
"050US47119","47119",19.3
"050US47147","47147",16.5
"050US48015","48015",8.8
"050US48277","48277",13.8
"050US48391","48391",12.5
"050US48469","48469",10.3
"050US49057","49057",24.4
"050US51003","51003",8.1
"050US51031","51031",11
"050US51059","51059",6.6
"050US51121","51121",13.3
