HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,SomeCollegeP,ChildrenP
040US40,40,3025290,1229522,1376023,18.62,68.41,12.43,85.87,6.76,1.9,5.6,0.54,0.03,1.19,13.43,4.11,9.03,75.37,71.74,65.88,45.48,2597791,204674,48.81,51.19,95.36,91.54,67.53,57419,1.9,169459,16372,903,34.77,34.03,16.13,28.26
040US41,41,2633105,1071613,1248677,17.61,69.82,11.52,94.59,1.41,2.5,1.04,1.24,0.08,1.64,10.66,8.27,7.47,75.99,72.54,67.27,47.42,2490610,37060,49.24,50.76,97.01,94.06,74.11,65847,2.5,27314,32656,2119,37.13,24.36,20.66,27.46
040US42,42,11863895,4512674,5207395,18.04,64.83,12.9,89.79,8.82,1.3,0.08,0.53,0.01,0.77,10.46,7.41,6.49,77.29,73.67,68.08,43.89,10652320,1046810,47.9,52.1,91.93,87.74,65.48,153961,1.3,9465,63197,1182,40.4,35.31,10.73,26.33
040US44,44,947154,362918,424902,19.0,65.17,13.4,94.67,2.91,2.08,0.3,0.54,0.01,1.55,10.28,7.04,6.7,77.92,74.36,68.14,44.86,896692,27584,47.64,52.36,91.0,86.82,61.37,19707,2.08,2898,5167,136,32.77,38.93,12.87,25.64
040US45,45,3121820,1122927,1498218,20.21,72.28,9.2,68.78,30.39,1.07,0.19,0.36,0.02,0.27,16.6,6.07,8.28,73.8,69.83,63.39,47.99,2147224,948623,48.63,51.37,94.65,90.79,63.21,33426,1.07,5757,11129,705,27.05,46.29,13.23,30.17
040US46,46,690768,269644,304453,19.57,68.06,13.18,92.6,0.31,0.58,6.51,0.24,0.01,0.33,16.93,4.92,10.06,74.18,70.24,63.97,44.07,639669,2144,49.32,50.68,97.31,94.79,73.19,4023,0.58,44968,1641,97,36.25,32.07,17.68,29.76
040US47,47,4591120,1737123,2132130,18.59,69.22,11.27,83.54,15.81,0.74,0.11,0.29,0.01,0.23,16.45,7.4,6.83,75.41,71.72,65.92,46.44,3835452,725942,48.28,51.72,93.35,89.11,66.99,34077,0.74,5104,13290,673,31.67,43.84,11.89,28.28
040US48,48,14229191,5485273,6802481,19.49,72.54,9.64,78.7,12.02,20.98,0.28,0.82,0.03,8.15,14.66,4.0,10.14,73.47,69.74,63.74,47.81,11198441,1710175,49.19,50.81,96.79,93.7,68.81,2985824,20.98,40075,116399,3914,28.77,37.38,16.97,30.26
040US49,49,1461037,481066,678160,20.16,78.03,7.48,94.63,0.63,4.13,1.32,0.92,0.11,2.39,10.3,5.46,6.75,66.68,63.03,56.92,46.42,1382550,9225,49.59,50.41,98.37,95.0,74.33,60302,4.13,19256,13389,1687,35.97,19.98,24.17,36.97
040US50,50,511456,196459,244488,19.54,70.58,11.37,99.08,0.22,0.65,0.19,0.26,0.01,0.24,12.05,6.3,9.23,75.39,71.59,65.11,47.8,506736,1135,48.7,51.3,94.93,90.94,66.14,3304,0.65,984,1315,40,36.37,28.98,15.61,28.41
040US51,51,5346818,2000075,2627391,19.39,71.19,9.45,79.11,18.86,1.49,0.18,1.21,0.03,0.61,11.84,4.97,6.85,76.14,72.43,66.44,49.14,4229798,1008668,48.97,51.03,95.96,92.94,65.36,79868,1.49,9454,64501,1708,28.4,37.57,14.94,27.57
040US53,53,4132156,1651680,2001421,18.62,70.8,10.44,91.46,2.56,2.9,1.47,2.32,0.16,2.04,9.84,7.39,6.73,75.97,72.43,66.78,48.44,3779170,105574,49.67,50.33,98.68,96.37,71.92,120016,2.9,60804,95789,6748,37.35,22.4,21.3,27.57
040US54,54,1949644,737033,859914,17.79,67.49,12.2,96.16,3.34,0.65,0.08,0.26,0.01,0.16,14.99,8.45,6.88,74.84,71.3,65.87,44.11,1874751,65051,48.49,51.51,94.14,89.95,69.9,12707,0.65,1610,5079,115,35.6,44.01,9.97,28.7
040US55,55,4705767,1756311,2168641,19.48,69.12,11.99,94.42,3.88,1.34,0.63,0.37,0.01,0.69,8.68,6.58,5.92,75.08,71.15,65.03,46.08,4443035,182592,48.99,51.01,96.05,92.63,70.69,62972,1.34,29499,17580,584,40.42,30.39,14.36,28.85
040US56,56,469557,182347,234977,19.86,75.87,7.92,95.09,0.72,5.22,1.51,0.39,0.03,2.27,7.89,4.14,9.17,72.52,69.0,63.02,50.04,446488,3364,51.23,48.77,105.05,104.71,76.54,24499,5.22,7094,1823,146,39.99,22.09,20.77,31.0
