HEROP_ID,FIPS,PcpPer100k,TotSp,TotPcp,SpPer100k
050US30031,30031,73.52,121.0,77.0,115.54
050US30045,30045,0.0,0.0,0.0,0.0
050US30049,30049,107.34,102.0,72.0,152.06
050US30055,30055,0.0,0.0,0.0,0.0
050US30059,30059,50.81,0.0,1.0,0.0
050US30069,30069,0.0,0.0,0.0,0.0
050US30073,30073,82.73,1.0,5.0,16.55
050US30083,30083,52.82,6.0,6.0,52.82
050US30099,30099,0.0,0.0,0.0,0.0
050US31103,31103,0.0,0.0,0.0,0.0
050US31151,31151,55.99,1.0,8.0,7.0
050US32001,32001,83.3,13.0,20.0,54.14
050US32003,32003,51.74,2044.0,1108.0,95.44
050US32015,32015,17.4,0.0,1.0,0.0
050US33007,33007,131.09,41.0,42.0,127.97
050US33015,33015,71.45,343.0,218.0,112.41
050US33017,33017,76.42,163.0,98.0,127.11
050US34001,34001,74.85,449.0,201.0,167.2
050US34005,34005,78.41,618.0,350.0,138.45
050US34015,34015,69.79,333.0,203.0,114.49
050US34019,34019,103.16,168.0,129.0,134.35
050US34021,34021,99.79,774.0,368.0,209.89
050US34025,34025,92.72,1155.0,578.0,185.28
050US34029,34029,59.3,657.0,351.0,110.99
050US34035,34035,95.71,540.0,316.0,163.55
050US21229,21229,49.92,3.0,6.0,24.96
050US21231,21231,92.19,7.0,19.0,33.97
050US22035,22035,83.04,0.0,6.0,0.0
050US22045,22045,60.53,63.0,44.0,86.67
050US22053,22053,73.09,12.0,23.0,38.14
050US22055,22055,89.55,445.0,215.0,185.35
050US06055,6055,83.26,264.0,117.0,187.86
050US06059,6059,79.7,4421.0,2522.0,139.72
050US06069,6069,30.29,23.0,18.0,38.71
050US06073,6073,74.88,4911.0,2473.0,148.69
050US06079,6079,73.55,447.0,207.0,158.82
050US06083,6083,81.13,609.0,360.0,137.24
050US06097,6097,94.35,667.0,473.0,133.05
050US06101,6101,79.27,104.0,76.0,108.48
050US06107,6107,45.17,274.0,208.0,59.5
050US06113,6113,83.26,170.0,179.0,79.08
050US08019,8019,85.3,6.0,8.0,63.97
050US08023,8023,0.0,0.0,0.0,0.0
050US08031,8031,97.92,1620.0,679.0,233.63
050US08037,8037,68.07,83.0,37.0,152.69
050US08055,8055,75.95,3.0,5.0,45.57
050US01049,1049,29.49,17.0,21.0,23.88
050US01063,1063,23.74,0.0,2.0,0.0
050US01087,1087,68.23,19.0,13.0,99.72
050US01091,1091,56.3,5.0,11.0,25.59
050US01095,1095,54.65,40.0,52.0,42.04
050US01101,1101,88.13,337.0,200.0,148.5
050US01107,1107,19.71,2.0,4.0,9.85
050US01115,1115,22.91,13.0,20.0,14.89
050US01119,1119,53.91,1.0,7.0,7.7
050US01131,1131,37.01,0.0,4.0,0.0
050US02090,2090,80.28,125.0,80.0,125.44
050US02158,2158,,,,
050US02240,2240,43.63,0.0,3.0,0.0
050US04005,4005,76.31,194.0,107.0,138.36
050US04009,4009,63.36,14.0,24.0,36.96
050US04013,4013,62.7,5478.0,2667.0,128.78
050US54001,54001,53.8,2.0,9.0,11.95
050US54005,54005,48.21,1.0,11.0,4.38
050US54021,54021,60.94,0.0,5.0,0.0
050US54039,54039,126.0,481.0,234.0,259.01
050US54045,54045,100.59,28.0,34.0,82.84
050US54047,54047,72.85,4.0,14.0,20.81
050US54063,54063,29.7,0.0,4.0,0.0
050US54067,54067,90.82,15.0,23.0,59.23
050US54087,54087,56.32,5.0,8.0,35.2
050US54107,54107,80.65,123.0,69.0,143.77
050US55003,55003,165.48,30.0,26.0,190.94
050US55043,55043,40.52,18.0,21.0,34.73
050US55113,55113,122.17,4.0,20.0,24.43
050US56029,56029,106.45,37.0,31.0,127.06
050US60010,60010,,,,
050US60020,60020,,,,
050US69085,69085,,,,
050US69100,69100,,,,
050US69110,69110,,,,
050US72023,72023,,,,
050US72031,72031,,,,
050US72037,72037,,,,
050US72039,72039,,,,
050US72053,72053,,,,
050US12086,12086,77.66,3701.0,2109.0,136.29
050US12093,12093,56.69,33.0,23.0,81.34
050US12097,12097,44.0,232.0,149.0,68.51
050US13021,13021,109.45,375.0,168.0,244.32
