HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,BachelorsP,GradSclP,SomeCollegeP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65
040US44,44,998372,414572,474658,15.54,66.49,15.01,91.41,3.87,4.57,0.41,1.8,0.03,2.48,9.61,6.64,8.83,79.9,77.51,72.03,47.55,917375,38861,47.98,52.02,92.25,88.71,62.05,45752,4.56,4071,18019,25138,29.45,27.98,13.45,7.82,21.3,22.49,801786,777774,722844,150547
040US45,45,3486703,1424155,1675244,16.08,70.02,11.38,69.03,29.82,0.88,0.24,0.61,0.03,0.26,15.37,5.57,11.66,76.59,73.61,68.29,48.05,2406974,1039884,48.43,51.57,93.9,90.53,64.62,30551,0.88,8246,21399,10200,29.5,31.71,11.22,5.43,22.15,26.39,2670321,2566496,2380982,396935
040US46,46,696004,292436,302468,14.06,67.7,14.7,91.6,0.47,0.75,7.27,0.42,0.03,0.22,15.86,4.16,11.42,74.3,71.49,67.03,43.46,637515,3258,49.21,50.79,96.89,93.97,72.18,5252,0.75,50575,2938,1718,33.68,22.93,12.26,4.91,26.23,28.51,517119,497542,466528,102331
040US47,47,4877185,2026067,2287687,15.06,67.61,12.69,83.0,15.95,0.67,0.21,0.63,0.02,0.19,15.7,6.41,8.51,77.9,75.06,70.16,46.91,4048068,778035,48.16,51.84,92.91,89.08,64.51,32741,0.67,10039,30944,10099,30.04,32.94,10.54,5.42,21.07,24.94,3799458,3660581,3421633,618818
040US48,48,16986404,7008999,8271249,15.58,72.72,10.11,75.21,11.9,25.55,0.39,1.84,0.04,10.62,18.1,7.11,13.38,74.5,71.53,66.61,48.69,12774762,2021632,49.25,50.75,97.05,94.12,68.11,4339905,25.55,65877,311918,1812321,25.61,27.86,13.85,6.47,26.22,28.47,12655171,12150671,11313973,1716576
040US49,49,1722850,598388,789847,16.85,77.02,8.7,93.79,0.67,4.91,1.41,1.49,0.44,2.19,11.35,5.33,10.21,67.0,63.58,58.34,45.85,1615845,11576,49.67,50.33,98.69,95.05,75.05,84597,4.91,24283,25696,45450,27.21,14.86,15.44,6.82,35.68,36.42,1154331,1095406,1005161,149958
040US50,50,562758,271214,272898,15.14,70.0,11.76,98.64,0.35,0.65,0.3,0.56,0.02,0.14,9.86,5.85,22.33,77.2,74.57,69.3,48.49,555088,1951,48.95,51.05,95.9,92.78,67.06,3661,0.65,1696,3134,889,34.55,19.21,15.43,8.88,21.92,25.43,434440,419675,390004,66163
040US51,51,6187358,2496334,3090867,15.49,70.42,10.74,77.44,18.8,2.59,0.25,2.52,0.05,0.94,10.25,4.48,8.19,78.27,75.68,70.7,49.95,4791739,1162994,49.04,50.96,96.21,93.62,65.66,160288,2.59,15282,156036,61307,26.65,24.84,15.41,9.06,24.04,24.32,4843094,4682620,4374515,664470
040US53,53,4866692,2032378,2333342,13.86,70.05,11.82,88.54,3.08,4.41,1.67,4.03,0.31,2.37,10.92,5.72,7.87,76.61,74.08,69.75,47.95,4308937,149801,49.6,50.4,98.4,96.07,72.76,214570,4.41,81483,195918,130553,27.93,16.18,15.89,7.04,32.96,25.92,3728587,3605305,3394496,575288
040US54,54,1793477,781295,795029,14.62,64.48,14.99,96.21,3.14,0.47,0.14,0.41,0.01,0.1,19.66,9.58,11.87,78.33,75.27,70.4,44.33,1725523,56295,48.04,51.96,92.45,88.37,66.27,8489,0.47,2458,7283,1918,36.62,34.01,7.52,4.81,17.03,24.73,1404875,1349900,1262637,268897
040US55,55,4891769,2055774,2257520,14.53,68.44,13.31,92.25,5.0,1.9,0.81,1.08,0.02,0.85,10.7,5.2,11.37,76.33,73.65,69.04,46.15,4512523,244539,48.92,51.08,95.76,92.53,68.55,93194,1.91,39387,52782,42538,37.09,21.4,12.14,5.6,23.77,26.35,3733754,3602787,3377397,651221
040US56,56,453588,203411,211092,13.8,71.74,10.4,94.15,0.79,5.68,2.09,0.58,0.04,2.34,11.86,5.93,17.0,73.19,70.12,65.71,46.54,427061,3606,50.05,49.95,100.19,98.02,75.04,25751,5.68,9479,2638,10804,33.15,16.96,13.09,5.7,31.1,29.88,332001,318063,298038,47195
