"HEROP_ID","FIPS","OtpCtTmDr","OtpAvTmDr","OtpTmDrP","OdMortRt"
"050US42085","42085",25,16.59,0.83,51.3
"050US42087","42087",0,52.06,0,31.8
"050US42089","42089",17,28.69,0.52,40.3
"050US42091","42091",211,11.5,1,36.1
"050US42093","42093",3,26.09,0.75,38
"050US42095","42095",64,13.59,0.94,38.5
"050US42097","42097",5,39.87,0.21,39.2
"050US42099","42099",3,37.53,0.3,33.2
"050US42101","42101",384,4.97,1,77.3
"050US42103","42103",4,36.89,0.22,43.8
"050US42105","42105",0,90.7,0,25.6
"050US42107","42107",12,33.62,0.3,48.7
"050US42109","42109",0,50.28,0,16.9
"050US42111","42111",6,34.86,0.29,39.5
"050US42113","42113",0,60.53,0,27.6
"050US42115","42115",1,44.32,0.09,36.3
"050US42117","42117",0,63.37,0,24.5
"050US42119","42119",8,20.77,0.8,14.2
"050US42121","42121",0,59.03,0,38.7
"050US42123","42123",1,50.02,0.08,21.6
"050US42125","42125",51,16.38,0.86,52.6
"050US42127","42127",2,47.79,0.14,44.4
"050US42129","42129",91,19.26,0.91,57.2
"050US42131","42131",1,45.35,0.14,47.8
"050US42133","42133",83,16.55,0.92,39
"050US44001","44001",11,15.36,1,33.6
"050US44003","44003",38,12.31,0.97,50.1
"050US44005","44005",23,7.61,1,33.9
"050US44007","44007",141,5.8,1,49.3
"050US44009","44009",28,15.39,0.93,32.8
"050US45001","45001",2,35.41,0.33,24.6
"050US45003","45003",27,22.55,0.82,40.6
"050US45005","45005",0,88.7,0,13.7
"050US45007","45007",36,16.48,0.92,38.1
"050US45009","45009",0,77.88,0,20.3
"050US45011","45011",0,54.92,0,28.2
"050US45013","45013",0,58.08,0,21.7
"050US45015","45015",30,30.23,0.67,30.4
"050US45017","45017",0,47.8,0,16.8
"050US45019","45019",77,14.99,0.9,34.1
"050US45021","45021",4,32.44,0.31,26.8
"050US45023","45023",3,33.71,0.27,24.4
"050US45025","45025",2,41.97,0.2,26.1
"050US45027","45027",3,37.84,0.25,21
"050US45029","45029",0,73.68,0,34.3
"050US45031","45031",16,14.74,1,26
"050US45033","45033",0,43.35,0,29.2
"050US45035","45035",17,29.99,0.68,26.9
"050US45037","45037",2,39.13,0.33,17.8
"050US45039","45039",0,51.8,0,23.5
"050US45041","45041",26,17.73,0.79,27.6
"050US45043","45043",2,50.6,0.13,39.7
"050US45045","45045",105,13.51,0.95,40.9
"050US45047","45047",13,16.58,0.93,32.4
"050US45049","45049",0,65.3,0,19.4
"050US45051","45051",47,25.18,0.65,48.3
"050US45053","45053",2,28.21,0.4,30.7
"050US45055","45055",0,43.19,0,30.6
"050US45057","45057",2,40.38,0.14,39.2
"050US45059","45059",15,19.53,0.88,41.3
"050US45061","45061",1,31.83,0.14,14
"050US45063","45063",56,20.83,0.76,33.2
"050US45065","45065",0,41.83,0,18.7
"050US45067","45067",0,47.36,0,23.9
"050US45069","45069",0,53.9,0,19.8
"050US45071","45071",1,41.75,0.12,20.6
"050US45073","45073",13,18.98,0.87,47
"050US45075","45075",0,56.14,0,20.1
"050US45077","45077",25,17.98,0.89,52.8
"050US45079","45079",79,17.14,0.89,25.6
"050US45081","45081",0,50.53,0,17
"050US45083","45083",65,17.08,0.94,42.9
"050US45085","45085",21,13.83,0.91,20.1
"050US45087","45087",0,44.53,0,31.8
"050US45089","45089",0,60.13,0,25.6
"050US45091","45091",41,16.56,0.89,34.6
"050US46003","46003",,,,10.1
"050US46005","46005",,,,12.1
"050US46007","46007",,,,10.5
"050US46009","46009",0,139.28,0,7.4
"050US46011","46011",0,62.78,0,7.2
"050US46013","46013",,,,9.1
"050US46015","46015",,,,13.1
"050US46017","46017",,,,15.2
"050US46019","46019",,,,11.7
"050US46021","46021",0,144.96,0,14.1
"050US46023","46023",,,,10.4
"050US46025","46025",,,,10
"050US46027","46027",0,66.12,0,8.6
"050US46029","46029",,,,9.8
"050US46031","46031",0,153.1,0,21
"050US46033","46033",,,,17.2
"050US46035","46035",0,76.24,0,8.4
"050US46037","46037",,,,9.3
"050US46039","46039",,,,10.2
"050US46041","46041",,,,16.7
"050US46043","46043",,,,8.2
"050US46045","46045",,,,7.2
"050US46047","46047",,,,29.1
"050US46049","46049",,,,9.6
"050US46051","46051",,,,9.4
"050US46053","46053",,,,11.2
"050US46055","46055",,,,12.8
"050US46057","46057",,,,7.7
"050US46059","46059",,,,9.7
"050US46061","46061",0,59.53,0,7.4
"050US46063","46063",,,,11.7
"050US46065","46065",,,,12.3
"050US46067","46067",0,100.23,0,6.1
"050US46069","46069",,,,9.8
"050US46071","46071",,,,11.6
"050US46073","46073",,,,11
"050US46075","46075",,,,13.6
"050US46077","46077",0,105.85,0,7
"050US46079","46079",0,64.04,0,6.4
"050US46081","46081",,,,14.1
"050US46083","46083",9,24.41,0.82,8.8
"050US46085","46085",,,,14.1
"050US46087","46087",0,54.47,0,7.7
"050US46089","46089",,,,8
"050US46091","46091",,,,10.5
"050US46093","46093",,,,16.9
"050US46095","46095",,,,13.8
"050US46097","46097",0,90.52,0,7.8
"050US46099","46099",39,13.11,0.93,18
"050US46101","46101",0,46.4,0,10.3
"050US46102","46102",,,,20.2
"050US46103","46103",,,,16.5
"050US46105","46105",,,,12.6
"050US46107","46107",,,,9.5
"050US46109","46109",,,,14.5
"050US46111","46111",0,111.31,0,8.4
"050US46115","46115",,,,12.9
"050US46117","46117",,,,11.3
