HEROP_ID,DmySgrg,OdMortRt
050US26103,0,17.9
050US26135,0,20.5
050US26147,1,25.7
050US26163,1,32.1
050US27023,0,9.6
050US27053,0,12.5
050US27077,0,15.5
050US27091,0,10.0
050US27129,0,10.5
050US27139,0,6.3
050US27163,0,8.3
050US28007,0,11.8
050US28033,0,15.8
050US28055,0,11.6
050US28075,0,10.7
050US28143,0,14.1
050US28157,0,15.9
050US28163,0,10.2
050US29023,0,21.5
050US29029,0,19.5
050US29031,0,14.9
050US29033,0,17.5
050US17075,0,18.0
050US17129,0,15.9
050US17161,0,10.2
050US17175,0,14.8
050US17185,0,16.3
050US18009,0,28.1
050US18035,1,27.7
050US18067,0,30.6
050US18083,0,15.2
050US18159,0,22.4
050US18175,1,22.0
050US49025,0,22.2
050US05003,0,15.8
050US05007,0,14.7
050US05013,0,14.0
050US05045,0,12.1
050US13051,1,10.7
050US13077,1,12.8
050US13123,0,18.6
050US13133,0,13.9
050US13137,0,14.6
050US13139,0,13.8
050US13143,1,25.5
050US13157,0,20.8
050US13171,1,16.8
050US13181,0,15.2
050US13185,0,8.9
050US13195,0,17.5
050US13213,0,23.4
050US13217,1,12.7
050US13237,0,13.5
050US13245,0,19.7
050US13251,0,12.1
050US13269,0,13.5
050US13279,0,14.3
050US23023,0,14.9
050US23031,0,20.8
050US24001,0,23.9
050US24005,1,29.0
050US24017,1,14.8
050US24021,1,15.4
050US24031,1,8.9
050US24045,0,16.0
050US28149,0,9.9
050US28151,0,9.7
050US29041,0,16.6
050US29069,0,20.9
050US29087,0,13.3
050US29113,1,21.6
050US29159,0,13.5
050US29183,1,17.3
050US29195,0,17.4
050US29197,0,14.1
050US29201,0,20.6
050US30001,0,17.5
050US30013,0,14.3
050US30027,0,15.4
050US30031,0,10.0
050US30045,0,15.1
050US30049,0,15.8
050US30055,0,15.6
050US30059,0,14.7
050US30069,0,15.6
050US30073,0,16.8
050US30083,0,15.7
050US30099,0,16.3
050US31103,0,10.9
050US31151,0,9.6
050US32001,0,26.5
050US32003,1,21.1
050US32015,0,22.9
050US33007,0,22.8
050US33015,1,28.1
050US33017,1,27.7
050US34001,0,24.0
050US34005,1,20.2
050US34015,1,26.3
050US34019,1,12.4
050US34021,0,15.5
050US34025,1,17.8
050US34029,1,23.7
050US34035,1,10.5
050US21229,0,21.3
050US21231,0,25.9
050US22035,0,12.9
050US22045,0,16.5
050US22053,0,21.3
050US22055,0,14.9
050US06055,0,13.8
050US06059,0,12.1
050US06069,0,11.6
050US06073,0,12.9
050US06079,0,17.3
050US06083,0,15.5
050US06097,0,16.1
050US06101,0,13.7
050US06107,0,10.5
050US06113,0,13.4
050US08019,1,16.9
050US08023,0,28.8
050US08031,1,18.5
050US08037,0,12.0
050US08055,0,30.4
050US01049,0,21.3
050US01063,0,13.5
050US01087,0,9.3
050US01091,0,14.7
