HEROP_ID,FIPS,DmyBlckBlt,TotPop,TotUnits,Age15_44,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DisbP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,BachelorsP,GradSclP,SomeCollegeP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65
050US01021,1021,0,39593,17651,16778,12.87,86.71,10.61,2.91,0.28,0.18,0.02,2.22,47,15.7,4.3,13.39,77.19,74.33,70.45,42.38,34330.0,4200.0,49.46,50.54,97.85,93.94,70.58,1152.0,2.91,111.0,72.0,6.0,35.77,33.81,5.91,4.03,14.39,25.67,30561.0,29428.0,27893.0,5097.0
050US01023,1023,1,15922,7839,6192,14.65,55.14,44.13,0.67,0.16,0.04,0.0,0.53,58,24.51,8.77,18.83,77.25,73.95,70.34,38.89,8779.0,7027.0,47.04,52.96,88.81,85.39,65.86,107.0,0.67,25.0,7.0,0.0,34.72,35.05,6.46,3.12,15.09,26.05,12300.0,11774.0,11200.0,2332.0
050US01025,1025,1,27867,12631,11382,13.51,55.94,43.02,0.65,0.22,0.16,0.0,0.65,48,22.59,8.93,16.25,75.22,71.97,67.85,40.84,15589.0,11989.0,47.3,52.7,89.74,84.64,64.73,180.0,0.65,62.0,45.0,1.0,37.66,29.18,7.59,4.49,15.73,28.03,20961.0,20056.0,18907.0,3764.0
050US01027,1027,0,14254,6612,5668,16.55,82.62,15.7,1.77,0.32,0.1,0.02,1.27,49,17.11,5.47,12.81,79.17,76.17,72.51,39.76,11776.0,2238.0,48.77,51.23,95.21,91.14,68.38,253.0,1.77,45.0,14.0,3.0,37.78,34.01,4.98,2.84,14.83,23.83,11285.0,10857.0,10336.0,2359.0
050US01029,1029,0,14123,6189,5771,13.69,94.74,3.7,1.4,0.3,0.14,0.01,1.12,49,13.95,5.31,9.68,78.58,75.68,71.87,40.86,13380.0,523.0,49.83,50.17,99.31,96.4,71.98,198.0,1.4,42.0,20.0,1.0,35.84,37.09,4.86,4.36,13.53,24.32,11098.0,10688.0,10150.0,1933.0
050US01031,1031,0,43615,19837,18071,14.15,77.11,18.37,2.71,0.91,0.95,0.09,2.66,43,14.7,5.69,12.18,78.18,75.22,71.43,41.43,33631.0,8013.0,48.84,51.16,95.48,92.01,68.61,1183.0,2.71,396.0,414.0,41.0,26.21,26.85,12.33,6.97,20.57,24.78,34098.0,32809.0,31153.0,6171.0
050US01033,1033,0,54984,24980,21985,15.45,81.52,16.62,1.12,0.37,0.24,0.02,1.25,48,13.96,5.16,10.08,78.93,76.22,72.5,39.98,44825.0,9137.0,47.85,52.15,91.76,88.06,68.98,618.0,1.12,205.0,131.0,12.0,33.88,26.67,8.82,5.28,19.12,23.78,43398.0,41907.0,39862.0,8493.0
050US01035,1035,1,14089,7265,5454,15.78,55.4,43.55,0.72,0.2,0.11,0.05,0.73,54,26.59,9.81,20.28,77.26,74.11,70.23,38.71,7806.0,6136.0,47.32,52.68,89.83,84.27,67.77,102.0,0.72,28.0,16.0,7.0,38.11,32.33,6.36,2.86,14.16,25.89,10885.0,10441.0,9895.0,2223.0
050US01037,1037,0,12202,6142,5081,14.43,63.94,34.19,1.29,0.32,0.04,0.01,1.51,59,14.93,7.08,23.77,78.92,76.31,72.25,41.64,7802.0,4172.0,51.07,48.93,104.39,102.46,78.24,158.0,1.29,39.0,5.0,1.0,38.33,34.29,5.18,2.85,14.33,23.69,9630.0,9311.0,8816.0,1761.0
050US01039,1039,0,37631,18578,14461,17.91,86.19,12.35,0.78,0.48,0.17,0.01,0.8,55,18.45,7.62,15.81,79.22,76.46,72.54,38.43,32436.0,4648.0,47.81,52.19,91.61,88.0,65.89,292.0,0.78,181.0,65.0,5.0,32.96,31.57,7.8,4.42,16.41,23.54,29812.0,28771.0,27296.0,6740.0
050US01041,1041,0,13665,6644,5297,17.11,73.82,24.79,0.64,0.37,0.11,0.01,0.9,57,22.11,5.37,16.06,78.32,75.32,71.74,38.76,10088.0,3388.0,47.3,52.7,89.77,83.61,64.3,87.0,0.64,51.0,15.0,1.0,29.01,39.92,7.23,3.98,14.68,24.68,10703.0,10293.0,9803.0,2338.0
050US01043,1043,0,77483,35233,32131,14.64,96.81,0.96,2.18,0.37,0.18,0.03,1.68,45,13.0,4.13,12.85,78.59,75.75,71.7,41.47,75011.0,743.0,49.32,50.68,97.31,94.23,69.87,1688.0,2.18,290.0,140.0,27.0,32.02,29.59,7.42,4.47,19.23,24.25,60897.0,58693.0,55558.0,11342.0
050US01045,1045,0,49129,21779,21736,11.82,74.38,20.36,3.34,0.6,1.08,0.15,3.58,41,15.09,7.65,13.32,76.32,73.44,69.09,44.24,36541.0,10002.0,49.58,50.42,98.32,95.03,71.75,1642.0,3.34,297.0,529.0,72.0,29.18,22.22,9.6,4.41,25.93,26.56,37495.0,36082.0,33942.0,5807.0
050US01047,1047,1,46365,20450,18958,13.86,35.58,63.26,0.63,0.11,0.35,0.01,0.71,52,31.05,11.16,12.76,74.95,71.42,66.73,40.89,16496.0,29332.0,45.49,54.51,83.46,77.77,58.29,290.0,0.63,50.0,160.0,5.0,33.56,29.66,8.5,5.43,17.29,28.58,34751.0,33112.0,30939.0,6428.0
050US01049,1049,0,64452,28051,27364,13.78,92.55,1.68,5.55,0.8,0.19,0.06,4.77,50,15.39,5.13,10.47,78.12,75.33,71.21,42.46,59652.0,1083.0,48.89,51.11,95.64,92.46,66.58,3578.0,5.55,518.0,124.0,36.0,34.04,36.19,4.9,3.35,15.44,24.67,50347.0,48553.0,45896.0,8882.0
050US01051,1051,0,65874,25733,29788,10.73,77.02,20.64,1.22,0.43,0.36,0.03,1.54,35,10.24,4.97,11.64,77.22,74.31,70.51,45.22,50737.0,13597.0,50.61,49.39,102.49,101.28,70.14,805.0,1.22,286.0,238.0,18.0,33.76,22.42,10.58,6.04,19.33,25.69,50868.0,48950.0,46450.0,7071.0
050US01053,1053,0,38440,16544,16421,13.62,64.4,30.79,0.99,3.01,0.24,0.03,1.56,48,20.87,7.0,13.58,78.74,75.88,71.59,42.72,24754.0,11837.0,50.66,49.34,102.69,102.68,64.6,379.0,0.99,1157.0,94.0,10.0,34.73,31.48,6.63,3.93,16.01,24.12,30267.0,29170.0,27518.0,5236.0
050US01055,1055,0,103459,45959,41707,16.01,82.87,14.68,1.7,0.33,0.42,0.03,1.7,49,15.7,5.96,9.45,79.04,76.17,72.22,40.31,85737.0,15191.0,47.85,52.15,91.76,87.87,64.17,1763.0,1.7,345.0,432.0,36.0,32.27,25.94,8.13,5.29,21.71,23.83,81773.0,78805.0,74717.0,16560.0
050US01057,1057,0,18495,8472,7271,16.09,86.92,11.93,0.82,0.21,0.15,0.01,0.79,51,17.32,7.67,11.56,79.13,76.08,72.21,39.31,16075.0,2207.0,48.31,51.69,93.46,89.59,62.09,152.0,0.82,38.0,28.0,2.0,35.01,33.91,5.75,3.45,15.3,23.92,14635.0,14071.0,13356.0,2976.0
050US01059,1059,0,31223,13749,12965,14.85,89.68,4.21,7.42,0.33,0.11,0.1,5.67,54,18.89,5.58,10.84,78.29,75.51,71.48,41.52,28001.0,1314.0,49.1,50.9,96.45,92.84,67.04,2316.0,7.42,103.0,34.0,31.0,30.5,37.89,5.93,3.76,15.37,24.49,24446.0,23578.0,22317.0,4637.0
050US01061,1061,0,25764,12115,10007,16.31,87.11,10.65,1.76,0.76,0.12,0.02,1.36,54,19.62,7.97,13.52,78.95,76.0,72.46,38.84,22442.0,2743.0,48.63,51.37,94.67,90.03,67.92,453.0,1.76,197.0,32.0,6.0,31.99,34.38,5.57,3.11,17.64,24.0,20341.0,19581.0,18669.0,4203.0
050US01063,1063,1,9974,5117,3919,14.74,19.09,80.34,0.58,0.12,0.08,0.0,0.37,54,34.28,13.11,23.18,74.33,70.81,66.24,39.29,1904.0,8013.0,46.93,53.07,88.44,79.04,67.81,58.0,0.58,12.0,8.0,0.0,34.9,35.17,7.37,3.14,15.14,29.19,7414.0,7063.0,6607.0,1470.0
050US01065,1065,1,17185,7756,7007,13.48,39.83,58.95,0.91,0.17,0.16,0.02,0.89,54,26.88,7.99,17.29,73.77,70.4,65.87,40.77,6844.0,10131.0,47.19,52.81,89.37,83.61,66.14,157.0,0.91,30.0,27.0,4.0,35.91,34.77,5.11,2.99,15.26,29.6,12677.0,12098.0,11320.0,2316.0
050US01067,1067,0,16310,8037,6298,16.36,65.67,32.3,1.53,0.21,0.06,0.02,1.77,53,19.06,6.31,18.81,78.93,75.94,71.88,38.61,10710.0,5268.0,47.54,52.46,90.63,86.21,63.28,249.0,1.53,34.0,10.0,4.0,29.11,33.32,9.27,4.81,16.61,24.06,12874.0,12385.0,11723.0,2668.0
050US01069,1069,0,88787,39571,36792,13.7,73.08,24.6,1.26,0.37,0.62,0.02,1.33,40,15.0,5.23,9.44,77.15,74.11,70.45,41.44,64886.0,21840.0,47.5,52.5,90.46,86.2,64.91,1122.0,1.26,329.0,551.0,14.0,30.35,23.47,12.13,6.31,20.29,25.89,68496.0,65801.0,62551.0,12162.0
050US01071,1071,0,53926,24168,22327,13.37,91.89,3.74,1.13,1.75,0.23,0.02,2.38,45,13.67,5.13,10.56,78.72,75.83,72.11,41.4,49552.0,2019.0,48.74,51.26,95.07,92.0,70.49,610.0,1.13,946.0,124.0,13.0,34.88,32.95,6.59,3.84,15.58,24.17,42450.0,40890.0,38885.0,7210.0
050US01073,1073,0,662047,288162,288193,13.64,58.1,39.36,1.55,0.21,0.9,0.03,1.42,41,14.77,6.31,8.64,78.02,75.19,71.1,43.53,384639.0,260608.0,47.14,52.86,89.18,84.54,61.16,10284.0,1.55,1408.0,5971.0,188.0,27.92,19.11,15.86,8.74,21.93,24.81,516531.0,497807.0,470727.0,90285.0
050US01075,1075,0,15904,7517,6497,15.9,86.87,11.98,1.3,0.11,0.06,0.0,0.97,57,16.09,7.1,13.96,79.32,76.42,72.33,40.85,13816.0,1906.0,48.29,51.71,93.39,90.86,66.64,207.0,1.3,18.0,10.0,0.0,37.52,34.94,5.42,2.37,13.75,23.58,12615.0,12154.0,11504.0,2528.0
050US01077,1077,0,87966,40424,36951,15.05,88.38,9.85,1.02,0.25,0.35,0.02,1.17,41,14.43,5.6,10.73,79.61,76.96,72.31,42.01,77743.0,8663.0,47.84,52.16,91.71,88.2,67.59,894.0,1.02,223.0,308.0,17.0,34.14,23.63,11.92,6.56,17.51,23.04,70033.0,67699.0,63609.0,13241.0
050US01079,1079,0,34803,15009,14972,12.05,77.77,13.36,1.05,5.36,0.1,0.01,3.41,52,15.25,6.23,9.8,77.38,74.31,70.49,43.02,27067.0,4648.0,49.04,50.96,96.22,92.36,68.81,367.0,1.05,1865.0,35.0,3.0,39.44,34.38,5.06,2.46,13.1,25.69,26929.0,25863.0,24534.0,4195.0
050US01081,1081,1,115092,50329,62799,8.11,74.07,22.65,1.43,0.24,1.63,0.02,1.41,32,21.81,5.76,9.19,79.24,76.71,66.08,54.56,85247.0,26071.0,49.2,50.8,96.87,95.25,66.43,1645.0,1.43,273.0,1875.0,25.0,26.66,18.59,15.12,12.79,21.09,23.29,91199.0,88290.0,76055.0,9337.0
050US01083,1083,0,65676,26897,29588,11.07,83.79,13.33,2.65,0.46,0.35,0.02,2.07,40,12.35,4.26,8.21,77.88,75.12,71.45,45.05,55029.0,8752.0,50.76,49.24,103.07,101.84,69.84,1740.0,2.65,304.0,231.0,14.0,32.45,25.5,11.89,5.02,18.31,24.88,51150.0,49335.0,46924.0,7271.0
050US01085,1085,1,13473,5801,5622,12.22,25.86,73.37,0.63,0.11,0.12,0.02,0.54,57,31.37,11.93,15.38,73.41,69.81,65.17,41.73,3484.0,9885.0,46.78,53.22,87.88,82.87,73.08,85.0,0.63,15.0,16.0,3.0,33.37,35.74,7.37,3.64,15.2,30.19,9890.0,9405.0,8780.0,1646.0
050US01087,1087,1,24105,10627,10586,13.97,13.96,84.64,0.72,0.16,0.38,0.0,0.86,53,32.84,12.29,15.78,77.51,74.77,65.85,43.92,3365.0,20403.0,45.94,54.06,85.0,80.26,67.93,173.0,0.72,39.0,91.0,1.0,24.98,30.01,10.36,8.39,20.04,25.23,18683.0,18024.0,15872.0,3367.0
050US01089,1089,0,276700,120288,124649,10.85,72.06,22.78,1.89,0.77,1.86,0.06,2.53,32,10.55,5.73,8.59,77.17,74.42,70.01,45.05,199401.0,63025.0,48.8,51.2,95.3,92.13,72.87,5226.0,1.89,2129.0,5140.0,158.0,21.95,14.58,22.71,11.56,22.34,25.58,213542.0,205913.0,193727.0,30015.0
050US01091,1091,1,22539,10127,8813,14.58,47.28,51.71,0.97,0.08,0.18,0.01,0.74,54,25.9,8.74,13.43,74.84,71.51,67.63,39.1,10657.0,11655.0,46.89,53.11,88.3,82.15,64.1,219.0,0.97,19.0,41.0,3.0,37.35,28.06,7.71,4.38,17.19,28.49,16869.0,16117.0,15242.0,3287.0
050US01093,1093,0,31214,14416,12564,15.81,94.76,3.63,1.15,0.29,0.2,0.03,1.11,52,15.64,8.09,11.92,80.12,77.45,73.63,40.25,29579.0,1134.0,49.5,50.5,98.02,95.2,66.24,360.0,1.15,91.0,62.0,10.0,32.89,36.84,4.89,3.06,15.59,22.55,25010.0,24176.0,22984.0,4934.0
050US01095,1095,0,82231,36331,34282,14.25,93.38,1.47,5.66,0.53,0.24,0.04,4.38,44,14.66,5.75,10.42,77.94,75.15,71.31,41.69,76791.0,1207.0,48.66,51.34,94.77,91.47,67.87,4656.0,5.66,433.0,201.0,36.0,30.49,30.65,9.09,4.81,18.38,24.85,64089.0,61794.0,58637.0,11717.0
050US01097,1097,0,399843,165101,173049,11.98,63.07,33.38,1.22,0.67,1.41,0.03,1.47,43,18.51,7.6,9.04,75.59,72.52,68.07,43.28,252199.0,133465.0,47.78,52.22,91.5,87.12,66.1,4887.0,1.22,2682.0,5628.0,101.0,31.91,23.28,12.19,6.45,19.62,27.48,302248.0,289962.0,272188.0,47919.0
050US01099,1099,1,24324,11343,9833,13.83,57.75,40.07,0.78,0.97,0.29,0.01,0.92,43,21.32,8.38,17.28,75.05,71.7,67.46,40.43,14047.0,9747.0,47.59,52.41,90.81,86.4,67.15,190.0,0.78,236.0,70.0,2.0,34.37,32.12,7.3,4.49,16.25,28.3,18255.0,17441.0,16408.0,3363.0
050US01101,1101,1,223510,95437,102409,11.77,48.85,48.58,1.19,0.25,0.99,0.03,1.33,38,17.34,6.66,9.82,77.07,74.21,68.84,45.82,109180.0,108583.0,47.59,52.41,90.79,86.66,60.85,2665.0,1.19,568.0,2217.0,72.0,24.35,19.74,17.42,11.09,20.8,25.79,172256.0,165864.0,153856.0,26307.0
050US01103,1103,0,111064,47388,47494,12.34,85.07,11.24,3.28,0.67,0.45,0.07,2.57,41,12.29,5.41,7.99,77.47,74.66,70.95,42.76,94485.0,12485.0,49.03,50.97,96.18,93.49,67.27,3645.0,3.28,747.0,495.0,75.0,30.34,23.66,12.66,5.73,19.96,25.34,86039.0,82920.0,78795.0,13708.0
050US01105,1105,1,11861,5406,4776,14.86,30.86,68.38,0.86,0.08,0.03,0.03,0.65,54,35.36,14.71,19.85,74.03,70.18,64.29,40.27,3660.0,8111.0,45.61,54.39,83.86,78.4,65.45,102.0,0.86,9.0,4.0,3.0,30.37,37.62,5.23,4.82,14.62,29.82,8781.0,8324.0,7625.0,1762.0
050US01107,1107,0,20949,9520,8240,15.72,55.95,42.96,0.7,0.12,0.11,0.02,0.87,53,24.91,8.22,15.06,76.08,72.74,68.47,39.33,11720.0,8999.0,46.82,53.18,88.05,83.35,65.73,147.0,0.7,25.0,23.0,5.0,37.75,30.35,6.45,3.32,17.16,27.26,15939.0,15238.0,14344.0,3293.0
050US01109,1109,1,29605,13981,13641,12.59,60.77,36.6,1.23,0.66,0.35,0.02,1.62,45,23.07,9.29,14.65,78.4,75.64,67.99,46.08,17990.0,10835.0,47.24,52.76,89.53,84.88,64.4,365.0,1.23,194.0,105.0,5.0,30.01,30.91,11.4,7.04,15.49,24.36,23210.0,22394.0,20128.0,3727.0
050US01111,1111,0,22380,10285,8884,15.92,76.38,22.24,1.22,0.2,0.22,0.0,0.96,48,17.01,5.34,15.97,77.72,74.89,70.66,39.7,17094.0,4977.0,48.3,51.7,93.43,90.04,65.61,272.0,1.22,45.0,50.0,1.0,31.99,38.06,6.23,3.79,14.16,25.11,17393.0,16760.0,15813.0,3564.0
050US01113,1113,1,49756,22831,21086,13.15,56.69,40.84,1.5,0.37,0.36,0.07,1.74,51,19.9,6.32,13.53,76.46,73.48,69.52,42.38,28209.0,20319.0,47.64,52.36,90.99,85.89,63.65,744.0,1.5,182.0,181.0,37.0,33.0,33.48,6.26,3.43,17.26,26.52,38042.0,36562.0,34588.0,6541.0
050US01115,1115,0,64742,27303,27785,11.7,90.03,8.13,1.06,0.37,0.17,0.03,1.29,39,12.08,4.16,11.57,77.37,74.64,71.19,42.92,58288.0,5263.0,50.43,49.57,101.75,98.83,72.82,686.0,1.06,242.0,112.0,17.0,34.62,28.66,7.54,3.57,18.24,25.36,50093.0,48325.0,46093.0,7578.0
050US01117,1117,0,143293,59302,65866,8.5,89.8,7.4,2.03,0.33,1.03,0.02,1.44,28,6.31,2.96,7.88,76.44,73.75,70.2,45.97,128671.0,10606.0,49.03,50.97,96.2,92.6,74.43,2910.0,2.03,473.0,1477.0,26.0,23.01,13.15,25.57,11.22,20.96,26.25,109534.0,105673.0,100585.0,12179.0
050US01119,1119,1,14798,6953,6308,13.89,25.92,73.17,1.12,0.09,0.1,0.01,0.72,51,38.7,11.45,17.91,74.1,70.91,65.41,42.63,3836.0,10827.0,45.92,54.08,84.91,78.18,57.43,165.0,1.12,14.0,15.0,2.0,31.14,35.24,7.32,5.12,16.15,29.09,10966.0,10493.0,9680.0,2056.0
050US01121,1121,0,80321,34469,34020,13.27,67.02,31.55,1.01,0.23,0.2,0.02,1.0,53,17.61,7.74,11.01,78.07,75.02,70.88,42.36,53830.0,25339.0,48.91,51.09,95.73,93.54,64.76,812.0,1.01,184.0,162.0,20.0,34.43,30.35,6.9,4.31,17.43,24.98,62705.0,60255.0,56931.0,10655.0
050US01123,1123,0,41475,20510,15946,16.57,73.48,25.36,0.58,0.26,0.18,0.01,0.72,53,16.56,6.06,18.79,78.49,75.8,72.23,38.45,30474.0,10518.0,47.51,52.49,90.51,86.09,64.84,242.0,0.58,109.0,75.0,3.0,32.95,29.92,9.44,4.7,16.62,24.2,32555.0,31438.0,29959.0,6872.0
050US01125,1125,0,164875,71429,79961,11.26,68.12,29.31,1.29,0.23,0.92,0.03,1.42,39,17.02,6.17,9.68,79.24,76.62,68.81,48.5,112320.0,48327.0,48.14,51.86,92.83,89.53,67.74,2130.0,1.29,372.0,1516.0,52.0,28.39,21.18,14.33,9.7,20.16,23.38,130654.0,126332.0,113451.0,18565.0
050US01127,1127,0,70713,32417,28754,14.78,92.15,6.17,0.86,0.28,0.2,0.02,1.19,59,16.5,6.45,12.5,79.2,76.47,72.58,40.66,65163.0,4364.0,48.25,51.75,93.23,89.82,65.19,607.0,0.86,201.0,141.0,14.0,34.74,32.79,5.35,3.78,17.52,23.53,56007.0,54077.0,51326.0,10453.0
050US01129,1129,0,18097,8123,7424,12.41,64.98,26.89,0.88,7.12,0.06,0.03,0.95,44,18.48,7.67,17.46,74.73,71.33,67.09,41.02,11759.0,4867.0,49.01,50.99,96.11,91.14,74.24,160.0,0.88,1289.0,10.0,5.0,43.63,27.69,5.58,3.04,14.72,28.67,13523.0,12908.0,12141.0,2246.0
050US01131,1131,1,13183,6183,5299,13.73,27.51,71.9,0.74,0.14,0.13,0.02,0.32,54,39.94,15.2,22.76,73.23,69.35,64.64,40.2,3626.0,9479.0,46.59,53.41,87.23,80.99,60.18,97.0,0.74,19.0,17.0,2.0,30.25,40.46,7.57,2.57,13.91,30.65,9654.0,9142.0,8522.0,1810.0
050US01133,1133,0,24843,12502,10104,14.22,97.32,0.38,1.5,0.46,0.13,0.01,1.71,49,17.14,6.25,19.16,78.93,76.3,72.66,40.67,24177.0,94.0,48.97,51.03,95.97,93.54,68.8,372.0,1.5,114.0,32.0,2.0,34.28,37.4,4.37,3.89,13.75,23.7,19608.0,18955.0,18050.0,3533.0
050US02013,2013,0,2697,724,1504,2.63,23.95,1.67,12.57,37.26,26.51,0.3,10.6,22,21.83,41.42,27.35,85.72,83.17,79.2,55.77,646.0,45.0,64.89,35.11,184.79,207.68,195.83,339.0,12.57,1005.0,715.0,8.0,48.98,25.26,3.14,1.74,16.44,16.83,2312.0,2243.0,2136.0,71.0
050US02016,2016,0,5465,2234,3198,2.29,40.04,3.02,10.48,20.95,24.59,0.62,11.4,31,11.88,12.7,43.15,84.72,82.82,80.04,58.52,2188.0,165.0,64.28,35.72,179.97,202.14,92.31,573.0,10.48,1145.0,1344.0,34.0,34.39,21.48,9.03,2.0,21.74,17.18,4630.0,4526.0,4374.0,125.0
050US02020,2020,0,260283,100368,125679,5.47,72.23,5.84,5.69,7.28,5.55,0.93,9.11,26,7.35,6.76,5.53,74.01,70.85,66.68,48.29,188009.0,15199.0,50.59,49.41,102.37,101.63,78.61,14799.0,5.69,18941.0,14433.0,2423.0,24.22,9.71,18.67,10.24,28.05,29.15,192642.0,184412.0,173564.0,14242.0
050US02050,2050,0,16006,5188,7153,5.19,12.53,0.38,0.87,81.93,1.05,0.06,4.1,29,20.61,14.59,18.54,64.24,60.16,55.66,44.69,2006.0,61.0,53.11,46.89,113.24,112.8,101.7,140.0,0.87,13114.0,168.0,9.0,38.6,29.03,8.22,4.86,14.47,39.84,10283.0,9629.0,8909.0,831.0
050US02060,2060,0,1258,979,581,3.82,52.54,0.56,0.56,43.72,0.24,0.48,2.94,43,9.46,10.48,49.95,72.26,68.68,65.58,46.18,661.0,7.0,54.45,45.55,119.55,125.59,152.63,7.0,0.56,550.0,3.0,6.0,34.02,11.13,12.92,8.18,26.34,31.32,909.0,864.0,825.0,48.0
050US02068,2068,0,1893,1351,915,3.06,85.74,1.43,2.48,4.75,1.53,0.37,6.55,18,7.89,11.57,41.89,79.66,76.23,73.85,48.34,1623.0,27.0,58.16,41.84,139.02,147.09,205.26,47.0,2.48,90.0,29.0,7.0,30.4,8.28,17.4,5.32,32.07,23.77,1508.0,1443.0,1398.0,58.0
050US02070,2070,0,4922,2332,2079,5.73,21.64,0.37,2.26,70.13,0.61,0.02,7.25,31,21.41,11.53,34.43,65.6,61.87,58.33,42.24,1065.0,18.0,52.15,47.85,109.0,108.85,104.35,111.0,2.26,3452.0,30.0,1.0,33.9,23.35,10.36,6.06,18.53,38.13,3229.0,3045.0,2871.0,282.0
050US02090,2090,0,82840,33291,41682,4.64,77.79,5.85,4.15,6.9,2.08,0.3,7.39,21,7.78,9.11,10.56,73.06,69.92,64.86,50.32,64439.0,4843.0,52.17,47.83,109.07,110.86,90.72,3440.0,4.15,5714.0,1720.0,245.0,25.51,8.17,16.38,10.65,28.92,30.08,60520.0,57921.0,53732.0,3845.0
050US02100,2100,0,2392,1419,928,10.45,82.53,0.13,1.38,11.5,0.71,0.08,5.14,28,10.67,13.66,30.16,78.0,74.31,71.75,38.8,2054.82712456345,3.2022700814901,50.8,49.2,103.25,103.96,110.22,36.924039580908,1.46,323.666181606519,17.5259022118743,2.2022700814901,31.11,11.32,18.38,5.3,26.2,25.63,1974.16268917346,1880.78230500582,1815.96827706636,260.194412107101
