HEROP_ID,FIPS,RxCtTmDr,RxAvTmDr,RxTmDrP,NoIntP,OdMortRt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
050US34023,34023,175.0,1.54,1.0,9.4,25.2,299.14,,1725,
050US34041,34041,23.0,3.64,1.0,11.24,19.1,202.21,,146,
050US35007,35007,3.0,3.3,1.0,29.51,27.9,393.33,,29,
050US35011,35011,1.0,0.0,1.0,28.42,22.3,531.35,,5,
050US35051,35051,3.0,15.92,0.75,33.99,38.3,594.09,,34,
050US36013,36013,36.0,5.93,1.0,18.6,21.7,257.99,193.49,208,156
050US36029,36029,237.0,2.34,1.0,15.39,19.6,356.42,128.77,2217,801
050US36043,36043,19.0,7.18,1.0,16.33,11.9,309.34,177.14,117,67
050US36045,36045,24.0,10.47,0.92,13.53,14.8,287.17,156.52,222,121
050US36047,36047,761.0,0.73,1.0,17.28,13.3,297.17,99.91,17724,5959
050US36053,36053,,,,14.18,12.3,293.29,156.57,133,71
050US36065,36065,,,,15.88,21.5,591.15,237.27,872,350
050US36077,36077,15.0,13.25,0.88,16.89,13.5,326.56,160.73,128,63
050US36081,36081,669.0,1.09,1.0,14.19,11.7,297.17,99.91,17724,5959
050US36091,36091,50.0,5.94,1.0,8.1,8.2,218.3,139.69,336,215
050US36115,36115,16.0,11.62,0.94,16.92,9.2,574.87,362.42,230,145
050US37007,37007,6.0,11.32,1.0,22.92,16.6,752.8,513.93,104,71
050US37027,37027,17.0,5.41,1.0,19.22,24.2,472.15,291.45,243,150
050US37039,37039,6.0,17.37,0.86,21.1,38.3,427.64,278.9,69,45
050US37049,37049,21.0,5.42,1.0,16.44,37.2,664.76,341.87,420,216
050US37055,37055,10.0,9.78,0.91,7.35,36.0,498.98,264.68,115,61
050US37059,37059,7.0,7.04,1.0,14.29,20.0,470.06,210.19,123,55
050US37069,37069,12.0,8.27,1.0,19.21,22.6,283.62,204.21,125,90
050US37083,37083,12.0,4.57,1.0,34.47,23.9,617.16,306.93,187,93
050US37091,37091,5.0,6.04,1.0,31.87,16.5,688.31,229.44,99,33
050US37093,37093,9.0,10.59,1.0,17.23,17.4,584.4,391.55,200,134
050US37099,37099,8.0,13.54,0.89,21.52,25.2,271.48,219.28,78,63
050US37111,37111,10.0,9.9,1.0,23.57,28.7,504.23,323.13,142,91
050US37117,37117,6.0,10.27,1.0,25.5,21.1,2110.82,1718.81,280,228
050US37127,37127,18.0,5.24,1.0,21.03,17.1,563.77,443.68,338,266
050US37165,37165,7.0,6.25,1.0,34.99,18.4,790.31,411.33,171,89
050US37175,37175,7.0,6.47,1.0,16.36,24.4,327.13,155.52,61,29
050US37199,37199,5.0,13.09,1.0,26.96,25.4,765.59,401.02,84,44
050US38017,38017,33.0,3.51,1.0,9.37,8.9,239.88,174.53,301,219
050US38037,38037,1.0,0.0,1.0,25.23,6.9,500.0,,6,
050US38085,38085,0.0,62.93,0.0,38.04,13.6,,,,
050US38099,38099,6.0,9.76,1.0,27.99,6.9,503.22,330.24,32,21
050US39035,39035,447.0,2.59,1.0,17.99,39.7,923.23,308.8,7576,2534
050US39039,39039,9.0,6.32,1.0,16.09,17.1,690.45,314.14,633,288
050US39043,39043,18.0,9.78,0.95,14.5,24.2,786.34,381.38,367,178
050US39125,39125,5.0,12.51,1.0,20.19,10.8,514.58,334.48,60,39
050US40065,40065,7.0,10.38,0.88,14.11,22.9,1507.51,763.21,239,121
050US48103,48103,1.0,0.0,1.0,32.72,12.6,532.8,399.6,16,12
050US48141,48141,161.0,3.71,1.0,17.57,11.6,443.61,239.92,2498,1351
050US48151,48151,2.0,11.79,1.0,26.42,8.5,661.0,472.14,14,10
050US48161,48161,7.0,9.96,1.0,29.14,10.7,966.14,411.66,115,49
050US48167,48167,66.0,4.12,0.99,11.24,17.0,713.88,418.33,1628,954
050US48199,48199,10.0,7.62,0.91,15.61,15.9,790.08,407.78,279,144
050US48213,48213,17.0,6.63,1.0,21.82,19.4,1061.48,580.46,523,286
050US48229,48229,0.0,149.67,0.0,38.55,9.4,703.4,234.47,18,6
050US48241,48241,8.0,6.44,1.0,28.68,17.7,1172.63,717.43,237,145
050US48245,48245,72.0,4.85,0.99,25.18,14.4,1225.18,527.39,2042,879
050US48261,48261,0.0,87.89,0.0,51.78,8.4,3111.11,3555.56,7,8
050US48289,48289,2.0,13.68,0.67,23.76,15.9,1322.96,667.04,119,60
050US48317,48317,1.0,30.52,0.5,29.34,12.3,306.0,244.8,10,8
050US48333,48333,2.0,6.46,1.0,26.37,12.6,2204.41,1042.08,55,26
050US48347,48347,12.0,9.81,0.92,17.51,11.5,1286.77,635.12,545,269
050US48361,48361,21.0,6.36,1.0,16.02,22.0,1429.55,772.18,772,417
050US48371,48371,4.0,1.54,1.0,30.46,8.3,918.71,379.47,92,38
050US48395,48395,4.0,11.55,0.8,23.48,16.1,1207.32,583.87,122,59
050US48423,48423,41.0,3.49,1.0,16.32,11.1,1802.23,694.85,2630,1014
050US48427,48427,14.0,10.01,0.93,38.86,4.2,340.71,179.06,137,72
050US48457,48457,4.0,15.41,0.8,25.42,20.8,1062.53,645.69,130,79
050US48471,48471,10.0,8.19,1.0,16.43,9.3,501.37,200.19,283,113
050US48475,48475,3.0,10.35,1.0,22.83,13.8,1364.76,758.2,99,55
050US48477,48477,6.0,6.28,1.0,24.27,7.7,1068.25,480.48,229,103
050US48499,48499,10.0,6.98,1.0,18.55,12.4,1162.88,502.87,296,128
050US49001,49001,1.0,28.48,0.5,21.56,27.2,716.93,393.15,31,17
050US49003,49003,10.0,11.78,0.91,10.27,19.6,267.08,166.57,93,58
050US49011,49011,54.0,2.17,1.0,5.98,14.5,233.4,170.23,532,388
050US40073,40073,3.0,12.64,0.75,22.14,12.7,833.25,147.66,79,14
050US40079,40079,11.0,8.27,0.92,28.52,20.7,1020.71,577.07,306,173
050US40145,40145,22.0,6.62,1.0,11.13,20.0,347.54,139.41,177,71
050US41005,41005,79.0,5.87,0.99,8.59,10.3,383.17,153.27,1030,412
