HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,OdMortRt
050US48371,932.27,418.57,98.0,44.0,14.8
050US48395,1144.41,514.01,118.0,53.0,13.8
050US48423,1813.52,744.69,2596.0,1066.0,11.0
050US48427,485.86,227.59,190.0,89.0,8.5
050US48457,700.92,298.26,94.0,40.0,19.1
050US48471,457.79,248.36,247.0,134.0,10.6
050US48475,1282.41,766.66,92.0,55.0,19.6
050US48477,1121.07,689.53,239.0,147.0,11.9
050US48499,1028.54,430.55,258.0,108.0,13.7
050US49001,1003.17,686.38,38.0,26.0,26.2
050US49003,223.97,108.87,72.0,35.0,24.0
050US49011,219.42,146.59,470.0,314.0,19.3
050US40073,1114.32,464.3,108.0,45.0,17.9
050US40079,892.26,420.64,280.0,132.0,27.6
050US40145,307.44,98.46,153.0,49.0,21.5
050US41005,,,,,11.5
050US41021,,,,,15.0
050US41033,,,,,14.8
050US41035,,,,,15.2
050US41039,,,,,19.5
050US41043,,,,,14.8
050US41051,,,,,16.8
050US41055,,,,,15.2
050US41061,,,,,15.9
050US42005,248.7,114.79,104.0,48.0,46.9
050US42029,344.5,133.79,1169.0,454.0,21.9
050US42035,465.74,276.29,118.0,70.0,18.7
050US42059,511.7,422.35,126.0,104.0,37.3
050US42067,452.31,222.88,69.0,34.0,16.5
050US42091,314.69,151.26,1681.0,808.0,28.9
050US42111,452.14,341.71,217.0,164.0,29.8
050US45005,537.45,218.34,32.0,13.0,14.1
050US45019,575.35,179.75,1546.0,483.0,18.1
050US45025,484.78,181.79,144.0,54.0,15.8
050US45043,755.09,297.04,272.0,107.0,23.0
050US45063,543.75,210.48,1023.0,396.0,16.7
050US45077,562.57,254.52,473.0,214.0,27.6
050US45091,613.55,207.85,1045.0,354.0,19.4
050US46073,,,,,11.6
050US46093,574.58,379.34,103.0,68.0,13.1
050US46095,906.1,494.23,11.0,6.0,13.0
050US46123,1079.58,647.75,35.0,21.0,12.6
050US47001,593.08,358.36,283.0,171.0,38.2
050US47003,1235.55,531.88,374.0,161.0,18.6
050US47005,661.57,227.41,64.0,22.0,29.3
050US47019,615.26,253.34,221.0,91.0,29.0
050US47029,957.09,485.35,211.0,107.0,25.7
050US47049,1207.86,658.01,134.0,73.0,31.0
050US47063,836.36,465.76,334.0,186.0,33.0
050US47073,583.29,241.17,208.0,86.0,34.5
050US47081,621.42,307.64,101.0,50.0,23.8
050US47097,1017.73,463.16,167.0,76.0,21.9
050US47121,399.31,266.21,30.0,20.0,34.2
050US47149,430.08,206.83,917.0,441.0,18.5
050US47173,810.7,405.35,100.0,50.0,38.5
050US48007,1402.38,834.59,205.0,122.0,17.1
050US25001,218.75,61.7,273.0,77.0,36.0
050US25013,381.45,72.41,1180.0,224.0,28.7
050US25025,267.58,52.26,1577.0,308.0,31.6
050US26033,755.85,223.23,193.0,57.0,16.3
050US26053,553.93,209.03,53.0,20.0,20.5
050US26063,347.28,89.45,66.0,17.0,18.3
050US26097,338.51,261.58,22.0,17.0,17.5
050US26115,553.02,221.21,540.0,216.0,32.2
050US13283,1837.46,565.37,78.0,24.0,15.7
050US13289,1087.8,271.95,56.0,14.0,15.7
050US13313,1101.02,532.75,744.0,360.0,16.2
050US13317,1158.24,545.05,68.0,32.0,16.5
050US15001,,,,,13.2
050US15009,,,,,13.4
050US16059,,,,,19.0
050US16073,,,,,19.6
050US16083,,,,,18.1
050US16087,,,,,19.8
050US17027,,,,,16.3
050US17031,,,,,21.2
050US17047,,,,,20.6
050US49029,74.12,59.29,5.0,4.0,27.2
050US49035,305.25,136.82,2269.0,1017.0,23.9
050US49043,167.13,90.83,46.0,25.0,21.7
050US49049,199.8,117.59,751.0,442.0,18.7
050US51015,,,,,15.5
050US51037,,,,,15.1
050US51051,,,,,47.3
050US51053,,,,,16.7
050US51069,,,,,23.7
050US51073,,,,,18.5
050US51085,,,,,13.3
050US51099,,,,,21.3
050US51125,,,,,16.8
050US51131,,,,,17.1
050US51137,,,,,24.3
050US51145,,,,,14.8
050US51149,,,,,15.1
050US51161,,,,,18.5
050US51177,,,,,18.5
050US51185,,,,,35.8
050US51199,,,,,11.5
050US53005,410.83,228.15,506.0,281.0,15.5
050US53007,382.11,246.25,180.0,116.0,16.1
050US53009,366.51,221.77,157.0,95.0,27.0
050US53015,846.81,409.7,556.0,269.0,22.6
050US53025,486.31,270.55,284.0,158.0,14.5
050US53031,216.55,134.61,37.0,23.0,22.3
050US53037,358.7,244.42,113.0,77.0,13.3
050US53043,335.85,151.13,20.0,9.0,20.2
050US12077,1091.89,386.36,65.0,23.0,17.5
050US05061,,,,,21.9
050US05093,,,,,18.7
050US05095,,,,,15.9
050US05099,,,,,16.0
050US05103,,,,,14.8
050US05109,,,,,19.5
050US05117,,,,,15.8
050US05133,,,,,24.6
050US05147,,,,,16.9
050US06045,644.24,256.95,346.0,138.0,29.1
050US06051,181.74,50.48,18.0,5.0,20.6
050US24011,,,,,28.3
050US24033,,,,,14.1
050US24043,,,,,35.4
050US25007,92.36,0.0,10.0,0.0,22.9
