"HEROP_ID","FIPS","RxCtTmDr","RxAvTmDr","RxTmDrP","NoIntP","MedcdExp","ExpSsp","NoPrphLw","NtPrFrDsSy","PrExcInj","PrNtRefInj","NoLwRmUnc","OdMortRt","AnyGslDt","GslArrDt","AnyGslFr","GslArrFr","HcvD","MlHcvD","FlHcvD","U50HcvD","A50_74HcvD","O75HcvD","AmInHcvD","AsHcvD","NhPiHcvD","BlkHcvD","WhtHcvD","MulHcvD","HspHcvD","MdMarijLaw","AnyNalxDt","NalxPrStDt","NalxPresDt","AnyNalxFr","NalxPrStFr","NalxPresFr","AnyPdmpFr","AnyPdmphFr","OpPdmpFr","MsAcPdmpFr","ElcPdmpFr","AnyPdmpDt","AnyPdmphDt","OpPdmpDt","MsAcPdmpDt","ElcPdmpDt","PlcFyrExp","CrrctExp","HlthExp","WlfrExp"
"040US27","27",1287,6.22,0.96,11.63,12767857927,1,0,0,0,0,0,14.2,"7/1/2014","",1,0,199,136,63,-1,167,-1,18,10,-1,35,127,-1,-1,1,"6/1/2014","6/1/2014","7/1/2020",1,1,0,1,1,1,0,1,"7/1/2007","1/1/2009","4/1/2010","1/1/2021","7/1/2007",2867948,5819814,8158265,7175462
"040US28","28",638,7.46,0.96,24.44,5526832167,0,0,0,0,0,1,13.6,"7/1/2015","7/1/2015",1,1,144,95,49,-1,111,-1,0,-1,0,39,100,-1,-1,0,"7/1/2015","7/1/2015","",1,1,0,1,1,1,0,1,"1/1/2005","6/1/2006","7/1/2008","","6/30/2006",1086470,5616709,9452948,9170788
"040US29","29",1352,5.72,0.97,15.85,10252142000,0,0,0,0,0,1,26.9,"8/28/2017","8/28/2017",1,1,205,150,55,-1,178,-1,-1,-1,0,37,160,0,-1,1,"9/1/2016","9/1/2016","",1,1,0,0,1,0,0,0,"8/28/2021","7/1/2017","12/13/2023","","12/13/2023",3382232,9139487,15141604,14401849
"040US30","30",209,18.11,0.77,15.45,1888589216,1,0,0,0,0,0,14.1,"5/3/2017","5/3/2017",1,1,54,36,18,-1,35,-1,15,0,0,0,38,0,-1,1,"5/1/2017","5/1/2017","",1,1,0,1,1,1,0,1,"7/1/2011","7/1/2011","10/1/2012","7/1/2021","7/1/2011",498552,1078559,1368266,1127924
"040US31","31",515,5.57,0.97,13.45,2178227037,0,0,0,0,0,1,8.7,"8/24/2017","8/24/2017",1,1,59,42,17,-1,42,-1,-1,0,0,-1,49,0,-1,0,"6/1/2015","","",1,0,0,1,1,1,0,1,"4/14/2011","8/1/2011","1/1/2017","","8/27/2011",833263,2296225,2846598,2382989
"040US32","32",668,5.4,0.97,13.25,3995621251,1,0,0,1,0,0,20.1,"10/1/2015","10/1/2015",1,1,128,98,30,-1,106,-1,-1,-1,0,15,90,-1,15,1,"10/1/2015","10/1/2015","",1,1,0,1,1,1,1,1,"6/29/1995","1/1/1996","2/1/2011","10/1/2015","10/1/1995",1998392,3191192,3887336,3147746
"040US33","33",288,7.11,0.98,9.31,1998974283,1,0,0,0,1,0,32,"9/6/2015","9/6/2015",1,1,44,34,10,-1,10,-1,0,0,0,0,44,0,0,1,"6/1/2015","6/1/2015","",1,1,0,1,1,1,1,1,"6/12/2012","6/1/2012","10/1/2014","1/21/2016","6/12/2012",745178,675255,687568,475157
"040US34","34",2009,1.87,1,11.52,16092750284,1,0,0,0,0,0,31.7,"5/2/2013","5/2/2013",1,1,224,168,56,-1,182,12,0,-1,0,63,117,-1,37,1,"7/1/2013","7/1/2013","",1,1,0,1,1,1,1,1,"1/4/2008","8/1/2009","1/1/2012","11/1/2015","8/1/2010",4714930,9678094,12527748,10544968
"040US35","35",443,11.02,0.89,21.24,5278429102,1,0,0,0,0,0,30.2,"6/15/2007","7/1/2019",1,1,165,124,41,-1,138,-1,-1,-1,0,-1,52,-1,96,1,"4/1/2001","4/1/2016","4/1/2014",1,1,1,1,1,1,1,1,"7/15/2004","7/1/2004","8/1/2005","9/28/2012","7/15/2004",1089779,3616601,4785830,4039381
"040US36","36",4883,2.85,0.99,13.9,60281679030,1,0,0,0,0,0,18.2,"9/18/2011","",1,0,556,383,173,12,460,60,-1,13,0,144,240,0,141,1,"4/1/2006","7/1/2014","",1,1,0,1,1,1,1,1,"1/1/1972","1/1/1990","6/1/2013","8/27/2013","1/1/1998",14847685,38013889,56234048,51189728
"040US37","37",2167,5.7,0.99,15.71,13780306363,1,0,0,0,0,0,22.3,"4/9/2013","",1,0,402,298,104,10,364,-1,-1,-1,0,132,254,-1,-1,0,"5/1/2013","5/1/2013","",1,1,0,1,1,1,1,1,"8/13/2005","1/1/2006","7/1/2007","6/29/2017","1/1/2006",4556883,21338140,35571220,34253873
"040US38","38",176,11.01,0.86,13.95,1174487740,1,0,0,0,0,0,11.4,"8/1/2015","",1,0,30,21,-9,-1,-1,-1,-1,-1,0,0,20,-1,-1,1,"8/1/2015","8/1/2015","4/1/2016",1,1,1,1,1,1,1,1,"12/1/2005","12/1/2006","10/1/2008","1/1/2018","4/5/2007",293724,639909,733868,566998
"040US39","39",2947,4.29,1,14.72,23650438546,1,0,0,0,0,0,38.3,"9/13/2016","9/13/2016",1,1,450,337,113,33,371,15,-1,-1,0,133,298,0,17,1,"4/1/2014","8/1/2015","",1,1,0,1,1,1,1,1,"5/18/2005","5/1/2005","10/1/2006","4/15/2015","5/18/2005",6084939,14144945,20714232,19035189
"040US40","40",1012,5.72,0.97,17.69,5119072454,0,0,0,0,0,1,16.7,"11/1/2018","11/1/2018",1,1,533,380,153,37,456,20,42,-1,-1,50,389,22,24,1,"11/1/2013","","11/1/2017",1,0,1,1,1,1,1,1,"5/15/1990","1/1/1991","7/1/2006","11/1/2015","5/15/1990",1726964,4008182,5618310,4931402
"040US41","41",788,6.98,0.94,10.5,9483314126,0,0,0,1,0,0,14,"1/1/2016","1/1/2016",1,1,425,296,129,14,360,18,-1,13,0,17,359,-1,14,1,"7/1/2013","","7/1/2013",1,0,1,1,1,1,0,1,"7/23/2009","7/1/2009","9/1/2011","","7/23/2009",2696830,7776769,10866019,9722799
"040US42","42",3193,3.68,0.99,15.29,32241387916,0,0,0,0,0,1,35.6,"12/1/2014","",1,0,445,331,114,23,377,10,0,-1,0,98,310,0,34,1,"12/1/2014","12/1/2014","",1,1,0,1,1,1,1,1,"1/1/1972","1/1/1990","8/1/2016","6/30/2015","1/1/2002",5281506,18381562,25414135,21708123
"040US44","44",244,2.47,1,13.29,2599424865,1,0,0,0,1,0,29.5,"6/18/2012","",1,0,57,41,16,-1,44,-1,0,-1,0,-1,45,0,-1,1,"7/1/2012","3/1/2014","",1,1,0,1,1,1,1,1,"1/1/1978","1/1/1990","9/1/2012","6/28/2016","1/1/1997",812987,835843,911660,672283
"040US45","45",1086,6.07,0.98,17.72,6512470426,0,0,0,0,1,0,22.7,"6/10/2017","",1,0,220,165,55,-1,194,-1,-1,-1,0,70,142,0,-1,0,"6/1/2015","6/1/2015","6/1/2015",1,1,1,1,1,1,1,1,"6/14/2006","6/1/2006","2/1/2008","5/19/2017","6/14/2006",1966023,10152683,17646581,17173739
"040US46","46",192,11.6,0.85,15.59,906411270,0,0,0,0,0,1,10.5,"7/1/2017","7/1/2017",1,1,29,22,-9,-1,-1,-1,-1,0,0,0,24,-1,0,0,"7/1/2016","7/1/2016","",1,1,0,1,1,1,0,1,"3/29/2010","3/1/2010","3/1/2012","","7/1/2010",292946,654853,698322,506593
"040US47","47",1475,6.12,0.99,18.03,10160181851,1,0,0,0,0,0,31.2,"7/1/2015","7/1/2015",1,1,491,351,140,76,386,13,-1,-1,0,84,396,-1,-1,0,"7/1/2014","7/1/2014","",1,1,0,1,1,1,1,1,"1/1/2003","1/1/2003","1/1/2010","4/1/2013","1/1/2003",3108945,8638859,13475451,12600000
"040US48","48",5153,4.52,0.98,14.76,40796277797,0,0,0,0,0,1,10.8,"","",0,0,1383,1025,358,86,1190,89,-1,16,-1,250,733,-1,372,0,"9/1/2015","9/1/2015","",1,1,0,1,1,1,1,1,"1/1/1982","8/1/1981","8/1/2012","9/1/2017","1/1/1998",12660204,40517952,61254863,55993057
"040US49","49",566,6.01,0.96,7.73,2758078549,1,0,0,0,0,0,18.9,"3/20/2014","",1,0,69,47,22,-1,51,-1,0,-1,-1,-1,55,0,-1,1,"6/1/2014","6/1/2016","",1,1,0,1,1,1,0,1,"7/1/1995","7/1/1995","1/1/2006","","7/1/1995",1258874,4978276,7913577,7605316
"040US50","50",170,10.92,0.92,13.06,1639381130,1,0,1,0,0,0,23.8,"6/5/2013","6/5/2013",1,1,30,23,-9,-1,12,-1,0,0,0,0,29,0,0,1,"7/1/2013","7/1/2013","10/1/2020",1,1,0,1,1,1,1,1,"7/1/2006","6/1/2008","1/1/2009","11/15/2013","7/1/2006",292097,722308,1011044,872638
"040US51","51",1888,5.28,0.99,12.8,11356482821,1,0,0,0,0,0,18.3,"7/1/2015","7/1/2020",1,0,249,171,78,10,198,23,-1,-1,0,57,177,0,-1,0,"7/1/2013","5/1/2015","",1,1,0,1,1,1,1,1,"4/1/2003","9/1/2003","6/1/2006","7/1/2015","4/1/2003",4085973,14421835,19879541,17425053
"040US53","53",1406,5.97,0.96,8.79,14959703300,1,0,0,0,0,0,15.8,"6/10/2010","",1,0,441,314,127,11,385,18,18,16,0,32,344,-1,24,1,"7/1/2010","8/1/2015","",1,1,0,1,1,1,1,1,"7/22/2007","8/1/2011","1/1/2012","1/1/2019","7/22/2007",3873436,15061995,24423191,22943989
"040US54","54",463,6.84,0.96,20.26,3950044130,0,0,1,0,0,0,52.8,"6/12/2015","",1,0,108,74,34,-1,70,-1,0,0,0,-1,101,-1,-1,1,"6/1/2015","7/1/2016","",1,1,0,1,1,1,1,1,"6/11/1995","6/1/1995","5/1/2013","6/8/2012","6/11/1995",566448,1424858,1655390,1268221
"040US55","55",1365,6.05,0.97,14.09,9224879953,0,0,0,1,0,0,21.1,"4/9/2014","",1,0,141,101,40,-1,124,-1,-1,-1,0,29,94,-1,12,0,"5/1/2014","5/1/2014","",1,1,0,1,1,1,1,1,"6/2/2010","6/1/2010","6/1/2013","4/1/2017","6/2/2010",2623266,6969563,9273506,7900393
"040US56","56",113,11.69,0.86,12.62,593682253,0,0,0,0,0,1,14.1,"","",0,0,42,34,-9,-1,13,-1,0,0,0,-1,33,0,-1,0,"7/1/2017","7/1/2017","7/1/2017",1,1,1,1,1,1,1,1,"7/1/2003","7/1/2003","7/1/2013","7/1/2019","7/1/2003",315244,2181494,3607640,3483565
