HEROP_ID,TotTracts,AreaSqMi,CenFlags,TotPop,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,ChildrenP,Age45_49,Age50_54,AgeOv18,TotPopHh,NonRelFhhP,NonRelNfhhP,NoHsP,DisbP,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TotVetPop,VetP,AlcTot,AlcDens,AlcPerCap,TotUnits,VacantP,MobileP,LngTermP,RentalP,UnitDens,Ndvi,RcaUrbanP,RcaSubrbP,RcaRuralP,CenRuralP,PovP,UnempP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,TotWrkE,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,OdMortRt,SviTh1,SviTh2,SviTh3,SviTh4,SviSmryRnk
050US01051,15,618.44,,81212,51203,4736,10221,5243,5253,32794,5750,4659,11770,12.92,58.8,14.49,0.22,5525,5757,62973,76788,1.82,11.5,13.62,17.9,74.9,21.43,2.89,0.26,0.48,0.0,2.94,0.22,0.69,0.25,0.38,0.68,0.05,0.53,0.69,0.02,6600,10.56,2.0,0.0,0.0,34004,14.3,15.07,23.49,26.29,54.98,0.22,0.47,0.47,0.07,0.54,12.3,6.2,28458.0,27475.0,7.42,58.54,0.44,33811.0,7.94,22.16,12.11,12.14,15547.0,45.98,10.6,0.49,0.54,0.58,0.52,0.54
050US01055,30,535.28,,102939,61781,5793,12358,6484,6309,37830,7243,6790,18877,12.43,54.38,18.34,0.22,7054,6994,80658,101599,2.57,15.37,15.48,19.6,80.35,15.75,3.77,0.73,0.72,0.06,2.39,0.64,0.49,0.42,0.5,0.57,0.12,0.64,0.73,0.05,7419,9.2,10.0,0.02,0.0,47705,18.72,10.96,30.12,28.1,89.12,0.21,0.73,0.17,0.1,0.37,17.3,6.5,22866.0,24065.0,10.76,41.86,0.45,42367.0,7.52,26.64,15.82,11.83,23835.0,56.26,24.2,0.72,0.76,0.64,0.29,0.66
050US01065,6,643.98,,14887,8689,971,1873,1128,844,5289,970,1180,2717,13.25,54.63,18.25,0.23,822,1065,11406,14688,1.71,6.63,16.35,21.1,39.62,58.76,0.87,0.19,0.26,0.0,1.16,0.36,0.34,0.65,0.76,0.39,0.04,0.5,0.62,0.01,769,6.77,1.0,0.0,0.0,7777,27.25,35.86,35.71,28.53,12.08,0.26,0.0,1.0,0.0,0.89,26.0,11.9,18239.0,20272.0,13.2,28.0,0.51,5083.0,9.19,32.05,14.66,11.63,2765.0,54.4,18.2,0.93,0.96,0.51,0.93,0.96
050US01089,73,801.58,,357560,227057,20902,44167,24006,24700,141563,26834,21085,51308,13.62,57.79,14.35,0.22,23828,27873,278365,348718,1.52,16.79,8.87,13.1,68.19,24.06,4.84,0.55,2.54,0.09,4.57,0.49,0.45,0.44,0.44,0.54,0.11,0.35,0.68,0.04,32614,11.76,38.0,0.05,0.0,159299,8.82,4.45,20.79,32.77,198.73,0.19,0.9,0.1,0.0,0.16,13.2,5.8,31819.0,35526.0,5.91,38.38,0.47,172631.0,8.78,17.23,12.34,10.8,64895.0,37.59,13.3,0.29,0.12,0.72,0.38,0.31
050US01113,13,641.15,,58213,36079,4258,7831,3421,3753,23529,3899,3353,7776,12.32,61.19,13.36,0.25,3618,3949,43855,57639,2.63,20.44,16.68,18.8,50.26,42.87,5.36,0.28,0.89,0.12,5.57,0.43,0.37,0.53,0.4,0.43,0.08,0.27,0.58,0.01,5593,13.13,3.0,0.0,0.0,27426,17.09,15.55,23.32,40.19,42.78,0.2,0.69,0.31,0.0,0.35,20.1,7.8,23681.0,22055.0,11.05,50.83,0.45,23550.0,7.9,19.7,13.48,12.54,12077.0,51.28,14.5,0.84,0.88,0.79,0.78,0.91
050US01117,48,785.37,,211261,130525,12500,28904,14336,12099,82532,13510,13497,30125,12.51,58.66,14.26,0.24,15293,14900,160650,208272,1.68,18.33,7.85,11.2,80.28,12.05,5.74,0.22,2.01,0.02,5.42,0.28,0.73,0.17,0.38,0.72,0.11,0.45,0.78,0.04,12877,8.02,16.0,0.02,0.0,86077,9.0,7.98,20.73,20.33,109.6,0.21,0.81,0.17,0.02,0.23,8.4,4.0,35756.0,36576.0,6.12,62.72,0.43,105724.0,8.98,17.89,11.95,11.7,38486.0,36.4,18.6,0.08,0.07,0.69,0.18,0.12
050US02016,2,4392.09,,5750,4453,240,599,275,529,2656,424,382,334,13.98,60.78,5.81,0.17,482,633,4787,4380,5.81,50.16,11.18,7.7,29.55,4.28,13.88,11.32,40.0,2.57,12.28,0.02,0.24,0.04,0.0,0.24,0.14,0.12,0.25,0.45,272,5.75,,,,1967,40.21,0.81,13.84,71.85,0.45,,0.0,0.0,1.0,1.0,8.5,2.0,32801.0,37070.0,3.55,3.0,0.36,3889.0,3.29,45.64,4.06,9.21,2695.0,69.3,21.3,0.1,0.03,0.99,1.0,0.49
050US02130,4,4856.85,,13804,8774,840,1713,801,870,5244,991,1161,1950,12.11,56.48,14.13,0.22,894,1011,10724,13520,5.24,25.63,7.32,14.6,66.78,0.75,5.08,14.58,7.69,0.04,10.16,0.27,0.6,0.01,0.2,0.62,0.06,0.44,0.56,0.12,1091,10.36,4.0,0.0,0.0,6343,16.02,3.2,22.35,39.18,1.31,,0.0,1.0,0.0,0.23,10.5,6.6,33916.0,34900.0,4.32,17.25,0.42,7017.0,5.61,17.09,13.47,15.12,3511.0,50.04,24.2,0.25,0.35,0.75,0.92,0.55
050US02180,2,22971.86,,9925,5779,957,1926,799,768,4174,670,393,742,15.79,71.1,7.48,0.34,501,562,6521,9391,6.81,21.44,15.93,10.0,16.13,0.9,2.55,74.52,1.61,0.43,6.41,0.03,0.25,0.01,0.17,0.28,0.06,0.67,0.08,0.02,446,6.89,,,,4078,29.5,1.01,35.87,39.69,0.18,,0.0,0.0,1.0,0.66,23.1,16.7,19947.0,22293.0,6.15,22.0,0.43,3664.0,19.54,11.08,20.96,8.05,1623.0,44.3,22.7,0.9,0.54,0.88,0.91,0.93
050US02282,1,7623.24,,689,417,62,92,41,43,264,41,41,85,12.19,60.67,12.34,0.27,37,67,502,623,2.99,20.66,8.2,8.7,44.85,0.29,7.26,28.3,8.27,2.32,15.97,0.0,0.42,0.0,0.0,0.42,0.07,0.0,0.42,0.08,38,7.57,1.0,0.0,0.0,413,43.83,6.78,31.14,37.5,0.05,,0.0,0.0,1.0,1.0,6.7,6.1,32417.0,31878.0,5.9,3.0,0.35,357.0,6.16,31.65,4.2,10.08,187.0,52.38,22.3,0.21,0.41,0.77,0.96,0.59
050US05011,5,649.23,,10948,6336,682,1505,737,530,3899,662,756,2014,11.57,55.59,18.4,0.24,654,776,8350,10752,2.28,16.08,18.04,21.4,65.38,29.01,15.11,1.16,0.0,0.0,4.45,0.12,0.55,0.3,0.19,0.53,0.18,0.0,0.0,0.0,727,8.71,,,,5810,21.91,17.56,26.89,37.49,8.95,0.24,0.0,0.0,1.0,0.5,23.2,8.0,23441.0,22411.0,12.1,26.8,0.46,4209.0,10.36,38.42,12.9,9.81,2847.0,67.64,16.9,0.88,0.97,0.89,0.89,0.98
050US05015,5,629.96,,27887,15653,1557,3486,1733,1465,8953,2248,2029,6102,11.47,50.19,21.88,0.22,1607,1905,21755,27607,1.33,15.27,14.19,15.7,92.61,1.2,15.0,0.67,1.2,0.75,3.57,0.41,0.89,0.01,0.37,0.73,0.21,0.31,0.78,0.02,2392,11.0,5.0,0.01,0.0,13674,18.38,15.94,21.71,24.02,21.71,0.24,0.0,0.0,1.0,0.73,15.0,4.7,22790.0,24185.0,7.42,37.2,0.46,11867.0,9.08,36.93,6.83,11.88,6652.0,56.05,24.5,0.55,0.38,0.78,0.52,0.6
